ORF,gene,alanine,aspartate,glutamate,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,asparagine,proline,glutamine,arginine,serine,threonine,valine,tryptophan,tyrosine
YAL067W-A,,0.593736172,0.998934328,0.997076032,0.719365251,0.998739915,0.975519437,0.912950528,0.987016426,0.49550617,0.951965726,0.998093627,0.093299375,0.99485348,0.8443728,0.960842569,0.998375906,0.999771663,0.622432315,0.739823141
YAL068C,PAU8,0.970313613,0.998934328,0.997076032,0.881903628,0.998739915,0.990743833,0.951033531,0.998017381,0.772465698,0.990437795,0.998093627,0.98285319,0.830045695,0.99668303,0.961429065,0.998375906,0.974333757,0.998365774,0.992897227
YAR002C-A,ERP1,0.970313613,0.88154234,0.863088156,0.999250689,0.738736148,0.976052341,0.992824214,0.998017381,0.991101595,0.995474865,0.888169215,0.98285319,0.730190286,0.850455078,0.905369896,0.998375906,0.951702413,0.998365774,0.992897227
YAR002W,NUP60,0.970313613,0.998934328,0.274944537,0.977209162,0.998739915,0.83968732,0.998290049,0.995907128,0.937772275,0.985792674,0.924985628,0.969388189,0.992665963,0.99668303,0.925131717,0.904415036,0.800692628,0.83778374,0.992897227
YAR003W,SWD1,0.382911733,0.012913671,0.007435638,0.999250689,0.849105905,0.716809103,0.992824214,0.977638227,0.997427751,0.430833134,0.976024496,0.305327645,0.992665963,0.99668303,0.960842569,0.000122509,0.398807641,0.998365774,0.992897227
YAR014C,BUD14,0.000907796,0.998934328,0.997076032,0.999250689,0.00018455,0.990743833,0.335049077,0.973817731,0.189272461,0.985792674,0.043054149,0.98285319,0.070453691,0.190195555,0.960842569,0.998375906,4.2806E-09,0.557727,0.959562875
YAR018C,KIN3,0.974572143,0.857529324,0.554765941,0.999250689,0.998739915,0.990743833,0.992824214,0.998017381,0.991101595,0.990360527,0.998093627,0.628215024,0.992665963,0.99668303,0.789802267,0.749356901,0.974333757,0.923550303,0.992897227
YAR020C,PAU7,0.833663336,0.998934328,0.669077187,0.999250689,0.975238484,0.998534193,0.693282759,0.998017381,0.997621545,0.753474002,0.998093627,0.832647925,0.626698672,0.99668303,0.905369896,0.998375906,0.667962096,0.998365774,0.992897227
YAR023C,,0.983483406,0.999256632,0.935501479,0.999250689,0.998739915,0.990743833,0.998290049,0.995744387,0.991101595,0.985792674,0.934911046,0.98285319,0.860489113,0.96997447,0.960842569,0.998375906,0.974333757,0.998365774,0.998030638
YAR027W,UIP3,0.896811314,0.998934328,0.997076032,0.999250689,0.998739915,0.990743833,0.992824214,0.992323997,0.86002367,0.94047606,0.998093627,0.98285319,0.992665963,0.99668303,0.960842569,0.998375906,0.894932345,0.915374349,0.801288616
YAR028W,,0.953050834,0.987989622,0.997076032,0.91003736,0.998739915,0.977619139,0.992824214,0.900829248,0.894753955,0.946892254,0.875845388,0.986503423,0.992665963,0.99668303,0.960842569,0.998375906,0.889715317,0.83778374,0.992897227
YAR029W,,0.111010306,0.998934328,0.997076032,0.974697467,0.998739915,0.934446361,0.942797504,0.94870458,0.99592773,0.960499337,0.776466702,0.854988049,0.794187076,0.949693668,0.870179068,0.998375906,0.974333757,0.998365774,0.088555657
YAR030C,,0.970313613,0.997698165,0.83762489,0.355737415,0.29726845,0.990743833,0.628525567,0.998017381,0.9432379,0.755077683,0.998093627,0.821919249,0.368980453,0.871957933,0.960842569,0.998375906,0.132773507,0.850859245,0.992897227
YAR031W,PRM9,0.970313613,0.998934328,0.90177142,0.999250689,0.998739915,0.913175649,0.998290049,0.95445578,0.99592773,0.966380334,0.998093627,0.7788743,0.952209775,0.875537691,0.960842569,0.982121583,0.98053806,0.998365774,0.992897227
YAR035C-A,,0.970313613,0.998934328,0.850729228,0.999250689,0.998739915,0.949825983,0.992824214,0.998017381,0.99592773,0.70695552,0.998093627,0.681447739,0.955017726,0.898547409,0.524866811,0.949615515,0.983120224,0.998365774,0.779874233
