Gene,P0.05,P0.11,P0.16,p0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
Q0250,-0.196066437,-0.224161524,-0.525504968,-0.88226595,-1.690751572,0.605374383,0.676004286,0.608752379,0.731383816,0.243247951,0.183024676,-0.142725206,-0.141715804,-1.367582177,-1.603998047,-2.182514171,-2.294293538,-2.799327351,-2.660288399,-1.849449961,-0.345239929,-1.44758845,-1.889145288,-1.367109665,-1.409399936
YAL003W,0.089168049,0.125744615,-0.055565931,-0.012820488,-0.040957756,-0.457770044,-0.523911259,-0.495588505,-0.463632829,-0.571106354,-0.385719925,-0.500186521,-0.361949975,-0.409279572,-0.257579495,-0.674724947,-0.677955604,-0.682031323,-0.387443963,-0.293246693,-0.223617087,-0.739911654,-0.762628088,-0.42477984,-0.230735173
YAL005C,-0.109645386,-0.474416919,-0.691403877,-0.893698407,-1.153348956,-0.228601366,-0.592487212,-0.519658126,-0.471792598,-0.810310829,0.220370486,-0.838138624,-0.897602265,-1.051350348,-0.989522498,-1.006624724,-1.262953614,-1.423011976,-1.340276917,-1.077013173,0.172233767,-0.559264111,-1.000084607,-1.187593217,-1.059307329
YAL012W,-0.026940676,0.152620278,0.266508956,0.324360213,0.366614865,-0.555126252,-0.038603194,0.136586745,0.108889252,0.416354156,0.041904145,0.531378247,0.672965018,0.736086526,0.712219248,0.504863479,0.666390967,0.752441667,0.808444127,0.750037733,0.915369764,0.519254802,0.832379268,0.861355385,0.86552153
YAL016W,0.140309816,0.039977052,0.142682904,0.137656969,-0.049958883,0.648946022,0.506365587,0.307279544,0.274114819,0.16125894,0.710200793,0.617989855,0.660262207,0.231229931,0.11948039,0.049987381,-0.181986949,-0.151273177,-0.23933416,-0.048145437,0.214667431,0.424743781,0.38582683,0.189725216,0.346791665
YAL017W,-0.047234228,0.203300737,0.017066906,-0.066398167,0.082478573,-0.382049457,-0.314059706,-0.178679627,0.165320374,0.204407278,0.330421467,0.616116687,0.472597408,0.600456091,0.188921566,-0.003001667,-0.080311361,-0.02524937,-0.283677995,-0.017599786,0.513107215,0.098009862,0.076749156,0.204152409,0.189292182
YAL023C,0.427284539,0.367885702,0.318944473,0.45666164,0.343684206,0.195284098,0.211922677,0.175017885,0.002887735,0.092622007,0.068579947,0.214677438,0.338165727,0.631688987,0.323025903,0.040788418,0.286912441,0.279368257,0.117421241,0.353494654,0.286487492,0.369348278,0.373949493,0.575472517,0.834509856
YAL035W,-0.128450614,0.193211093,0.339796939,0.288844551,0.421065968,0.022377653,0.087528909,0.287689295,0.264877124,0.108221585,0.029654097,-0.000771047,0.098523909,0.324289787,0.087977511,-0.035957212,0.250346263,0.224109148,0.274523598,0.589105907,-0.173327699,0.143280533,0.602109753,0.333603147,0.219636749
YAL038W,0.05401163,-0.144018289,-0.163179923,-0.294301772,-0.379379739,-1.743032548,-2.037945587,-2.172126483,-2.040778999,-1.845463148,-0.9015719,-0.816928702,-0.742939123,-0.755915293,-0.587634522,-0.910719212,-0.751257623,-0.762907518,-0.710080565,-0.765001916,-0.379488087,-0.618046615,-0.735723011,-0.656378924,-0.577397932
YAL042W,0.66043062,0.33803537,0.534674557,0.427942358,0.9913991,0.356733135,0.467575232,0.802575309,0.778256549,0.703056108,0.671344572,0.810686483,0.917393053,0.820798721,0.60649393,0.415505109,0.580143947,0.576211961,0.676170623,0.786968326,0.482476917,0.395304153,-2.665455388,-0.011196788,0.854417697
YAL044C,0.114620868,0.099539139,0.355201106,0.301231317,0.642535078,-0.171124369,-0.229563592,-0.032529974,-0.08395551,-0.24477888,0.000476409,0.417413528,0.444982433,0.457764621,0.66102365,0.72786244,0.413635213,0.640997626,0.388233544,0.263459804,-0.931490662,-0.624308954,-0.090743415,-0.186616995,0.152451965
YAL049C,-1.230103087,-1.771863406,-1.839045348,-2.219497977,-2.749466005,-0.372338359,-1.479903796,-1.526404667,-1.828222653,-2.000310752,0.522421495,0.400277366,0.144982608,-0.910401259,-1.110373475,-4.369198953,-2.859093835,-3.451322637,-3.653302547,-0.798279698,-1.160858856,-2.410031943,-3.259921099,-2.023784155,-1.674040633
YAL054C,-0.141964896,0.078610213,0.069123676,-0.446552178,0.026557524,3.745973011,3.236297585,2.538879787,0.504359958,0.319068862,-0.159565616,0.341030316,0.476735273,0.420825619,0.014512023,0.489992296,0.387119036,0.60573383,0.659600207,0.283160584,-0.178013033,0.215822915,0.340767931,0.223317411,0.527059579
YAL060W,0.04892512,-0.163001522,-0.007523897,0.178957686,0.294100065,1.415834833,0.907446295,0.645593519,0.76600387,0.607832972,0.49840089,0.719172032,0.683722245,0.85177776,0.689504191,0.439825011,0.50809337,0.745772011,0.649177624,0.285757694,-0.407553936,-0.045820189,-0.073133503,0.028242134,0.3174402
YAL062W,0.327174031,1.605517593,1.31594806,2.05732808,2.41990487,2.046536018,2.610828441,1.597009612,2.530829552,3.076216753,1.943513124,2.210455946,2.386333073,3.230953618,3.372941912,2.305472382,2.332887294,2.351478096,2.719125475,2.567222641,2.859078043,2.883734481,2.579283323,2.862069609,2.78056523
YAR002C-A,0.072604042,0.152889852,0.312899748,0.38478049,0.18312266,0.477441805,0.381615961,0.355009516,0.169292604,0.191672644,0.336706153,0.316091668,0.478819044,0.438828738,0.409983229,-0.053585603,0.009002371,0.079779942,0.089809613,0.053822067,-0.189953782,-0.122026924,0.048148051,0.122162043,0.113203946
YAR007C,0.118921005,0.358846912,0.196737502,0.116841941,0.057651348,0.25584799,0.387791115,0.003479425,-0.138413393,0.046585903,0.414251725,0.658357875,0.46910676,0.179162783,0.626390302,0.450200311,0.283986341,0.593101481,0.179413821,0.090424371,0.114250825,0.368234237,0.253616357,0.182750195,0.242650624
YAR015W,0.124240438,-0.088417017,0.056632613,0.229456462,0.645733065,-0.612895103,-0.126223455,-0.212994643,-0.410548752,-0.157047769,-0.158541767,0.025473992,0.018440858,0.485080544,0.767315128,0.193445353,0.391004411,0.610100228,0.667359337,0.898621303,-0.752349594,-0.100763715,0.267992332,0.319244172,0.384735128
YAR035W,0.567765365,0.177208148,-0.226312619,-0.878031767,0.561790983,2.897993125,2.27246923,2.835725357,0.542473237,-1.15330401,-0.456600722,0.210066659,-1.573011686,-0.221477888,0.465614254,1.514235444,1.583765679,1.514173898,1.122957863,-1.447638966,1.045857276,2.542621094,1.258417007,1.607216493,-0.500234098
YAR042W,-4.443164335,-4.656698013,-3.852679118,-4.803743936,-3.958281214,-1.870956895,-4.250790085,-4.818525106,-4.219790258,-4.176055827,-2.971133873,-3.884188921,-3.701105351,-4.510424421,-3.585434182,-3.667378155,-4.184581919,-3.386789553,-3.297997835,-3.917230959,-3.253948647,-4.254373821,-3.370344631,-6.030284513,-3.429763393
YAR071W,0.342847248,0.005627995,-0.295924872,-0.760288497,-1.185299467,-7.2432147,-6.860072206,-3.1327996,-7.228612834,-6.088665573,-5.877475985,-5.596417717,-5.823344793,-4.7753319,-3.793990331,-7.079576132,-6.391805183,-5.731127095,-6.77713604,-5.584391989,-5.673786004,-5.413670613,-4.073389377,-6.486352741,-4.076897692
YBL002W,0.121882346,0.364975192,0.56129015,0.781493569,0.724200066,1.462841748,1.572990321,1.348770486,1.204136095,1.01516082,1.686485115,2.108933892,2.001355266,0.936461577,0.960832102,0.403896076,0.583864068,0.70482743,0.770951718,0.718719197,-0.381529801,0.346600895,0.471180282,0.509098118,0.634416229
YBL003C,0.129170052,1.257500248,0.628653623,1.541545251,0.887765069,1.536903227,2.053786805,1.635423302,1.400395783,1.886122721,2.056479656,2.746727937,3.006877954,1.81459395,1.680714482,-0.067135073,0.482220666,0.45692736,0.866801085,0.600276158,-0.447259262,0.651005274,-0.441878206,0.96809515,1.08912675
YBL007C,-0.146931492,-0.020084398,0.018439718,-0.087416348,0.021807471,0.33849037,0.260322466,0.379124257,0.327077929,0.594254263,0.900111963,0.896060953,-0.16527549,0.014333859,0.321997776,0.849759349,0.20812618,0.242899895,0.238841456,0.174964388,0.293351719,0.386498937,0.265375678,0.107932695,0.378308446
YBL015W,-0.183622703,-0.591606589,-0.983665132,-1.564306545,-2.146765683,0.865263805,0.290135143,1.281223409,1.534368626,0.526759943,-0.581141866,-1.210327504,-1.195858391,-1.649361772,-1.93373327,-1.244862052,-2.194474894,-1.892716842,-2.044107045,-1.926004633,-0.58689693,-0.156818073,-1.354953049,-1.283719525,-1.523216043
