Metabolite,Model_Metabolite_ID,Conversion_to_Absolute,P0.05,P0.11,P0.16,P0.22,P0.30,C0.05,C0.11,C0.16,C0.22,C0.30,N0.05,N0.11,N0.16,N0.22,N0.30,L0.05,L0.11,L0.16,L0.22,L0.30,U0.05,U0.11,U0.16,U0.22,U0.30
(N(omega)-L-arginino)succinic acid,t_0010,NA,-0.048151146,0.039788654,0.088818815,0.323665252,0.217286263,-0.124066043,-0.225586889,-0.152313004,0.003698883,0.407522295,-0.911275154,-0.377741311,-0.369018306,0.312915386,0.449812909,1.543375975,1.779896187,2.012877168,1.96134331,1.646767224,-0.092314897,-0.217339329,0.00394674,0.142020042,0.229806039
(R)-lactate,t_0017,NA,-0.042835176,-0.641689813,-0.74347534,-0.576022752,-0.253755881,-0.834152947,-0.641426381,-0.503574593,-0.793363571,0.76086704,0.21994298,1.262686628,0.660400236,0.661521192,0.924549586,0.31955493,0.563942152,0.704076075,0.753332725,0.798766659,0.216797295,0.413697117,0.544660837,0.771450911,0.903274589
(R)-pantothenate,t_0020,NA,0.011607058,-0.071140946,-0.12135521,-0.148825328,-0.052752816,-0.541051597,-0.608018548,-0.628355015,-0.46605288,-0.35478278,-0.729195228,-0.99487511,-0.801828685,-0.457976249,-0.251717538,-1.273718857,-1.105393028,-0.773083976,-0.563376199,-0.431250894,-0.93601755,-0.696034667,-0.823457511,-0.62441886,-0.397386773
(S)-dihydroorotate,t_0031,NA,-0.153336481,1.279895146,1.871796818,2.993807734,3.087577809,-1.711383413,-1.15227912,-0.647548173,0.027117574,1.409232388,0.74622863,0.965152007,2.067599511,2.846525722,2.987249805,2.563352318,2.953497137,2.206996427,2.241011759,2.275313511,8.714266125,8.885433904,9.035811284,8.580951569,7.55183461
(S)-lactate,t_0033,NA,-0.042835176,-0.641689813,-0.74347534,-0.576022752,-0.253755881,-0.834152947,-0.641426381,-0.503574593,-0.793363571,0.76086704,0.21994298,1.262686628,0.660400236,0.661521192,0.924549586,0.31955493,0.563942152,0.704076075,0.753332725,0.798766659,0.216797295,0.413697117,0.544660837,0.771450911,0.903274589
(S)-malate,t_0034,0.00376499,0.129968257,0.236639658,0.259777238,0.262761909,0.190917737,-0.083409246,-0.201904397,-0.332816672,-0.044127839,-1.005120582,1.545263796,0.283120805,0.846000178,0.726645175,0.486378733,0.264312037,0.053945816,-0.421253796,-0.661995517,-0.593451858,-0.403638463,-0.572040276,-0.707481607,-0.747951656,-0.73586526
"1,3-bisphospho-D-glycerate",t_0039,NA,-0.101984391,0.675645792,1.03845372,1.712979089,2.067328284,0.840138031,1.188654067,1.431908278,1.512383963,2.405543143,1.011088258,1.362594891,1.592139871,2.091880208,2.284002916,0.680244353,1.043487787,1.402655924,1.753975179,2.012146136,0.736343658,1.174549876,1.496139665,1.939400982,2.218817386
2-oxoglutarate,t_0094,0.000960507,0.227900586,0.273252615,0.037989342,-0.501219832,-0.989264696,-0.55162106,-0.354515819,-0.305739075,-0.603651622,-1.286118494,1.735367999,1.208440453,1.503187876,0.956688749,0.301646035,1.039643342,0.048264363,-1.212762956,-2.052170004,-2.455911425,-2.678692989,-3.118361686,-2.986801786,-2.894548809,-2.777452245
2'-deoxyadenosine,t_0063,NA,0.027062777,0.00514262,-0.31564728,-1.029952243,-1.526166527,-1.456971432,-1.036995428,-0.758260404,-1.408766719,-0.633133806,-1.98465893,-0.571754841,-1.05391553,-1.344464743,-1.626797488,-0.609875785,-1.333526448,-1.833381126,-2.229060056,-2.733693245,-2.126927816,-2.234823932,-2.046440584,-1.993186299,-2.003871844
2'-deoxyguanosine,t_0064,NA,0.078084654,-0.715992078,-1.231374625,-2.080976618,-2.457310467,-2.399312793,-2.524561672,-2.552615794,-2.74797703,-2.498462857,-3.25227491,-2.750004889,-3.086241935,-3.00028995,-2.938297614,-2.299603008,-2.610373455,-2.555698449,-2.718129346,-3.062115295,-3.001324451,-3.059508146,-3.314017841,-3.304160246,-3.185757485
