m/z	metabolite	BY003_01	BY003_02	BY003_03	BY003_04	BY003_05	BY003_06	BY003_07	BY003_08	BY003_09	BY003_10	BY003_11	BY003_12	BY003_13	BY003_14	BY003_15	BY003_16	BY003_17	BY003_18	BY003_19	BY003_20	BY003_21	BY003_22	BY008_01	BY008_02	BY008_03	BY008_04	BY008_05	BY008_06	BY008_07	BY008_08	BY008_09	BY008_10	BY008_11	BY008_12	BY008_13	BY008_14	BY008_15	BY008_16	BY008_17	BY008_18	BY008_19	BY008_20	BY008_21	BY008_22	BY012_01	BY012_02	BY012_03	BY012_04	BY012_05	BY012_06	BY012_07	BY012_08	BY012_09	BY012_10	BY012_12	BY012_13	BY012_14	BY012_15	BY012_16	BY012_17	BY012_18	BY012_19	BY012_20	BY012_21	BY012_22	BY009_01	BY009_03	BY009_04	BY009_05	BY009_07	BY009_08	BY009_09	BY009_10	BY009_11	BY009_12	BY009_13	BY009_14	BY009_15	BY009_16	BY009_17	BY009_18	BY009_19	BY009_20	BY009_21	BY009_22	BY010_01	BY010_02	BY010_03	BY010_04	BY010_05	BY010_06	BY010_08	BY010_09	BY010_10	BY010_11	BY010_12	BY010_13	BY010_14	BY010_15	BY010_16	BY010_17	BY010_18	BY010_19	BY010_20	BY010_21	BY010_22	BY010_23	BY010_24	BY010_25	BY010_26	BY010_27	BY010_28	BY013_01	BY013_02	BY013_03	BY013_04	BY013_07	BY013_08	BY013_09	BY013_10	BY013_11	BY013_12	BY013_13	BY013_14	BY013_15	BY013_16	BY013_17	BY013_18	BY013_19	BY013_20	BY013_21	BY013_22	BY013_23	BY013_24	BY013_25	BY013_26	BY013_27	BY013_28	BY013_29	BY013_30	BY013_31	BY013_32	BY005_01	BY005_02	BY005_03	BY005_04	BY005_05	BY005_06	BY005_07	BY005_08	BY005_09	BY005_10	BY005_11	BY005_12	BY005_14	BY005_15	BY005_16	BY005_17	BY005_18	BY005_19	BY005_20	BY005_21	BY005_22	BY006_01	BY006_02	BY006_03	BY006_04	BY006_05	BY006_06	BY006_07	BY006_08	BY006_09	BY006_10	BY006_11	BY006_12	BY006_13	BY006_14	BY006_15	BY006_16	BY006_17	BY006_18	BY006_19	BY006_20	BY006_22	BY007_01	BY007_02	BY007_03	BY007_04	BY007_05	BY007_06	BY007_07	BY007_08	BY007_09	BY007_10	BY007_11	BY007_12	BY007_13	BY007_14	BY007_15	BY007_16	BY007_17	BY007_18	BY007_19	BY007_20	BY007_21	BY007_22
59.01	Acetate	Acetate_59.01	639980.5263	730313.6842	758879.4737	593768.4211	533987.7451	534225.4902	686019.1176	592480.8824	782052.451	543861.7647	536988.2353	602420.098	524669.6078	652563.2353	602443.6275	565797.6852	621462.5	371845.3704	371339.8374	357484.2308	372353.6765	362707.2464	844544.2308	928573.7179	743985.8974	812081.4103	426033.5294	634627.0588	568405.2941	732197.0588	614322.3529	708714.1176	753452.3529	751908.8235	722341.7647	934371.1765	565056.1111	817017.3684	592990	499025.2294	425792.0833	433962.0155	420683.0769	414348.8462	485045.8647	569750.3759	469593.609	492005.6391	478001.5038	448630.8271	526524.0602	648984.9624	503876.3158	519639.8496	500659.3985	519802.2556	429719.9248	388700.7143	412714.2857	408942.1769	340659.2715	322887.0968	435131.7901	367963.3721	216090.2381	493256.6667	552550	453077.3333	463336.7089	717653.481	705996.3415	500242.6829	524401.8293	495115.2439	665498.7805	518136.5854	485436.4706	405874.7059	553287.6471	457922.3529	548102.3529	508329.3103	495950.5747	509258.9888	333532.6087	669560.1351	592390.5405	453345.2703	527291.2162	426018.9189	603947.973	661318.9189	520601.3514	502768.9189	487116.8919	517312.8378	647563.5135	385685.1351	399985.8108	468408.125	726548.75	501842.9412	512337.6471	454547.7528	523184.2697	481969.1011	495187.766	437237.766	494673.4043	364638.2075	337454.5455	413575	844056.962	783751.8987	733516.4557	523839.2405	604396.988	697867.4699	464369.2771	434465.0602	372708.8235	613751.1765	396030	547813.5294	586274.7059	627598.8235	360952.809	554739.3258	732467.9775	433235.3933	571256.7416	505673.5955	522985.9551	463552.7778	417002.7174	394147.8261	523960.3261	442086.4486	366036.1111	309217.5926	357398.2143	277657.1429	448811.8421	517276.3158	366532.8947	350371.0526	462560.2564	338600.641	397465.3846	380423.7179	357743.5897	472821.7949	151721.1538	484701.9231	399947.4359	326149.0385	393895.6989	406251.6129	266126.3441	284293.5185	360257.4074	263337.9167	391033.7302	389346.5517	387087.931	327352.8736	356043.1034	363937.7778	364085	348201.1111	499528.3333	447085.5556	411685	321331.1111	289260	349747.8947	352119.4737	371578.9474	403085.8586	323218.1818	282344.1964	277415.2893	207261.9835	202892.9936	530343.4783	373465.7609	333279.8913	374360.8696	344071.1957	317827.1739	345834.7826	348929.3478	350179.3478	454191.3043	322798.3696	302183.1522	344096.1957	383933.1522	395797.8261	289076.1682	365922.4299	283331.1966	269286.9231	310185.4478	208348.9437	219700.3521
59.01	Glycolaldehyde	Glycolaldehyde_59.01	639980.5263	730313.6842	758879.4737	593768.4211	533987.7451	534225.4902	686019.1176	592480.8824	782052.451	543861.7647	536988.2353	602420.098	524669.6078	652563.2353	602443.6275	565797.6852	621462.5	371845.3704	371339.8374	357484.2308	372353.6765	362707.2464	844544.2308	928573.7179	743985.8974	812081.4103	426033.5294	634627.0588	568405.2941	732197.0588	614322.3529	708714.1176	753452.3529	751908.8235	722341.7647	934371.1765	565056.1111	817017.3684	592990	499025.2294	425792.0833	433962.0155	420683.0769	414348.8462	485045.8647	569750.3759	469593.609	492005.6391	478001.5038	448630.8271	526524.0602	648984.9624	503876.3158	519639.8496	500659.3985	519802.2556	429719.9248	388700.7143	412714.2857	408942.1769	340659.2715	322887.0968	435131.7901	367963.3721	216090.2381	493256.6667	552550	453077.3333	463336.7089	717653.481	705996.3415	500242.6829	524401.8293	495115.2439	665498.7805	518136.5854	485436.4706	405874.7059	553287.6471	457922.3529	548102.3529	508329.3103	495950.5747	509258.9888	333532.6087	669560.1351	592390.5405	453345.2703	527291.2162	426018.9189	603947.973	661318.9189	520601.3514	502768.9189	487116.8919	517312.8378	647563.5135	385685.1351	399985.8108	468408.125	726548.75	501842.9412	512337.6471	454547.7528	523184.2697	481969.1011	495187.766	437237.766	494673.4043	364638.2075	337454.5455	413575	844056.962	783751.8987	733516.4557	523839.2405	604396.988	697867.4699	464369.2771	434465.0602	372708.8235	613751.1765	396030	547813.5294	586274.7059	627598.8235	360952.809	554739.3258	732467.9775	433235.3933	571256.7416	505673.5955	522985.9551	463552.7778	417002.7174	394147.8261	523960.3261	442086.4486	366036.1111	309217.5926	357398.2143	277657.1429	448811.8421	517276.3158	366532.8947	350371.0526	462560.2564	338600.641	397465.3846	380423.7179	357743.5897	472821.7949	151721.1538	484701.9231	399947.4359	326149.0385	393895.6989	406251.6129	266126.3441	284293.5185	360257.4074	263337.9167	391033.7302	389346.5517	387087.931	327352.8736	356043.1034	363937.7778	364085	348201.1111	499528.3333	447085.5556	411685	321331.1111	289260	349747.8947	352119.4737	371578.9474	403085.8586	323218.1818	282344.1964	277415.2893	207261.9835	202892.9936	530343.4783	373465.7609	333279.8913	374360.8696	344071.1957	317827.1739	345834.7826	348929.3478	350179.3478	454191.3043	322798.3696	302183.1522	344096.1957	383933.1522	395797.8261	289076.1682	365922.4299	283331.1966	269286.9231	310185.4478	208348.9437	219700.3521
59.02	Urea	Urea_59.02	34912.10526	41831.57895	45346.31579	39784.73684	31764.70588	36203.92157	41489.21569	34957.35294	42658.82353	40713.23529	33284.31373	33093.62745	27418.13725	40516.17647	37926.96078	36913.42593	33053.24074	25768.05556	23921.54472	23740.76923	22190.80882	24125.72464	47391.66667	54926.92308	40204.48718	47835.89744	99408.82353	47278.82353	39157.64706	40465.29412	37157.64706	42900	39276.47059	39427.05882	41220.58824	46792.94118	32110.55556	42993.15789	36478.42105	28122.01835	28626.25	22979.45736	25855.76923	25486.15385	27279.69925	27437.96992	30873.68421	25519.92481	30469.92481	26266.16541	30103.7594	35900.37594	31166.54135	29556.39098	27239.47368	31823.68421	26758.64662	27524.64286	28790	21491.15646	18953.31126	21300.32258	24062.65432	18774.7093	13695.95238	16423.33333	23082.66667	18184	19189.87342	36797.1519	24384.14634	21676.82927	18660.97561	20184.7561	29175.60976	19358.53659	18092.94118	15630.58824	20961.76471	20477.64706	21205.88235	17908.62069	18132.75862	16864.04494	11978.80435	24940.54054	20293.24324	15765.54054	17386.48649	19705.40541	23972.2973	25972.97297	23363.51351	18272.97297	19966.21622	22506.08108	27438.51351	17028.37838	15041.21622	16667.5	26780.625	16737.64706	19147.05882	16283.70787	16866.85393	19122.47191	18857.44681	15054.78723	15850.53191	15055.66038	11677.27273	13618.85246	27592.40506	24239.87342	23196.20253	20647.46835	20258.43373	24472.89157	16518.07229	15228.91566	11986.47059	21099.41176	17504.70588	17946.47059	17837.05882	21242.35294	13237.07865	19635.39326	22901.68539	14070.78652	17484.83146	17876.40449	17410.11236	15310.55556	14245.1087	12848.36957	19434.78261	14724.29907	12344.90741	9955.555556	12097.76786	9200	24485.52632	26348.02632	42056.57895	20781.57895	38632.05128	34200	23403.84615	30355.76923	19174.35897	40230.76923	64310.25641	30775.64103	23472.4359	31240.38462	23591.93548	22788.70968	13410.75269	14832.40741	21614.35185	14586.66667	16545.63492	28514.94253	20967.81609	41928.16092	21732.75862	21110	18759.44444	19021.11111	26175.55556	24812.22222	21478.33333	18162.22222	27304.44444	20057.36842	22662.10526	17224.73684	22979.79798	18271.71717	16162.5	15335.53719	13469.83471	11114.96815	29964.13043	18459.78261	19459.23913	21719.56522	20275	27166.84783	16779.34783	20199.45652	20003.26087	24396.73913	32735.86957	19816.30435	20957.06522	22570.1087	21528.80435	18269.15888	19978.03738	15575.64103	15206.15385	16479.10448	12273.59155	10320.42254
71.01	Methylglyoxal	Methylglyoxal_71.01	305466.3158	281020.5263	234536.3158	204052.1053	283155.8824	169111.2745	250847.549	301063.7255	191470.098	170758.3333	269598.0392	216605.8824	282790.1961	248671.0784	197269.1176	198003.7037	192943.5185	148517.5926	147859.3496	139200.3846	149413.9706	115117.7536	417175.641	334379.4872	366051.2821	350683.9744	228302.3529	204543.5294	285620	402772.9412	329068.2353	305360.5882	399031.1765	396892.9412	308734.7059	290309.4118	254907.7778	199152.6316	243242.6316	315799.0826	160708.3333	175671.7054	155709.2308	174826.9231	215419.1729	258449.6241	176245.4887	248230.8271	150372.5564	196773.6842	186248.8722	150252.6316	208516.5414	215085.7143	150579.6992	151154.8872	193670.3008	104190.7143	140512.5	145792.8571	108520.1987	101880.9677	72134.25926	84024.4186	72419.7619	177414	197360	220670.6667	176140.5063	238559.1772	169704.878	160976.8293	170474.3902	192025.6098	156287.8049	180505.4878	155447.0588	153130	169945.2941	187059.4118	170239.4118	148904.023	146831.6092	173665.1685	124292.9348	161849.3243	161260.1351	190270.2703	205372.2973	214120.9459	208087.1622	208064.1892	181560.8108	186260.8108	219693.2432	187935.8108	205725	236488.5135	193909.4595	188833.75	111885	196594.1176	174414.1176	180468.5393	93216.85393	152735.3933	142008.5106	151214.3617	122688.2979	163337.2642	139973.6364	165804.5082	136103.7975	105017.0886	67881.64557	143318.3544	133568.6747	134119.2771	157133.7349	151937.9518	77161.76471	132865.8824	186120	137768.2353	111267.0588	159612.9412	157100	124398.3146	80047.19101	100408.9888	78082.58427	122730.3371	103764.6067	115627.7778	129979.8913	110320.6522	145675	111682.243	127420.8333	83818.98148	104229.9107	78172.22222	213788.8158	151668.4211	136298.0263	170378.9474	99989.10256	147453.8462	200442.9487	138676.2821	138407.0513	96903.20513	93115.38462	170240.3846	229141.6667	133539.1026	140136.0215	163127.957	106066.6667	130698.1481	105068.0556	124447.9167	54361.11111	155900	126475.8621	132995.977	175568.3908	142697.7778	132305.5556	203220	121365.5556	147544.4444	165651.1111	150058.3333	142090.5556	157537.8947	163883.1579	160415.2632	121774.7475	161358.0808	138124.1071	81235.12397	103064.4628	96746.81529	146179.3478	148530.4348	158573.3696	179060.8696	193282.0652	179201.087	197365.7609	139215.7609	152022.8261	148019.0217	137672.2826	155173.913	159689.6739	146033.6957	173486.413	137932.7103	127521.4953	135580.7692	106089.6154	104631.7164	92570.42254	98130.28169
73.03	L-Lactaldehyde	L-Lactaldehyde_73.03	127714.2105	122804.7368	110656.8421	96956.84211	105960.2941	70292.15686	103364.7059	115385.7843	100555.8824	79721.07843	93970.09804	112571.0784	132770.098	101270.098	108155.3922	105794.4444	94898.14815	59862.03704	81246.74797	72608.07692	66731.61765	71838.4058	169262.1795	144016.0256	142083.3333	129347.4359	40913.52941	79728.23529	106004.7059	155112.9412	128552.9412	131816.4706	136100.5882	137430	144135.2941	114215.2941	71520	102745.2632	106908.4211	121164.2202	80221.25	80031.78295	72355.76923	95072.30769	81424.06015	86812.03008	70080.82707	88651.8797	57190.97744	78399.24812	66244.73684	90305.6391	80406.39098	74724.06015	92293.23308	85245.48872	98016.54135	94105.71429	77714.64286	70105.44218	75475.49669	74724.51613	80372.53086	62263.66279	61805.71429	62205.33333	64567.33333	62510.66667	72531.01266	100646.2025	61768.29268	58305.4878	53987.19512	61909.14634	70021.34146	59015.2439	68828.82353	70134.11765	52470	70177.64706	90666.47059	62144.25287	71436.2069	69761.23596	64469.56522	68609.45946	69761.48649	105586.4865	67758.78378	71739.86486	127347.973	76420.27027	87722.2973	91581.08108	83209.45946	72500	140336.4865	72283.78378	66201.35135	66978.125	84516.25	105048.8235	59928.23529	56678.08989	57850	52105.61798	63069.14894	51394.14894	66052.12766	68655.66038	54640.45455	114354.0984	57793.67089	92692.40506	64246.20253	59493.03797	60377.10843	50318.07229	60921.08434	77522.89157	76481.17647	63804.11765	106554.1176	76805.29412	91545.29412	66502.35294	63808.42697	64934.26966	90169.66292	51579.21348	61185.39326	51447.75281	88604.49438	59353.88889	56289.13043	68711.95652	56623.91304	45472.42991	63268.51852	66318.05556	52652.67857	48136.50794	75078.94737	51536.18421	51597.36842	59406.57895	59957.69231	57673.71795	69848.07692	56347.4359	50976.28205	41807.05128	30373.07692	56268.58974	58332.69231	48202.88462	49324.19355	50897.84946	44066.66667	38772.68519	36271.75926	43237.08333	48929.7619	46693.10345	73094.25287	47258.04598	57348.27586	54107.22222	58228.33333	55770	45299.44444	94840	60481.11111	77578.33333	47143.33333	52506.84211	51075.26316	55877.36842	46645.45455	61314.64646	41180.80357	57947.52066	38382.2314	36084.07643	53208.15217	55196.19565	55445.65217	57200	59340.21739	51030.97826	58888.04348	43533.69565	53735.32609	49937.5	46644.02174	65370.1087	66401.63043	55166.84783	62869.02174	45469.15888	37724.76636	39601.28205	37956.15385	36569.02985	30097.88732	38318.66197
74.02	Glycine	Glycine_74.02	13157.89474	9276.315789	9274.210526	8318.947368	16196.56863	9054.901961	14193.62745	13137.7451	13664.21569	10913.72549	15571.56863	13874.01961	18915.19608	16957.35294	16366.66667	19704.62963	21594.90741	24376.85185	28127.23577	25195.76923	27650.36765	24451.44928	28406.41026	24637.82051	32446.15385	23084.61538	12661.17647	21725.29412	19888.82353	21191.17647	28158.82353	20916.47059	30265.88235	27211.17647	26382.35294	28995.29412	23223.88889	21356.31579	23886.31579	25579.81651	25340.41667	25040.69767	28582.69231	22040.76923	15903.38346	18818.79699	13643.23308	14622.93233	16521.80451	20693.98496	19226.69173	16828.57143	20823.30827	17927.44361	22170.67669	21476.69173	20642.4812	17255	19564.28571	28677.89116	31929.80132	31745.48387	31284.87654	33179.06977	27157.38095	23722.66667	19418	20763.33333	18820.88608	22652.21519	19356.70732	21192.07317	13857.31707	19914.02439	19554.26829	19757.92683	19225.88235	25418.23529	21653.52941	17821.17647	18867.64706	23402.29885	21901.72414	23147.75281	36603.26087	29917.56757	28925	33550	31943.24324	31937.83784	24902.7027	29037.16216	25594.59459	31929.05405	32008.78378	27891.21622	28612.16216	30616.21622	29720.94595	27890	24136.25	31475.88235	21070.58824	26258.42697	29830.33708	21933.70787	24301.59574	23595.74468	25173.40426	18390.09434	21032.27273	19246.72131	24931.64557	28777.8481	35824.68354	20459.49367	25911.44578	27087.95181	19178.91566	24606.62651	33608.23529	27787.64706	16366.47059	23268.82353	37215.29412	19968.23529	19825.8427	18364.04494	26689.88764	29043.82022	31928.65169	19393.82022	33510.11236	25640	22733.69565	29520.1087	20593.47826	18988.31776	18024.07407	24442.59259	21973.21429	19142.46032	15567.76316	11480.26316	10344.07895	12865.78947	12800	10660.89744	17325	13230.76923	12533.97436	13587.82051	6775	13178.20513	17311.53846	18745.19231	12365.5914	14851.6129	13697.84946	18368.51852	15312.5	14240.83333	16290.87302	11795.97701	15280.45977	11582.75862	14184.48276	12502.77778	11258.33333	13957.77778	13568.88889	14081.11111	14147.22222	15941.11111	13094.44444	12470.52632	13078.42105	14443.15789	12263.63636	15721.21212	16104.01786	17337.60331	12342.14876	10114.01274	16275.54348	16025	12802.71739	12524.45652	15301.63043	11688.04348	16196.73913	13071.19565	15554.8913	12547.82609	11252.71739	12852.17391	12097.28261	11846.73913	14674.45652	8790.186916	14250.93458	13392.73504	12826.15385	12114.55224	10767.60563	11927.11268
87.01	Pyruvate	Pyruvate_87.01	66330.52632	54116.31579	47097.36842	56708.42105	64168.62745	46194.60784	61042.64706	53418.62745	50411.27451	42098.52941	55601.96078	46221.56863	67674.01961	52789.70588	41833.82353	34191.2037	41210.64815	25947.22222	26995.52846	25561.53846	26790.07353	22143.11594	87257.05128	61952.5641	69926.28205	65742.94872	22995.88235	43975.29412	60532.94118	71630.58824	66948.23529	58685.88235	68815.29412	65085.29412	63340	53030.58824	34447.22222	44991.57895	37441.05263	57154.12844	30578.33333	33130.62016	26587.69231	34545.76923	49821.42857	51259.77444	45654.13534	56365.41353	43299.62406	47090.6015	44665.03759	68071.80451	49058.64662	57009.77444	57972.55639	47133.45865	56477.81955	39047.5	34941.42857	34662.2449	30129.80132	23654.19355	23109.87654	23765.69767	20518.33333	24933.33333	28982	30065.33333	25960.75949	42165.50633	31070.73171	23959.7561	24417.68293	27343.90244	23935.36585	26945.73171	26851.76471	25300.58824	24912.35294	26922.94118	24032.94118	26074.13793	24948.27586	26042.69663	28251.08696	22119.59459	22964.86486	34662.83784	28592.56757	33107.43243	39513.51351	31780.40541	23695.27027	27014.18919	36780.40541	28048.64865	47546.62162	36631.75676	34293.91892	31190.625	20461.25	35315.29412	24363.52941	23127.52809	16033.14607	20647.19101	22109.04255	21113.29787	19694.68085	30016.98113	25060.90909	43232.37705	19219.62025	17238.60759	17824.05063	20275.94937	19961.44578	18657.22892	24539.75904	20227.10843	18535.29412	22748.82353	40656.47059	20270	23067.05882	23471.17647	24332.02247	18270.22472	20282.02247	18315.73034	13624.1573	19409.55056	20643.82022	19538.88889	21901.08696	15808.15217	21262.5	17050.46729	20673.61111	20643.05556	25726.33929	19839.28571	25107.89474	21202.63158	16161.84211	18034.86842	11592.94872	16836.53846	24512.17949	17646.15385	16384.61538	15570.51282	8938.461538	18775.64103	28101.92308	19568.91026	15944.08602	19247.31183	12532.25806	16764.81481	14836.57407	15686.25	12484.92063	16636.2069	13433.90805	15386.78161	24399.42529	18906.66667	15068.88889	28675	16700.55556	12758.88889	22026.11111	11040	19027.77778	20514.21053	19467.36842	21121.57895	13566.66667	21759.59596	18979.01786	8813.22314	14261.15702	16626.43312	18003.26087	20088.04348	22780.97826	22261.95652	24700	20231.52174	30285.32609	16719.02174	17991.84783	16869.56522	17629.8913	16475.54348	18511.41304	17898.36957	22801.63043	17050.46729	16469.15888	17756.41026	15465	14614.92537	15343.30986	18846.83099
88.04	L-Alanine	L-Alanine_88.04	48172.63158	74836.84211	69675.78947	68040	36600.98039	55753.92157	51466.17647	52276.96078	59420.09804	53726.96078	42834.80392	63253.43137	44267.15686	54785.29412	56449.5098	59748.61111	44949.53704	45402.31481	40989.43089	42053.46154	34267.27941	43630.07246	81679.48718	88281.41026	77630.12821	76198.07692	40271.17647	69525.88235	58900	60767.05882	65432.94118	67806.47059	68571.76471	64645.29412	63008.23529	70511.17647	61047.77778	63206.31579	56122.63158	43270.18349	42913.33333	31670.93023	40487.30769	41646.15385	37572.55639	41591.72932	44791.35338	32534.21053	36837.59398	36213.53383	39282.70677	41980.07519	38180.82707	38985.33835	40138.34586	42687.96992	37122.55639	34751.78571	40392.85714	36057.48299	30386.09272	36081.29032	34466.97531	33034.01163	29899.04762	50608.66667	49108	46569.33333	43715.18987	53649.36709	42510.97561	45345.12195	35098.17073	43468.29268	53045.73171	42834.14634	39263.52941	37342.35294	40331.17647	37394.11765	44693.52941	38286.78161	40129.88506	43406.74157	37871.73913	58178.37838	49929.05405	46287.16216	48243.24324	54207.43243	56167.56757	55216.21622	60101.35135	51018.91892	51316.21622	51222.2973	53777.02703	44200.67568	43304.05405	45525	47222.5	41735.29412	47920.58824	43381.46067	39126.40449	49250.5618	43329.25532	47091.48936	50629.78723	35009.90566	38961.81818	37872.95082	54220.88608	48170.25316	44954.43038	47971.51899	53101.20482	50878.31325	52971.68675	49278.91566	42170.58824	49742.94118	36967.05882	51628.82353	47300	50237.05882	40646.06742	45299.4382	36656.74157	49173.03371	42835.95506	42019.66292	46428.08989	44471.11111	44852.17391	51709.78261	52899.45652	46844.85981	41006.94444	58856.01852	48354.91071	39066.66667	44379.60526	36038.81579	36099.34211	41418.42105	44280.12821	36614.74359	33950.64103	41255.12821	36700.64103	29300.64103	20633.33333	55228.20513	38098.71795	54310.57692	49002.68817	37830.64516	41242.47312	42339.35185	49457.87037	40851.25	43505.15873	48835.63218	39016.09195	39758.62069	35675.28736	34612.22222	46257.22222	27113.88889	34257.77778	61662.22222	35067.77778	47997.77778	33161.66667	36998.94737	35808.42105	36261.57895	39376.76768	35202.52525	31883.03571	45826.03306	35444.21488	28856.36943	43963.04348	32312.5	31855.43478	36045.65217	28854.34783	32599.45652	25851.63043	34364.67391	29330.43478	47316.30435	31160.32609	32927.71739	43607.06522	42337.5	37969.02174	28580.84112	36898.59813	29078.20513	37376.92308	39938.0597	36302.8169	35359.50704
88.04	beta-Alanine	beta-Alanine_88.04	48172.63158	74836.84211	69675.78947	68040	36600.98039	55753.92157	51466.17647	52276.96078	59420.09804	53726.96078	42834.80392	63253.43137	44267.15686	54785.29412	56449.5098	59748.61111	44949.53704	45402.31481	40989.43089	42053.46154	34267.27941	43630.07246	81679.48718	88281.41026	77630.12821	76198.07692	40271.17647	69525.88235	58900	60767.05882	65432.94118	67806.47059	68571.76471	64645.29412	63008.23529	70511.17647	61047.77778	63206.31579	56122.63158	43270.18349	42913.33333	31670.93023	40487.30769	41646.15385	37572.55639	41591.72932	44791.35338	32534.21053	36837.59398	36213.53383	39282.70677	41980.07519	38180.82707	38985.33835	40138.34586	42687.96992	37122.55639	34751.78571	40392.85714	36057.48299	30386.09272	36081.29032	34466.97531	33034.01163	29899.04762	50608.66667	49108	46569.33333	43715.18987	53649.36709	42510.97561	45345.12195	35098.17073	43468.29268	53045.73171	42834.14634	39263.52941	37342.35294	40331.17647	37394.11765	44693.52941	38286.78161	40129.88506	43406.74157	37871.73913	58178.37838	49929.05405	46287.16216	48243.24324	54207.43243	56167.56757	55216.21622	60101.35135	51018.91892	51316.21622	51222.2973	53777.02703	44200.67568	43304.05405	45525	47222.5	41735.29412	47920.58824	43381.46067	39126.40449	49250.5618	43329.25532	47091.48936	50629.78723	35009.90566	38961.81818	37872.95082	54220.88608	48170.25316	44954.43038	47971.51899	53101.20482	50878.31325	52971.68675	49278.91566	42170.58824	49742.94118	36967.05882	51628.82353	47300	50237.05882	40646.06742	45299.4382	36656.74157	49173.03371	42835.95506	42019.66292	46428.08989	44471.11111	44852.17391	51709.78261	52899.45652	46844.85981	41006.94444	58856.01852	48354.91071	39066.66667	44379.60526	36038.81579	36099.34211	41418.42105	44280.12821	36614.74359	33950.64103	41255.12821	36700.64103	29300.64103	20633.33333	55228.20513	38098.71795	54310.57692	49002.68817	37830.64516	41242.47312	42339.35185	49457.87037	40851.25	43505.15873	48835.63218	39016.09195	39758.62069	35675.28736	34612.22222	46257.22222	27113.88889	34257.77778	61662.22222	35067.77778	47997.77778	33161.66667	36998.94737	35808.42105	36261.57895	39376.76768	35202.52525	31883.03571	45826.03306	35444.21488	28856.36943	43963.04348	32312.5	31855.43478	36045.65217	28854.34783	32599.45652	25851.63043	34364.67391	29330.43478	47316.30435	31160.32609	32927.71739	43607.06522	42337.5	37969.02174	28580.84112	36898.59813	29078.20513	37376.92308	39938.0597	36302.8169	35359.50704
89.02	Dihydroxyacetone	Dihydroxyacetone_89.02	564644.2105	555411.0526	756684.7368	478518.9474	507523.0392	410550	488897.549	524823.0392	512958.3333	416893.1373	498469.6078	446997.549	627583.3333	487981.8627	473444.6078	427853.7037	391446.7593	330243.5185	311776.8293	299611.9231	275939.7059	249804.3478	757792.3077	674457.6923	703698.7179	708484.6154	340349.4118	484382.9412	569122.3529	676655.8824	602954.1176	605188.2353	656672.3529	660341.1765	575278.2353	622995.2941	507742.2222	452927.3684	487858.4211	573918.3486	381110.8333	297256.5891	298028.8462	327240	412421.4286	455622.5564	516153.3835	601559.7744	363204.8872	392206.015	386441.7293	412891.3534	391785.3383	424513.9098	304500.3759	348629.6992	366033.0827	227787.5	301909.2857	286748.2993	204180.7947	213652.2581	143149.6914	179577.3256	143172.8571	352499.3333	444460	422187.3333	448312.0253	505941.4557	390353.6585	454367.0732	378201.8293	458455.4878	408424.3902	370330.4878	362178.2353	334814.1176	364041.7647	404760	377048.2353	318585.0575	306009.1954	358662.9213	242481.5217	481550.6757	420057.4324	584768.2432	424525	503584.4595	455518.9189	493111.4865	593098.6486	480625	515858.7838	458231.0811	495824.3243	512813.5135	434081.0811	445668.125	538391.25	486369.4118	447366.4706	353917.9775	337900.5618	390496.6292	342533.5106	316053.7234	268682.9787	391108.4906	294772.7273	282280.3279	367424.6835	329031.6456	454092.4051	369175.3165	304040.9639	317892.1687	362760.8434	424054.2169	181101.7647	302772.9412	394362.3529	345375.2941	335868.8235	380742.9412	347450	340104.4944	549496.0674	211457.3034	354816.2921	302570.2247	347050.5618	487345	325177.7174	216089.1304	337765.7609	239168.6916	407948.1481	220707.8704	209495.5357	370794.0476	462244.0789	336228.9474	319859.2105	385134.2105	399394.8718	323498.0769	408308.3333	406269.2308	297521.7949	246307.6923	172720.5128	429845.5128	423682.0513	289765.7051	334592.4731	354179.5699	222679.0323	246537.963	243993.5185	244905	237468.6508	391539.6552	394390.2299	323767.8161	353064.9425	330516.1111	340389.4444	352630.5556	276402.2222	534321.1111	338976.1111	594798.3333	305284.4444	319511.5789	341871.0526	332612.1053	302311.1111	355872.2222	258993.3036	362818.595	207681.8182	202185.6688	303888.587	277910.3261	338105.9783	349127.7174	338940.2174	355019.0217	342021.1957	307344.5652	318172.8261	363159.7826	311561.413	493502.7174	435467.3913	331483.6957	393617.3913	275835.514	260987.3832	248330.7692	215906.5385	199594.403	186901.0563	180625
