ORF,gene,alanine,aspartate,glutamate,phenylalanine,glycine,histidine,isoleucine,lysine,leucine,methionine,asparagine,proline,glutamine,arginine,serine,threonine,valine,tryptophan,tyrosine
YAL002W,VPS8,3.427710417,2.409886844,4.715256879,-3.215528153,-0.567080228,0.898231862,-2.0913051,1.531092924,-3.305316849,1.074587184,-0.86205926,4.398346101,3.835446356,2.048808657,-0.498712541,-0.69547213,0.189660932,-3.343699612,-3.275008345
YAL004W,,-0.342114736,-0.011962791,1.167671796,0.050105751,-0.164955795,-1.300251056,0.508569104,-0.643546643,0.016934821,0.684657286,-2.040626643,0.265250585,-0.35027319,-0.58184863,-0.164740204,-0.173644891,-0.230578709,0.341106967,1.023768176
YAL005C,SSA1,-0.303608914,-0.523150587,0.820884004,0.633502596,0.008708847,-0.136398151,0.640806304,-0.364264697,0.968646188,0.367823361,-1.216699909,0.081632664,-2.215750533,-0.259442844,-0.945022892,-1.20122568,0.362432871,0.820114245,0.098328492
YAL007C,ERP2,-0.350151597,0.895138649,-0.692815556,-0.611561081,0.129443339,0.947370393,-1.638561704,1.093158791,0.230109575,-2.13157545,0.802683364,0.221570214,0.10379238,-0.080450834,0.611491488,-0.111428173,-1.451459267,-0.027754588,-0.034972329
YAL008W,FUN14,-0.44855448,-0.878027392,-1.318647629,0.225095084,1.688457431,3.101823215,1.233711867,2.920323092,1.945723943,-1.29125906,0.020255757,-0.183892324,-0.660824499,1.751911576,2.812495622,-0.605468644,-1.822268534,3.250249999,-2.459401698
YAL009W,SPO7,0.195862312,-0.186390409,-0.712385839,-0.155817312,0.673478459,2.320088,-0.233686816,1.576688783,1.072118209,-0.60920845,-0.302886015,0.013416073,0.68885251,1.31360291,2.560511245,-1.476878703,-0.756494561,1.442538943,-1.678478035
YAL010C,MDM10,23.63930015,10.53408643,-4.209451264,3.806493113,2.616323095,1.564367439,-2.052598241,-0.015075091,-2.080651155,-3.719442425,3.62561408,-3.172579927,-4.525974169,2.520146266,-5.353616536,-0.640910498,-6.29300767,10.52833627,24.28847862
YAL011W,SWC3,-0.217699581,-0.274035621,-0.071626418,0.417852214,0.090833067,0.717453575,1.026504489,0.463405206,-0.441432853,0.394305795,-0.499219259,-1.689409421,-1.444823202,0.916065301,-1.754225087,0.011494896,1.887966666,-0.423306016,-1.147142508
YAL013W,DEP1,-0.215066369,0.27634065,1.19238338,0.895937612,-0.051959906,-2.22065032,-0.362525296,1.003630163,1.379165326,-2.202501371,0.188022686,0.787526758,-2.05686488,-0.502474233,-1.870614395,-1.688237442,-2.451711461,0.671463317,3.046302879
YAL014C,SYN8,-0.114758474,-1.081257616,-1.573075574,0.528289199,2.290100186,0.621660937,-0.659833926,-0.161833311,-0.755712869,0.74298587,0.838791779,-1.666882318,-1.368178942,0.815116608,0.445134119,0.011494896,0.855662678,0.750376679,0.142218694
YAL015C,NTG1,-0.556254066,-0.593012691,-0.915779811,-0.193596156,1.370145013,0.730471875,0.267833369,-0.133792402,0.388644901,-0.220343,0.47972517,-0.200840242,-1.032751435,0.154914726,0.08637293,0.029870479,0.112627395,0.352290993,-0.475950516
YAL016C-B,,-1.250817585,0.307016612,0.210725559,-0.477444992,0.037319449,-0.174491312,-0.681900462,0.661932784,0.352046565,-0.010171723,0.020255757,2.119221119,0.294765142,-1.00690838,0.63561916,-0.325123515,-1.176746994,-0.826608338,0.077732267
YAL017W,PSK1,-0.364263901,-0.183160769,0.616053545,-0.195568619,0.335210315,0.07967232,-0.440274753,-0.103318542,-0.015144551,-0.005903217,0.363405082,0.983636012,0.892513669,-0.741308117,-0.943002747,0.268770763,0.110878206,-0.027754588,-0.775015171
YAL018C,LDS1,-0.104736705,-0.439416865,-0.474864906,0.538416216,1.293655465,-0.555666196,0.733689543,-0.18637498,0.489129453,0.128562902,-0.782378837,-0.119230192,-1.127360827,0.053514914,-0.227919271,0.402780193,0.49718525,-0.257929941,-0.619239406
YAL019W,FUN30,0.365373165,0.012093605,1.186969163,0.393553992,-0.90624128,-0.941404399,-0.111168676,-0.500438744,0.983833281,0.827310517,0.020255757,0.76125288,-0.624994846,-1.008360436,-1.192302899,-0.54651843,-0.763727215,1.273340714,0.883108097
YAL020C,ATS1,0.755706915,0.018072488,-0.067268491,0.407840515,-0.838359284,-0.370815587,-0.418261339,0.09272889,0.549746097,-0.823266832,0.753682051,-0.158646444,-0.656015101,-0.04225636,-0.918169128,-0.76654907,-0.607481496,0.078339628,-0.460400704
YAL021C,CCR4,1.786221045,-3.220315157,5.36644019,0.034647792,2.105596053,-2.373628474,2.314451402,-0.533353089,1.432151167,-1.021800434,-2.120938403,-2.592225732,3.766341317,-1.924894185,2.860139723,0.284983683,0.189660932,-0.395210923,-0.935884044
YAL022C,FUN26,-0.800391831,0.159798891,-1.147349611,0.023595226,2.089519197,0.824058442,0.829853608,1.56575752,-0.227311185,-0.229590227,-0.710234386,-1.019734282,-0.976481408,1.634519213,0.127927126,-0.004962459,0.678016739,-0.174297111,0.479052739
YAL023C,PMT2,0.996174178,1.582930287,0.354356054,-3.826773383,0.518054331,0.027785576,-1.069951123,2.153528413,-2.867783331,-1.94495674,-1.895864669,-0.24004677,0.746710474,0.053108662,-0.227919271,0.964141748,-3.124792146,-3.209858654,-1.393708108
YAL024C,LTE1,-2.27222642,0.450154247,0.139689293,-0.220788586,0.082568396,0.017161176,-0.854462176,1.28265841,0.406416082,-0.220343,-0.543351968,0.573484873,0.612540085,-0.089472221,-0.509978001,0.20711652,-1.540938313,-0.333864901,-0.627939632
YAL026C,DRS2,-0.2829362,-0.004908975,1.791923764,0.215948829,-0.905476665,-1.254754053,-1.622291412,0.194179102,1.474444199,-1.264022934,0.297024672,1.382567285,-1.096361038,0.468794991,-3.451909814,-3.40203465,-1.646693598,-0.027754588,1.379180584
YAL027W,SAW1,0.062236915,-0.566670793,0.058518712,0.023595226,-0.358967577,1.730653829,-0.354420502,0.238302722,0.059149971,-0.256668074,-0.309865912,0.841963196,0.925289302,0.10986868,0.455210762,0.843592052,-0.119868504,-0.759551914,-0.476535028
YAL028W,FRT2,0.267204223,0.452681533,-0.057947747,-0.825952795,-0.247411541,0.031804204,-1.072429564,-0.235971942,-0.145349541,0.627170295,0.925297114,0.115402966,-0.102309051,-0.117163253,-1.007474697,0.04867214,-0.143033346,-0.079649067,-0.57366695
YAL029C,MYO4,0.440509557,-0.115322956,0.175856385,0.326395847,-0.157197256,0.162146711,-0.863597457,-0.612143315,0.2612035,0.772193859,0.114594228,0.848332153,-0.252403429,-0.745222101,-1.005670786,0.011494896,0.556887547,-0.284287638,-1.230519467
YAL030W,SNC1,0.239932367,-0.402455041,-0.889787122,-0.586867913,-0.742740949,-0.605155103,0.145483268,-1.35355551,0.302558027,0.361081821,1.546703376,0.574319321,-0.490167499,-1.025161,0.035908746,0.249759051,0.569144942,0.381669324,-0.185005727
YAL031C,GIP4,-0.112773686,-0.987373156,-0.196828139,0.51466702,0.941101329,0.213428738,0.792594132,-1.157897373,0.608041378,1.95373166,-0.842251291,0.020246641,-0.504668473,-0.370845393,-0.227919271,-0.196101961,0.811184888,1.28409159,-0.906572132
YAL034C,FUN19,0.668865576,-0.246919637,1.130739976,-0.589502192,0.4298754,-0.168746213,-0.893225192,0.055970825,-0.512979818,-0.012864142,0.020255757,1.495126637,0.517535081,-0.717538749,0.965977052,0.728718816,-0.101682722,-1.108794072,-1.601647413
YAL036C,RBG1,0.277447235,-0.820548865,-0.083892969,1.4602871,1.409185421,-1.440982938,1.57037625,-1.018742371,0.628208859,2.264732073,-1.388924069,-0.740652373,-1.729690099,-0.444135955,-0.227919271,-0.309425295,1.343071049,0.734077995,0.564971397
YAL037C-A,,-1.541504974,-0.441703512,0.404723678,0.46287511,-0.111500333,-0.381101764,0.145483268,-0.019144735,0.818417136,0.445311734,-0.03927484,1.918416818,0.020059953,-1.096411664,0.360348504,-0.183163254,-1.218425254,0.622640527,1.134008259
YAL037W,,-0.071039694,1.045049194,-0.061250622,-0.619521132,0.055308081,1.35488053,-1.628695879,0.868150174,0.276831951,-1.974628212,-0.140851554,-0.158646444,0.205739146,-0.066823829,1.024489661,-0.626229154,-1.917311389,-1.357335499,-0.785275904
YAL039C,CYC3,-1.01140357,4.319017717,-2.473441174,0.516930443,2.097795988,-0.296132099,1.484071298,0.743557739,-0.152742167,-2.466759339,-0.883123846,-1.561794326,-2.315678015,-0.696814184,1.758210594,-0.695188589,0.5196883,1.89880609,3.201004873
YAL040C,CLN3,0.594327458,0.416595691,-0.082012746,1.501712252,-0.939915678,0.671465192,0.145483268,-0.021463442,1.864548316,-0.755629735,-1.516931693,2.706828164,-0.884523885,1.142889688,-1.661098492,-0.526493391,-0.298974772,1.802687359,0.554874955
