sample	time	condition
BY003_01	-10min	N_upshift
BY003_02	-10min	N_upshift
BY003_03	-10min	N_upshift
BY003_04	-10min	N_upshift
BY003_05	0.1min	N_upshift
BY003_06	0.25min	N_upshift
BY003_07	0.5min	N_upshift
BY003_08	0.75min	N_upshift
BY003_09	1min	N_upshift
BY003_10	2min	N_upshift
BY003_11	3min	N_upshift
BY003_12	4min	N_upshift
BY003_13	5min	N_upshift
BY003_14	7min	N_upshift
BY003_15	10min	N_upshift
BY003_16	15min	N_upshift
BY003_17	20min	N_upshift
BY003_18	30min	N_upshift
BY003_19	45min	N_upshift
BY003_20	60min	N_upshift
BY003_21	90min	N_upshift
BY003_22	120min	N_upshift
BY008_01	-10min	N_upshift
BY008_02	-10min	N_upshift
BY008_03	-10min	N_upshift
BY008_04	-10min	N_upshift
BY008_05	0.1min	N_upshift
BY008_06	0.25min	N_upshift
BY008_07	0.5min	N_upshift
BY008_08	0.75min	N_upshift
BY008_09	1min	N_upshift
BY008_10	2min	N_upshift
BY008_11	3min	N_upshift
BY008_12	4min	N_upshift
BY008_13	5min	N_upshift
BY008_14	7min	N_upshift
BY008_15	10min	N_upshift
BY008_16	15min	N_upshift
BY008_17	20min	N_upshift
BY008_18	30min	N_upshift
BY008_19	45min	N_upshift
BY008_20	60min	N_upshift
BY008_21	90min	N_upshift
BY008_22	120min	N_upshift
BY012_01	-10min	N_upshift
BY012_02	-10min	N_upshift
BY012_03	-10min	N_upshift
BY012_04	-10min	N_upshift
BY012_05	0.1min	N_upshift
BY012_06	0.25min	N_upshift
BY012_07	0.5min	N_upshift
BY012_08	0.75min	N_upshift
BY012_09	1min	N_upshift
BY012_10	2min	N_upshift
BY012_12	4min	N_upshift
BY012_13	5min	N_upshift
BY012_14	7min	N_upshift
BY012_15	10min	N_upshift
BY012_16	15min	N_upshift
BY012_17	20min	N_upshift
BY012_18	30min	N_upshift
BY012_19	45min	N_upshift
BY012_20	60min	N_upshift
BY012_21	90min	N_upshift
BY012_22	120min	N_upshift
BY009_01	-10min	N_downshift
BY009_03	-10min	N_downshift
BY009_04	-10min	N_downshift
BY009_05	-3min	N_downshift
BY009_07	-2.5min	N_downshift
BY009_08	-2min	N_downshift
BY009_09	-1.5min	N_downshift
BY009_10	-1min	N_downshift
BY009_11	-0.5min	N_downshift
BY009_12	0.1min	N_downshift
BY009_13	0.5min	N_downshift
BY009_14	1min	N_downshift
BY009_15	1.5min	N_downshift
BY009_16	2min	N_downshift
BY009_17	2.5min	N_downshift
BY009_18	3min	N_downshift
BY009_19	4min	N_downshift
BY009_20	5min	N_downshift
BY009_21	7min	N_downshift
BY009_22	10min	N_downshift
BY010_01	-10min	N_downshift
BY010_02	-10min	N_downshift
BY010_03	-10min	N_downshift
BY010_04	-10min	N_downshift
BY010_05	-4.5min	N_downshift
BY010_06	-4min	N_downshift
BY010_08	-3min	N_downshift
