	C00004	C00015	C00025	C00029	C00037	C00042	C00043	C00047	C00051	C00055	C00062	C00063	C00064	C00074	C00089	C00096	C00105	C00106	C00112	C00122	C00127	C00135	C00141	C00144	C00149	C00158	C00170	C00188	C00249	C00295	C00319	C00337	C00417	C00441	C00449	C00492	C00624	C00637	C00669	C00684	C00712	C00725	C00777	C00906	C00956	C01005	C01102	C01103	C01137	C01218	C01226	C01233	C01494	C01530	C01571	C01717	C02335	C02727	C02938	C02946	C03090	C03145	C03242	C03415	C03680	C03972	C04002	C04546	C05307	C05598	C05635	C05797	C05812	C06145	C06423	C06425	C06517	C06628	C07031	C07204	C08281	C08320	C09183	C10434	C10682	C11930	C12002	C12144	C12369	C12384	C14825	C15658	C15808	C16432	C16526	C17220	C17250
YBR160W	115.0	114.0	1.0	114.0	115.0	112.0	0.0	1.0	113.0	112.0	1.0	115.0	113.0	115.0	0.0	113.0	6.0	112.0	108.0	115.0	0.0	0.0	0.0	115.0	115.0	114.0	0.0	115.0	114.0	114.0	1.0	111.0	114.0	114.0	0.0	0.0	109.0	0.0	115.0	111.0	115.0	112.0	112.0	114.0	6.0	47.0	8.0	13.0	114.0	82.0	115.0	0.0	0.0	114.0	1.0	90.0	0.0	0.0	111.0	17.0	115.0	92.0	115.0	1.0	114.0	106.0	111.0	114.0	0.0	114.0	0.0	0.0	1.0	114.0	0.0	113.0	115.0	0.0	0.0	115.0	111.0	1.0	1.0	112.0	0.0	1.0	115.0	115.0	1.0	1.0	113.0	93.0	115.0	0.0	0.0	74.0	115.0
YDL028C	1.0	115.0	0.0	90.0	4.0	114.0	0.0	0.0	0.0	1.0	0.0	0.0	113.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	102.0	0.0	0.0	1.0	113.0	3.0	1.0	1.0	3.0	1.0	1.0	113.0	113.0	0.0	1.0	2.0	1.0	86.0	0.0	114.0	0.0	0.0	112.0	107.0	112.0	0.0	26.0	14.0	1.0	115.0	95.0	0.0	1.0	113.0	0.0	1.0	112.0	0.0	1.0	16.0	2.0	115.0	0.0	3.0	111.0	0.0	114.0	0.0	0.0	115.0	0.0	0.0	113.0	114.0	2.0	2.0	22.0	115.0	17.0	3.0	4.0	6.0	113.0	11.0	52.0	3.0	1.0	5.0	1.0	2.0	109.0	115.0	5.0	115.0	92.0	113.0
YDL047W	112.0	1.0	1.0	1.0	112.0	47.0	115.0	115.0	115.0	14.0	115.0	112.0	113.0	115.0	115.0	1.0	114.0	13.0	7.0	113.0	3.0	1.0	108.0	115.0	112.0	115.0	6.0	113.0	1.0	12.0	90.0	0.0	115.0	115.0	115.0	115.0	1.0	2.0	115.0	0.0	1.0	114.0	2.0	113.0	4.0	113.0	105.0	0.0	0.0	1.0	1.0	1.0	113.0	1.0	112.0	4.0	115.0	115.0	6.0	55.0	114.0	0.0	0.0	115.0	108.0	1.0	115.0	2.0	2.0	100.0	0.0	115.0	115.0	115.0	115.0	0.0	115.0	115.0	110.0	115.0	1.0	3.0	114.0	0.0	115.0	1.0	9.0	0.0	115.0	115.0	1.0	115.0	1.0	0.0	0.0	0.0	115.0
YDL134C	0.0	114.0	114.0	115.0	1.0	115.0	2.0	0.0	0.0	28.0	115.0	0.0	115.0	0.0	115.0	0.0	90.0	2.0	114.0	1.0	114.0	115.0	0.0	0.0	1.0	0.0	115.0	2.0	0.0	3.0	0.0	114.0	0.0	1.0	0.0	115.0	5.0	0.0	0.0	0.0	0.0	2.0	115.0	115.0	0.0	4.0	114.0	115.0	0.0	113.0	0.0	0.0	113.0	0.0	4.0	1.0	115.0	0.0	2.0	111.0	1.0	18.0	0.0	0.0	17.0	111.0	1.0	115.0	2.0	114.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	115.0	0.0	1.0	0.0	115.0	113.0	95.0	114.0	115.0	93.0	2.0	0.0	115.0	1.0	1.0	8.0	0.0	115.0	100.0	0.0
YDR477W	109.0	0.0	0.0	0.0	3.0	0.0	2.0	0.0	0.0	1.0	108.0	1.0	1.0	1.0	0.0	5.0	1.0	0.0	0.0	115.0	0.0	115.0	0.0	0.0	115.0	115.0	115.0	3.0	1.0	0.0	13.0	0.0	114.0	1.0	114.0	88.0	115.0	0.0	0.0	3.0	1.0	0.0	1.0	0.0	2.0	100.0	0.0	0.0	115.0	113.0	2.0	0.0	115.0	1.0	1.0	102.0	0.0	114.0	0.0	115.0	87.0	2.0	1.0	4.0	0.0	115.0	1.0	115.0	115.0	115.0	111.0	1.0	0.0	115.0	0.0	1.0	1.0	104.0	1.0	0.0	1.0	0.0	115.0	0.0	104.0	52.0	0.0	115.0	102.0	38.0	0.0	2.0	2.0	0.0	1.0	115.0	2.0
YGL019W	115.0	112.0	99.0	0.0	115.0	115.0	31.0	115.0	115.0	115.0	112.0	115.0	6.0	115.0	115.0	3.0	115.0	115.0	115.0	115.0	115.0	112.0	54.0	115.0	115.0	5.0	77.0	115.0	115.0	115.0	115.0	114.0	0.0	115.0	115.0	115.0	0.0	47.0	115.0	115.0	115.0	115.0	115.0	3.0	115.0	57.0	112.0	115.0	0.0	31.0	113.0	115.0	0.0	115.0	115.0	0.0	115.0	109.0	115.0	0.0	115.0	115.0	114.0	0.0	115.0	0.0	115.0	0.0	114.0	0.0	115.0	115.0	0.0	113.0	115.0	115.0	115.0	115.0	115.0	114.0	115.0	115.0	1.0	115.0	1.0	0.0	4.0	1.0	40.0	115.0	115.0	115.0	71.0	0.0	115.0	0.0	115.0
YHR030C	0.0	0.0	49.0	0.0	1.0	0.0	21.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	3.0	5.0	0.0	0.0	0.0	0.0	113.0	12.0	0.0	0.0	115.0	0.0	1.0	1.0	108.0	1.0	0.0	6.0	115.0	0.0	10.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	11.0	3.0	0.0	4.0	0.0	0.0	107.0	1.0	2.0	115.0	0.0	1.0	1.0	109.0	0.0	2.0	0.0	115.0	1.0	5.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	2.0	0.0	113.0	0.0	114.0	8.0	0.0	0.0	4.0	86.0	0.0	0.0	106.0	4.0	0.0	5.0	7.0
YIL035C	1.0	1.0	0.0	22.0	110.0	3.0	115.0	114.0	115.0	1.0	0.0	41.0	0.0	114.0	4.0	0.0	29.0	108.0	1.0	1.0	115.0	115.0	115.0	108.0	3.0	0.0	0.0	110.0	115.0	114.0	115.0	4.0	0.0	24.0	1.0	2.0	0.0	115.0	11.0	115.0	115.0	115.0	115.0	0.0	109.0	0.0	2.0	0.0	0.0	76.0	114.0	105.0	8.0	115.0	2.0	105.0	0.0	108.0	114.0	0.0	114.0	115.0	115.0	115.0	115.0	0.0	115.0	110.0	0.0	114.0	0.0	114.0	115.0	108.0	112.0	115.0	115.0	2.0	114.0	0.0	115.0	115.0	115.0	114.0	2.0	65.0	94.0	113.0	115.0	1.0	114.0	115.0	115.0	115.0	115.0	0.0	0.0
YIL042C	0.0	114.0	115.0	3.0	0.0	115.0	0.0	1.0	115.0	115.0	1.0	0.0	33.0	0.0	11.0	0.0	0.0	115.0	114.0	0.0	115.0	0.0	0.0	0.0	0.0	81.0	113.0	0.0	114.0	113.0	5.0	115.0	46.0	4.0	115.0	1.0	25.0	0.0	113.0	115.0	36.0	0.0	4.0	5.0	0.0	114.0	0.0	115.0	115.0	115.0	4.0	115.0	105.0	114.0	115.0	0.0	4.0	0.0	115.0	0.0	0.0	113.0	0.0	0.0	110.0	0.0	0.0	0.0	1.0	115.0	0.0	4.0	113.0	0.0	115.0	114.0	0.0	0.0	0.0	1.0	113.0	114.0	100.0	115.0	0.0	0.0	114.0	1.0	114.0	72.0	114.0	0.0	2.0	0.0	114.0	6.0	0.0
YIR026C	1.0	115.0	114.0	115.0	0.0	112.0	0.0	2.0	115.0	115.0	1.0	3.0	112.0	12.0	0.0	0.0	15.0	104.0	114.0	1.0	114.0	114.0	0.0	0.0	1.0	0.0	108.0	0.0	115.0	105.0	1.0	114.0	0.0	68.0	84.0	0.0	112.0	106.0	115.0	114.0	0.0	0.0	107.0	111.0	0.0	6.0	0.0	98.0	115.0	115.0	0.0	0.0	0.0	115.0	112.0	113.0	0.0	1.0	0.0	112.0	0.0	115.0	1.0	114.0	63.0	108.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	71.0	115.0	0.0	0.0	0.0	0.0	115.0	113.0	114.0	114.0	110.0	2.0	95.0	76.0	0.0	2.0	115.0	0.0	0.0	113.0	1.0	79.0	114.0
