Metabolites,ion,name,feature,coef,coef (abs),cor,pval,fdr
dUDP,387,RIM15,YFL033C,-0.566101661,0.566101661,-0.596615369,0.000805007,0.007245063
gamma-Amino-gamma-cyanobutanoate,127.05,RIM15,YFL033C,-0.531697494,0.531697494,-0.560672654,0.001912889,0.013564122
dUDP,387,TPK1,YJL164C,0.432411796,0.432411796,0.587102502,0.001022176,0.008247906
gamma-Amino-gamma-cyanobutanoate,127.05,CDC5,YMR001C,0.394088928,0.394088928,0.259780462,0.18187257,0.405316012
dUDP,387,CDC5,YMR001C,0.382281408,0.382281408,0.2173255,0.266615241,0.500654865
L-Proline,114.06,CDC5,YMR001C,-0.372310737,0.372310737,-0.318161985,0.098944171,0.269220187
IMP,347.04,RIM15,YFL033C,-0.357891315,0.357891315,-0.695055612,4.05E-05,0.001396653
dUDP,387,TOR1,YJR066W,-0.3500018,0.3500018,-0.105152568,0.594360996,0.728170017
gamma-Amino-gamma-cyanobutanoate,127.05,TPK1,YJL164C,0.33114623,0.33114623,0.499606327,0.006791303,0.031160096
gamma-Amino-gamma-cyanobutanoate,127.05,YAK1,YJL141C,-0.309101751,0.309101751,-0.55306933,0.002269317,0.0149172
L-Proline,114.06,RIM15,YFL033C,0.308798964,0.308798964,0.484985462,0.008902611,0.037200195
dUDP,387,YAK1,YJL141C,-0.288708962,0.288708962,-0.548697131,0.002499099,0.01561307
L-Proline,114.06,TPK1,YJL164C,-0.26588835,0.26588835,-0.583532735,0.001115924,0.00870421
L-Citrulline,174.09,YAK1,YJL141C,-0.250003335,0.250003335,-0.637853427,0.000260771,0.004560327
IMP,347.04,YAK1,YJL141C,-0.226759777,0.226759777,-0.641887666,0.000231503,0.004514305
UDP-N-acetyl-D-galactosamine,606.07,CBK1,YNL161W,-0.223752781,0.223752781,-0.68409976,5.97E-05,0.001396653
gamma-Amino-gamma-cyanobutanoate,127.05,CKA2,YOR061W,-0.223569006,0.223569006,-0.61802007,0.000457309,0.004731612
L-Proline,114.06,TOR1,YJR066W,0.221368588,0.221368588,0.120716207,0.540609519,0.68346069
gamma-Amino-gamma-cyanobutanoate,127.05,TOR1,YJR066W,-0.216860222,0.216860222,-0.04285176,0.828589195,0.901813356
gamma-Amino-gamma-cyanobutanoate,127.05,CKA1,YIL035C,-0.208076054,0.208076054,-0.618353318,0.000453154,0.004731612
gamma-Amino-gamma-cyanobutanoate,127.05,CKB1,YGL019W,-0.198926552,0.198926552,-0.636241031,0.000273352,0.004560327
gamma-Amino-gamma-cyanobutanoate,127.05,CKB2,YOR039W,-0.193737856,0.193737856,-0.63392825,0.000292329,0.004560327
Glycerol 3-phosphate,171.01,TPK1,YJL164C,-0.188526636,0.188526636,-0.678141782,7.32E-05,0.001557686
L-Histidine,154.06,YAK1,YJL141C,-0.177437558,0.177437558,-0.631643116,0.000312208,0.004566041
dUDP,387,CKA2,YOR061W,-0.174563988,0.174563988,-0.590046191,0.0009501,0.007940122
dUDP,387,CKA1,YIL035C,-0.16682614,0.16682614,-0.590607315,0.000936875,0.007940122
L-Proline,114.06,YAK1,YJL141C,0.162150404,0.162150404,0.579281635,0.001237235,0.009339132
dUDP,387,CKB2,YOR039W,-0.154063132,0.154063132,-0.620684163,0.000425006,0.004731612
dUDP,387,CKB1,YGL019W,-0.149994893,0.149994893,-0.623278728,0.000395488,0.004731612
L-Proline,114.06,MPS1,YDL028C,0.13914172,0.13914172,-0.037171579,0.851040956,0.914009151
gamma-Amino-gamma-cyanobutanoate,127.05,CBK1,YNL161W,-0.137149813,0.137149813,0.138838872,0.4810622,0.646904782
L-Proline,114.06,CKB2,YOR039W,0.130794209,0.130794209,0.539442541,0.00305223,0.016232312
N-Acetyl-L-glutamyl 5-phosphate,268.02,RIM15,YFL033C,-0.121959036,0.121959036,-0.548037315,0.002535456,0.01561307
Xanthine,151.03,YAK1,YJL141C,-0.117766125,0.117766125,-0.540636977,0.002975414,0.016191789
L-Asparagine,131.05,CAK1,YFL029C,-0.113232633,0.113232633,-0.261040928,0.179685735,0.404827135
L-Proline,114.06,CLN2,YPL256C,0.110767249,0.110767249,0.008250142,0.966765049,0.979320439
L-Proline,114.06,CKB1,YGL019W,0.108399974,0.108399974,0.541687521,0.002909229,0.016191789
IMP,347.04,CKB1,YGL019W,-0.103059007,0.103059007,-0.717541742,1.73E-05,0.001227883
L-Citrulline,174.09,TOR1,YJR066W,-0.102782745,0.102782745,-0.158110582,0.42164437,0.59436616
L-Asparagine,131.05,YAK1,YJL141C,-0.100443067,0.100443067,-0.491700537,0.007873084,0.033496395
L-Proline,114.06,CBK1,YNL161W,0.098481964,0.098481964,-0.199919736,0.307733743,0.527969656
IMP,347.04,TOR1,YJR066W,-0.09788566,0.09788566,-0.024714458,0.900655755,0.940863602
dUDP,387,CDC28,YBR160W,-0.097436688,0.097436688,-0.018393534,0.925983327,0.955200953
UDP-N-acetyl-D-galactosamine,606.07,PRK1,YIL095W,-0.094252284,0.094252284,-0.53032021,0.003697016,0.019224483
L-Citrulline,174.09,RIM15,YFL033C,-0.093779181,0.093779181,-0.361838076,0.058483775,0.171065041
