	YDL230W	YPL031C	YML057W	YGL180W	YPL236C	YDR523C	YCR091W	YOR061W	YPL179W	YKL198C	YLR113W	YNL032W	YMR216C	YHR076W	YIL095W	YIR026C	YPR054W	YOL100W	YDL047W	YOR233W	YLR362W	YDL214C	YOL113W	YJL165C	YDR477W	YKL116C	YDL006W	YKL101W	YJL128C	YIL042C	YJL187C	YIL035C	YBR274W	YMR139W	YBR028C	YKL168C	YNR032W	YPL150W	YHR030C	YBL056W	YBL009W	YLR433C	YML016C	YOL045W	YGR262C	YGR040W	YBR059C	YHR082C	YPR073C	YGR188C	YKL161C	YGL021W	YIL113W	YLR240W	YOR267C	YLL010C	YJL095W	YDR075W	YDR283C	YLR248W	YPL140C	YPR106W	YBR276C	YNL298W	YGR123C	YNL020C	YBR125C	YOR231W	YDR466W	YGR203W	YAL017W	YCR008W	YOR351C	YDR247W	YKL126W	YKL048C	YER129W	YDL188C	YGL179C	YDL134C	YLR019W	YCR079W	YOL016C	YPR111W	YOR090C	YDL101C	YPL203W	YPL141C	YBL016W	YNL099C	YGL059W	YNL154C	YJL164C	YJR059W	YDR122W	YKL166C	YFR014C	YKL139W	YLR096W	YBR097W	YMR104C	YJL106W	YHR135C	YBL088C	YMR291W	YKL171W	YNL307C	YNR031C	YLL019C	YOR208W	YJR066W	YPL026C	YDL025C	YDL079C	YOL128C
YDL230W	2.657577319177794	-2.337242168318426	2.1023729087095586	-1.3545777306509081			-0.7064164865038832	1.1694113313148558	0.889410289700751	0.31713320433767545		0.5723516288130673	2.2291479883578558	-0.550521600812635	1.6736641390712486			-0.4779471991311775				0.8035474582966109	-2.537602002101044		0.4767739580342989	-0.4845235586176242	-1.1325325121409484		1.0083309926200514	1.5800442515102422	0.32532253212680107	0.7221616669979526		2.136677139879544		-0.4250432242354932	1.6840296545430822	0.7741740085381067	1.812479279163537	-1.575118363368933	1.136677139879544			0.4873156037828364	1.0291883891274822	0.49281902273975914				1.9030899869919435	1.3233063903751334			1.045275209020937				-0.32799455497704816	-1.6882461389442456	1.359518563029578	-0.503485481302255	2.1487416512809245				0.4839937696139523	-0.43497907165470623	1.0851281824599497	0.9965394678904935		1.8761483590329142		0.7622050067260775		-0.3504704340521811	0.8719239873312846	0.9685915357483759		1.3726341434072673		1.9430951486635273	0.8471004036062525	-0.5726762136427527	1.2013493545547311	-1.2069083998234198	0.5528419686577808	1.9956786262173574	0.8440569820281633	-1.4045037781744258				1.080921907623926	-0.6583676642219457		0.9681877286696297				0.7425614331401862		-0.6294869104014075	1.4762535331884354	-0.5135695211455662		0.6280090885350851	0.8613815661005075		1.3269790928711038	0.37851213541936973	-0.33780900914099277	1.853871964321762		-0.44977164694490596	
YNL307C	-1.5157001606532141	-0.7819899570156366	-2.0604807473813813	-0.6948636810563608	-0.2986911147719247	3.6989700043360187	-1.5331323796458904	-1.1951793212788377	0.4110563572599851	1.0390538042661686	-0.5973947580800852	0.6418747147233514	-1.3695721249749762	0.3682519256034306	-0.9411945133240932	-0.7176044952574744	1.0599818449923368	-2.42021640338319	-0.2787666299827225	3.3010299956639813	1.0385789059335517	0.8620132672764684	0.707522406332216	-0.4568014143623533	-0.5882119954561311	0.6888821573374944	0.3026834582676166	-2.0177287669604316	-0.7594507517174003	-4.0	-0.29972906264356314	-0.8830603534492443	-2.886056647693163	-0.7907531512466263	-0.47508485246013316	-0.624885315307775	-1.0447934624580582	1.2494916051486538	0.34794715175189506	-0.46852108295774486	0.5110264752734918	1.191114132640188	-0.5904049806031844	-2.5686362358410126	0.5391021572434522	-0.4901257149952808	1.0109953843014632	1.2932822176632413	1.469800301796918	-0.8551145817128577	-2.0132282657337552	-1.7011469235902934	-0.4101620568525402	-1.0159229660971691	0.4796474959166821	-1.9030899869919435	0.9211808169011513	-1.4788619162959638	-0.7157949322982059	0.4580465255417637	-1.4559319556497243	-0.38436553112258404	2.744727494896694	-2.8239087409443187	2.42021640338319	0.5671909949668318	0.6942188487450177	-1.744727494896694	-3.2218487496163566	-0.46445272082333217	-2.2441251443275085	-0.7994230732451518	1.4461169733561257	0.5534628329263562	0.5238932831598085	-1.5157001606532141	-3.3979400086720375	2.795880017344075	-1.0395292224657011	-0.3788237182249648	-2.214670164989233	0.5764264802672645	0.8085489855351045	-0.7721132953863264	-0.44045244441956566	-1.8041003475907662	-3.154901959985743	0.4775557664936801	0.6867657083052761	-1.6575773191777938	-0.8979094744881633	2.5686362358410126	1.3882766919926581	0.3206629694792061	0.7878123955960422	-2.1487416512809245	-2.275724130399211	0.6813107300522541	0.35664603802313705	-0.49227902331438644	0.8362424760180441	0.7185121120599187	0.8951715963463446	0.7406450726919657	-0.39739747957974353	0.9913998282380825	-4.0	0.4354522882440521	1.0915149811213503	-1.2189630613788682	-0.8218867476853682	-1.0070049015686584	0.4456319990099124	0.5605094096103165	-0.6099485035410127
YDR477W	-1.1029229967905798	0.7907531512466263	-0.6127881996862694	-0.5365549682295722	1.000869458712629	-0.8079904073463299	-0.5840255886234341	-1.7878123955960423	0.582196277360119	1.2572748686953017	-0.7728849174108748	-2.3767507096020997	-0.3525192268263241	0.5058454059815573	0.3653212478213177	-1.3695721249749762	-0.7493360805367565	0.47534428764222286	-0.8178707859470016	-1.2365720064370627	0.39501837039256843	0.6970200632517508	-0.46813805090419064	-1.5243288116755704	-4.0	1.8386319977650252	1.0476919903378747	0.3783045376707212	0.47224124747902807	1.0861861476162833	1.2533658010624211	-0.40660315769979327	-0.3277173752110794	-1.0856568428805593	-1.85078088734462	0.3282719117604419	0.5178413045887236	0.4585455712524111	0.2967946293045137	-0.5907433479610903	0.29627884007298017	-1.4353339357479107	-1.1624115617644888	2.42021640338319	1.7328282715969863	-0.7672579372792632	-1.1232050237992994	0.45879530931674156	-0.6243363860391147	-0.835647144215563	0.3234892897174464	0.9637704559137055	-0.6878226435602214	0.860750782428393	-0.5747919488613437	-0.42980743890427414	-1.0947439512515487	1.0366844886138888	1.1123826996642638	0.6223295606656769	-1.3767507096020994	-0.799696817018415	0.4273607029571867	1.2298847052128983	-1.899629454882437	-0.914709421769935	0.873219422987991	-1.3233063903751334	-0.9850596502070634	-0.7726275577103637	-0.5376020021010439	-0.7256112044496211	0.9649707177976319	1.3381873144627388	-1.8794260687941502	2.853871964321762	-1.193820026016113	-0.6994045161100365	0.7886124470631412	-0.7279262124999901	0.3003356797976267	-1.4814860601221125	-0.37171326891048556	0.5069604116823487	-3.3010299956639813	0.5394028111023985	0.6369524054789065	1.2479515521805615	-0.6422556748196244	-0.3827899054425662	-1.0078885122130503	-2.3010299956639813	-0.42562143558691756	-0.5421181032660077	0.3146165901985126	-1.0222763947111522	0.8178707859470016	-1.7695510786217261	-0.9982662871909994	1.0777937225609837	-1.0840727883028842	0.5948244537820107	-1.1360826230421395	0.2717274021049829	0.6613443344212997	-2.1487416512809245	-0.3998987443086093	-0.7366006686659977	-0.6196078399429726	-0.35516767117436376	-1.142064735280571	-0.3796557002455067	-0.4183916339679425	-0.9434762759208997	0.9090369234042683
YFL029C						-0.5730010412434628					1.790484985457369					0.7269987279362623			-0.31605286924848786				0.6516951369518393					0.4606729364606249					-0.44977164694490596	-0.6726410656136697								-0.6110112148752859			-0.6567884098202526				0.7827793443554812															0.4024144982477954		-0.4643261965742499		-0.3165927008679051				-0.46054750845053916						-0.3626103498707881					1.3645162531850878	0.6505282007856144						-0.4383024673460066	-0.437231456983481						0.4097155962818381									-0.3311483519174812					0.41375036113395813	-0.672436739812722			
YNL161W			-0.31024730386084337	-0.4977094720852271	0.3769575657536184	0.45247142354021785	0.3349821745875274	0.42701229180179495			0.7423214251308154	0.38541913300251396		0.8817352739105206		0.3535962737769304		0.32376378323668853	-0.6811022853725132		0.9248181453813084		-0.45075144314594406	0.5144205230153214	0.7780644001719947	-0.43901794441376457	-0.7316560860489353	0.47005659834133073	0.6886700476962069	0.7627076624325413	-0.7754669373939143	0.5725138909042145	1.1965428843515862	0.30900696790013055	0.41184038361690795	-0.40022606085361173				0.6859220082207871		-0.3790315643557102		0.8049310035314099	0.5630426693305504	0.8300318260031075	-0.5606673061697374		-0.29430730346229655	-0.8754957751657177	0.7070797003999938		0.6691805335041632	1.3635121036466347		-0.43901794441376457			0.4581712332186876	0.6313412876077731	-0.7126462272852535		-0.5567370125413049	0.6542343068855118		0.4068247365218974	-0.9186526921958675	-0.4286406072461604		0.5356595153723327	0.3459197646934294	0.39126008093121206		0.3382819423053407		0.5605094096103165	0.45580788923496734	-1.1797985405143596	1.295849483160201	0.6577747706392096	-0.33677036546713224	-0.5212892444872407	-0.770830297460899	0.5616158929652859	0.48704892002750944	-1.083546051450075		0.916139199133427	-0.9961088337630895	0.3876400520322256	-0.40406309373082644			-0.3460160926259311	0.5998075114074239	0.6223295606656769	0.5620909644605016		-1.2676062401770316	1.1817741063860445	-0.7203330559515444	0.2609817541165191		0.3339502615194841	0.5453075507605232	-0.35793137265849595	0.9867413347164835	0.30513167201754393	0.5062631977231602		-0.3813244611148602	-0.6318991482906486	-0.3841551171252979	-0.7368375350377834	-0.4127381503074658
YML057W	0.3604139133265736	-0.47301493144000434	4.0	-2.0604807473813813	0.8591778198906894	-1.2684112348132612	-0.5231683714877393	0.44757515429591455	0.34707711243205813	-0.845576026885353	0.8341623753098718	0.5519123333076589	0.6020599913279624	0.3585258894959005	0.6024075659618833	-0.4299242946783959	-0.44045244441956566	0.5273898024039554	-1.3726341434072673	-0.7288556820509217	0.8706324042770144	0.5702477199975919	-1.6270879970298935	-0.4264322269607814	1.154901959985743	-0.7812020018882624	0.36865771351606724	-0.7785857621576613	1.4156687756324693	2.2006594505464183	0.5080782874138492	0.8265223565470055	-0.7667499904588997	1.0	2.309803919971486	0.6466609046886953	0.5147045612739112	-0.3543812617573049	1.4841261562883208	0.5826944167554745	0.48004081924793157	1.4365189146055892	0.906578314837765	1.3391345219961308	0.3921162556430101	1.4710832997223453	-0.4411714751829884	-1.4473317838878068	-0.7196493069539943	0.5927791070726035	0.8359447081065484	0.848017604542526	2.1426675035687315	1.3798639450262424	0.95233580539844	0.8890737577335797	0.7574585717016158	0.508778423760717	-0.4128505017456563	0.9259153109717562	1.324221658325915	0.9419537696047182		1.9625735020593764	-0.30137757029790213	0.9698052146432488	-1.9208187539523751	1.3160528692484879	1.5199930570428493	-0.9055288713583552	4.0	0.8777841217271733	0.9175736991392281	-0.8664610916297825	-0.610656688747922	1.2676062401770316	1.5316526695878427	0.7833064008302456	1.2700257143004443	-0.8738685927380155	1.9281179926938745	1.1012748184105066	-1.4100503986742923	-0.7988761027926204	-0.7624562618571255	-0.6151092034694459	1.4814860601221125	1.7746907182741372	-0.7547341605425387	0.5775743236287955	1.4841261562883208	-1.0644927341752872	0.7007106659123201	0.9411945133240932	2.958607314841775	-0.4071573168688998	-0.42308304403479297	-0.43203309317684574	1.9430951486635273	0.7323590176540845	-1.424812155072339	0.26672246606741823		0.8096683018297085	-0.7972393126068	-0.39512622944736425	1.341035157335565	-0.36001575195841146	0.4983930775811706	-0.44081181099522454	-0.3053948010664313	2.4436974992327127	0.5718652059712112	0.4089353929735008	0.9965394678904935
YLL010C			1.4814860601221125	-0.30847647783184556	-1.8601209135987635		-0.5389519083293421	1.5654310959658013	0.4144264813772689	-0.5210008683266428	0.4099387691962575	0.519418213170831	-0.45580788923496734	0.5547072305740282				0.4296906145641202	1.0506099933550872	-0.9006647223140423	0.5539290642989949		-0.30838812578558356	1.486782399932061	-0.4513649401852484	-2.958607314841775	0.3598168080786599	0.37757872602432974	0.33620487778059244		0.36511985923347373			0.33780900914099277	0.3276250212539205	-0.4486720119961541			-0.607830850510264	-0.34707711243205813	-0.39083262569798016	-0.36663255488299307	-0.4189610512278328		0.6027554189896136		-2.154901959985743		-0.5409092103994136	0.4243503852447807	2.677780705266081		0.4037328736044847		0.4103854593687336	4.0		0.8386319977650252	0.5565805382171827	-0.4031830640844095	-0.30557030904291693	-0.32458830628513663		-0.620694482249418	-0.7862167006646958		-0.6963720236161103	0.8474059220725303	0.3314277308154421	1.0433514207947967	1.2426039712069759	-0.4402130317994435	-0.4568014143623533	-0.3382819423053407	-0.5720272863917911	0.41341269532824504	0.7130946470276252	-0.3571399474155085	1.9746941347352298	1.9871627752948278	-0.3619102780154943	0.6217838502501221	0.4559319556497244		1.0078885122130503			-0.45062884766682276	-0.3229408226078385		0.7662426370344895	-0.3395139842150322			2.5850266520291822		-0.4242350194632806	-0.8857227034384137	-0.9457700901366027			-0.39243775681641174		0.5191310763128322				0.7013652168755644	1.2765443279648143		1.1611509092627446	1.8632794328435933	0.9867413347164835		1.9208187539523751
YPL153C		1.234331445240986		0.3457271729022895	0.978810700930062	1.2006594505464183	-0.535212480354063		0.8344589232776269		1.6252516539898962	0.48784946307796945	0.9918258159935736		-0.6345120151091003	0.8914349762671656		-1.170053304058364	-0.6305985863033756	0.368556230986828	-0.3177646430974358			0.6695862266508091		0.6156465858624938	-0.30530707366851595	-0.30803489723263966	-1.1209041204999273		-0.6726410656136697		-0.8985966494446692	0.6691805335041632		1.1924649719311469			0.7466619946738936	0.32139058344107385	0.85294232897164				-0.7321245806811024		0.5639964643301035	0.33941908757270045	1.0609802235513335	0.6217838502501221	-1.3535962737769305	0.4882502886550172	0.5578339142152798	0.6861327796308466	1.2403321553103694	-1.0851281824599497		-0.8392314381388719	0.5926090955292684	0.5600360640790951	0.3332948638801011	1.4365189146055892			-0.34746358140697464		0.5984271543235541	-0.3789276288563741		0.6111885865264765		0.5326879370194478	0.5195618528221829	-0.5070999888912966	0.4758636234074315	0.8332739444199482			-1.493494967595128	0.6004993386853894	0.8074325466634543		2.3767507096020997		-1.2403321553103694	0.7420815496859415	-0.5710557099644256	-0.5696024086130332	-0.7958800173440752	0.8294449414787914		0.38426031138084504	0.8362424760180441	-0.6345120151091003	-0.31930197030236496	0.6955094722265123	-0.7337683033101068	0.5738141747554887	1.3726341434072673	0.48306819113198723	-0.34794715175189506	-0.4779471991311775	0.35723879673467956	0.3489159107569886	-0.8748441704194698		0.6788159726976859	0.7478754474943557			-0.8218867476853682		0.6888821573374944	-0.31930197030236496	0.546375926408549
YPL042C	-0.36602684421032644	0.9122185821904576	-0.9374180157718369		-0.5128616245228135	-0.8728952016351923	-0.4983930775811706	-0.4374692311377386	0.47044132697883684	-0.3715088950328772	0.5696024086130332	0.6869768896767618		1.0925886392254138	0.3130957304318226	-1.5316526695878427	-0.5578339142152798			-0.9281179926938746		-0.7033348097384688	-0.550521600812635	-0.9069286936239366	-0.36997914888659006	2.0177287669604316		-0.7337683033101068		-1.0731432910503076		-0.3939412505896856	-0.5223000716678692	-1.4168012260313771	0.33667606637178765	-0.648783654660658	-0.7721132953863264		0.41184038361690795	-0.3574365628956122	0.4250432242354932	-0.34901290561655496		-0.5082182244158342	-0.31785492362616824	-0.7260732198994744	0.4530873568187575	-1.1804560644581312	-0.8449677712090298	-0.6185239097249701	-1.2232988160115892	-0.6503340159033703	0.32661042181169503	-0.5652714582202423	0.6829818989518885	-0.6176226965318863	-1.0996328713435297	0.7587026128900068	0.3238553196437938	0.42887372291568837	0.6416843599178041	-1.0141246426916064	0.5094796906366512	0.320390428220244	-1.6968039425795112	-1.2097148359667584	-1.5528419686577808	-1.4156687756324693	-0.8725712221484011	0.5368538632736505	-1.068542129310995		-0.31524437789137605		-2.4559319556497243	-0.8572977542623844		-0.4073791786780176	-1.2765443279648143	-1.9625735020593764	-0.5909126305521649	-1.424812155072339	-0.6439741428068773	0.5605094096103165	0.4917396944876655	1.3142582613977363	0.48664920119404304	1.826813731587726	-1.368556230986828	-0.7198771036976924		-1.0204516252959048	-0.6131444708152757	-0.6761293934594911	-0.33040421897568667		-0.4623068056326093	-2.1804560644581312	0.3276250212539205	-0.4663550212012372	-0.40384291908382763	-1.6478174818886375	-0.47560387789615804	-0.7335331045597586	-0.9892761346082269	-0.3395139842150322	0.8887374863409346	-0.48758245139916	-0.4500163888403112	0.32642620357694846	0.7607005208731075	-0.6062493596519196		0.6362000545208907	-0.9336740746379621
YJL128C		-0.6375175252488255		0.35605408725193327	0.412401270278755		-1.1062382379420566	0.45013881152805724	1.3353580244438745	1.134896025358872	-1.6179829574251317	-0.41702807089519406	-0.7617029321246062			0.7986028756795485		0.6133227160391622		1.899629454882437	0.83209218999852	1.1958605676646494	2.0757207139381184	0.6740740442285338	0.4042833800565756		-0.9901243662878398		-4.0	1.1555228242543185	0.6365760670828237			-0.8754957751657177		0.7549811292622469				0.9461535731477474		0.5218665718994825			0.47860037188462434		0.5359577945611892			0.5523769022397139	-1.4762535331884354		0.4272445348457804	1.473660722610156		-0.8722474841670267			0.874518734299406	-1.39577394691553	1.1706962271689751	1.5128616245228135		0.9685915357483759	1.8386319977650252		-0.31398970868471443						-0.49390104007155955	0.35822852934604077	-0.32084475871664614	-0.7304870557820837	-1.332547047110046	0.7300203233546761	-1.5934598195660448	0.9503943874050268	-1.5199930570428493		1.320572103387881			0.3822659646359821		1.490797477668897				1.978810700930062	2.2365720064370627		0.9143527117031435	1.198596289982645	0.7549811292622469		1.294992040666664	0.43521561549601323		-1.0177287669604316		-1.1830961606243398	0.846185135655471					2.2596373105057563				0.6560009309428387	0.8867253075356496
