source	target
YLR197W	C00294
YGL099W	C00105
YHR143W-A	C00064
YML068W	C00105
YKL089W	C01243
YOR136W	C00158
YPL040C	C00064
YOR310C	C00073
YOR087W	C01243
YBR149W	C00117
YJR109C	C00064
YDR058C	C00712
YER053C	C00117
YLR158C	C00624
YGR248W	C00041
YDR091C	C00141
YNL220W	C00064
YGR248W	C00279
YOR361C	C00141
YNL274C	C00041
YFL030W	C00149
YOL052C-A	C00163
YEL039C	C00117
YOR272W	C00078
YER086W	C02123
YDL215C	C00354
YFR023W	C00033
YGR267C	C04895
YDL045C	C00019
YOR061W	C00051
YDR214W	C00064
YNL135C	C00049
YMR150C	C00022
YDR454C	C00705
YMR296C	C00078
YGL205W	C01530
YOR294W	C00019
YJL117W	C00085
YJL062W	C01530
YOR175C	C01233
YDR127W	C00279
YBL005W	C00051
YNL313C	C00106
YGR183C	C00184
YPR156C	C00051
YCL030C	C04666
YER055C	C00135
YNL195C	C00041
YEL021W	C00029
YKL103C	C00546
YML056C	C00078
YLL045C	C00279
YNL004W	C00019
YOL086C	C00111
YEL011W	C00031
YGR008C	C00117
YMR310C	C00262
YOR221C	C00712
YOR128C	C03090
YHR137W	C00141
YGR185C	C00037
YGR252W	C00019
YDR216W	C00637
YIL022W	C00158
YBL024W	C00105
YOR271C	C00078
YJL130C	C00037
YKL216W	C00064
YER177W	C04734
YDL090C	C00043
YAL059W	C00064
YNL031C	C00064
YDL021W	C00197
YPL240C	C00049
YNL200C	C00163
YHR190W	C00019
YAL017W	C00117
YOR207C	C00081
YPL222W	C00037
YML128C	C00089
YKR027W	C02165
YPR137W	C00106
YGL048C	C00049
YNL103W	C00008
YHR037W	C00669
YLR303W	C01102
YLR093C	C00008
YGL120C	C00019
YIR032C	C00689
YMR215W	C01530
YJR135W-A	C00417
YKL203C	C00354
YBL099W	C00022
YKL091C	C00022
YDR070C	C00089
YIL111W	C00184
YJL161W	C00295
YDR428C	C00632
YJL130C	C00049
YGL171W	C00105
YGL071W	C00051
YNL201C	C01243
YDR399W	C00064
YGR214W	C00064
YGR180C	C00081
YER086W	C01102
YGR010W	C00262
YIR034C	C03406
YER054C	C00279
YPL091W	C00002
YNR003C	C00705
YNR054C	C00294
YJL071W	C03406
YGR088W	C04895
Q0130	C00158
YGR256W	C00079
YDR449C	C00019
YDL078C	C00022
YDR441C	C00294
YMR108W	C02631
YJL010C	C00262
YKR059W	C00689
YEL039C	C00184
YCL035C	C00008
YNL151C	C00022
YOR241W	C00073
YCR053W	C00022
YDL080C	C00041
YLR157C	C01353
YER056C	C00262
YMR205C	C00111
YDL201W	C00008
YGR192C	C00033
YMR083W	C00051
YKL180W	C00064
YMR088C	C00047
YGR175C	C15808
YLR039C	C01353
YNL239W	C00029
YBR109C	C01103
YOR370C	C00022
YOL066C	C00106
Q0045	C00042
YJL168C	C00042
YOL077C	C00105
YDL101C	C00705
YLL018C	C00123
YIL104C	C00033
YDL020C	C00085
YHR128W	C00078
YGR254W	C00279
YFL014W	C00117
YDR050C	C00022
YDR454C	C00096
YDR510W	C00449
YGR067C	C00122
YBL015W	C00037
YMR272C	C00319
YHR087W	C00041
YHR089C	C00019
YLR411W	C00689
YKL004W	C01530
YFR030W	C00109
YPL148C	C01530
YDL140C	C04895
YML004C	C00546
YLR180W	C00944
YHL032C	C00093
YLR299W	C00037
YPR035W	C00127
YJL166W	C00022
YPL223C	C05382
YNR056C	C01530
YPR184W	C00279
YOR207C	C00074
YMR271C	C00337
YGL062W	C00049
YIR008C	C00022
YJR148W	C00246
YDR353W	C00002
YDL022W	C00093
YKL216W	C01103
YLR218C	C00022
YPR010C	C00123
YIR037W	C00051
YLR409C	C00064
YLL026W	C00031
YKL085W	C00062
YKL089W	C00019
YBR249C	C00944
YOR079C	C00008
YGL245W	C00073
YKL109W	C00093
YDR226W	C00022
YOR207C	C00705
YGR184C	C03564
YBL076C	C00079
YDR101C	C00262
YOR063W	C00064
YDL215C	C00109
YKL081W	C00079
YBR217W	C00111
YBL045C	C00022
YDR017C	C01243
YGR204W	C00064
YPL211W	C00141
YLR342W	C00712
YFL030W	C00022
YGR214W	C00279
YDR127W	C01353
YOL126C	C00122
YDR300C	C00077
YDR121W	C00022
YGL115W	C01353
YNL298W	C00033
YCR010C	C00637
YHR106W	C00705
YLR413W	C01530
YCR012W	C00022
YOL059W	C00246
YOR210W	C00705
YLR252W	C00117
YLR178C	C00163
YBR182C	C00116
YGR043C	C00279
YNL216W	C00705
YDL102W	C04895
YDR091C	C00135
YGR202C	C00085
YER036C	C00712
YFR053C	C00163
YDR148C	C00073
YKL021C	C00105
YER065C	C00725
YPL004C	C01353
YNL178W	C00081
YNL031C	C00637
YIL091C	C00019
Q0105	C00184
YBR041W	C00019
YNL027W	C00043
YEL047C	C00111
YML100W	C00093
YLR377C	C00322
YGR240C	C00279
YIL033C	C00089
YER073W	C02123
YKR007W	C00077
YIR034C	C04895
YGR103W	C00073
YER069W	C00077
YDL060W	C00135
YNR034W	C04677
YOR136W	C04677
YGR264C	C00106
YLR330W	C02165
YGL037C	C00022
YOR272W	C00064
YPL003W	C00111
YDR062W	C00078
YBR147W	C04546
YAL048C	C00294
YDL080C	C00279
YKR080W	C04734
YJR006W	C00705
YDR234W	C01801
YHR139C	C00279
YDR421W	C01103
YOR341W	C00081
YPR060C	C00079
YIR037W	C00064
YMR297W	C01103
YLR058C	C03090
YDL182W	C00047
YJL148W	C00262
YHR208W	C02631
YJR025C	C00117
YNL061W	C00019
YDR028C	C00031
YIL136W	C00684
YMR061W	C00029
YMR049C	C00135
YDR299W	C00064
YAL060W	C00637
YNL233W	C00043
YNL030W	C00135
YIL116W	C00078
YKL150W	C00121
YOR324C	C04666
YLR175W	C00079
YDR023W	C00135
YKR097W	C05382
YKR009C	C00093
YLL039C	C00684
YML070W	C00093
YDR299W	C00106
YNL220W	C00637
YKR069W	C00008
YLR316C	C00299
YMR176W	C00064
YOR168W	C00073
YER025W	C00148
YPR033C	C00078
YIL038C	C00141
YKL026C	C00037
YBR139W	C00546
YIR034C	C00449
YKL060C	C00074
YFR055W	C00669
YFL048C	C00093
YGL029W	C00019
YDL066W	C03406
Q0105	C00022
YHL012W	C00117
YBR263W	C00051
YBL082C	C00096
YBR049C	C03090
YGR010W	C00042
YBR256C	C02123
YGR194C	C00089
YLR134W	C00197
YER069W	C00047
YBR214W	C00116
YER049W	C00262
YNR017W	C00158
YHR020W	C00183
YLR044C	C00042
YLR222C	C00262
YNL061W	C00262
YKL104C	C00062
YDR324C	C00019
YHR020W	C00279
YIR037W	C00037
YMR105C	C00089
YNL112W	C00078
YLR174W	C00417
YNL016W	C01353
YKR009C	C00042
YPR119W	C00354
YMR056C	C00037
YMR169C	C00637
YGL195W	C00712
YGL171W	C00262
YMR107W	C05382
YKL081W	C00047
YOR260W	C00049
YLR354C	C00031
YOR317W	C00712
YOL012C	C00705
YLR303W	C00111
YOR251C	C00049
YBR020W	C00029
YIL125W	C00417
YFR015C	C00074
YNL209W	C00489
YHR170W	C00105
YJR105W	C00122
YPR001W	C00417
YLR231C	C00031
YGL234W	C00064
YGL099W	C00106
YOR347C	C00081
YJL130C	C03406
YHR008C	C00051
YLR113W	C00116
YDR216W	C00089
YOR039W	C00051
YER073W	C00246
YDL042C	C00019
