kinase	YAL017W	YAR019C	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR160W	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL028C	YDL047W	YDL079C	YDL101C	YDL108W	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YHR135C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL161W	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR119C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL042C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL204W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W	YPR161C
YAL009W			4.0	4.0	-0.5762627500176709	-0.6044988756943741	4.0	4.0	-0.6767478998283128	-0.5603515704365263			-0.6728454875905685	-0.37996810487370264		-0.38310457359924005		4.0	4.0	4.0	-0.8161609629435788	-0.7456936676687144		-0.4446636720047332	-0.38880793913156575	-0.5970511706555952	4.0	4.0	-0.8085489855351045		4.0	4.0	4.0		-0.3370533856673754	4.0		4.0	-0.6228759576535439	-0.4743074754949891		4.0	-0.40904676481201424	-0.42446578168013566	-0.42067379624474494	4.0			-0.7263044120699079		-0.8085489855351045	-0.37427609047424415	4.0	4.0		-0.501965276312973	-0.5931193299508754	4.0	-0.5972229303896526	4.0	4.0				4.0	-0.801068130067791		-0.6876110506294081	-0.4335625078049297	4.0	4.0	-0.5807052782465395	-0.669789215428472	-0.32458830628513663	-0.3081231774406687	-0.7991495019089225	-0.9601894458516497	-0.42899032769069495	4.0	4.0		4.0		4.0	-0.3523236867591291	-0.48771593671814645	4.0	-0.38216125228299663	4.0	4.0	4.0		-0.8458804744841533	-0.6890943706238586	-0.5953372991262778		-0.41725503430872296		-0.7260732198994744	-0.4281747509591709		-0.49825627037200554		4.0	4.0	4.0	4.0	4.0	4.0		-0.4985299278995877	4.0	-0.5511391543925592	4.0	4.0	-0.6067758836387027	4.0		4.0	4.0		-0.4093810517934221		
YAL017W	-2.3279021420642825		-0.6122543403911364	4.0	4.0	-0.4625587165920524	4.0	-0.33535802444387447	-0.4008814349446372	4.0		-0.9273825234547635	-0.9681877286696297	-1.9244530386074692	-0.9457700901366027	-1.8632794328435933	4.0	-0.7293211638552936	-0.544089759617257	-0.6918626213619614	4.0			-0.5502131530142267	-0.7947956360518553	-0.5446982283429236	4.0	-1.0195421077239	4.0	-0.6345120151091003	4.0	-0.8693446509779694	-0.9661743060466896	4.0	-0.8407336689065058	-0.9582126810282482	-0.5816987086802545	-1.3142582613977363	-1.1372724716820253	-1.4100503986742923		4.0	-0.5547072305740282			-1.4168012260313771	4.0		-1.30189945437661	-0.6111885865264765	-1.1944991418415998	-1.3353580244438745	-0.5215778122599194	-0.8215986584662448	4.0	-1.0594835150674329	4.0	-0.43640027111846896		4.0		-0.5104633705179047	4.0	-0.3687592197644908	-1.2013493545547311	-0.8265223565470055	4.0	-1.8096683018297086	-1.012780770091995		-0.9507819773298184	-0.34862505608695676	4.0	-0.8941493256148565		-1.3196644865854368	4.0	-0.5855280503706973	4.0	4.0	-0.4847886956721981	4.0	-0.870310107800699	4.0	-0.9273825234547635	-1.3979400086720375	-0.6863436533819687	-0.82623117686335	-1.4023048140744876	-0.3808022842070527	4.0	-0.33086915262666744	-0.5927791070726035			-0.3064489144040865	-0.6274561992409297	-1.1778319206319825	-1.0366844886138888	-0.3578323655950549	-1.5421181032660076	-0.5367043900379972	4.0	-0.4891869894875039	4.0	-0.6449317936511493	4.0	4.0	4.0	-0.40815658877521555	4.0	-0.708187312532881	4.0	4.0	-0.6205131862827262	-1.6197887582883939	-0.7002748460243631	-0.37623399986606904	-0.9453869454431122	-0.5888855814490953	4.0	-2.309803919971486		4.0
YBL016W	4.0	-0.3893398369101201		-2.744727494896694	-0.5529971015338376	-0.3571399474155085	4.0		4.0	-0.3435184842095014	-0.44081181099522454	4.0	-0.5749551254486112	4.0	4.0	4.0	4.0	4.0	-0.3684547721656906	4.0	4.0	4.0		-0.34390179798716813	4.0	4.0			-0.6511112769285621	4.0	-0.40219515759570706	4.0	4.0	-0.7144426909922262	4.0	4.0	-0.756218083906205	4.0	-0.4263163069062021	-0.43675629885960193	4.0		-0.8105096863006325	4.0	-0.319483190618745		4.0	-1.449771646944906	4.0	-0.7237680420781664	4.0		4.0	4.0		4.0	-1.115204636051019		-0.38310457359924005	4.0	4.0	-0.9558523791212772	4.0		4.0	4.0		-0.36421476446634826	4.0	-0.33105526554226616	4.0	4.0	-0.801068130067791	4.0	-0.6595558851598816	-0.4070464284521341		4.0	4.0	4.0	4.0	4.0	4.0	4.0	-0.340654364253823	-0.6122543403911364	4.0	4.0		4.0		4.0	4.0	-0.3658251282373999	4.0	4.0	4.0	4.0	4.0	-1.9469215565165803	4.0	4.0	4.0	-0.7442452133569558	-0.7198771036976924	4.0		-0.6348865683724227	4.0	4.0	-2.657577319177794	-0.7242280998350686	4.0	4.0	4.0		4.0	4.0		-1.8860566476931633	4.0		-0.5380515047962382	-1.1243600629958317
YBL056W																										-0.46117501106209624										4.0							4.0																										4.0																	-0.7557228791981572	4.0						4.0																															
YBL088C	0.6567884098202526	0.4094925379914167	4.0	4.0	-1.7258421507363202	-0.43497907165470623	0.8303255659411931		4.0	0.29998893767788765	0.4037328736044847	-1.5361070110140926	1.0757207139381184	0.7964232250220274	1.8794260687941502	0.25743196563385806	-0.6371406970413198	1.368556230986828	-0.5257837359237448	4.0	-0.4841261562883209	4.0		0.39599006758776967	1.5391021572434522	1.1830961606243398	1.175874166083451	0.3885953622884065	4.0	-0.5982549177629373	4.0	-0.49921482708254405	0.5030703519267851	1.2479515521805615	-1.1360826230421395	-0.5726762136427527	0.297224922098956	1.4596705252091262	-0.41386297476920686	-0.7481185454474724	0.5134278494816437	4.0	0.6237881497173272	-1.0846001647877301	0.4829361265173453		4.0	-0.6281935414925841	1.1561445773768388	0.8195873671616762	-0.5294425147827259	-1.080921907623926	-0.3478503945983471	1.2724587429714436	4.0	0.637329070274333	-0.5936301645307325	4.0	4.0	-0.6505282007856144	0.5946536398242911	0.37499639898513654	-0.7572101905213234	0.606073993414163	1.6020599913279623	-0.6006724678413211	4.0	-0.5880437620695985	0.5525318690502442	4.0	0.7340036295049208	0.83209218999852	0.4191890273390538	-0.49689056332863074	0.37263414340726736	4.0	0.4505062867849869	0.5762627500176709	0.6581699430794897	-1.3925449767853315	0.7283906986211679	4.0	1.7144426909922261	4.0	0.935916564036404	0.7964232250220274	-0.3446694419906591	0.6788159726976859	0.5240384108075762	4.0		4.0	-1.630784142589857	1.0433514207947967	-0.9531148091622899	4.0	4.0	0.5654310959658012	0.4435768786287147	-0.3436142809413122	4.0	-0.43250310889577737	1.3269790928711038		1.9706162223147903	0.4498940006524072	4.0	0.5282683485199489	0.9718355805755301	-0.8350526273781583	1.7986028756795485	1.8068754016455384	-0.3823707022421579	1.7825160557860937	1.6478174818886375			4.0	-1.202040356262804	1.0172766123314547	-0.30050915472779555	4.0	-1.212539525481585	0.49661793652626735
YBR028C							-2.853871964321762														4.0	4.0																																																											4.0													4.0												4.0					-0.35056777675838335						4.0							
YBR059C			4.0			4.0			4.0	-0.9714287473074623			-2.309803919971486		4.0	4.0	-1.9956786262173574				-0.32901239698996576	-0.7864822430036951						-0.7532552902761587										4.0		-0.5855280503706973	4.0		4.0		-0.3578323655950549	4.0			4.0			4.0				4.0	-1.9281179926938745	4.0					-0.3343252190061066												4.0			4.0	4.0					-0.5939710550363849										-0.6933605589757383		-0.481881052856847		-1.4341521813264824					-1.8761483590329142		-0.6365760670828237										-0.47521455067877766	4.0	4.0		4.0	-0.33847125986801746		4.0		
YBR097W				4.0					-1.8153085691824011			-0.3658251282373999					-1.0209070993616736		4.0		-0.41850545770910075	4.0		-0.8807441107220634		-0.5489815478445427	-1.6575773191777938			-0.5520671344078197	-0.6256183019491178			-1.0936649581949094	4.0	-0.6362000545208907	-0.6363880201078557				-1.9746941347352298	-1.6363880201078558	-1.1343039400839294				-0.3000755972575233			-0.42712839779951983			-0.3144373888417702			-0.959397659885927							4.0		-0.5106040782728706	-1.645891560852599	-0.9948194874962197											-2.1079053973095196	-1.2700257143004443	-2.537602002101044				-1.2027324591692836			-1.133712660915805			-1.7772835288524167				4.0		-1.1752235375244544		4.0									-1.3746875490383261		4.0		4.0	-1.4989407377822486			-0.39243775681641174			4.0			-0.6834006979061391			
YBR125C			4.0	-0.8038238149600268	-0.3234892897174464	4.0		-1.024568191490737	4.0		4.0	4.0		4.0		4.0				-0.49498575991589294	-0.46711828059260274	4.0	4.0	4.0					-0.4770344045080135		-0.45062884766682276	4.0		4.0	4.0	-0.37120251443328983			4.0	4.0		4.0	4.0				4.0	4.0		4.0	4.0	-0.4400933749638875	-0.40011692792631215				-0.3383765907707699		4.0						4.0	-0.4538276316830574	-0.7070797003999938	4.0			4.0		4.0	4.0		-1.0061230850587888	-0.870310107800699	4.0		4.0		4.0			4.0		-0.5562677585984033	4.0	4.0	4.0	-0.38827669199265824		-1.0177287669604316		4.0		-0.5540845860488766		-1.2596373105057561	-0.4602967610521745	4.0	4.0			-0.4779471991311775		-0.41487781369318455		4.0		4.0	-0.380176499542722	4.0	-0.5212892444872407				-0.41262582792693453	4.0		4.0			
YBR136W	0.6367641955163061	0.40439356513439695	4.0	4.0	-1.7695510786217261	-0.44721014980721807	0.8113527040002826		4.0	0.2950777087765982	0.41499072009753896	-1.5346171485515816	1.1243600629958317	0.7988761027926204	1.832682665251824	0.2588484011482149	-0.645891560852599	1.4045037781744258	-0.5319482085457623	4.0	-0.4924139602369893	3.6989700043360187		0.39599006758776967	1.5543957967264024	1.191114132640188	1.1481303992702336	0.3895527785578788	4.0	-0.5738141747554887	4.0	-0.5008630054626173	0.5178413045887236	1.2111248842245832	-1.1174754620451195	-0.5887170869826158	0.28937498493920316	1.4710832997223453	-0.412401270278755	-0.7464197104378172	0.5064025509994732	4.0	0.6221475809932454	-1.0376306643299789	0.4825401734597678		4.0	-0.6190655366692981	1.1791420105603	0.8150248093017389	-0.5241835869686818	-1.0969100130080565	-0.3478503945983471	1.3477536589966768	4.0	0.6307841425898572	-0.5897290357478155	4.0	4.0	-0.648783654660658	0.5774101601485179	0.3631110930162008	-0.769295686387431	0.611721136540361	1.5917600346881504	-0.5900668766687055	4.0	-0.5828605902726745	0.557990840859048	4.0	0.7073009969560703	0.83209218999852	0.42067379624474494	-0.4825401734597678	0.35773338109732644	4.0	0.45075144314594406	0.579384229374235	0.6470460882899123	-1.3872161432802645	0.7260732198994744	4.0	1.7033348097384688	4.0	0.9190129530891128	0.7817271464285525	-0.33695902510602577	0.6890943706238586	0.5341711846425635	4.0		4.0	-1.6478174818886375	1.0644927341752872	-0.9698052146432488	4.0	4.0	0.5670307091255943	0.4315635855831147	-0.33941908757270045	4.0	-0.431211787684653	1.3458234581220394		1.9469215565165803	0.4464810598510304	4.0	0.5295895090240693	0.9550684538508399	-0.8452717925598444	1.7328282715969863	1.749579997691106	-0.3902988976206005	1.7772835288524167	1.6055483191737838			4.0	-1.1681302257194983	1.0199966284162536	-0.3018994543766101	4.0	-1.1979107421182673	0.4924139602369893
