	N_downshift_15min	N_downshift_25min	N_downshift_44min	N_downshift_5min	N_downshift_79min	N_downshift_9min	N_upshift_15min	N_upshift_25min	N_upshift_44min	N_upshift_5min	N_upshift_79min	N_upshift_9min	Rapamycin_15min	Rapamycin_25min	Rapamycin_44min	Rapamycin_5min	Rapamycin_79min	Rapamycin_9min
YBL005W	0.273529799894	0.341258866096	0.296200602671	0.307663696539	0.298683514798	0.255874350264	-0.512475581474	-0.362321628438	-0.508715107705	-0.603419187215	-0.701637526923	-0.713200559511	0.312247774433	0.332589920724	0.213835926397	0.327495864547	0.156007093518	0.286382181386
YBL021C	0.0649174567326	0.0748808234152	0.063893090702	0.0206846385473	0.0333788736896	0.0305023233105	-0.0410793551223	-0.268222879926	-0.325838372859	-0.193270651959	-0.315704009106	-0.114585158054	0.232344861656	0.205691148395	0.17294077677	0.104820973041	0.12834835258	0.126297108188
YBL103C	-0.160380295279	-0.165064111338	-0.196995292104	-0.125842115738	-0.20335338754	-0.174367071247	0.185256715277	0.0013945177501	-0.0540868628135	0.276759676335	-0.0483875225843	0.27244291246	0.132197485476	0.167632094831	0.152443477612	-0.0706736396646	0.0824489163234	-0.0714254977574
YBR049C	0.01818400618	-0.0279074210701	-0.040786497711	0.0498089701402	-0.0352451093452	0.0449427504746	0.02401102917	-0.0223493829674	-0.00554082471296	0.00696303137593	0.0183728244402	0.0605666244253	0.0328132606106	-0.00259387520857	-0.00699232621105	-0.0876658310197	-0.0285225288647	0.0019413002939
YBR083W	0.146224834038	0.0580793686936	0.100167334812	0.229479322434	0.135829196175	0.214029668759	-0.218509730273	-0.203749837622	-0.275934973179	-0.207234185813	-0.291868992661	-0.231390076574	0.136521999921	0.0138756485396	0.0751379208647	0.049895047889	0.120484417134	0.148963036863
YBR182C	-0.127606375252	0.259529617812	0.490626174774	-0.543647126249	0.617030766804	-0.352882181897	-0.347801958392	-0.172776646784	-0.200855202875	-1.24647742289	0.0959055403433	-1.15990254914	0.587997045867	0.0322650309659	0.129603798247	0.57489560377	0.607615085953	0.756480798941
YBR240C	0.185199455337	0.219486907563	0.132814905574	0.119278829317	0.0604248629998	0.181812425113	-0.337673168816	-0.321773396209	-0.374112296393	-0.446242687173	-0.348908172022	-0.451085663545	0.314954714879	0.317809574998	0.241927110311	0.157896639483	0.139707260863	0.208482697719
YCR106W	0.798830898807	0.489917616637	0.236328875393	1.02381056475	0.375115783567	0.977065241771	-1.20818060597	-1.17152087237	-0.596369452295	-0.715833287842	-0.195022112893	-0.949736582075	0.431305338121	-0.113222999322	-0.0559215302964	-0.234497013568	0.280664321592	0.627265815989
YDL020C	0.14126417752	0.173111631493	0.0997711722681	0.191425458896	0.101847979926	0.178780125849	-0.392528216072	-0.640474638671	-0.480801503725	-0.112786246644	-0.25935220468	-0.167499226919	0.189797832221	0.138898166597	0.21932704545	0.170667940771	0.267412449546	0.181138056172
YDL056W	0.349288430999	0.319469690972	0.304015858678	0.346762614243	0.240278322553	0.362383539426	-0.568551845564	-0.56571627915	-0.685588211476	-0.412053974651	-0.653787759176	-0.559501971027	0.281763864311	0.250316886947	0.232040015717	0.213283720697	0.197348864055	0.348248232445
YDL106C	0.133041479399	0.130593199578	0.11843563127	0.141023722343	0.12415800822	0.126159181499	-0.223297484706	-0.172674240338	-0.190438913753	-0.225956290776	-0.166911086637	-0.231604135311	0.0508016981223	0.0373828224846	0.0394684182741	0.093876504307	0.0786399813828	0.137301504642
YDL170W	0.585178252947	0.556516091986	0.564898281556	0.84982337478	0.544344426655	0.798977144464	-1.26035122352	-1.03777089558	-0.913836478911	-1.02830450689	-0.916928616271	-1.21090900276	0.388925521366	0.460697587586	0.367168242477	0.510257096479	0.271029304424	0.470285399213
YDR043C	-0.223641334326	-0.157811058864	-0.0324711949605	-0.0968178397033	-0.0317997249467	-0.184631251543	0.154317040396	0.319838486201	0.437581129853	0.0102741266518	0.392470497778	0.045164540245	-0.186686588696	-0.0311896169591	-0.0775870095779	-0.00801475840778	-0.179211035574	-0.149784407568
YDR123C	0.394085549561	0.345171449967	0.318206529861	0.399822411003	0.348388791538	0.434181703761	-0.72740238271	-0.767636372705	-0.732056962514	-0.527462170505	-0.718236655872	-0.567964654386	0.369138579957	0.23564594038	0.2425030625	0.262404776422	0.278252413398	0.412957990345
YDR146C	-0.125388717853	-0.102926630626	-0.0192749016872	-0.115879563341	-0.0241863808019	-0.0999350595499	0.0624578830667	0.161691056943	0.185357968968	-0.306297380621	0.236989914221	-0.192922176931	0.101116059032	0.157042619383	0.061878322169	0.01413071414	-0.0218505572035	0.0279968306924
YDR207C	0.0568802117936	0.123529189248	0.127564296253	-0.0635243141443	0.105159413823	0.0286016936423	-0.226033013003	-0.205243074515	-0.25841564511	-0.117790176834	-0.272717764311	-0.15489992887	0.138090786793	0.166083537705	0.113994351018	0.143263683159	0.116815266554	0.178641486798
YDR216W	-0.118765785225	-0.0571484765495	-0.0534902277677	-0.182387093294	-0.0519011474957	-0.157786131646	0.265099187129	0.27928033527	0.216374701574	0.161059802264	0.193725722953	0.187193377466	-0.163986544948	-0.0923514450871	-0.106688248619	0.0531040358719	-0.121869699546	-0.24946236235
YDR253C	-1.25343043566	-0.826382133161	-0.705326850071	-1.12972474433	-0.499489987222	-1.25694167001	2.24457164708	1.66712253837	1.68000451501	2.24793216478	1.67672041844	2.46416506032	-1.34176973156	-1.17068649224	-1.06912383594	-0.521709543134	-0.841110230498	-1.36482069019
YDR259C	-0.33295470827	-0.415932635768	-0.256441213344	-0.43558943824	-0.129588184179	-0.304890642263	0.608615313829	0.682049873516	0.714178315852	0.681905010691	0.706148699461	0.757007300822	-0.308157392217	-0.535227859962	-0.448525518275	-0.419846026614	-0.288314452774	-0.274436442266
YDR310C	-0.038640227353	0.0737698470277	0.166680150271	-0.071091600834	0.202235846778	-0.0520585102133	-0.25430643097	-0.117590908542	-0.0970562226816	-0.334094326595	-0.13820166161	-0.304932860109	0.0110373288163	0.190016748805	0.169494987687	0.374005764582	0.134975070741	0.0857570041996
YDR423C	-0.248939624154	-0.2648340846	-0.298102405962	-0.499278036169	-0.294776578198	-0.386820367923	0.390128625034	0.675513288847	0.589972657567	-0.0330644918479	0.407805979904	-0.0659454567077	-0.093931181709	-0.104273123013	0.0802651734018	-0.0447679056351	0.206813131641	-0.0157656004756
YDR451C	-0.0700912463563	-0.0341578051661	0.00990642265883	-0.11400271313	0.0336435112319	-0.0836136904396	-0.0142099551307	0.0916968950252	0.0952970881093	-0.272196756692	0.131272830682	-0.16893351083	0.008349597319	0.0362580620003	0.0828387184705	0.121195646124	0.0903991967895	0.0563477093351
YDR463W	-0.106250276659	-0.0617638644225	0.0479630105028	-0.173034411551	0.110091541614	-0.125996982203	0.0741142489773	0.137190823688	0.182085795933	0.0631162457924	0.223916693198	0.0739815945652	-0.0819998069462	-0.157491297487	-0.128683217968	0.00284691756566	-0.0739860752639	-0.0061009393347
YEL009C	-0.114615316193	-0.131309821378	-0.105038010096	-0.0188618601693	-0.0736187984075	-0.0503596034492	0.0514343571697	0.0763241069344	0.160502864549	0.193892711179	0.142833852163	0.163980319491	-0.0706686288506	-0.0534498029576	-0.0284965401066	-0.0908455297771	0.00246326873304	-0.0541675688335
YER040W	0.105702388585	0.0682447667162	0.0793605459956	0.176091133997	0.0932048194796	0.145018119224	-0.175902594948	-0.241394039517	-0.278461341384	-0.0916666421875	-0.265502445825	-0.107494239178	0.154009729643	0.103556904965	0.048541102989	0.00457134936829	0.0549741623088	0.127146279768
YER111C	-0.022174647447	0.0348588359887	0.0546390027323	-0.0394082069517	0.0408405275462	-0.0673406868392	-0.00246205514539	0.0460280176203	-0.0165667647188	-0.0784568893647	0.0195933828187	-0.128431090698	-0.0191742340972	0.0138042710686	0.0347922241739	0.0957845444135	0.0179925265339	0.0156812423654
YER161C	-0.252613774753	-0.238868242688	-0.255969893143	-0.186668859625	-0.251931646141	-0.238055255946	0.421928835588	0.512254712322	0.492972145662	0.294977583227	0.448698946978	0.352251181215	-0.213048929341	-0.149131052983	-0.13656140362	-0.197308906947	-0.141996350308	-0.260929089496
YER169W	0.529857779535	0.45106228877	0.490035132831	0.592219489284	0.517457499545	0.588513328797	-1.10069318378	-1.26245874721	-1.14111591921	-0.675455734882	-1.11448491456	-0.888414638207	0.4952878675	0.402457410081	0.454218579129	0.490710319883	0.539258150249	0.63154529224
YFL021W	-0.173526125622	-0.12273136828	0.218438285501	0.0537786424375	0.367110826994	-0.053972486104	0.0293131097333	-0.0349118757154	-0.0316951830912	0.136462337941	-0.0752719686609	0.0936501387135	-0.287614179252	-0.276715577319	-0.149388917551	0.185183726464	0.0545182898147	0.0673723239957
YFR034C	0.206244519863	0.198721347709	0.106945819791	0.165836538834	0.044593231019	0.200329102419	-0.28609815357	-0.239126770292	-0.27940177653	-0.401380474284	-0.294311944141	-0.385025041613	0.191822208269	0.194833518312	0.182780498985	0.105283964842	0.104983231503	0.182970178884
YGL013C	0.00867145658652	0.0650436888693	0.148505114765	0.123138768671	0.184338573273	-0.00101856026153	0.0440667249782	0.135033482739	0.24191220527	0.156104395675	0.265914547532	0.0858450467397	-0.314723075409	-0.319078651832	-0.301788466272	-0.0703355480649	-0.344434903077	-0.107194800182
YGL073W	-0.1080588348	-0.150226771645	-0.194689693816	-0.0877578373103	-0.208073577581	-0.0775716038286	0.295387064805	0.306012216393	0.273587568271	0.210318071757	0.260845549241	0.29732145213	-0.0710696741512	-0.0740277929065	-0.10299695124	-0.262501046835	-0.167189843982	-0.139308294502
YGL131C	-0.140629208896	0.513307460053	-0.00431620698747	-0.789860392378	-0.459964026586	-0.825757063693	0.830328600838	1.30261888552	1.37089799835	0.0726874867749	1.10871622502	0.142189753602	-0.460505847341	-0.347675524884	-0.68095321211	-0.188243999561	-0.890199005443	-0.552641922284
YGL162W	0.101218066932	0.184798169413	0.155230426769	-0.0140576304679	0.150105934344	0.0405622346792	-0.278274847497	-0.238580973209	-0.417602649495	-0.228361194145	-0.485391405435	-0.279064828389	0.210478177948	0.290428539861	0.190418344121	0.215466683734	0.159616568483	0.243010382353
YGL237C	-0.13390997365	-0.125539132373	-0.0883340260594	-0.126116716694	-0.0714955882962	-0.127711707226	0.32560564984	0.29187605773	0.303212843907	0.178716871517	0.292693521413	0.254409419868	-0.179395164413	-0.165665119098	-0.180331248306	-0.0940738916582	-0.15235104958	-0.201590746919
YHL009C	0.716949438942	0.50620820936	0.11339283706	0.80963786427	-0.160371107785	0.784384434755	-0.0378249958184	-0.126753214584	-0.169153506328	-0.0460540849718	-0.388520566905	0.10665021097	0.133640855222	-0.115019858045	-0.514941894409	-0.763958414483	-0.780182989387	-0.0680832178636
YHL020C	0.220501920256	0.111601045235	0.112494983649	0.0651334972868	0.137374034479	0.195259591259	-0.210450095934	-0.465436965438	-0.491188473017	-0.110648806253	-0.383044036302	-0.149170734746	0.215402462988	0.0624399301723	0.0997277386483	0.0532067233066	0.255859457374	0.280937727036
YHL027W	-0.00823251961137	0.0477703073685	0.0225192360688	-0.262429992795	-0.0529889769739	-0.101150135564	0.0478422939911	0.13557677672	0.0535872075853	-0.407427126692	0.0121028358246	-0.222323953782	0.129179807103	0.214811970124	0.124341379732	0.0728830704987	0.0440228837467	0.149914936655
YHR084W	-0.0249170187688	-0.0050763632795	0.00116580095637	0.00465958308245	0.0163348075877	-0.0120972718742	0.0234299821865	0.024799706268	-0.00728745289176	-0.0408567774437	-0.0496031231069	-0.0316337439201	-0.00478579397708	0.0264840332869	0.0197192205175	0.0870631372138	0.0315124526784	-0.0589111785155
YHR178W	0.334964973313	0.280491801714	0.257577472958	0.281123513413	0.299085107536	0.345068032848	-0.489152232698	-0.515129210736	-0.732406558762	-0.578821476357	-0.853845000711	-0.563296813709	0.387071588398	0.285451215232	0.254526003022	0.303514523275	0.334208845838	0.369568215423
