	PDR3	HAP3	RTG3	SMP1	THI2	RDS1	RPN4	UGA3	NRG1	INO2	SWI5	MET32	YAP6	CAD1	YHP1	GCN4	GLN3	SWI4	SPT2	RPH1	GAT1	PHO4	PDR1	SNT2	SUT1	HAP2	YAP3	OPI1	RIM101	STE12	STB5	SKN7	XBP1	FKH1	YAP5	ZAP1	SIP4	GZF3	CBF1	PUT3	SPT23	RGT1	PHD1	MSN4	ASH1	DAL80	BAS1	CHA4	ACE2	RFX1	ECM22	HAP1	LEU3	YAP1	YOX1	STB4	MAC1	MOT3	CRZ1	FKH2	SKO1	DAL82	YAP7	INO4	AZF1	TYE7	HAP5	MET31	RLM1	AFT2	GAL4
GDP-mannose (cor: 0.89)	-0.11037212609814796	0.0	-0.0	0.0	0.0	-0.005001465217807593	0.11181452358712071	-0.0	-0.127592130119798	0.0	0.0	-0.0	-0.07891946376858962	-0.0	0.0	0.0	0.0	-0.060153669145703866	0.05905519226916835	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.008022453520092086	-0.004095200387227188	0.0	-0.0	0.13841104688892658	-0.2754159767683919	0.020685299146003207	0.0	-0.0	-0.145444140131822	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.20443356589856482	0.0	0.0	0.0	0.13337685763719126	-0.0	0.0	-0.0	-0.0	-0.0	-0.10528891274075959	-0.0	0.0	-0.2904837340029713	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.3769154658267388	-0.0	0.04462257616332561	-0.0	0.0
N-Acetyl-L-glutamate (cor: 0.66)	-0.11112831252735463	-0.0	-0.0	0.0	-0.3766973417936304	0.0352247968184231	0.9369669536243915	-0.3209181128817802	-0.0	0.0	0.0	0.04695243701500089	0.08711946111459265	-0.0	0.5784337201184395	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.6921442058282704	0.0	0.990446429346356	0.16401178814114853	-0.06280978881625893	0.48257199269231604	-0.2074159491619204	-0.0	0.0	0.18786310532269973	0.0	0.0	0.0	0.0102807226067157	-0.802631917625374	0.0	0.34503389118968036	-0.6089186651136449	0.0	0.22842747088758986	0.5133250856476305	0.31757703120605374	-0.0	-0.0	-0.0	-0.0	-0.0	-0.8145830434949826	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.6188813879890233	0.7393153729170298	0.5467507150888058	0.0	0.0	-0.3915959224792404	-0.18648293234715674	0.0	0.05925916613574344	0.0	0.0	-0.0	0.451594857902353
Lipoate (cor: 0.57)	0.0	-0.0	-0.0	0.13816730932817173	-0.0	0.0	0.9131219511321431	-0.3802219127896347	-1.2785496556958478	0.40053527215702067	0.0	-0.18179667102571187	-0.3988704997517158	0.6604924659547392	0.0	0.6161003736726421	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.1226709477739106	0.0	-0.1847122090806314	-0.08779792261289314	0.0	-0.7036843653077948	0.5642967732967786	0.0	0.19121908390211406	0.0	-0.0	-0.0	0.3644926792491394	-0.7035669710066467	0.0	0.0892198381741324	-0.0	0.0	1.0255593874335414	-0.0	0.0	-0.0	-0.0	-0.0	0.15785025264704505	0.0	-1.2839261226852057	-0.0	-0.0410024462991691	0.0	-1.0096788615965082	-0.4788264167031094	-0.0	-0.0	-0.9008359769637357	0.0	0.0	0.0	0.0	-0.48020541774407083	0.0	0.0	0.0	-0.0	0.20260913820152296	-0.0	0.5717572301652912
NADH (cor: 0.56)	0.0	-0.0	-0.02287269673377453	0.01259135409205656	-0.322456043805642	0.0	0.4276187202830747	-0.04357033293725204	-0.8032044540599385	-0.0	0.0	0.18187935018370185	-0.0	-0.05960529274431362	0.0	0.0	-0.0	0.21330151671807218	0.0	-0.0	-0.0	0.0	-0.0	-0.08303764861026706	-0.015060291796417383	-0.0	-0.04066036837389006	-0.1409306616783737	0.0	-0.0	0.0	-0.0	0.1329526557767874	0.0	0.0	0.0	0.0789535313563087	-0.5631137618325176	0.0	-0.003850056947488032	-0.0	0.0	0.347223828455004	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.006748447066351699	-0.0	-0.3902926609792728	0.0	0.05483811513279	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.17013990750001198
Sucrose (cor: 0.54)	0.0	0.013695198484501023	0.0	0.3322714569994262	0.07306794876631156	-0.21609703485693482	-0.0	0.8840749825226216	-0.0	0.0	-0.5367452760522701	0.04246593094806665	-0.0	-0.1748513627771251	-0.0	-0.0	0.0	-0.4860433123995031	-0.5337276437094131	-0.025743807181206137	0.2736007034476712	-0.5319534271031551	0.3236602063742813	0.45908436587082285	0.0	-0.0	-0.07737181868335356	0.0	-0.0	0.7460947966475562	0.27838292872821335	-0.48031436576320063	0.025591364718144976	-0.0	0.0	-0.0	-0.0	0.034153919719679855	-1.2807048820910274	0.0	0.0	-0.3550267466186819	-0.7489886796130566	-0.7219015746682867	-0.4129095017362876	-0.17187062902018996	0.42670837708361153	0.0	0.0	-0.0	0.8785501181089875	-0.0	0.0	-0.0	0.0	0.0	0.0	0.563614655753977	-0.0	0.0	0.4958690196189449	0.0	0.0	0.0	0.0	-0.0	0.08501620254930234	0.2249483244719965	-0.4492163681203744	-0.0	-0.0
gamma-L-Glutamyl-L-cysteine (cor: 0.52)	-0.05112991771037763	0.13624429329474474	0.0	-0.0	0.21879421571120244	-0.12089948737921845	-0.3712528814610657	-0.0	0.03852822933678637	-0.0	-0.0	-0.0	0.0	0.16319737140816712	-0.0	0.0	-0.0	-0.044636359898948264	-0.0	-0.0	0.09812522049442245	-0.0	-0.0	0.17247292114041196	0.02670356242310345	-0.0	-0.02774322651467848	0.0	0.0	0.5078709100805774	-0.02065522158496516	0.0	-0.15404835061217567	-0.0	0.0	-0.0	-0.2488820799273461	0.017292146471136426	-0.388338055580492	0.1332068315687998	0.0	-0.0	-0.5013718722145917	0.010885747884078518	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.4441145367830819	0.0	0.0	0.0	0.0	-0.12941179267473943	0.0	-0.0	0.2845561122214439	0.05067015964088717	-0.0	0.0	0.0	-0.0	-0.4576301111245023	-0.0	-0.0	0.0035795936283859885	0.0	-0.23857420608785748
L-Arginine (cor: 0.42)	0.03473403723524555	0.22132986347495107	-0.0	-0.0	0.0	-0.051488745768281316	-0.17795269501466773	0.30990958883563646	-0.0	0.0	-0.2361979819717698	-0.007917935954397354	-0.07537852503279047	0.13907781783632275	-0.0	0.0	0.0	-0.3202313841149804	-0.0	-0.11871371520101281	0.0	-0.0	0.0	-0.0	-0.0	-0.053560407781869296	-0.02006634116457926	0.05650863160481255	-0.0	0.4233343663138997	0.3081306751174439	-0.0	0.10728981521469871	0.0	-0.0	-0.0	-0.08565210541379496	0.0	0.0	-0.0	0.18791925843276838	-0.14546155750068304	-0.41512615517296025	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.07477957883043772	-0.0	-0.15087750608674041	-0.03392954902634899	0.03282031086505995	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.22031103888741702	-0.0	0.0	-0.0	-0.06242802624841447
(S)-Malate (cor: 0.31)	0.0	-0.0	-0.0	0.06519923204911254	-0.15852043048607584	0.01780785469524684	0.18620587892262397	-0.0	-0.33638196027489975	0.0	0.0	0.0	0.0	-0.04907220295831018	-0.0	0.0	-0.0	0.335954065935571	0.0	-0.0	-0.47724944577497824	0.0	-0.0	-0.23878409230868503	-0.0	-0.0	0.0	-0.4856811946676847	-0.0	-0.0	0.0	-0.0	0.008619685808902938	0.11766421600792494	-0.0	0.0	0.07831451764044753	-0.27636298465712783	0.4100609952663796	-0.08482957417601883	-0.0	0.06192978174557097	0.2506075047082735	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.21201725709545605	-0.0	0.0	-0.0	-0.0	0.0	-0.03800906563496377	-0.6597941543790209	-0.0	0.11089185341859782	0.0	0.0	-0.0	0.0	0.0	0.0	-0.32499233285464324	-0.07048930555516289	-0.0	0.4329204373481549
Tetracosanoic acid (cor: 0.23)	0.03130530784878009	-0.10450186676129589	-0.0	0.05535012208064539	0.0	0.05012871958983887	-0.13812276748092922	0.21799412895544631	0.08544154222830615	-0.0	-0.0	0.0027942831014263363	0.07068033535928951	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.13885362899608267	0.1687534169228419	0.0	0.011635839950887293	-0.19364128049448098	-0.25552825558589193	-0.0	-0.0	-0.0	0.07808729096609025	-0.0	-0.07129571573731079	-0.0	-0.03305321898301835	0.0	-0.0	0.03037379542011324	-0.0	-0.0	0.07237096789441842	-0.0	0.3442903672595768	0.05877834003828346	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.010918592898507464	0.16719164274588966	-0.0	0.1458601593949432	-0.0	-0.0	-0.0	0.2947797669469291	-0.1685384814368757	0.0	0.0	-0.0	-0.0	-0.026983384401346264	0.0	-0.1418605067663873
(Z)-But-1-ene-1,2,4-tricarboxylate (cor: 0.20)	0.0	-0.008346218551208411	-0.0	0.05804921666129668	-0.0	0.01732269675207188	0.7432777281275743	-0.35773027654297096	-1.0356133485680383	0.08769138594046252	0.0	-0.23207401129295635	-0.28552470237790184	0.3149570878638498	0.0	0.3467012601540426	-0.0	0.0	0.0	-0.0	0.0	0.0	0.05024408787296426	-0.0	0.09213148492504179	0.0	-0.16611248819330518	-0.2654156018351999	0.0	-0.3132658245023493	0.544957120478972	0.0	0.13865354055079118	0.0	-0.0	-0.0	0.2120136363463313	-0.7034616489916735	0.0	0.0	-0.0	0.0	0.7548277730658807	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.9002332035688295	-0.0	-0.002832243770059275	0.0	-0.634956901477779	-0.21118399617080744	-0.0	-0.0	-0.6864796121511555	0.0	0.0	0.1297900659204607	0.0	-0.44728211330447376	0.0	0.0	0.0	-0.0	0.1922231164487513	-0.018305844542360828	0.17419932741017818
