,alpha_0,alpha_25,alpha_2100,alpha_2700,alpha_60,alpha_240,alpha_300,alpha_540,alpha_600,alpha_900,alpha_1200,alpha_1500,control_0,control_25,control_2100,control_2700,control_60,control_240,control_300,control_540,control_600,control_900,control_1200,control_1500,NaCl+alpha_0,NaCl+alpha_25,NaCl+alpha_2100,NaCl+alpha_2700,NaCl+alpha_60,NaCl+alpha_240,NaCl+alpha_300,NaCl+alpha_540,NaCl+alpha_600,NaCl+alpha_900,NaCl+alpha_1200,NaCl+alpha_1500,NaCl_0,NaCl_25,NaCl_2100,NaCl_2700,NaCl_60,NaCl_240,NaCl_300,NaCl_540,NaCl_600,NaCl_900,NaCl_1200,NaCl_1500
Adenine,0.0,0.294071483702,-0.129726876558,0.08639983093,0.117219230127,0.198634594732,0.313701676009,0.166048872536,0.179324700785,0.194831521434,0.376716779895,0.145410749273,0.0,-0.257179036896,-0.0885721288793,-0.379730403438,-0.250141894022,-0.212390767041,-0.262166946617,-0.0738114705555,-0.139460606695,-0.24990426145,-0.255337592254,-0.345992857128,0.0,0.094855626031,0.13641727058,0.146577894963,0.531798390817,0.757617816499,0.451127704841,0.457632710963,0.430987380706,-0.022949962845,-0.343747957273,0.134584164665,0.0,0.0165187720007,-0.285126663432,-0.00821759444678,0.138609446166,0.00524650268058,0.16515690333,0.0957381149669,0.22192521601,0.0712475910304,0.14141608329,0.322652893541
Alpha ketoglutarate,0.0,0.546332726782,0.140975883455,0.538762310536,0.298455944426,0.609635487801,0.442908232853,0.660040756464,0.331693418242,0.7249884957,0.438059035849,0.637125904233,0.0,-0.130034620753,0.105805145677,0.0475389857146,-0.090888002651,-0.00214295478724,-0.216115682404,0.163958069714,0.123301672689,0.150545695844,0.127102503523,0.122211284315,0.0,-0.531298142121,-0.680015421161,-0.344930225711,-0.762171996645,-1.05274591687,-1.4776062452,-1.42914376676,-1.4475722808,-0.130393676866,3.51103487623,-0.721089626679,0.0,-0.0932289178963,0.13058251701,0.276663909869,0.684172245283,-0.0378687167739,0.21840759797,-0.326492868997,-0.0796364483955,-0.21738499663,0.311176611307,0.199390755175
Asparagine,0.0,0.444532094375,1.04995040045,1.2172652887,0.75998644199,0.993201743505,0.927851014234,1.10859519692,1.18111872045,1.15915394571,1.44189842939,1.47397371365,0.0,0.232219846821,0.76588786015,0.0912443584679,0.287702724441,0.432763242209,0.393731295645,0.573496297887,0.486255250984,0.594502200242,0.374724794303,0.596993387985,0.0,1.36363936575,1.78916058701,2.32669310997,2.46254447796,2.54759622034,2.49708286627,2.50153722594,2.19790008606,1.37910454079,0.463619935185,2.1621602225,0.0,0.819498694983,0.931755247207,0.97357363777,0.92511797387,0.579247925764,0.951214997382,0.583231643865,0.728037720082,1.003048865,0.838918888852,1.0442597775
Aspartate,0.0,0.322581920849,0.156791949604,0.41335555467,0.308065838372,0.581435466214,0.571917302666,0.605627514317,0.583381313189,0.535299637591,0.894702625732,0.501648209343,0.0,0.0349680114542,0.229422184629,-0.297204727714,0.0268093719979,0.226361021531,0.073818184512,0.255041000481,0.148927836666,0.116702804177,-0.0294536827777,0.0414033959099,0.0,2.97910841073,3.13164670998,3.23419305309,4.75048393376,4.81122901818,4.71541913426,4.65668691475,4.5298180542,3.19354877044,5.50886404628,3.36132332826,0.0,0.322890661279,0.340301803961,0.266773540938,0.401358371751,0.385344587539,0.594507815274,0.262374337754,0.444176166126,0.615855472318,0.651469036568,0.805015734442
Citrate_isocitrate,0.0,-0.0913184600773,-0.21323751369,0.829971314475,0.382366540933,-0.315971165703,-0.0241392549689,-0.336283864795,0.301780077643,0.176016171586,0.0369902672885,0.0936417892034,0.0,-0.371250342462,-0.386736998163,-0.496398298398,-0.0369134782409,-0.104998159695,-0.234744623322,-0.146849279344,0.144690246766,0.537089768492,-0.448997409256,-0.24198293686,0.0,-1.96214386613,-1.9577646424,-1.62547251533,-3.30991317132,-3.79601139112,-3.54195587719,-4.13689855886,-3.36556841392,-0.445118340605,3.4163268437,-1.54021465575,0.0,0.121584532663,-0.111920282687,0.252512241643,0.24732236847,-0.678932909695,-0.465392959938,-0.868189117682,-0.420591691018,-0.418541596543,0.548284227172,0.231370757743
Citrulline,0.0,0.917646968337,3.16240685409,3.41619392309,1.24810793573,1.39049434151,1.67723787762,1.85343994838,1.83341783531,2.41796599275,3.24645434995,3.2102251766,0.0,0.658746043693,2.46849596348,2.12348806585,0.848110779919,0.884573719587,1.09237449394,1.21311581806,1.5218461294,1.96424878266,1.53600055161,1.95087013219,0.0,2.30289223866,4.25253565464,5.28911979932,3.45270993393,2.98819128686,3.28277604453,3.61837536774,2.82681211219,2.4269512991,1.16386451878,4.50660885608,0.0,2.11214937074,3.71742204124,3.36285888658,1.55214156881,2.35546593922,2.53448680338,1.24021325897,2.11532604789,3.63240737281,2.88077721284,2.93406256549
DHAP,0.0,0.604101718176,1.14101073388,1.52257851706,0.897619991986,1.31212861981,1.04949521483,1.19358559375,1.53398579513,1.03359893706,1.57494189267,1.52572716152,0.0,0.537055003978,0.85597611368,-0.204120328347,0.64191996632,0.391584526994,0.448833188302,0.915561822159,0.574423908844,0.63097664001,0.297709911098,0.284490886137,0.0,-1.57855449891,-0.652618756023,0.0485119742137,-1.69652737061,-2.10238286248,-2.32536166586,-2.1572968685,-3.0031861863,-1.54417604073,-0.17014533474,-0.617121053036,0.0,0.679739216917,1.83027611877,1.56921018328,0.763125233361,-0.46605325089,0.608677554622,-0.589174864009,0.0272364388085,0.622672677791,0.485997384556,1.41841944172
Disaccharides,0.0,1.11985096193,0.489011302771,1.21064931622,1.64029441136,1.82815388563,1.67454570761,1.72001367933,2.19302435653,1.04683614406,1.70128308243,1.07733273414,0.0,0.756856582924,0.0466990372474,-1.04039956845,0.957480635957,0.365197361281,0.49208503069,1.28687658497,0.667605980919,0.747414466991,0.139805487787,-0.518690410268,0.0,0.239605262414,3.78528773207,4.48081682635,-0.0579673598071,0.450591699047,0.293145703972,1.42909658777,1.04774855876,2.52098637064,3.53298821641,3.94784006006,0.0,0.631312257644,4.45148238775,3.88514651803,0.645143152518,-0.587822428523,2.06495775996,0.451518843187,2.33347313315,3.18512922367,4.12816408124,4.40370948764
FBP,0.0,0.884473837469,0.563963175183,1.4510170086,1.2807492422,1.64190017554,1.46157226,1.57301610298,1.81638203486,1.16987043757,1.48018832928,0.986565277885,0.0,0.964354413741,0.539225586797,-1.35650914419,1.05481221934,0.577138172414,0.754532911019,1.4411552815,0.930101841739,1.05204867431,0.818211587168,-0.100155940508,0.0,-1.01186421555,-0.091941932216,0.670857624791,-1.25511762538,-1.98756926801,-1.58575564237,-1.51568050478,-2.45554996223,-1.14960689761,-0.985526530902,-0.0986909111211,0.0,0.181814557832,2.13199460856,2.05060148468,0.778520586533,-2.59368965729,0.12290863568,-2.06441834644,-0.35041109001,0.283234544704,0.117314654979,1.42105029272
Fumarate,0.0,0.347094039119,0.724321036886,0.364439231201,0.479436761932,0.249220084248,0.740245270073,0.142491305363,0.847091865303,1.03364409762,0.696677787232,1.1960943143,0.0,-0.202975283238,-0.233662423718,-0.711667284382,-0.611560570798,-0.453632555275,-0.215925033835,-0.312602051723,-0.178073338504,0.504066606652,-0.391250854568,-0.310824979328,0.0,-1.78337988703,-1.60877902536,-1.11924124359,-2.08703110245,-2.29821887844,-4.04473131553,-4.37435034792,-3.33840459874,-1.92929601789,2.48717050021,-1.48890391208,0.0,-0.552379579105,0.674369027042,1.04199776684,-0.1962173635,-1.28069126287,-0.679934035397,-1.55770177321,-1.66038529635,-1.21254387665,-0.65786626631,0.263649663115
