kinase	metabolite	correlation	pvalue	metabolite_name	kinase_name	metabolite_count	kinase_count	pvalue_log	correlation_abs	class_phosphogrid	class_string	euclidean	linear_kernel	linear_kernel_abs
YPR120C	298.2728617	0.9520153541565961	7.602533879343647e-05	C00319	CLB5	115	9	4.119041635823197	0.9520153541565961	0	0	1.62500314854007	0.8930579678076731	0.8930579678076731
YPR120C	339.3280228	0.949076282631993	9.33377559211938e-05	C08281	CLB5	115	9	4.0299426448774565	0.949076282631993	0	0	1.8667748991565434	0.8182894740690994	0.8182894740690994
YOR061W	205.0360138	-0.3527561334319731	0.00011035194725074234	C00725	CKA2	115	124	3.9572199989518877	0.3527561334319731	0	0	14.281329971860663	-17.09466096425555	17.09466096425555
YPR120C	295.2293867	0.946306782635081	0.00011203747978455799	C14825	CLB5	115	9	3.9506366689306707	0.946306782635081	0	0	1.7720742692544287	0.48394817748338154	0.48394817748338154
YJL187C	311.2968676	-0.5418611890071776	0.00012089066064976057	C06425	SWE1	115	50	3.917607249056042	0.5418611890071776	0	0	6.971293397918937	-6.768663823229371	6.768663823229371
YOR061W	228.0294055	-0.3489888529533906	0.00013210017457600376	C03090	CKA2	115	124	3.8790966084464493	0.3489888529533906	0	0	9.585495329219057	-8.246100007305502	8.246100007305502
YLR240W	291.2012215	0.3479214840054399	0.00013895040158265847	C01226	VPS34	115	124	3.857140193723741	0.3479214840054399	0	0	8.785725519256351	14.68600933667657	14.68600933667657
YOR061W	187.024216	-0.3468138150737	0.00014640722991412597	C04002	CKA2	115	124	3.83443747632216	0.3468138150737	0	0	13.268356910579927	-14.614104917898914	14.614104917898914
YJL128C	869.5533433	0.4538311904074162	0.00014649488107294835	C05797	PBS2	115	74	3.834177550467635	0.4538311904074162	0	0	9.261622895715648	12.525105894721161	12.525105894721161
YPL256C	155.0627463	-0.34604619326758496	0.00016243304870096632	C02938	CLN2	115	118	3.7893256043544237	0.34604619326758496	0	0	12.205505586735509	-17.69783699595173	17.69783699595173
