	YAL017W	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL047W	YDL079C	YDL101C	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W
YAL009W	0.119862174345	-0.094323366469	-0.0232363730672	-0.193966830599	-0.19385223587	1.25563330309	0.931556056161	-0.358864993937	-0.396402983507	0.00543979431096	-0.2965494333	-0.20977467882	0.0215535198016	-0.194544815999	-0.018607868844	0.28266467732	0.0892167735928	-0.626563073365	-0.554667255038	-0.519707102514	-0.0274914865023	-0.192925487554	0.534296709752	0.436555533694	-0.10664201588	-0.011037320538	-0.334133674103	0.028450565485	0.0298607366607	-0.0177015815976	0.0117180721233	-0.121164335633	0.0153252945011	0.483139146401	-0.226316821992	-0.0488203457448	0.024463996681	0.31835847803	-0.412456330045	-0.0315312778445	-0.290459569977	-0.0352039743724	0.0115967486809	0.00319210672401	0.0268950749866	-0.289096936772	-0.272150361854	0.292105806942	0.194996975785	0.00686199435218	-0.129793681283	-0.190024257486	0.342019738532	-0.0699200312837	-0.0298394881075	0.465250982584	0.0471995364757	-0.00934210440889	0.018847429849	0.0960434299637	-0.473397472201	-0.0678657104057	-0.338273225228	-0.300669945545	-0.0593190971236	0.0954375301545	-0.149120271238	-0.36735288923	-0.0882349693065	-0.315848523187	0.201190740582	-0.169096134417	-0.229300035862	0.190521587853	0.103583894718	0.0267697974254	0.301821602677	0.0200060672888	0.393066475637	-0.0965934157737	-0.242071687193	0.460561940559	-0.104954992772	-0.0328501059667	0.114077359709	0.482375193508	-0.34041884275	-0.361379227449	-0.215791870992	0.0169361827834	0.161501144229	0.020414050021	-0.308649259386	-0.156888267398	0.0127598779404	-0.0761880193838	0.03908893559	0.483890371562	0.144592138612	0.725758221006	-0.210792262765	0.0975059866858	0.00692414342197	-0.122389738932	-0.134744209537	0.0389036548225	1.0018584057	-0.367488798972	-0.10410114738	0.59566172923	0.393277839838	-0.00988821915604	-0.272307906738	0.0214988122247
YBL056W	0.00181515419344	-0.00582346211155	-0.0243873806988	-0.00658483692775	-0.00814932965058	-0.00735526304272	-0.00975562862196	-0.00816492965427	-0.0156533359766	-0.00794302347451	-0.00897723399376	-0.00360554346046	-0.00656881157485	-0.00816126630661	-0.00999385801836	-0.00454035330006	-0.00856843282838	-0.00714121338303	-0.00568849027867	-0.00785770772137	-0.00749839475241	-0.138728812294	-0.00726064671014	-0.00498823948613	-0.00785973742842	-0.00934822597163	-0.0130972392896	-0.00460156042974	-0.00711784584125	-0.00991656796405	-0.00638205599611	0.219805112481	-0.0070999675342	-0.00416205828741	-0.00739215157755	-0.0073216077899	-0.00632060007567	-0.00859306657268	0.0714051674086	-0.00801289055324	-0.0086229546613	-0.00634196219073	-0.0074179456478	-0.00813471092943	-0.00611327268024	-0.00851850024546	-0.00614002707033	-0.00118839573174	-0.00980097967105	-0.007821735308	-0.00793468162989	-0.00655545115913	-0.00763348323836	-0.00775236914195	-0.00688638111082	-0.00737680852983	-0.00438166613087	-0.00920365442742	-0.00679959253339	-0.0143375907282	-0.00811629216044	-0.0141946688156	-0.00569987618197	0.366680197532	-0.00630547464168	-0.00819452687828	-0.0086624636514	-0.00527133817795	-0.00780287922193	-0.00275790939094	-0.00926351947584	-0.00809198631596	-0.0074266213272	-0.00884749326467	-0.00798308661363	-0.00612395661026	-0.00873938710443	-0.00670078153167	-0.0073542019053	-0.00608630821569	-0.223473066408	0.278579363699	-0.00708787276293	-0.00820863551529	-0.00685826901588	-0.00906801525988	0.246361081845	-0.00678728434305	-0.00986236990668	-0.0069625876435	-0.00848722826922	-0.00666598791887	-0.0081256522321	-0.00800594057091	-0.00731875157439	-0.00732281685366	-0.00507335498066	-0.0079494365887	-0.00634369595057	-0.00955128629435	-0.00620068738872	-0.0112158800739	-0.00781643510655	-0.00890527562195	-0.00723061562	-0.00840388951207	-0.00758398651702	-0.00626503119369	-0.00651967223912	-0.00806103734813	-0.00788716461318	-0.00925022822468	-0.00637374063188	-0.00657347715037
YBL088C	-0.297821049486	-0.170910489926	0.436385317177	-0.544058202955	0.0347330376762	-0.23306685081	-0.0422744897536	0.29829671659	0.26151326756	-0.0261797985141	-0.174307488714	0.000238810982412	0.0365833932577	0.0830574191444	-0.315634221794	0.0433322199775	-0.0454009781511	-0.29976432702	2.08786057946	-0.00385545964527	-0.309539815874	0.462252663501	0.190290348142	2.62282795405	0.142371525747	-0.0556021673225	0.0670422010022	-0.0224958996901	-0.138108280272	-0.00486174188907	-0.0127608965073	-0.14613189634	0.0259301016571	0.141560864598	-0.266474870828	-0.172218292135	0.0267094001762	-0.058610198368	-0.215943243859	-0.0870763470288	0.228632282839	-0.153948396358	0.176643347156	-0.248397226027	0.189967942547	-0.18017999133	-0.160554455922	-0.337908355123	-0.11143861344	-0.105539435429	0.260241088177	-0.263402186151	0.304366831475	0.275318835964	-0.328727513673	0.061244512169	0.479969050631	-0.315514566247	-0.226294889276	0.136406473895	-0.681974905904	0.102943260718	-0.371857861756	-0.00663904305201	0.367186942223	0.0710999632503	0.0645212581923	-0.0983845034648	-0.724440520726	-0.134103679048	-0.141958764929	-0.0488342636339	0.0505342937224	-0.188418840035	-0.543443123788	-0.133958862832	-0.0755195834389	0.441502323191	0.236914847066	0.253615464217	-0.127529127255	-0.261504883787	-0.0318252560977	0.00709735154704	-0.138033172661	-0.0647689167647	0.118765901367	0.108745550065	-0.16068847227	-0.168643452283	0.0905972329929	0.377763042267	0.0218290129644	-0.103728211293	0.0866719505326	-0.040109535539	0.434203800828	0.267606683061	-0.0842588379208	0.11711215955	0.117466465572	-0.27232238968	-0.162376672388	-0.0907731752627	-0.227438198283	-0.0341058854405	0.211818476322	-0.156465099484	-0.148134830286	-0.498262084251	-0.329555204127	-0.0441818022821	-0.152908803668	-0.0996215657021
YBR136W	-0.297821049486	-0.170910489926	0.436385317177	-0.544058202955	0.0347330376762	-0.23306685081	-0.0422744897536	0.29829671659	0.26151326756	-0.0261797985141	-0.174307488714	0.000238810982412	0.0365833932577	0.0830574191444	-0.315634221794	0.0433322199775	-0.0454009781511	-0.29976432702	2.08786057946	-0.00385545964527	-0.309539815874	0.462252663501	0.190290348142	2.62282795405	0.142371525747	-0.0556021673225	0.0670422010022	-0.0224958996901	-0.138108280272	-0.00486174188907	-0.0127608965073	-0.14613189634	0.0259301016571	0.141560864598	-0.266474870828	-0.172218292135	0.0267094001762	-0.058610198368	-0.215943243859	-0.0870763470288	0.228632282839	-0.153948396358	0.176643347156	-0.248397226027	0.189967942547	-0.18017999133	-0.160554455922	-0.337908355123	-0.11143861344	-0.105539435429	0.260241088177	-0.263402186151	0.304366831475	0.275318835964	-0.328727513673	0.061244512169	0.479969050631	-0.315514566247	-0.226294889276	0.136406473895	-0.681974905904	0.102943260718	-0.371857861756	-0.00663904305201	0.367186942223	0.0710999632503	0.0645212581923	-0.0983845034648	-0.724440520726	-0.134103679048	-0.141958764929	-0.0488342636339	0.0505342937224	-0.188418840035	-0.543443123788	-0.133958862832	-0.0755195834389	0.441502323191	0.236914847066	0.253615464217	-0.127529127255	-0.261504883787	-0.0318252560977	0.00709735154704	-0.138033172661	-0.0647689167647	0.118765901367	0.108745550065	-0.16068847227	-0.168643452283	0.0905972329929	0.377763042267	0.0218290129644	-0.103728211293	0.0866719505326	-0.040109535539	0.434203800828	0.267606683061	-0.0842588379208	0.11711215955	0.117466465572	-0.27232238968	-0.162376672388	-0.0907731752627	-0.227438198283	-0.0341058854405	0.211818476322	-0.156465099484	-0.148134830286	-0.498262084251	-0.329555204127	-0.0441818022821	-0.152908803668	-0.0996215657021
YBR160W	-0.428631510164	0.415942748636	0.346905843683	-0.0667123864593	0.217791941601	-0.609007559814	-0.636916160353	0.0153848499641	0.732704722349	0.0123935961871	-0.00305397765539	0.174647708793	0.24826393499	0.409597346706	-0.741021806165	0.362651392867	0.168062525573	0.453824307206	0.49469963221	0.891225667821	-0.247459991403	-0.26393210739	0.0678537419646	0.203191479005	-0.423104441723	-0.56387267474	0.998420996189	-0.156467955692	0.46953111317	-0.370940557596	0.104271744619	0.647758138376	-0.536329710405	-0.0132187875549	-0.165870646756	-0.0863548532816	0.499313983056	-0.337593528564	0.507185474017	-0.145210984616	0.34406023231	0.154204005092	0.0724311055264	0.143230596385	0.348915775709	-0.127772437564	0.307590925407	-0.651082527515	-0.0729875450841	-0.154799859392	0.105596276034	0.0270529142648	-0.0678037918222	-0.599330017197	0.071473815587	0.101869256387	0.771318450162	-0.462292865488	0.117973792374	0.299874419014	0.330414291924	-0.126555736405	0.0703120489709	0.464914170075	0.231219982911	-0.231327205796	-0.135279201619	0.391682872179	0.099176225832	0.451911994192	-1.07169081033	-0.549740242487	0.267513436167	-0.177903579319	0.0138507567461	-1.01494265619	-0.216801329187	-0.0801018132663	-0.410957115933	-0.0311615242929	0.0754942881849	0.186700842225	-0.159117581416	0.165137067781	0.299291990657	-0.937372297574	0.0434018410972	0.458613807106	-0.0104990350335	-0.137937644706	-0.569490744471	0.206188042837	0.0251783132538	0.16721790406	-0.208927148632	-0.181473221733	0.172742597624	-0.264412881282	0.214995792058	-1.25177815685	0.391345516656	-0.00589497656184	-0.237627618921	0.0303361771046	-0.0880185586279	-0.0135600496954	-0.400484141701	0.41162901911	0.558523841547	-0.367652323265	-0.0626089366861	-0.350596630588	0.464729476226	-0.274054902794
YBR274W	-0.650692305405	-0.218403715326	0.832175325699	-0.17531559142	-0.0867769966877	-0.131715231655	-1.60218935578	-0.0858941530769	0.337893674687	-0.0984523842737	-0.039923798812	1.05820851189	-0.176222506617	-0.086101471174	0.411233637343	-0.291018083804	-0.0630588892984	-0.143828842538	-0.226042112256	-0.103280618231	-0.960194215952	-0.273892811615	-0.137069808895	0.741731771013	-0.103165751983	-0.0189284257445	0.19323770706	1.75929241294	-0.145151270748	-0.765603711625	-0.186791476519	-0.800117658283	-0.1461630493	-0.312426754056	-0.129627616298	-0.198539072462	0.795811306863	-0.0616648034891	0.0156457756707	-0.0944984298198	-0.896077324424	-0.189060486233	-0.128167864712	-0.0876043070412	-0.202002603249	-0.0658847002841	0.57246145735	-0.480713828866	0.00669404965671	-0.105316387962	-0.0989244703302	0.481689122958	0.193684624383	-0.109241994502	1.43067011421	-0.130495918121	-0.440604381535	-0.0271100945855	-0.36655068687	0.263432327814	-0.0886466716997	0.255344015793	-0.22539775523	-0.141559849215	1.51105043601	-0.0842191714144	-0.0577374475234	0.615868200175	-0.106383501499	0.934911718817	-0.0237221802904	0.164697186196	-0.127676886103	-0.0472661543667	-0.0961851100405	-0.201397972664	-0.0533841550258	-0.168753993435	-0.131775284102	1.09851969113	0.598834102229	-0.13919788211	-0.146847522955	-0.083420728011	-0.159841378926	-0.0347862576702	-0.0899936015448	-0.163858580853	0.0101682781484	-0.153937724305	-0.0069470904232	-0.254240199535	-0.0881169616034	-0.0948917468742	-0.133781507868	-0.133551443446	1.611108378	-0.0980894499436	-0.188962368385	-0.656646883025	0.530771345693	0.0867668371669	-0.105616339749	-0.043996104823	1.49520548818	-0.162160245032	-0.118771192542	0.263180321525	-0.179003425741	-1.14970861078	-0.101613578323	-0.0244743657639	-0.187262063984	-0.175958469914
YDL006W	0.056146281078	0.000150794505229	-0.135933492555	-0.333215510263	-0.454598737041	-0.0110781944961	-0.0286742659827	-0.0170135202233	0.0501248221514	-0.0153868192589	-0.0229681820257	0.0164094242214	-0.00531304923265	0.0667419002611	-0.0304206255896	0.00955672607146	-0.0199714324505	-0.00950908637922	0.00114021630022	-0.338625863462	-0.57294041089	0.00733844418538	-0.0103846019173	0.00627346063213	-0.0147762842498	-0.0256877683338	0.352051159825	0.00910804232149	0.162079662834	-0.0298540446768	-0.00394402255505	-0.0100426910348	-0.00920673039197	0.0123298478589	-0.881731807547	0.0320087977035	-0.00349351502459	-0.0201520120795	-0.0101264657865	-0.0158989854567	-0.751076735959	-0.00365011171424	-0.0115376943361	-0.0167919994486	-0.00197368500257	0.493558707325	-0.00216981019472	0.157147113681	-0.0290067154682	-0.0144977066726	-0.379338833063	-0.00521510963875	-0.013117709849	-0.0139892124553	0.739176533438	-0.0112361354092	0.0107199950323	-0.0246279750886	-0.00700480747121	-0.0622627049558	-0.0215082536206	-0.0612150044669	-0.729297596152	-0.00980299509683	-0.00338263682333	-0.0172304850365	0.270449580297	-0.232212098195	-0.0143594806285	0.0215340949536	0.566228624102	-0.0164788032591	-0.0116012920965	0.877293505713	-0.0156805052983	0.200945243578	-0.0212246264174	-0.00628046553556	-0.0110704157435	-0.415433157697	0.0111962445926	-0.0101089469547	-0.00911806870568	-0.0683184754725	-0.00743494010996	-0.0236336613435	-0.0164825078003	-0.00691458129946	-0.0294567414909	-0.00819965613692	-0.0193761559474	-0.00602540817959	0.250063840547	-0.0158480380564	-0.0108105442629	0.0912566850929	0.00564951470515	1.39579763373	-0.00366282117914	-0.0271763182386	-0.00261448550089	-0.203723885976	-0.0144588531227	-0.177112936736	0.544497697753	-0.0187652345357	-0.0127548701821	-0.00308616289944	-0.00495282940956	0.297461456917	-0.0149773414171	-0.0249693880271	-0.00388306611377	-0.00534725060641
YDL028C	-0.236356576592	0.441032835989	-0.00843374176329	-0.031925214417	0.0825757740104	0.12403301323	0.374255859413	-0.481163739933	0.475354956398	-0.543767921332	-0.147931053852	0.0172569055845	0.41132088078	0.282762133935	-0.0201780590196	0.279842062986	0.00940140582011	-0.477120094053	-0.167127407045	-0.464669295863	-0.317674235645	-0.414565537491	0.354675931415	0.0105671351091	-0.322526811753	-0.376759558826	0.316521770271	-0.170270049211	0.0671758702028	-0.324723380588	0.479411844795	-0.322367211615	0.480499073884	-0.198439164399	-0.158660479171	-0.18732970824	0.426072617936	0.418676776613	-0.372974237628	0.483045808125	0.132938816646	0.407914189689	-0.291002132921	0.0341315973358	0.4742255181	-0.139075612073	-0.102807949193	0.556590409061	0.357126848116	0.104592725074	0.116635279016	0.27967679815	-0.311370391027	0.307776617133	-0.168379291448	0.263060724133	-0.0567220316433	0.760723950784	-0.395327874485	-0.0434767159446	0.0502016122597	-0.208947421082	0.131149708372	0.454921083783	0.350192862676	0.0670569784715	-0.381565813442	0.0951903735467	-0.293299248504	0.109937371838	-0.126856338783	0.233025508207	-0.097799072125	0.371226910583	-0.182820245492	-0.511959578467	0.711469452087	-0.0876866869158	-0.219513258085	0.125629206387	0.00245565272789	-0.0548121993686	-0.986416257265	0.210098128047	-0.149799575591	-0.42864290895	-0.073909275162	0.345016597852	-0.123018843995	0.122967768543	0.177887319433	0.475008941824	-0.576134569607	0.0881766389791	-0.408400969625	-0.163539092012	-0.217677830475	-0.370581578163	-0.196667321351	-0.370390081016	-0.54775123464	-0.194822240137	-0.128098547583	0.149768067244	0.44914833711	0.148828166413	-0.437874844804	0.247499870587	-0.0540770497075	0.777573527225	-0.563308902831	-0.492689007717	0.357102463531	0.320776792607
YDL101C	-0.336978977291	-0.174786305876	0.363547549674	1.15101211417	1.53629661011	-0.142261189391	0.0563521164355	-0.125069333505	-0.179353161106	-0.129781123529	-0.107821470075	-0.221879933391	-0.158960112261	1.63662041413	-0.0862352351088	0.506635094705	-0.116501648584	-0.146806159937	-0.177652196931	-0.131592654487	-0.139222037608	-0.195605557108	-0.144270201904	-0.192520799066	-0.131549557204	-0.099944103604	0.0702956739866	1.55573981734	0.571736384366	-0.0878763543747	-1.18240874426	-0.145260557428	-0.147681943474	-0.210063313357	-0.141477925804	0.144821736959	-0.679823844485	-0.444617371142	2.30646921784	-0.12829761818	-0.754582356631	-0.163776862593	-0.140930233788	-0.12571097533	-0.113092774126	-0.117561879743	-0.168064602063	-0.273203842287	-0.0903306698263	-0.132356465835	0.448379886076	-0.159243797346	-0.136353669629	-0.133829335178	-0.152217078007	-0.141803708615	-0.0632107083411	-0.103013827757	-0.469917431888	-0.592107175749	0.513995516571	-0.117643137387	-0.177410437167	-0.14595484418	0.0617178524137	-0.124440888164	-0.114505068343	-0.186509692961	-0.132756841879	0.600748588305	-0.101742698047	-0.469760643512	-0.140746020894	-0.11057628778	-0.10024803879	-0.168405830205	-0.112871733215	-0.1561579608	-0.14228372079	-0.169205228086	-0.206779796178	-0.145068645091	-0.147938754811	-0.0359460112849	-0.152813989227	-0.0856926683189	-0.126607427532	-0.154321224733	-0.0890271554308	-0.15059896543	-0.0244876117301	-0.113603083232	-0.125903320941	-0.542000462926	1.93848831818	-0.142950127527	0.50209922555	-0.129644952253	0.56260995708	-0.693703747103	0.284018386093	0.0609427038611	-0.132469006353	1.43399295709	1.15509521948	0.380435515791	-0.137404646029	-0.165410357905	-0.454286541608	-0.136039690577	-0.130967188855	-0.287596433897	-0.163102102917	-0.158861046916
YDR028C	-0.118586128075	-0.04935342475	0.118900905194	-0.042452693693	-0.0282728925079	-0.0354699260657	-0.0137141798175	-0.0281315016611	0.0397397714318	-0.0301427513556	-0.0207691701733	-0.0694555607703	-0.0425979396981	-0.0281647044628	-0.0115549844259	-0.0609828990072	-0.0244743451254	-1.55442939237	-0.0505767438028	-0.0309160118507	-0.0341726498578	-0.0582402198895	-0.0363274824897	1.96659812919	-0.0308976155731	-0.0174066793093	0.0165725541591	-0.0604281473504	-0.0376217601175	-0.01225550389	-0.0442906014395	-0.0367502203949	-0.0377838003979	-0.0644115810269	-0.0351355863259	-0.0357749609098	-0.0448476080147	-0.0242510768471	-0.0366466414659	-0.0295095101322	-0.0239801857472	-0.0446539921928	-0.0349018014175	-0.0284053894869	-0.046726722698	-0.0249269097735	-0.0464842339177	-0.0913634122596	-0.013303139964	-0.0312420483112	-0.0302183577784	-0.0427190320086	-0.0329482735183	-0.0318707495056	-0.0397196438666	-0.0352746482487	-0.0624211623349	-0.018717005477	-0.0405062533248	0.0278144963828	-0.0285723282515	0.0265191216739	-0.0504735475126	-0.0370465799549	-0.0449846975925	-0.0278632468166	-0.0236220954753	-0.0543576075715	-0.0314129507051	-0.0771381037492	-0.0181744177921	-0.0287926246053	0.614808655158	-0.0219450770455	-0.0297796385464	-0.0466298887522	-0.022924898707	-0.04140182819	-0.0354795436992	-0.0469711154912	-0.0630099963023	-0.0366683017131	-0.0378934215227	-0.0277353729922	-0.0399744382234	-0.0199463729267	-0.0287880443182	0.0753950805858	-0.012746728724	-0.0390289449156	-0.0252103437577	-0.0417171805753	-0.0284874931141	-0.0295725013921	-0.0358008482582	-0.0357640025439	-0.0561520309872	-0.0300846260075	-0.0446382782368	-0.0155662392978	-0.0459344382925	-0.00047917081633	-0.0312900867595	-0.0214213658602	-0.0365996696859	-0.0259656857227	-0.033396887729	-0.0453512573364	2.47256372575	-0.0290731309984	-0.030649028909	-0.0182948832287	-0.0443659678569	-0.0425556531906
