kinase	YBL016W	YBL088C	YBR028C	YBR097W	YBR125C	YBR274W	YCR008W	YCR091W	YDL006W	YDL047W	YDL101C	YDR075W	YDR477W	YFR014C	YGR123C	YHR030C	YHR082C	YIL035C	YIR026C	YJL095W	YJL128C	YJR059W	YKL048C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YLL010C	YLR113W	YLR362W	YML016C	YMR139W	YMR216C	YNL032W	YNL099C	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOR061W	YPL031C	YPL140C
YAL009W	0.40340290437353976	-0.6307841425898572	1.7695510786217261	-0.6716203965612623	-0.5686362358410126		-0.38615817812393083	-0.41680122603137726		0.6695862266508091	-0.7423214251308154	1.1739251972991736	0.7594507517174003	0.6090648928966209	0.595166283380062	0.36653154442041347			0.3391345219961308		-0.583359492661719	1.1249387366083		-0.7851561519523022		-0.7258421507363202	-0.4621809049267259	0.3545777306509081	-0.6635402661514705	-0.9469215565165803	0.41793663708829126	0.3809066693732573	-0.3477536589966768	-0.5016894462103995	0.3595185630295782	0.638272163982407	-0.8601209135987634	-0.7304870557820837	-0.6161846340195687		-0.438898616350944	-0.51427857351842	-0.5044556624535516	-0.5421181032660077
YAL017W	1.1674910872937636	-0.4775557664936801	0.3133637307377066	-0.4056074496245733	0.3819519032879073	-0.9956786262173574	-2.0457574905606752	-1.7958800173440752	0.44369749923271273	-0.6420651529995461		-1.1135092748275182	-0.9871627752948278	-0.9100948885606021	0.8794260687941501	-1.3010299956639813		-0.640164517660112	-0.8239087409443188	0.7281583934635011	0.8210230527068306		1.1191864077192086	-0.7399286120149252	1.0457574905606752	-1.8860566476931633	-1.0177287669604316		0.5331323796458906	0.39685562737981767	0.40782324260413316	1.0861861476162833	-0.8827287043442357	-1.4559319556497243	-1.494850021680094	-0.36653154442041347	-0.585026652029182			-0.341035157335565	-0.6497519816658371	-0.5883802940367698	0.34969247686806354	0.7644715530924511
YBL016W	-2.3010299956639813	-0.3788237182249648	0.33535802444387447	0.7520267336381934	-0.3526170298853802	0.6020599913279624	1.2839966563652008	0.707743928643524	1.0222763947111522	1.0409586076789064	0.5287082889410615		1.6197887582883939	0.6252516539898961			-1.3467874862246563	-0.7375489102695706	0.8326826652518239		-1.0555173278498313	0.34969247686806354	0.8326826652518239	1.1487416512809248		-0.35753547975787864	0.4989407377822485	-0.324221658325915	-0.8632794328435932		2.3979400086720375	1.6989700043360187	-0.3757179041643317	-0.5867002359187482		0.6615435063953952	0.6716203965612623	-0.4089353929735008	0.4473317838878068	1.337242168318426	0.38827669199265824	0.3777859770337047	-2.3979400086720375	0.5867002359187482
YBL056W														0.790484985457369													1.1135092748275182							-0.7495799976911061			0.9829666607012196							
YBL088C	1.4202164033831899	-0.44977164694490596	0.8569851997459049	0.8068754016455384	0.30715308072277	-1.5528419686577808	2.5228787452803374	0.2612194415156308	-0.7304870557820837	0.36351210364663455	3.0	-2.5228787452803374	0.5228787452803376	-0.5272435506827877	0.35753547975787864		-0.6126101736612706	0.8041003475907662	1.275724130399211	1.0861861476162833	-0.7495799976911061	1.1307682802690238	-0.8696662315049939	-0.5900668766687055	1.6575773191777938	-0.5718652059712112	0.3448615651886179	1.853871964321762	0.4145392704914993	-1.0268721464003014	-1.3979400086720375	0.6716203965612623	0.9244530386074693	0.7594507517174003	0.5391021572434522	0.3526170298853802	-2.3979400086720375	1.0757207139381184	-0.978810700930062	0.29328221766324125	0.43651891460558934	-0.4424927980943421	1.8860566476931633	-0.4698003017969178
YBR028C			-2.6989700043360187								1.275724130399211																											0.6946486305533762					-0.3516399890190684	
YBR059C		0.32882715728491674		0.34198860334288755	-0.9665762445130504			0.5783960731301689	-2.154901959985743		-0.7375489102695706	-0.7166987712964504				2.221848749616356					-1.9208187539523751		-0.3448615651886179															-0.6819366650372385		-0.4621809049267259				
YBR097W	0.9469215565165803			-1.7958800173440752		-0.33535802444387447			-0.9706162223147904		0.37059040089728107			-0.5512936800949201	-1.7212463990471711			-0.42481215507233894					0.3516399890190684	-1.7212463990471711	-0.958607314841775						-2.6989700043360187					-1.744727494896694		0.5466816599529624		-1.214670164989233			0.5590909179347823	
YBR125C	-0.8696662315049939	0.34969247686806354		0.34008379993014975		0.42021640338318983	1.2291479883578558	0.6946486305533762		-0.46852108295774486	0.4225082001627747			-0.39469495385889053	0.40011692792631215		0.835647144215563	0.958607314841775			-0.36351210364663455			-0.4559319556497244	-0.7375489102695706	0.8096683018297085			0.7351821769904635	-0.8827287043442357	0.44369749923271273	0.5917600346881504	1.2676062401770316		0.5451551399914898	0.8181564120552275	-1.0177287669604316		0.5157001606532142		-0.5243288116755703	1.0915149811213503	0.4522252946121775	0.5044556624535516
YBR136W	1.337242168318426	-0.4424927980943421	0.8446639625349383	0.8041003475907662	0.29328221766324125	-1.4814860601221125	3.0	0.24033215531036956	-0.7144426909922262	0.3798639450262425	3.0	-3.0	0.4975728800155673	-0.5287082889410615	0.39147396642280585		-0.6003262785189618	0.8153085691824012	1.2839966563652008	1.1249387366083	-0.7055337738384071	1.1487416512809248	-0.8632794328435932	-0.5985994592184559	1.5228787452803376	-0.6143937264016879	0.38721614328026455	1.8239087409443189	0.43062609038495414	-0.9706162223147904	-1.408935392973501	0.6903698325741012	1.0177287669604316	0.7281583934635011	0.5157001606532142	0.32239304727950685	-2.0969100130080562	1.0604807473813815	-0.9913998282380825	0.3018994543766101	0.46852108295774486	-0.4353339357479107	1.5686362358410126	-0.4841261562883209
YBR160W	-0.4156687756324692	1.3767507096020994	0.3990271043132517	-0.8996294548824371	-0.3133637307377066	0.8386319977650252	-0.7166987712964504	0.7099653886374819	0.20342566678957033	-3.0	1.3279021420642825	0.5287082889410615	-0.826813731587726	0.9507819773298184	-0.2620126736665692	-0.4584207560534191	1.5228787452803376	0.8507808873446201	0.518557371497695	2.3010299956639813	0.6882461389442457	-0.5171264163912462	2.221848749616356	-1.6382721639824072	-1.0861861476162833	0.7235381958267558	0.6989700043360187	1.6575773191777938	-0.4788619162959637	-0.494850021680094	0.5157001606532142	0.41680122603137726	0.48678239993206096	-0.42365864979420714	1.4814860601221125	0.42136079003192767	-0.5257837359237448	-0.5512936800949201	1.00436480540245	0.37161106994968846	0.4067139329795427	0.5883802940367698	-1.6020599913279623	-0.5702477199975919
YBR274W							1.3767507096020994		0.5900668766687055			1.1870866433571443		-0.6861327796308466							0.889410289700751							1.6575773191777938	0.9136401693252518	0.5421181032660077			1.2924298239020637	0.8326826652518239							0.36754270781527576			1.853871964321762
YBR276C	1.1023729087095586	0.324221658325915	1.1307682802690238	-0.34008379993014975	-0.31695296176115045	-1.8860566476931633	-2.0457574905606752	-0.8477116556169435	0.5058454059815573	-1.958607314841775	-1.5228787452803376	-2.221848749616356	-1.2518119729937995	-1.8860566476931633	1.8860566476931633	1.2441251443275085	2.6989700043360187	-1.5086383061657274	1.136677139879544	1.4202164033831899	-3.0	1.1023729087095586	-0.39040559077478	-1.2218487496163564	0.8696662315049939	-0.9829666607012196	-1.6989700043360187	1.2006594505464183	-1.744727494896694	-2.221848749616356	1.431798275933005	1.744727494896694	-1.853871964321762	-1.8860566476931633	2.154901959985743	1.1079053973095196	-1.6777807052660807	-1.1804560644581312	0.5783960731301689		-0.562249437179612	-1.0506099933550872	0.6903698325741012	-1.2291479883578558
YCR008W	1.2839966563652008				1.2365720064370627		-2.3979400086720375												2.5228787452803374						1.2441251443275085										1.4436974992327127						-0.9355420107730815		0.37059040089728107	
YCR079W	1.3467874862246563	-0.8927900303521317	1.3098039199714864		-0.7721132953863264	-1.8860566476931633	0.3106911408763798	-1.0555173278498313	0.6575773191777937		1.6777807052660807	-3.0	1.2839966563652008	-1.958607314841775					2.3979400086720375	1.1611509092627446		0.5199930570428494	0.7471469690201068	0.6516951369518393	1.6777807052660807	-0.41116827440579273	0.7495799976911061	1.744727494896694				0.8601209135987634		0.9208187539523752	1.080921907623926		-2.0969100130080562					-1.4559319556497243	1.7212463990471711	0.5767541260631921
YDL006W		-1.2839966563652008			-0.2984320149440726			-0.26760624017703144	2.5228787452803374				0.5272435506827877											-0.32605800136591223	2.0	-1.4436974992327127			-0.8961962790440431				-0.8664610916297825		-0.42021640338318983							0.40011692792631215	-0.6556077263148893	1.1487416512809248
