	PSK1	FUS3	TEL1	PPS1	MPS1	SIT4	PPH21	SNF1	RIM15	PKP2	PCL10	SLT2	KSP1	CKA1	PKP1	PRK1	YVH1	TPK1	YPK1	CTK1	PTK1	KNS1	HOG1	VPS34	STE11	CMP2	CDC5	SIW14	PCL1	CLA4	MCK1	PSK2	CKB2	CKA2	MKK1	PHO85	SSN3	FRK1	CLN2	CLB2
4-Acetamidobutanoate (cor: 0.97)	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.051212959519728846	0.0	-0.0	-0.4788467779796066	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.06523768966583272	-0.04349170681388059	-0.0	-0.0	0.0	-0.028631695019324613	0.0	0.0735530716098091	0.0	0.03531664045246724	0.0	-0.14047945034533246	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0
Glutathione disulfide (cor: 0.96)	-0.0	0.1961782550128028	0.0	0.947307629231306	0.0	0.044031679240103566	-0.0	-0.0	0.07130111014822636	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.4630758868056909	0.0	-0.7759250840245422	0.0	0.0	0.0	-0.7060047764830861	-0.0	-0.0	0.075370692090519	-0.0	-0.0	0.0	0.22240931824759563	-0.0	0.0	0.0	0.0	0.016006599857175376	0.31848132431778253	-0.28282469933668347	-0.329704232418984	-0.0	-0.0
sn-Glycerol 3-phosphate (cor: 0.96)	-0.0	0.0	0.0	-0.0	0.0	0.0782084904310858	-0.0	-0.0	-0.17323517625028464	0.0	-0.0	0.0	0.5174696658090141	0.0	0.10557266279366208	-0.0	0.0	-0.13586430004053404	0.221188379283927	-0.0	0.0	-0.22980437911726673	-0.0	0.0	-0.0	0.05822332815984789	-0.0	-0.24174415805708066	-0.0	-0.0	-0.0	0.28812637331795654	-0.0	-0.0	-0.051627622428055714	0.0	0.0	-0.04578732973199196	0.0	0.0
D-Glucose (cor: 0.96)	-0.0	-0.18162850212613102	0.0	-0.0	0.0	0.0	0.1796282740732926	0.03056677743547908	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.3507140751198315	0.0	0.5654133197328222	-0.0	0.0	-0.09940266197592555	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.10834493280252148	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.3946295472599467	-0.0	-0.0	0.3460705154584946
D-Fructose 1,6-bisphosphate (cor: 0.96)	0.0	-0.0	-0.0	-0.13981703703101506	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.7911668103335137	0.0	-0.0	0.0	0.015857597519886652	0.03816961100685338	-0.3357697126797328	0.0	-0.26537794218330263	-0.14634990926637972	-0.0	0.0	0.0	-0.0	0.0	-0.03484461783899487	-0.10901676276665359	0.0	-0.05413476004911447
alpha-N-Phenylacetyl-L-glutamine (cor: 0.96)	-0.0	-0.3358180622872332	0.0	0.0	0.0	0.04411538519128031	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.11685264618164712	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.09234645509808206	-0.0	-0.0	-0.16923255835902237	-0.1615886885048449	0.005076462956102821	-0.0	-0.16241279252765653	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.619556745280069	-0.3234778247786181	0.0	0.6733124082749588
ADP (cor: 0.96)	-0.0	0.0	-0.0	0.0	-0.0	-0.014817637766007393	-0.0	-0.0	-0.009664606718722959	-0.0	-0.0	0.0	0.0	-0.14056177390020871	0.0	0.0	0.0	0.02109270070206024	-0.2066867647809455	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.09428036625642953	0.0	0.0	0.0	-0.0	-0.0	-0.05861046692325823	0.0	0.0	-0.0	0.0	-0.19622962513438327	-0.26294351530311716	0.0	-0.0
Glycine (cor: 0.96)	-0.0	0.03777493135351029	0.0	0.2416114517016212	-0.0	-0.2584653832318865	-0.0	0.02134232272549198	0.0	-0.0	-0.0	-0.002340021742835677	-0.0	-0.0	0.0	0.0	0.0	0.037706097040512004	-0.0	-0.0	0.0	-0.0	-0.0	-0.1548051726355827	0.0	-0.02574380416248751	0.0	0.013988110998932867	-0.0	0.0	0.0	-0.19608128079607898	0.0	0.0	0.0	-0.0	0.0	-0.09782344072479746	0.0	-0.0
Hypoxanthine (cor: 0.95)	-0.0	0.244739143245475	-0.0	0.688989341035622	-0.0	-0.3331091667604108	0.0	-0.0	0.0	-0.0	0.051456033605719535	0.0	-0.0	-0.6148870583726996	0.0	1.2749019211859303	0.0	-0.0	-0.8155900498707296	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.11340479164169276	-0.0	-0.06121261982270302	-0.0	0.17525603544630874	-0.036705984775585045	0.0	0.19305930932183968	0.0	-0.0	0.0	-0.0	-0.19716400169950363	0.0	-0.24579426934111648
CDP (cor: 0.95)	-0.0	-0.0	-0.0	-0.0	0.0	0.012325670124152694	-0.0	-0.0	-0.032458662414639544	-0.0	0.03237548182069476	0.07819317595432007	0.0	0.0	0.3024495547221581	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.11676840286812282	0.0	-0.0	0.0	-0.1430033763065198	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0
L-Valine (cor: 0.95)	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.13815486324851026	-0.0	0.0	0.02643389139349827	-0.0	-0.0	0.18140566387914445	-0.11980001121812155	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.14183710632615606	0.0	0.0	-0.0	0.0	0.27623321254925465	-0.09873866787883744	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0
(Z)-But-1-ene-1,2,4-tricarboxylate (cor: 0.95)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.19345309436201044	0.0	0.0	-0.0	-0.41037772084703916	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0740895928369989	-0.0	0.0	-0.25274059837283663	0.009695625350557697	0.0	0.0	-0.0	0.2241734397681808	-0.0	0.0	-0.02327956113795647	0.0	-0.2297894592783205	0.0	0.0	-0.0	-0.0	0.024095632357988728	0.017543873437294348	-0.0	0.0
Glycerol (cor: 0.95)	0.0	-0.14869243743587124	0.0	-0.07702166167922622	0.0	0.40922264400604036	0.0	-0.0	-0.0	0.0	-0.0	0.12211852929095184	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.5283668298160265	-0.0	0.0	-0.0	0.062133790309199126	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.06978389372055611	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0915526047884715	-0.0	0.637285985113278
3-Methyl-2-oxobutanoic acid (cor: 0.95)	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.13626654256772255	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.1286132216316617	-0.019480824600750755	0.015836982274272566	-0.0	-0.09816124733636206	-0.0	0.0	0.0	0.0642644869697839	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.11297791765556389	0.0	0.0	0.14731801541038364
5-Phosphoribosylamine (cor: 0.95)	-0.0	-0.09897788207361533	0.0	-0.0	0.0	0.0062179774405976395	0.22602810113388525	0.0	-0.14658398433039507	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.7286024314643178	-0.0	0.0	-0.06611986760634676	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.015713219272697247	0.0031967638907883437	0.0	0.0
1-Pyrroline-2-carboxylate (cor: 0.94)	-0.0	-0.10455312605747169	0.0	-0.05890473822745615	0.0	0.00203548121511089	0.29113907454752364	0.0	-0.14229888828112758	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.6414418856948801	-0.0	0.0	-0.16952214479692804	-0.01750994725746171	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.10164098417650319	0.0	0.0
L-Leucine (cor: 0.94)	-0.0	0.010503968415882525	0.0	0.0	-0.0	-0.0	-0.11652886843871722	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.4762585245994008	-0.0	-0.0	0.043134923004422614	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.02597904359334957	0.1489415208038947	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.127331917867124	0.0	-0.0
GDP-mannose (cor: 0.94)	-0.0	-0.0	0.0	-0.0	0.0	0.2051711060806199	0.12779920465832054	-0.0	-0.07539673560815661	0.0	-0.0	0.0	0.0	0.20593339647271683	0.0	-0.0	-0.0	-0.0	0.12995639591423563	-0.0	0.0	-0.0	-0.05258913102369656	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0034552411564184645	0.0	0.45883698803712386
N2-Acetyl-L-aminoadipate (cor: 0.94)	-0.0	-0.06522421621992247	0.0	-0.031994621116562365	0.0	0.0	0.3857466260330885	0.0	-0.10000712255111066	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.5908624681273024	-0.0	0.0	-0.20171672186803133	-0.013239033136036563	0.0	-0.0	-0.0	0.0	0.0	0.0	0.017760705176399872	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.08000652143255713	0.0	0.0
Deoxyribose (cor: 0.94)	-0.0	-0.0	0.0	-0.0	0.0	0.1066029396434941	0.0	-0.0	-0.34028464837363637	-0.0	0.0	0.03172397148909993	0.0	0.4475412251111794	0.0	-0.0	-0.0	-0.0	0.2498169688913499	-0.0	0.0	-0.0	-0.017188184093322647	0.0	-0.0	-0.0278865186359515	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.3934611370976446	-0.0	0.0	0.11174457755126133
2,5-Dioxopentanoate (cor: 0.94)	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.1735955511207719	0.0	-0.08265658067711334	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.17751369498194047	-0.0	0.0	-0.0	-0.04928654205465085	-0.0	0.0	0.0	0.04319237753392582	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.129800743887269	0.0	0.0	0.0
Methylglyoxal (cor: 0.94)	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.22609788897901112	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.24409986299069406	-0.0	0.47553400910290283	-0.0	0.0	-0.09323465925435123	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0010287758142237334	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2147898455706308	0.0	-0.0	0.18003375395775054
2-Oxoglutarate (cor: 0.94)	0.09697269157992645	-0.0	-0.0	0.0	-0.0	-0.0	0.11962213719994115	0.0	-0.0	0.0	-0.026324214816979354	0.0	-0.0	-0.0	0.15957770322550915	0.0	-0.123452486752961	0.0	0.5931321288568427	-0.0	0.0	-0.0	0.0	-0.0	0.2845487777198204	-0.04945440808326049	0.0	0.0	0.0	-0.16157236944502196	0.0	-0.41553280488187744	-0.0	0.0	-0.0	-0.0	0.31869671130789534	0.0	-0.0	0.0
GMP (cor: 0.93)	-0.0	0.0	0.0	-0.0	0.0	0.26271768759709635	0.0	-0.0	-0.17043477353473427	-0.0	0.0	0.0	0.0	0.16011132495255392	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.02777856829727377	0.06399463154208537	-0.059156229003788655	-0.0	-0.0	-0.0	-0.0	0.052334118635438104	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0
Orthophosphate (cor: 0.93)	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.3798802445240571	0.2845140610318009	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.5182867888482104	-0.0	0.0	-0.25208214103664206	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.1797559234807206	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.09957596207938003	0.0	-0.0	0.0
2-Oxobutanoate (cor: 0.93)	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.17658937390794158	0.0	-0.092643968126845	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.1449568751243021	-0.03098930093832382	0.4007695948790769	-0.0	0.0	-0.02753152214856151	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.1961481461332132	0.0	0.0	0.016678524937708546
L-Phenylalanine (cor: 0.93)	-0.0	0.09207762940519348	0.0	0.0	-0.0	-0.0	-0.12993784833147012	0.0	0.03898075441550665	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.2452917179414138	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.09989898214868013	0.0	-0.0	-0.1498828424469125	0.12689950319337434	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0
L-Arginine (cor: 0.93)	0.0	0.0	-0.0	0.6024119511875483	-0.0	-0.08727329799516689	0.0	0.13764462184598728	0.0	-0.0	0.16481842483656953	-0.0	-0.0	-0.0	0.445758516905195	0.0	-0.0	0.0	-0.23658103122319207	0.0	-0.0	0.33327237145886845	-0.0	0.0	0.0	-0.3779001380827393	-0.0	-0.0	0.0	-0.07021001294223007	0.0	-0.07134111596728895	0.0	0.0	0.0	0.0	0.0	-0.21708272475209875	-0.0	-0.0
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide (cor: 0.93)	-0.0	0.06737440924880263	0.0	0.8518310678115587	-0.0	-0.30322511701021293	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.3961041059418997	-0.02996282118764941	-0.026155609463487318	0.0	-0.0	-0.0	-0.0944637723851918	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.05919616598515339	-0.33075215645148776	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.3922690122441966	0.0	-0.0
Acetate (cor: 0.92)	0.0	-0.0	0.0	-0.05419541747113645	0.0	-0.0	0.3464781259928617	0.10945026639151614	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.03622188941583585	-0.0	0.15692985405789486	-0.2920964895770582	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.09546155692845003	-0.0	0.0
2-Dehydro-3-deoxy-L-arabinonate (cor: 0.92)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.26468873357293304	0.013542613495848487	0.0	-0.0	-0.13135297277591634	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.059009088145722505	-0.0	0.0	-0.32965621274637813	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0
UDP-N-acetyl-D-glucosamine (cor: 0.92)	0.0	0.0	-0.0	0.38130987018625784	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.09602476324012216	0.24934081742936498	0.0	0.0	-0.0	-0.8950241786813116	0.0	-0.048900170892837505	0.0	0.0	-0.0	0.0	-0.1195005182953729	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.08381430315332626	0.0	-0.005133569772496414	-0.18517206141282133	-0.0	-0.13315457467615174
