	PSK1	FUS3	TEL1	PPS1	MPS1	SIT4	PPH21	SNF1	RIM15	PKP2	PCL10	SLT2	KSP1	CKA1	PKP1	PRK1	YVH1	TPK1	YPK1	CTK1	PTK1	KNS1	HOG1	VPS34	STE11	CMP2	CDC5	SIW14	PCL1	CLA4	MCK1	PSK2	CKB2	CKA2	MKK1	PHO85	SSN3	FRK1	CLN2	CLB2
2-Oxoadipate (cor: 0.92)	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.31823342385134806	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.2218183621607528	-0.07042507150665359	-0.17532373666742	-0.00275416771350288	0.0	-0.0	0.14362182971099752	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.10495312359553179	-0.0	0.0	0.014705455214011587
3-Phospho-D-glycerate (cor: 0.92)	0.0	-0.1798463537191311	0.0	-0.0	0.0	0.0	0.346627274665098	0.0	-0.09016250483102263	-0.0	-0.11617378455395085	0.0	0.0	0.0	0.0	-0.0	-0.0	0.006691936422607452	0.1943681805912408	-0.0	0.0	-0.1574797989684076	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.1032402496962244	0.0	-0.01033536301439306	-0.0	-0.0	-0.0	-0.0	0.23476768835988218	-0.0	-0.0	0.0
ATP (cor: 0.92)	0.0	0.0	-0.0	0.0	-0.0	-0.12133770557270826	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.24133907633967078	0.0	-0.0	0.0	0.0	-0.0	0.375051848004095	0.0	0.0	-0.03320262134298299	0.0	-0.008276509954442044	-0.01762061163048554	-0.0	0.0	0.0	0.0	0.0	-0.4060091939142328	-0.24028393052783142	-0.0	-0.2266648554860418
Glycerone phosphate (cor: 0.92)	0.0	-0.0	0.0	-0.0	0.0	0.0	0.14749474350611852	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.44509715559558466	-0.0	0.0	-0.0801320766134729	0.0	0.0	0.0	-0.027167239621441828	-0.0	0.0	0.0	-0.1669543152944843	0.0	-0.0618775628771605	-0.0	-0.0	-0.0	-0.0	0.1636055751312498	-0.0	-0.0	0.19830602364955602
(R)-3,3-Dimethylmalate (cor: 0.92)	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.13507124519652283	0.0	-0.20374476450658777	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.010874414041912134	-0.0	0.0	-0.11962106780404728	-0.0	0.0	-0.0	-0.10691723009862451	-0.0	0.0	0.0	0.01755288944692492	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2937995795341178	0.0	0.0	0.0
Glutarate (cor: 0.92)	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.15495080576491874	0.0	-0.15906130530053345	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.13290779901616256	-0.0	0.0010118236177257003	-0.0	-0.025047961175670923	-0.0	0.0	0.0	0.03019714252166412	-0.0	0.0	-0.0	-0.0	-0.02605299154393579	-0.0	0.25039414164478474	0.0	0.0	0.0
O-Phospho-L-homoserine (cor: 0.91)	-0.0	-0.0033900213302946853	0.0	-0.08523671807366731	0.0	0.024631266237901017	0.21048751443938615	0.0	-0.07382647262723424	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.4220834368354157	-0.0	0.0	-0.0	-0.08303475794109123	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0
4alpha-Methylzymosterol-4-carboxylate (cor: 0.91)	-0.0	-0.0	0.0	0.0	0.0	0.32545735492978584	0.0	0.0	-0.04265471154639229	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.544496353588618	-0.0	-0.0	0.1447439340849454	-0.8545400781720062	0.0	-0.0	-0.0	-0.0	0.0	-0.2098270354614882	-0.0	0.16667727380923186	-0.0	0.015184917424164371	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.7735287105698074	0.0	0.0	0.0
Propanoate (cor: 0.91)	-0.0	-0.0	0.0	-0.0	0.0	0.013458418740297504	0.05985379929690498	-0.0	-0.01361152953192995	-0.0	-0.0	0.0	0.02069597863036137	0.0	0.0	-0.0	-0.0	-0.0	0.1952045064278192	-0.0	0.0	-0.13125682980125242	-0.11172422217419417	0.005575196790452947	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.2675943936997459
Linoleate (cor: 0.91)	-0.0	0.0	0.0	0.11248318470296	0.0	0.1650929563286251	-0.0	0.24275989895518824	0.0	0.0	-0.0	-0.4479408736713519	-0.0	0.0	0.17035064288418467	-0.2782742857794923	-0.0	0.0	0.0	-0.0	0.2840063143334265	-0.0	-0.0	0.0	0.0	-0.31862795427130997	-0.0	0.0	-0.0	0.08451033587521294	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.5953457875978337
3-Hydroxyanthranilate (cor: 0.91)	-0.0	-0.0	0.0	-0.004300527099021076	0.0	0.043900817647249846	0.22015285781277208	0.0	-0.1216174197969932	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0202574382718078	0.04362332024634123	-0.0	0.0	-0.12851620816516338	-0.11293599379636156	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.07422069972474718	0.0	0.0	-0.0	-0.0	-0.10123027951642191	-0.0	0.13741338915750256	0.03746354470222349	0.0	0.0
Uridine (cor: 0.91)	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.3160064024149799	0.0	-0.16739684973017455	0.03993169279503574	0.0	-0.0	-0.0	0.5512148455476498	0.11906637651443529	-0.0	0.2902111353970765	-0.24180608865853404	0.0	-0.0	0.08284890882453473	-0.0	0.0	0.0	-0.37268680172815943	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.008767166322508369	0.0	-0.0
UDP (cor: 0.90)	-0.0	0.0	-0.0	0.3067745773559006	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.2335967521833067	0.0	0.0	0.0	-0.32348058716518635	0.0	-0.0	0.0	-0.07882237952418501	0.07771416791675255	0.0	-0.0	-0.3925809592452695	-0.04700820273012542	-0.0	0.0	-0.2196274476073233	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.1339383779282376	-0.0	-0.0
NADH (cor: 0.90)	-0.07247041648346472	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0704407713203423	-0.0	-0.0	0.0	-0.0	0.10340412357508001	0.0	0.3310134691924228	0.0	-0.0	-0.0	0.0	-0.38582464525271637	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.07142336048679596	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.40861756344733574	0.0	0.20135721155995137	-0.0
D-Fructose 6-phosphate (cor: 0.90)	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.045316553831790694	-0.0	-0.0	-0.0	0.1246112575645364	-0.0	0.0	-0.2604185832870754	-0.0	0.0	0.0	-0.05373657404012903	-0.0	-0.058473243916076695	0.0	-0.2477744678356276	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.08964985558301432	0.0	-0.0	0.0
Indolepyruvate (cor: 0.90)	-0.27001642307317236	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.20653411609825795	-0.017694131557200336	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.05367643968662593	0.0	-0.06057582827969993	-0.003494095359234648	-0.0	0.00038826783121144513	-0.0	0.1456555834588549	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.19618777873137253	0.07386226699688864	0.0	0.2483109374598832
O-Phospho-L-serine (cor: 0.90)	0.0	0.0	0.0	0.0	-0.0	0.0	0.12700003758356732	0.0	0.0	0.0	-0.0	0.0	0.0	0.0394240505035048	0.1614717015241852	-0.0	-0.0	0.14433212113973684	-0.011330427078104345	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.3041232956497256	-0.0	0.0	-0.0	-0.23090281776029048	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.07778457121130575
L-Tryptophan (cor: 0.90)	-0.0005450112089333623	0.0	0.0	0.0	0.0	-0.0	-0.0567615283244713	0.0	0.0	-0.06784802973726944	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.06969534392904153	-0.28233066309220833	-0.0	0.0	0.0	-0.02060065581643094	-0.0	-0.0	-0.0	0.0	0.0	-0.07347546547320832	0.2614381940252861	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0
Glycerone (cor: 0.90)	-0.0	-0.0	0.0	-0.0	0.0	0.1521384765956538	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.22465776324199085	-0.0	0.22767834530121117	-0.0	-0.0	0.030143678972115243	-0.4124157254323818	-0.0	-0.0	0.0	-0.0	0.05356090285466459	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.1941232338970575	0.008547302482100184	0.0	0.23613419222989693
UTP (cor: 0.90)	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.1204906539587823	0.1273144108025476	0.0	0.0	0.200015344898614	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.08185409640029997	-0.0038146001615705838	0.0	0.0	0.0	-0.6421931809194479	-0.06576025140610237	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.005541503825880664	-0.0	-0.0
Raffinose (cor: 0.89)	0.0	-0.0	0.0	-0.0	0.0	0.13070223678612294	0.21641079503603264	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.007787860226845763	-0.0	0.09446888667502404	-0.06507189891109832	0.0	0.0	-0.0	0.0	-0.0	0.04007348952143392	0.0	-0.04068919724232272	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2264169584912891	0.0	0.0	0.22694915723572354
Toluate (cor: 0.89)	-0.0	0.0	0.0	0.002640678362772407	-0.0	-0.0	0.0	0.552021203098886	0.03335188252636143	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.05307530175570086	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.23147315713242014	0.0	0.09970065546533918	-0.07336504724063089	-0.0	0.0
L-Glutamate (cor: 0.89)	0.0	0.0	0.0	0.17215849251352353	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.11151129734089812	0.0	-0.0	0.14010048017511437	-0.14219496430246995	0.0	0.0	0.0	0.0	-0.0	0.0	-0.21287006710862139	-0.0	0.0	-0.0	-0.12420715846308039	0.0	-0.18870419255638135	-0.0	0.0	0.02886795112009893	0.0	0.0	-0.0	-0.0	0.0
Diphosphate (cor: 0.88)	-0.0	-0.0	0.0	-0.03767359852214214	0.0	0.0	0.19907689156006855	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.3066607504837236	-0.0	0.0	-0.14813062040556513	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.07027755572111394	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.02189539844676117	0.0	-0.0	0.0
2-Isopropylmaleate (cor: 0.88)	0.0	-0.0	0.0	-0.0	0.0	0.0	0.1107264721873199	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.16235209669507158	-0.0	0.0	-0.0	-0.0	0.02073780196302001	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.11693185257802385	0.0	-0.0	0.0
Tetracosanoic acid (cor: 0.88)	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.019366551815888946	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.10809644600846502	-0.0	0.0	-0.06802679579839513	-0.014741145595119626	-0.0	-0.0	0.0	0.0	0.12898451614816334	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.001627116318337206	0.0	0.0
4-Aminobutanoate (cor: 0.88)	0.0	0.0	0.0	0.14160857963148496	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.18434874258327455	0.0	-0.0	0.09522881608985595	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.20219887327533972	-0.0	0.0	-0.0	-0.05922773704336266	0.0	-0.17703034795109737	-0.0	0.0	0.11637779826460523	0.0	0.0	-0.0	-0.0	0.0
L-2-Aminoadipate (cor: 0.87)	0.0	-0.016846030066169526	0.0	-0.0	0.0	0.0	0.023537212595909397	0.0	-0.0	0.0	-0.0	0.006296150302895186	0.0	0.0	0.0	0.0	-0.0	-0.0	0.08904167037819924	-0.0	0.0	-0.4488024910300798	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.055723503198479775	-0.0	0.0
L-Alanine (cor: 0.87)	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.24519330256076285	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.026920023800783153	-0.0	-0.0004378522808180778	-0.0	0.0	-0.0	0.0	-0.0	-0.004667653641123689	0.03068350465045204	-0.0	-0.006462554910563149	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.06487422182972985	0.15328188764148026	-0.0	0.0
AMP (cor: 0.85)	-0.0	-0.0	0.0	-0.0	0.0	0.008764015278536822	0.0	0.0	-0.10476860961154967	-0.0	-0.0	0.05157666018060037	0.0	0.0	0.0	0.0	-0.0	0.14437017340489616	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.010104810664138032	-0.0	0.023587558299271325	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0
8-Amino-7-oxononanoate (cor: 0.84)	-0.1573303067771363	0.0	0.0	0.11995937325039126	0.0	0.09376821928130218	-0.0	0.0	0.0	-0.0	0.0	-0.33189284318291495	0.0	0.0	0.0	-0.0	0.0	0.0	-0.21225092210948446	-0.0	0.0	0.0	-0.22592038985924398	0.0	-0.0	-0.0	-0.024986931147952394	0.0	-0.0	0.17140220082840876	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.07279242350944085	0.0	0.0
Succinate (cor: 0.82)	-0.0	-0.0	0.0	-0.0	0.0	0.09472261974310595	0.0	-0.0	-0.031748855473205356	0.0	-0.0	0.0	0.048674062371897864	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.20023285589932643	-0.16623128984037402	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0
Indole-3-acetaldehyde (cor: 0.82)	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.06289787297665865	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.07921036114925266	-0.12183787257023385	0.030653774301203043	-0.0	-0.0	-0.0	0.0	-0.0	0.058559940110471484	-0.0	0.0	-0.0	-0.0	-0.017079365722231177	-0.0	0.0	0.00884978957959938	0.0	0.04839721282154155
L-Threonine (cor: 0.81)	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.004309908460890744	-0.0	-0.0	-0.0	-0.0	0.0	0.01786210086520916	0.0	0.0	0.034522448335168786	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.3636665118685751	-0.16388545543598793	0.0	-0.0	-0.0	-0.040548584567748104	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0
(9Z)-Octadecenoic acid (cor: 0.80)	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.06610094567859474	-0.0	0.0	0.0	-0.08373416716362031	-0.0	0.0	0.0	-0.0	0.08803806956280436	-0.0	-0.0	0.0	-0.0	-0.19438851204023863	-0.0	0.028367936025657275	-0.0	0.11782836431226255	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.390087403837154
3-Propylmalate (cor: 0.78)	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.07836883220162608	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.28054625403107575	-0.008483948110142036	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0
Tetradecanoic acid (cor: 0.76)	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.053102385488754025	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.04954113298216169	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.15802680751132694	-0.0	0.2031163929824584	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.23955939549818547	-0.0	-0.0	0.0
Adenine (cor: 0.76)	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.021811121493161105	-0.0	0.0	0.004232928416497697	0.0	0.0	0.0021065640242071497	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.020260436256208676	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.08623634822484981	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.04155720299043596	0.0	0.0
Decanoic acid (cor: 0.67)	-0.0	0.1970800022333418	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.03010239466924553	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.029195648692063026	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0771391242727491	0.0	-0.0
CTP (cor: 0.64)	0.0	-0.0	0.0	0.0	0.0	0.0	0.08099861071690656	0.0	-0.0	0.0	0.0	0.030782339528337758	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.07181630990708686	-0.0	0.0	0.0	-0.016825901278414664	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0
Octanoic acid (cor: 0.61)	0.0	0.027055947412176515	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.022548566890548394	0.0	0.0	0.0	0.0	0.0	-0.055316156420021675	-0.0	-0.048303818871874134	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.01348883175859463	0.0	0.0
D-Ribose 5-phosphate (cor: 0.59)	-0.022338236785878946	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.011854168002075453	0.0	-0.0	-0.0	0.0	0.05222679648829584	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.07902156018544146	0.0	0.0
