Metabolites,ion,Transcription-factors,feature,coef,coef (abs),cor,pval,fdr
Xanthosine,283.0700,CRZ1,YNL027W,0.421376217916,0.421376217916,0.773504105523,0.00016624266742,0.000918200779355
L-Glutamine,145.0600,XBP1,YIL101C,-0.41897074123,0.41897074123,-0.894875583624,5.36762133461e-07,2.91385158165e-05
L-Glutamine,145.0600,PUT3,YKL015W,-0.402320926394,0.402320926394,-0.575170746786,0.0125154803443,0.0289992837247
dUDP,387.0000,GAT1,YFL021W,-0.359475561216,0.359475561216,-0.332974260705,0.176958353301,0.275590878092
dUDP,387.0000,XBP1,YIL101C,-0.351591363251,0.351591363251,-0.913313375595,1.21814427776e-07,1.59194461513e-05
dUDP,387.0000,GCN4,YEL009C,0.347790332948,0.347790332948,0.958502637232,3.8810643075e-10,7.37402218425e-07
L-Glutamine,145.0600,GAT1,YFL021W,-0.331126034389,0.331126034389,-0.37393773311,0.126345974813,0.21039207024
Xanthosine,283.0700,UME6,YDR207C,-0.290547859051,0.290547859051,-0.785517012787,0.000112002485567,0.00068206641852
L-Proline,114.0600,GAT1,YFL021W,0.268280678192,0.268280678192,0.427830858339,0.0765405649923,0.137195352345
L-Glutamine,145.0600,GCN4,YEL009C,0.266612116739,0.266612116739,0.929689347461,2.40498199569e-08,6.23449259868e-06
L-Proline,114.0600,SNT2,YGL131C,0.254164228878,0.254164228878,0.769025953179,0.000191468100085,0.00101901789961
Xanthosine,283.0700,OPI1,YHL020C,-0.230007018559,0.230007018559,-0.663317797673,0.00269168060854,0.00824869863907
Fumarate,115.0000,SNT2,YGL131C,0.206410571262,0.206410571262,0.80940715844,4.72181906557e-05,0.000350447508773
L-Glutamine,145.0600,CHA4,YLR098C,-0.199487252705,0.199487252705,-0.845568616243,9.90124488402e-06,0.000123024837181
Fumarate,115.0000,GAT1,YFL021W,0.176448730518,0.176448730518,0.6173625752,0.00633871981587,0.0166577699172
L-Asparagine,131.0500,PUT3,YKL015W,-0.17260005792,0.17260005792,-0.811108007577,4.42033468111e-05,0.000338705615648
gamma-L-Glutamyl-L-cysteine,249.0600,OPI1,YHL020C,-0.167854668866,0.167854668866,-0.626304484715,0.00542104097702,0.0147142540805
Xanthosine,283.0700,RGT1,YKL038W,-0.16738524168,0.16738524168,-0.833476325377,1.73833074543e-05,0.000178531265747
Dethiobiotin,213.1200,STP1,YDR463W,0.165755472895,0.165755472895,0.858328112248,5.18109641148e-06,8.43736236277e-05
gamma-L-Glutamyl-L-cysteine,249.0600,AFT2,YPL202C,0.165095992595,0.165095992595,0.930149835783,2.28519265689e-08,6.23449259868e-06
dUDP,387.0000,SMP1,YBR182C,-0.162202481327,0.162202481327,-0.447573806903,0.0625349387615,0.115805442151
L-Proline,114.0600,SUM1,YDR310C,0.158354921783,0.158354921783,0.877651299732,1.70821172786e-06,4.77294453373e-05
L-Asparagine,131.0500,SNT2,YGL131C,-0.15703758662,0.15703758662,-0.756163408467,0.000282588099686,0.00139097769275
L-Asparagine,131.0500,GCN4,YEL009C,0.156307511152,0.156307511152,0.761402035689,0.000241847188126,0.0012253590865
L-Glutamine,145.0600,SUM1,YDR310C,-0.152080150958,0.152080150958,-0.88931092704,7.96389789795e-07,3.32281954465e-05
L-Glutamine,145.0600,SMP1,YBR182C,-0.150865484603,0.150865484603,-0.430785928614,0.0743096498126,0.133701074473
dUDP,387.0000,PUT3,YKL015W,-0.150188553245,0.150188553245,-0.500228829057,0.0345038040611,0.0698904346654
Xanthosine,283.0700,AFT2,YPL202C,0.148481925232,0.148481925232,0.935316211305,1.25639218462e-08,4.77429030157e-06
