name	mz	mz_short	name_mz
Acetate	59.01385887	59.01	Acetate_59.01
Glycolaldehyde	59.01385887	59.01	Glycolaldehyde_59.01
Urea	59.02422736	59.02	Urea_59.02
CO2	62.98909759	62.99	CO2_62.99
Methylglyoxal	71.01386291	71.01	Methylglyoxal_71.01
L-Lactaldehyde	73.02933677	73.03	L-Lactaldehyde_73.03
Glycine	74.02440987	74.02	Glycine_74.02
Ethanolamine	80.05073736	80.05	Ethanolamine_80.05
Pyruvate	87.00880494	87.01	Pyruvate_87.01
L-Alanine	88.04039482	88.04	L-Alanine_88.04
beta-Alanine	88.04039482	88.04	beta-Alanine_88.04
Dihydroxyacetone	89.0243211	89.02	Dihydroxyacetone_89.02
D-Glyceraldehyde	89.0243211	89.02	D-Glyceraldehyde_89.02
D-Lactate	89.0243211	89.02	D-Lactate_89.02
Glycerol	91.04018498	91.04	Glycerol_91.04
Phosphate	96.9693244	96.97	Phosphate_96.97
Succinic semialdehyde	101.0245569	101.02	Succinic semialdehyde_101.02
Acetoacetate	101.0245569	101.02	Acetoacetate_101.02
2-Oxobutanoate	101.0245569	101.02	2-Oxobutanoate_101.02
4-Aminobutanoate	102.0556215	102.06	4-Aminobutanoate_102.06
L-Serine	104.0350485	104.04	L-Serine_104.04
L-Lactate	105.019522	105.02	L-Lactate_105.02
1-Pyrroline-5-carboxylate	112.0405194	112.04	1-Pyrroline-5-carboxylate_112.04
L-Proline	114.055613	114.06	L-Proline_114.06
Fumarate	115.0032151	115.00	Fumarate_115.00
3-Methyl-2-oxobutanoate	115.0397945	115.04	3-Methyl-2-oxobutanoate_115.04
L-Aspartate 4-semialdehyde	116.0346993	116.03	L-Aspartate 4-semialdehyde_116.03
L-Valine	116.0717583	116.07	L-Valine_116.07
Succinate	117.0189076	117.02	Succinate_117.02
L-Threonine	118.0508383	118.05	L-Threonine_118.05
L-Homoserine	118.0508383	118.05	L-Homoserine_118.05
Phenylacetaldehyde	119.0499282	119.05	Phenylacetaldehyde_119.05
Nicotinate	122.0243017	122.02	Nicotinate_122.02
gamma-Amino-gamma-cyanobutanoate	127.0512333	127.05	gamma-Amino-gamma-cyanobutanoate_127.05
L-1-Pyrroline-3-hydroxy-5-carboxylate	128.0353399	128.04	L-1-Pyrroline-3-hydroxy-5-carboxylate_128.04
Itaconate	129.0191343	129.02	Itaconate_129.02
N-Acetylputrescine	129.1036084	129.10	N-Acetylputrescine_129.10
L-Glutamate 5-semialdehyde	130.0512157	130.05	L-Glutamate 5-semialdehyde_130.05
trans-4-Hydroxy-L-proline	130.0512157	130.05	trans-4-Hydroxy-L-proline_130.05
5-Amino-4-oxopentanoate	130.0512157	130.05	5-Amino-4-oxopentanoate_130.05
L-Isoleucine	130.08717	130.09	L-Isoleucine_130.09
L-Leucine	130.08717	130.09	L-Leucine_130.09
Uracil	131.0233646	131.02	Uracil_131.02
(S)-2-Acetolactate	131.034738	131.03	(S)-2-Acetolactate_131.03
L-Asparagine	131.046212	131.05	L-Asparagine_131.05
Ornithine	131.0821437	131.08	Ornithine_131.08
L-Aspartate	132.030102	132.03	L-Aspartate_132.03
L-Malate	133.0137984	133.01	L-Malate_133.01
"(R)-2,3-Dihydroxy-3-methylbutanoate"	133.0505893	133.05	"(R)-2,3-Dihydroxy-3-methylbutanoate_133.05"
Deoxyribose	133.0505893	133.05	Deoxyribose_133.05
Adenine	134.0467026	134.05	Adenine_134.05
4-Hydroxy-L-threonine	134.0467026	134.05	4-Hydroxy-L-threonine_134.05
2-Phenylacetamide	134.0594559	134.06	2-Phenylacetamide_134.06
Hypoxanthine	135.0311664	135.03	Hypoxanthine_135.03
Phenylacetic acid	135.0450287	135.05	Phenylacetic acid_135.05
4-Aminobenzoate	136.0404846	136.04	4-Aminobenzoate_136.04
Anthranilate	136.0404846	136.04	Anthranilate_136.04
4-Amino-5-hydroxymethyl-2-methylpyrimidine	138.0662001	138.07	4-Amino-5-hydroxymethyl-2-methylpyrimidine_138.07
L-Histidinol	140.0830441	140.08	L-Histidinol_140.08
octanoate (n-C8:0)	143.1075675	143.11	octanoate (n-C8:0)_143.11
4-Acetamidobutanoate	144.0664198	144.07	4-Acetamidobutanoate_144.07
L-2-Aminoadipate 6-semialdehyde	144.0664198	144.07	L-2-Aminoadipate 6-semialdehyde_144.07
2-Oxoglutarate	145.0142775	145.01	2-Oxoglutarate_145.01
(S)-2-Aceto-2-hydroxybutanoate	145.0504426	145.05	(S)-2-Aceto-2-hydroxybutanoate_145.05
2-Dehydropantoate	145.0504426	145.05	2-Dehydropantoate_145.05
L-Glutamine	145.0625071	145.06	L-Glutamine_145.06
L-Glutamate	146.0458463	146.05	L-Glutamate_146.05
O-Acetyl-L-serine	146.0458463	146.05	O-Acetyl-L-serine_146.05
L-4-Hydroxyglutamate semialdehyde	146.0458463	146.05	L-4-Hydroxyglutamate semialdehyde_146.05
"D-Arabinono-1,4-lactone"	147.0295061	147.03	"D-Arabinono-1,4-lactone_147.03"
(R)-Pantoate	147.0670617	147.07	(R)-Pantoate_147.07
(R)-Mevalonate	147.0670617	147.07	(R)-Mevalonate_147.07
"(R)-2,3-Dihydroxy-3-methylpentanoate"	147.0670617	147.07	"(R)-2,3-Dihydroxy-3-methylpentanoate_147.07"
D-Xylulose	149.0456113	149.05	D-Xylulose_149.05
D-Arabinose	149.0456113	149.05	D-Arabinose_149.05
L-Arabinose	149.0456113	149.05	L-Arabinose_149.05
D-Ribose	149.0456113	149.05	D-Ribose_149.05
D-Xylose	149.0456113	149.05	D-Xylose_149.05
(S)-3-Methyl-2-oxopentanoate	149.0606938	149.06	(S)-3-Methyl-2-oxopentanoate_149.06
4-Methyl-2-oxopentanoate	149.0606938	149.06	4-Methyl-2-oxopentanoate_149.06
Guanine	150.0419559	150.04	Guanine_150.04
Xanthine	151.0259096	151.03	Xanthine_151.03
3-Hydroxyanthranilate	152.0349602	152.03	3-Hydroxyanthranilate_152.03
L-Histidine	154.0622743	154.06	L-Histidine_154.06
Orotate	155.0119261	155.01	Orotate_155.01
2-Aminomuconate	156.0305508	156.03	2-Aminomuconate_156.03
2-Isopropylmaleate	157.0505095	157.05	2-Isopropylmaleate_157.05
Indole-3-acetaldehyde	158.0601959	158.06	Indole-3-acetaldehyde_158.06
2-Oxoadipate	159.0301005	159.03	2-Oxoadipate_159.03
O-Acetyl-L-homoserine	160.0613297	160.06	O-Acetyl-L-homoserine_160.06
Chitosan (monomer)	160.0613297	160.06	Chitosan (monomer)_160.06
L-2-Aminoadipate	160.0613297	160.06	L-2-Aminoadipate_160.06
L-Carnitine	160.0976212	160.10	L-Carnitine_160.10
4-Hydroxy-2-oxoglutarate	161.0098058	161.01	4-Hydroxy-2-oxoglutarate_161.01
"1,3-beta-D-Glucan (monomer)"	161.0454448	161.05	"1,3-beta-D-Glucan (monomer)_161.05"
Mannan (monomer)	161.0454448	161.05	Mannan (monomer)_161.05
Phenylpyruvate	163.0402098	163.04	Phenylpyruvate_163.04
L-Phenylalanine	164.0715073	164.07	L-Phenylalanine_164.07
Phosphoenolpyruvate	166.9755985	166.98	Phosphoenolpyruvate_166.98
Pyridoxine	168.0665425	168.07	Pyridoxine_168.07
Dihydroxyacetone phosphate	168.990652	168.99	Dihydroxyacetone phosphate_168.99
Glyceraldehyde 3-phosphate	168.990652	168.99	Glyceraldehyde 3-phosphate_168.99
Glycerol 3-phosphate	171.0060936	171.01	Glycerol 3-phosphate_171.01
L-Arabinitol	171.0656169	171.07	L-Arabinitol_171.07
Xylitol	171.0656169	171.07	Xylitol_171.07
Decanoate (n-C10:0)	171.1392149	171.14	Decanoate (n-C10:0)_171.14
N-Acetyl-L-glutamate 5-semialdehyde	172.061462	172.06	N-Acetyl-L-glutamate 5-semialdehyde_172.06
Shikimate	173.045075	173.05	Shikimate_173.05
3-Carboxy-4-methyl-2-oxopentanoate	173.045075	173.05	3-Carboxy-4-methyl-2-oxopentanoate_173.05
N2-Acetyl-L-ornithine	173.092779	173.09	N2-Acetyl-L-ornithine_173.09
L-Arginine	173.1039689	173.10	L-Arginine_173.10
Indole-3-acetate	174.0558518	174.06	Indole-3-acetate_174.06
L-Citrulline	174.0879668	174.09	L-Citrulline_174.09
N-Carbamoyl-L-aspartate	175.0389869	175.04	N-Carbamoyl-L-aspartate_175.04
3-Carboxy-2-hydroxy-4-methylpentanoate	175.0607439	175.06	3-Carboxy-2-hydroxy-4-methylpentanoate_175.06
3-Carboxy-3-hydroxy-4-methylpentanoate	175.0607439	175.06	3-Carboxy-3-hydroxy-4-methylpentanoate_175.06
Diphosphate	176.9356906	176.94	Diphosphate_176.94
3-(4-Hydroxyphenyl)pyruvate	179.0345394	179.03	3-(4-Hydroxyphenyl)pyruvate_179.03
D-Galactose	179.0559767	179.06	D-Galactose_179.06
D-Glucose	179.0559767	179.06	D-Glucose_179.06
myo-Inositol	179.0559767	179.06	myo-Inositol_179.06
D-Mannose	179.0559767	179.06	D-Mannose_179.06
L-Sorbose	179.0559767	179.06	L-Sorbose_179.06
D-Fructose	179.0559767	179.06	D-Fructose_179.06
D-Sorbitol	181.0712602	181.07	D-Sorbitol_181.07
L-Sorbitol	181.0712602	181.07	L-Sorbitol_181.07
3-Phosphohydroxypyruvate	182.9701996	182.97	3-Phosphohydroxypyruvate_182.97
"3,4-dihydroxy-2-butanone 4-phosphate"	183.0058301	183.01	"3,4-dihydroxy-2-butanone 4-phosphate_183.01"
O-Phospho-L-serine	184.0013914	184.00	O-Phospho-L-serine_184.00
3-Phospho-D-glycerate	184.9861248	184.99	3-Phospho-D-glycerate_184.99
D-Glycerate 2-phosphate	184.9861248	184.99	D-Glycerate 2-phosphate_184.99
Pyridoxal	186.0561634	186.06	Pyridoxal_186.06
8-Amino-7-oxononanoate	186.1134359	186.11	8-Amino-7-oxononanoate_186.11
"But-1-ene-1,2,4-tricarboxylate"	187.0248239	187.02	"But-1-ene-1,2,4-tricarboxylate_187.02"
N-Acetyl-L-glutamate	188.0559411	188.06	N-Acetyl-L-glutamate_188.06
3-Dehydroquinate	189.0421203	189.04	3-Dehydroquinate_189.04
Isocitrate	191.0198914	191.02	Isocitrate_191.02
Citrate	191.0198914	191.02	Citrate_191.02
O-Phospho-L-homoserine	198.0172321	198.02	O-Phospho-L-homoserine_198.02
Indolepyruvate	202.0501936	202.05	Indolepyruvate_202.05
Chitin (monomer)	202.0722781	202.07	Chitin (monomer)_202.07
O-Acetylcarnitine	202.1085767	202.11	O-Acetylcarnitine_202.11
L-Tryptophan	203.0823918	203.08	L-Tryptophan_203.08
2-Amino-3-carboxymuconate semialdehyde	204.0298015	204.03	2-Amino-3-carboxymuconate semialdehyde_204.03
Lipoamide	204.0528787	204.05	Lipoamide_204.05
2-Methylcitrate	205.0355199	205.04	2-Methylcitrate_205.04
homocitrate	205.0355199	205.04	homocitrate_205.04
Homoisocitrate	205.0355199	205.04	Homoisocitrate_205.04
4-Phospho-L-aspartate	211.9967523	212.00	4-Phospho-L-aspartate_212.00
2-Oxo-3-hydroxy-4-phosphobutanoate	212.9823158	212.98	2-Oxo-3-hydroxy-4-phosphobutanoate_212.98
Dethiobiotin	213.1239394	213.12	Dethiobiotin_213.12
O-Phospho-4-hydroxy-L-threonine	214.0117262	214.01	O-Phospho-4-hydroxy-L-threonine_214.01
5-L-Glutamyl-L-alanine	217.0831213	217.08	5-L-Glutamyl-L-alanine_217.08
4-Amino-2-methyl-5-phosphomethylpyrimidine	218.0331877	218.03	4-Amino-2-methyl-5-phosphomethylpyrimidine_218.03
O-Succinyl-L-homoserine	218.0669936	218.07	O-Succinyl-L-homoserine_218.07
(R)-Pantothenate	218.1032061	218.10	(R)-Pantothenate_218.10
3-Hydroxy-L-kynurenine	223.0735665	223.07	3-Hydroxy-L-kynurenine_223.07
tetradecenoate (n-C14:1)	225.1861703	225.19	tetradecenoate (n-C14:1)_225.19
L-Glutamate 5-phosphate	226.0116528	226.01	L-Glutamate 5-phosphate_226.01
Deoxycytidine	226.0839176	226.08	Deoxycytidine_226.08
L-Kynurenine	227.0817655	227.08	L-Kynurenine_227.08
tetradecanoate (n-C14:0)	227.2016277	227.20	tetradecanoate (n-C14:0)_227.20
5-Phospho-beta-D-ribosylamine	228.0280329	228.03	5-Phospho-beta-D-ribosylamine_228.03
alpha-D-Ribose 1-phosphate	229.0115814	229.01	alpha-D-Ribose 1-phosphate_229.01
alpha-D-Ribose 5-phosphate	229.0115814	229.01	alpha-D-Ribose 5-phosphate_229.01
D-Ribulose 5-phosphate	229.0115814	229.01	D-Ribulose 5-phosphate_229.01
D-Xylulose 5-phosphate	229.0115814	229.01	D-Xylulose 5-phosphate_229.01
2-Deoxy-D-ribose 1-phosphate	233.0225987	233.02	2-Deoxy-D-ribose 1-phosphate_233.02
2-Deoxy-D-ribose 5-phosphate	233.0225987	233.02	2-Deoxy-D-ribose 5-phosphate_233.02
L-Formylkynurenine	235.0725621	235.07	L-Formylkynurenine_235.07
S-aminomethyldihydrolipoamide	236.1038783	236.10	S-aminomethyldihydrolipoamide_236.10
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate	237.0280445	237.03	D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate_237.03
3-(Imidazol-4-yl)-2-oxopropyl phosphate	239.0228381	239.02	3-(Imidazol-4-yl)-2-oxopropyl phosphate_239.02
Thymidine	241.0832332	241.08	Thymidine_241.08
4-Methyl-5-(2-phosphoethyl)-thiazole	242.0080285	242.01	4-Methyl-5-(2-phosphoethyl)-thiazole_242.01
Cytidine	242.0788995	242.08	Cytidine_242.08
Uridine	243.0628066	243.06	Uridine_243.06
Biotin	243.0788563	243.08	Biotin_243.08
4-amino-4-deoxychorismate	244.064864	244.06	4-amino-4-deoxychorismate_244.06
