name	mz	mz_short	name_mz
Dimethylallyl diphosphate	244.9992142	245.00	Dimethylallyl diphosphate_245.00
Isopentenyl diphosphate	244.9992142	245.00	Isopentenyl diphosphate_245.00
Pyridoxal 5-phosphate	246.0154251	246.02	Pyridoxal 5-phosphate_246.02
(R)-5-Phosphomevalonate	247.0364535	247.04	(R)-5-Phosphomevalonate_247.04
gamma-L-Glutamyl-L-cysteine	249.0555457	249.06	gamma-L-Glutamyl-L-cysteine_249.06
Shikimate 5-phosphate	253.0112174	253.01	Shikimate 5-phosphate_253.01
Dihydroneopterin	254.0881398	254.09	Dihydroneopterin_254.09
2-Hydroxy-hexadecanal	255.2333522	255.23	2-Hydroxy-hexadecanal_255.23
"6-phospho-D-glucono-1,5-lactone"	257.00678	257.01	"6-phospho-D-glucono-1,5-lactone_257.01"
beta-D-Fructose 6-phosphate	258.0159111	258.02	beta-D-Fructose 6-phosphate_258.02
D-Glucose 6-phosphate	258.0159111	258.02	D-Glucose 6-phosphate_258.02
D-Glucosamine 6-phosphate	258.0400237	258.04	D-Glucosamine 6-phosphate_258.04
D-Glucosamine 1-phosphate	258.0400237	258.04	D-Glucosamine 1-phosphate_258.04
beta-D-glucose 6-phosphate	259.0222744	259.02	beta-D-glucose 6-phosphate_259.02
D-Tagatose 6-phosphate	259.0222744	259.02	D-Tagatose 6-phosphate_259.02
1D-myo-Inositol 1-phosphate	259.0222744	259.02	1D-myo-Inositol 1-phosphate_259.02
D-Mannose 6-phosphate	259.0222744	259.02	D-Mannose 6-phosphate_259.02
D-Mannose 1-phosphate	259.0222744	259.02	D-Mannose 1-phosphate_259.02
alpha-D-Galactose 1-phosphate	259.0222744	259.02	alpha-D-Galactose 1-phosphate_259.02
D-Fructose 6-phosphate	259.0222744	259.02	D-Fructose 6-phosphate_259.02
D-Fructose 1-phosphate	259.0222744	259.02	D-Fructose 1-phosphate_259.02
D-Glucose 1-phosphate	259.0222744	259.02	D-Glucose 1-phosphate_259.02
Thiamin	263.0976495	263.10	Thiamin_263.10
Adenosine	266.0884982	266.09	Adenosine_266.09
Deoxyguanosine	266.0884982	266.09	Deoxyguanosine_266.09
Inosine	267.0739423	267.07	Inosine_267.07
N-Acetyl-L-glutamyl 5-phosphate	268.0232656	268.02	N-Acetyl-L-glutamyl 5-phosphate_268.02
6-Phospho-D-gluconate	275.0173381	275.02	6-Phospho-D-gluconate_275.02
L-Saccharopine	275.1248532	275.12	L-Saccharopine_275.12
octadecadienoate (n-C18:2)	279.2335266	279.23	octadecadienoate (n-C18:2)_279.23
octadecenoate (n-C18:1)	281.2485391	281.25	octadecenoate (n-C18:1)_281.25
Guanosine	282.0839691	282.08	Guanosine_282.08
Xanthosine	283.068522	283.07	Xanthosine_283.07
octadecanoate (n-C18:0)	283.2646575	283.26	octadecanoate (n-C18:0)_283.26
3-Phospho-D-glyceroyl phosphate	284.9511118	284.95	3-Phospho-D-glyceroyl phosphate_284.95
"2,3-Disphospho-D-glycerate"	284.9511118	284.95	"2,3-Disphospho-D-glycerate_284.95"
N1-(5-Phospho-D-ribosyl)glycinamide	285.0490884	285.05	N1-(5-Phospho-D-ribosyl)glycinamide_285.05
N(omega)-(L-Arginino)succinate	289.1154802	289.12	N(omega)-(L-Arginino)succinate_289.12
5-amino-1-(5-phospho-D-ribosyl)imidazole	294.0462218	294.05	5-amino-1-(5-phospho-D-ribosyl)imidazole_294.05
4-(1-D-Ribitylamino)-5-aminouracil	295.1032943	295.10	4-(1-D-Ribitylamino)-5-aminouracil_295.10
N-Acetyl-D-glucosamine 6-phosphate	300.0488879	300.05	N-Acetyl-D-glucosamine 6-phosphate_300.05
N-Acetyl-D-glucosamine 1-phosphate	300.0488879	300.05	N-Acetyl-D-glucosamine 1-phosphate_300.05
dCMP	306.0510888	306.05	dCMP_306.05
Reduced glutathione	306.0798922	306.08	Reduced glutathione_306.08
dUMP	307.0311089	307.03	dUMP_307.03
Sedoheptulose 7-phosphate	309.0370383	309.04	Sedoheptulose 7-phosphate_309.04
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine	312.0605934	312.06	2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine_312.06
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide	313.042725	313.04	N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide_313.04
CMP	322.047478	322.05	CMP_322.05
Pseudouridine 5-phosphate	323.0267906	323.03	Pseudouridine 5-phosphate_323.03
UMP	323.0267906	323.03	UMP_323.03
S-Succinyldihydrolipoamide	326.0884316	326.09	S-Succinyldihydrolipoamide_326.09
(R)-5-Diphosphomevalonate	327.0030474	327.00	(R)-5-Diphosphomevalonate_327.00
cAMP	328.0473178	328.05	cAMP_328.05
NMN	333.0410419	333.04	NMN_333.04
Nicotinate D-ribonucleotide	334.0345314	334.03	Nicotinate D-ribonucleotide_334.03
S-Formylglutathione	334.0716437	334.07	S-Formylglutathione_334.07
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide	337.0552933	337.06	5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide_337.06
"D-Fructose 2,6-bisphosphate"	338.9889876	338.99	"D-Fructose 2,6-bisphosphate_338.99"
"D-Fructose 1,6-bisphosphate"	338.9889876	338.99	"D-Fructose 1,6-bisphosphate_338.99"
"D-Tagatose 1,6-biphosphate"	338.9889876	338.99	"D-Tagatose 1,6-biphosphate_338.99"
1-alpha-D-Galactosyl-myo-inositol	341.1087052	341.11	1-alpha-D-Galactosyl-myo-inositol_341.11
Trehalose	341.1087052	341.11	Trehalose_341.11
Sucrose	341.1087052	341.11	Sucrose_341.11
Melibiose	341.1087052	341.11	Melibiose_341.11
Maltose	341.1087052	341.11	Maltose_341.11
D-Gal-alpha-1->6D-Glucose	341.1087052	341.11	D-Gal-alpha-1->6D-Glucose_341.11
Epimelibiose	341.1087052	341.11	Epimelibiose_341.11
5-O-(1-Carboxyvinyl)-3-phosphoshikimate	343.0230785	343.02	5-O-(1-Carboxyvinyl)-3-phosphoshikimate_343.02
AMP	346.0557802	346.06	AMP_346.06
dGMP	346.0557802	346.06	dGMP_346.06
IMP	347.0388388	347.04	IMP_347.04
1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate	348.0443015	348.04	1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate_348.04
N-(5-Phospho-D-ribosyl)anthranilate	348.0443015	348.04	N-(5-Phospho-D-ribosyl)anthranilate_348.04
"3,5-Cyclic IMP"	349.0292346	349.03	"3,5-Cyclic IMP_349.03"
dAMP	350.0658658	350.07	dAMP_350.07
"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine"	352.0690073	352.07	"2,5-Diamino-6-hydroxy-4-(5-phosphoribosylamino)-pyrimidine_352.07"
"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate"	354.0001531	354.00	"2-Amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate_354.00"
5-Amino-6-(5-phosphoribitylamino)uracil	355.067369	355.07	5-Amino-6-(5-phosphoribitylamino)uracil_355.07
5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate	358.0449666	358.04	5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate_358.04
GMP	362.0508246	362.05	GMP_362.05
Xanthosine 5-phosphate	363.0342979	363.03	Xanthosine 5-phosphate_363.03
5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide	365.0499319	365.05	5-Formamido-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide_365.05
tetracosanoate (n-C24:0)	367.3580796	367.36	tetracosanoate (n-C24:0)_367.36
(R)-S-Lactoylglutathione	378.0996642	378.10	(R)-S-Lactoylglutathione_378.10
Sphinganine 1-phosphate	380.2540846	380.25	Sphinganine 1-phosphate_380.25
Farnesyl diphosphate	381.1236959	381.12	Farnesyl diphosphate_381.12
dUDP	387.0003966	387.00	dUDP_387.00
Orotidine 5-phosphate	387.023304	387.02	Orotidine 5-phosphate_387.02
5-Phospho-alpha-D-ribose 1-diphosphate	388.9468689	388.95	5-Phospho-alpha-D-ribose 1-diphosphate_388.95
dTDP	401.0135091	401.01	dTDP_401.01
CDP	402.0110583	402.01	CDP_402.01
UDP	402.995635	403.00	UDP_403.00
S-Adenosyl-4-methylthio-2-oxobutanoate	416.0994702	416.10	S-Adenosyl-4-methylthio-2-oxobutanoate_416.10
S-Adenosyl-L-methionine	417.1353217	417.14	S-Adenosyl-L-methionine_417.14
Thiamine diphosphate	423.0299123	423.03	Thiamine diphosphate_423.03
ADP	426.021559	426.02	ADP_426.02
"Adenosine 3,5-bisphosphate"	426.021559	426.02	"Adenosine 3,5-bisphosphate_426.02"
dGDP	426.021559	426.02	dGDP_426.02
dADP	430.0349799	430.03	dADP_430.03
4-Methylzymosterol intermediate 1	441.338079	441.34	4-Methylzymosterol intermediate 1_441.34
GDP	442.0140705	442.01	GDP_442.01
CDPethanolamine	445.0560586	445.06	CDPethanolamine_445.06
(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate	453.0680741	453.07	(S)-2-[5-Amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido]succinate_453.07
FMN	455.1039385	455.10	FMN_455.10
Dolichol phosphate	457.2892144	457.29	Dolichol phosphate_457.29
"5,6,7,8-Tetrahydrofolate"	464.1669111	464.17	"5,6,7,8-Tetrahydrofolate_464.17"
dCTP	465.9800482	465.98	dCTP_465.98
10-Formyltetrahydrofolate	472.155325	472.16	10-Formyltetrahydrofolate_472.16
5-Formyltetrahydrofolate	472.155325	472.16	5-Formyltetrahydrofolate_472.16
CTP	481.9769731	481.98	CTP_481.98
UTP	482.9608827	482.96	UTP_482.96
dUTP	486.9746443	486.97	dUTP_486.97
dATP	489.9918303	489.99	dATP_489.99
"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate"	493.9817918	493.98	"2-Amino-4-hydroxy-6-(erythro-1,2,3-trihydroxypropyl)dihydropteridine triphosphate_493.98"
Thiamin triphosphate	502.9966207	503.00	Thiamin triphosphate_503.00
"(1,4-alpha-D-Glucosyl)3"	503.1629295	503.16	"(1,4-alpha-D-Glucosyl)3_503.16"
Raffinose	503.1629295	503.16	Raffinose_503.16
dGTP	505.9880093	505.99	dGTP_505.99
ATP	505.9880093	505.99	ATP_505.99
CDPcholine	507.1049089	507.10	CDPcholine_507.10
GTP	521.9835271	521.98	GTP_521.98
3-Phosphoadenylyl sulfate	525.9823305	525.98	3-Phosphoadenylyl sulfate_525.98
ITP	526.9715792	526.97	ITP_526.97
UDPglucose	565.0483004	565.05	UDPglucose_565.05
UDPgalactose	565.0483004	565.05	UDPgalactose_565.05
Protoporphyrinogen IX	567.3053451	567.31	Protoporphyrinogen IX_567.31
Tetrahydrofolyl-[Glu]	573.2029134	573.20	Tetrahydrofolyl-[Glu]_573.20
1-(5-Phosphoribosyl)-AMP	578.0613979	578.06	1-(5-Phosphoribosyl)-AMP_578.06
ADPribose	578.0613979	578.06	ADPribose_578.06
GDP-D-mannose	604.0701461	604.07	GDP-D-mannose_604.07
all-trans-Octaprenyl diphosphate (5 repeating units)	605.3182541	605.32	all-trans-Octaprenyl diphosphate (5 repeating units)_605.32
UDP-N-acetyl-D-galactosamine	606.0744078	606.07	UDP-N-acetyl-D-galactosamine_606.07
Oxidized glutathione	611.1451093	611.15	Oxidized glutathione_611.15
Nicotinamide adenine dinucleotide	662.1008968	662.10	Nicotinamide adenine dinucleotide_662.10
Nicotinamide adenine dinucleotide - reduced	664.1165825	664.12	Nicotinamide adenine dinucleotide - reduced_664.12
glycogen (tetramer)	665.2179227	665.22	glycogen (tetramer)_665.22
Ceramide-1 (Sphinganine:n-C24:0)	670.6474006	670.65	Ceramide-1 (Sphinganine:n-C24:0)_670.65
Coproporphyrinogen III	679.3141745	679.31	Coproporphyrinogen III_679.31
Ceramide-2 (Sphinganine:n-C26:0OH)	694.6746827	694.67	Ceramide-2 (Sphinganine:n-C26:0OH)_694.67
Ceramide-2 (Phytosphingosine:n-C26:0)	694.6746827	694.67	Ceramide-2 (Phytosphingosine:n-C26:0)_694.67
Tetrahydropteroyltri-L-glutamate	702.2420035	702.24	Tetrahydropteroyltri-L-glutamate_702.24
Ceramide-3 (Phytosphingosine:n-C26:0OH)	710.6550767	710.66	Ceramide-3 (Phytosphingosine:n-C26:0OH)_710.66
5-Methyltetrahydropteroyltri-L-glutamate	716.2633109	716.26	5-Methyltetrahydropteroyltri-L-glutamate_716.26
1-(5-Phosphoribosyl)-ATP	717.9930953	717.99	1-(5-Phosphoribosyl)-ATP_717.99
Nicotinamide adenine dinucleotide phosphate	742.0696243	742.07	Nicotinamide adenine dinucleotide phosphate_742.07
Nicotinamide adenine dinucleotide phosphate	762.0741866	762.07	Nicotinamide adenine dinucleotide phosphate_762.07
Coenzyme A	766.1103331	766.11	Coenzyme A_766.11
Flavin adenine dinucleotide oxidized	784.1431313	784.14	Flavin adenine dinucleotide oxidized_784.14
Acetyl-CoA	808.1182597	808.12	Acetyl-CoA_808.12
Propanoyl-CoA	822.1302253	822.13	Propanoyl-CoA_822.13
"P1,P4-Bis(5-adenosyl) tetraphosphate"	835.0404563	835.04	"P1,P4-Bis(5-adenosyl) tetraphosphate_835.04"
Uroporphyrinogen III	835.2592283	835.26	Uroporphyrinogen III_835.26
"P1,P4-Bis(5-guanosyl) tetraphosphate"	862.9944318	862.99	"P1,P4-Bis(5-guanosyl) tetraphosphate_862.99"
"P1-(5-adenosyl),P4-(5-guanosyl) tetraphosphate"	871.0501376	871.05	"P1-(5-adenosyl),P4-(5-guanosyl) tetraphosphate_871.05"
dihydrosirohydrochlorin	883.2980088	883.30	dihydrosirohydrochlorin_883.30
Itaconyl-CoA	898.1309864	898.13	Itaconyl-CoA_898.13
Hydroxymethylglutaryl-CoA	910.1613767	910.16	Hydroxymethylglutaryl-CoA_910.16
