	PDR3	HAP3	RTG3	SMP1	RDS1	RPN4	MBP1	UGA3	SWI5	MET32	YAP6	SUM1	CAD1	RPH1	GAT1	PDR1	SNT2	YAP3	OPI1	RIM101	STB5	XBP1	YAP5	SIP4	GZF3	CBF1	PUT3	RGT1	PHD1	MSN4	DAL80	HAP1	YAP1	SOK2	STB4	CRZ1	FKH2	YAP7	AZF1	MET31	RLM1	AFT2	ARR1
Citrate (cor: 0.97)	0.0	0.0	-0.0	0.5010067277459705	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	1.0852588147235704	0.0	0.0	0.0	-0.0	0.7343309710434607	-0.0	0.0	0.34865150645691656	0.0	0.0	0.3294905545774059	-0.0	0.0	-0.0	0.9564441257163715	0.0	-0.05340606339562216	-0.0	-0.0	-0.0	-0.0	0.0	-1.71112160273703	-0.0897351136923764
Lipoate (cor: 0.97)	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.06332155082352255	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.7751877619018305	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.14096921834531875	-0.0	-0.0	0.13797418266963324	0.0	-0.9976531481774499	0.2879872693570617	-0.06086759604177786	0.0	-0.07849624041236754
N-(L-Arginino)succinate (cor: 0.97)	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.17283935057908076	0.0	0.0	0.0	-0.06378615491031588	0.0	0.0	0.17111997772296986	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.7694231612252875	0.0	0.12545797112080828
L-Ornithine (cor: 0.97)	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.03917530060070361	-0.0	0.0	0.04921356771652641	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.3740108186055019	1.2634066103322872	0.0	0.0	0.0	0.2971009834399198	-0.0	0.0	0.2849994369469661
Acetate (cor: 0.96)	0.0	0.0	0.0	-0.0	-0.009620392500621687	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.6446749921987651	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.3238620219152771	0.0019628109864132	0.0	-0.41423561815363863	0.0	-0.0	-0.0	-0.02020495454554499
Glycerol (cor: 0.96)	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.07416586938543594	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.3674605936622489	-0.0	-0.0	-0.0	-0.0	-0.7160522442738354	-0.0	-0.2819994699811037
Fumarate (cor: 0.96)	0.0	0.0	-0.0	0.18181628545772083	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	1.5144018892347262	0.0	0.0	0.0	-0.0	0.0	-0.0	0.507570939784056	0.05436644279382023	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.20463760790193936
Sucrose (cor: 0.96)	0.0	0.0	0.0	0.0	-0.7638213566697065	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-1.1958808963182104	-0.7512780161781564	0.0	-0.0	0.47267866677515474	0.0	-0.0	1.445077811494062	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	1.0097493099786075	-0.41177863884101706	-0.0	-0.0	-0.0	-1.6348345474066444	0.0	-0.0	0.0
(Z)-But-1-ene-1,2,4-tricarboxylate (cor: 0.96)	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.7205495300280659	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.14364585790141415	-0.0	-0.0	0.13701213736487175	0.0	-0.5712969492364395	0.0	-0.11261663808350343	-0.0	-0.0
L-Aspartate (cor: 0.96)	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.23108569218393948	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.24773243303765555	-0.4098873136152315	0.0	0.8149592437605194	-0.0	0.0	0.0	0.2840789384694806
ADP (cor: 0.95)	-0.3414840823394474	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0966721711023412	0.0	-0.0	0.0	-0.016058526907972732	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.1823239214438099	0.0	0.0	0.0	0.0	0.0	0.11160615448389236	0.0	0.05781155974399049
L-Histidine (cor: 0.95)	-0.0	-0.0	-0.0	-0.0	0.27941463898736224	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.2610804729698801	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.19308604164967216	0.8591645197553593	0.0	0.0	0.0	0.17396163559898786	-0.0	0.0	0.6411378288096159
2-Dehydro-3-deoxy-L-arabinonate (cor: 0.94)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.033356267064370816	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.43015050480725997	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.2035326437185191	0.0	-0.045617719417507196	0.0	-0.3028576566287325	-0.0	-0.04254174765152266
ATP (cor: 0.94)	-0.6469907951062058	-0.0	-0.0	0.0	0.09388072623532027	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.33265334289604753	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.1631213522727011	0.3825662228528983	0.0	0.0	0.0	0.0	0.0	0.0	0.08111995938153008
4-Acetamidobutanoate (cor: 0.94)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0262699002755948	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.15854461839526376	-0.0	-0.43396086271305867	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.28513374268582936	0.0	-0.0	0.0	-0.0	-0.0	-0.0
GDP-mannose (cor: 0.94)	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.1599965092984481	0.0	-0.0	-0.1852416059802988	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.021131876694427815	-0.3581021846101864	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.18797788250493852
1-(5'-Phosphoribosyl)-5-formamido-4-imidazolecarboxamide (cor: 0.94)	-0.0	-0.0	-0.0	0.21746397255287286	0.2859484519559439	0.0	0.0	0.13190024459037497	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.05338007029408437	0.0	-0.0	-0.0	-0.0	-0.8431058824254608	0.0	0.0	0.05863027880044166	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.8413395450908329	0.0	0.0	0.6173401341360095	-0.0	0.0	0.0	-0.0
sn-Glycerol 3-phosphate (cor: 0.94)	0.0	-0.0	-0.0	0.381573785741773	-0.0	-0.0	0.0	0.027952175254169223	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.14345432630990748	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.24347842492498317	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.03928955836146987	0.0	-0.0	-0.0	-0.0	-0.0	-0.7487600896924826
Uridine (cor: 0.94)	-0.0	-0.0	-0.0	0.051841210511817615	0.2070062434146282	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.6519691571614114	0.06086181864528968	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.11390910072973583	0.0	0.9319667929270381
UDP-glucose (cor: 0.93)	-0.0	0.0	-0.0	0.0	0.10014312665334099	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.044668144076671544	-0.2633881307319879	0.0	0.45595457914421217	0.0	-0.0	0.4078612243478751	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.11144789414906835	-0.0	0.3185874261344161	-0.0	0.0	0.0	0.0
Deoxyribose (cor: 0.93)	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.3190199832018384	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.04737483571217791	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.6369290851008456	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.21730355953879257
Pyruvate (cor: 0.92)	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.1498345244771655	-0.0	-0.0	-0.0	0.0	0.0	0.0882464499421853	0.0	-0.0	-0.1254424295994027	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.06179734477825572	0.0	0.0	-0.5690231767039794	-0.0	-0.0	-0.0	-0.0	-0.03845276700553174	-0.0	-0.11058207217291803
D-Fructose 1,6-bisphosphate (cor: 0.92)	0.0	-0.0	-0.0	0.12799355984064414	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.05577717092898928	-0.0	0.0	0.005696883470671203	0.5662776623436528	-0.0	0.0	-0.0	0.0	0.0	-0.1023212185814785	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.4543293077755425	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.4666906367479724
D-Glucose (cor: 0.91)	0.0	-0.0	0.0	-0.0	-0.2361052812987025	-0.0	0.0	0.0	-0.0	-0.07183067282607629	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.38362979686384097	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.25612526946511566	0.0	0.0	-0.0	-0.0	-0.7056973748777745	-0.0	-0.1928744591160196
L-Arginine (cor: 0.91)	-0.0	-0.0	-0.0	0.0	0.6445008699532222	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.05036905123447999	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.13051604146346865	0.0	0.6647856146509669	0.0	-0.03030126712027943	0.0	0.743314282550654
1-Pyrroline-2-carboxylate (cor: 0.91)	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.08976933853770533	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.35797035562758384	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.3768100659128225	0.017508812796593325	0.0	-0.6499304397942111	-0.0	-0.0	-0.0	-0.20509744599370652
GMP (cor: 0.90)	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.02994575621193074	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.07141666824106523	-0.0	0.0	0.0	0.0	0.0	0.22319236438292178	-0.0	0.0	-0.0	0.0	0.0	-0.42065597669503446	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0
UDP (cor: 0.90)	-0.0	-0.0	-0.0	0.16344234315034406	0.4561226244766215	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.3211986682507081	-0.0	-0.0	0.0	0.0	-0.0	0.0734882150002555	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.9507258014257408	0.0	0.0	0.0	0.0
N2-Acetyl-L-aminoadipate (cor: 0.90)	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.1141606795288734	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.46561672065162224	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.37987256753055043	0.01217176359233678	0.0	-0.6080950651720735	-0.0	-0.0	-0.0	-0.16848812581734582
Diphosphate (cor: 0.90)	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.179233911362484	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.01952364016676959	0.0	0.0	-0.4510552897305716	0.0	-0.12018875586986005	-0.0	-0.10760792508922845
UTP (cor: 0.90)	-0.0	-0.0	-0.0	0.0	0.25333605967265477	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.3326823365147559	-0.0	0.0	0.0	0.0	-0.0	0.4755495503491062	-0.0	0.0	-0.0	0.0	0.0	0.0	-0.00849986955272959	-0.0	0.5054967316484876	0.0	-0.0	0.0	0.0
Glycine (cor: 0.90)	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.19721101454219297	-0.0	0.0	-0.0	0.0	-0.0	-0.01953649054162002	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.22220479647003016	-0.0	0.1262687190200961	0.0	0.0	0.0	0.0	0.0	0.0	0.23896072514665667
L-Valine (cor: 0.90)	-0.0	0.0	0.0	-0.034490406489996454	-0.17414862962294875	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.1688191060926679	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.03309440599259005	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.39236576977756266
Methylglyoxal (cor: 0.90)	0.0	0.0	0.0	-0.0	-0.17853440969476947	-0.0	0.0	0.0	-0.0	-0.043412970477165296	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.02264687462788407	-0.0	-0.4020214268096044	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.21919709551844885	-0.0	0.0	-0.0	-0.0	-0.427939402769546	-0.0	-0.14888665983909435
Orthophosphate (cor: 0.90)	0.0	-0.0	0.0	-0.059260533433232544	-0.05906619480997703	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.6253719630983112	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0494374248812014	0.0	-0.48070340216363494	0.0	-0.3818242792005059	-0.0	-0.11550539021025769
UDP-N-acetyl-D-glucosamine (cor: 0.89)	-0.08760447287595574	-0.0	-0.0	0.0	0.0988098967005939	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.10222751634922507	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.28436447388691616	-0.0	0.0	1.1275212165467978	0.0	0.0	0.0	0.31049978606203454
Raffinose (cor: 0.89)	0.0	0.0	0.0	-0.013273890089182597	-0.0	0.0	0.0	0.0	-0.0	-0.0010831880256697468	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.4275384241168245	0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.04287999720238872	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.005296470659670752	-0.0	-0.0	-0.0	-0.0	-0.0	-0.1867790778892658	-0.0	-0.0876947826638628
3-Phospho-D-glycerate (cor: 0.89)	0.0	-0.0	0.0	-0.06611525576667822	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.12053944233086493	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.2706527434613659	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.13340897762908757	0.08283904026256367	0.0	-0.2724735264445954	0.0	-0.33482394402580107	-0.0	-0.0821645600856674
Glutathione disulfide (cor: 0.88)	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.7162641543122892	-0.0	0.0	0.0	0.0	-1.4885335862801434	-0.0	-0.0	-0.0	0.0	0.0	0.4134209241598736	0.0	-0.0	0.4723468364898936	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.5717031163305006	-0.0	-0.0	0.0	-0.0	0.039167230154595375	0.0	-0.0
5-Phosphoribosylamine (cor: 0.88)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.17898739919856402	0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.10690410413395798	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.09964210995156213	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.01934562867685786	0.005373671686743296	0.0	-0.75828750872761	0.0	-0.0013818708908027158	-0.0	-0.1735944333787692
L-2-Aminoadipate (cor: 0.88)	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.022829809351291752	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.20323989187640548	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.14447667980408757	0.0	-0.16914409826080787	0.0	-0.1886806077417112	-0.0	-0.13028628279726984
AMP (cor: 0.88)	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.08525559379716054	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.2203575351370734	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.07130383668348655	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0
Glycerone (cor: 0.87)	0.30685261703500716	0.0	0.0	0.0	-0.09575535268050532	0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.3472401426370881	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.04800713129870434	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.3504815621265131	-0.0	-0.0	-0.0	-0.0	-0.011747461368893078	-0.0	-0.1130629557176049
L-Leucine (cor: 0.87)	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.11022537073601606	-0.0	0.0	-0.0	0.0	-0.0	0.0372657010346971	-0.0	0.0	0.2224679712028216	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	-0.0	-0.0	0.025016202866269606	0.0	0.1050872055204464	0.0	0.2975005670317007
Glycerone phosphate (cor: 0.86)	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.17912323076012981	0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.19647668948868616	0.0	-0.46018417701752207	-0.0	-0.12287943476224142
