	PDR3	HAP3	RTG3	SMP1	RDS1	RPN4	MBP1	UGA3	SWI5	MET32	YAP6	SUM1	CAD1	RPH1	GAT1	PDR1	SNT2	YAP3	OPI1	RIM101	STB5	XBP1	YAP5	SIP4	GZF3	CBF1	PUT3	RGT1	PHD1	MSN4	DAL80	HAP1	YAP1	SOK2	STB4	CRZ1	FKH2	YAP7	AZF1	MET31	RLM1	AFT2	ARR1
5,6-Dihydrothymine (cor: 0.99)	-0.0	-0.0	0.0	-1.46987419578373	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.4581904572378381	-0.0	-2.857155374904038	-0.0	0.0	0.0	-0.0	0.0	-0.7263683461764553	-0.0	0.0	-0.0	0.0	-0.0	-1.8384787465873254	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	1.4640003376921005	0.0	0.0	0.0	0.0	0.0	1.3330404049594635
L-Glutamine (cor: 0.99)	-0.0	-0.0	0.0	-2.0206130012179546	-0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.999570100134289	-0.0	-2.2655648414505625	-0.0	0.0	-0.0	-0.0	0.0	-0.22035813203769766	-0.0	0.0	0.0	0.0	-0.0	-2.676052744672301	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	0.0	1.5252408177743386	0.0	0.0	0.0020951574589723127	0.0	0.0	1.058009833234301
N-Acetyl-L-glutamate (cor: 0.99)	-0.0	-0.0	0.0	-0.9539760963323316	-0.0	0.0	-0.0	0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.150762473150203	-0.0	-0.0	-0.0	-0.9182755389481503	-0.0	0.0	-0.35126849633504076	0.030884940271751735	-0.0	-1.9028548991949048	-0.0	-0.0	-0.0	0.0	0.0	0.0	-1.4550897972463226	-0.0	0.0	0.17272649349111746	0.0	0.0	0.0	0.0	0.0	0.37288484522242565
Inosine (cor: 0.99)	-0.0	-0.0	-0.0	1.8533647274256018	1.1939342499055121	0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.3168616348367612	0.0	0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.9825348695456393	-0.0	0.0	1.8423303348144473	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	4.687761598891077	0.0	0.0	1.158442109071715	0.4058088138719338	0.5982058140131142	0.0	0.0
D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate (cor: 0.99)	-0.0	0.0	0.046263325452296035	-0.0	-0.2146449606856179	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.03069324813512682	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.5710504960241539	-0.0	0.0	0.0	0.5424998712766946	-0.0	0.15142901960525101
4-Oxoproline (cor: 0.99)	-0.0	-0.0	0.0	-0.7662839590226694	-0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	0.0	-0.0	-0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.3337117484744375	-0.0	0.0	-0.0	0.0	-0.0	-0.16083290455998653	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.30893935995793564	-0.0	0.7446896859261934	0.4802162694943528	0.0	0.0	0.0	0.0	0.0	0.7698145676885652
L-Proline (cor: 0.98)	0.0	0.0	-0.0	0.37728764123188113	-0.18920434002211617	-0.0	0.0	-0.0	0.0	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.0	0.12059159310046866	-0.0	0.0	1.4945897458338093	0.0	0.0	0.0	-0.0	0.0	-0.0	1.7616248567634711	0.0	-0.0	-0.039066561821073646	-0.0	0.0	-0.0	0.0	-0.0	-0.41484108185082086
gamma-L-Glutamyl-L-cysteine (cor: 0.98)	-0.0	-0.0	-0.0	-0.0	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	-0.0	-0.8963125415456461	-0.0	0.0	0.07932426041743436	0.0	-0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.0	-0.0	1.2156371406271163	0.0	-0.0	0.4064067287780944	0.0	0.0	0.0	0.35764147473784197
Hypoxanthine (cor: 0.98)	-0.0	-0.0	-0.0	0.4039754158181548	0.7135600837775823	0.0	-0.0	0.0	0.0	0.4644026128126742	0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.3403897292945707	-0.0	-0.0	-0.0	0.0	-0.0	0.07446506211201151	0.0	0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.7998115649997806	0.0	-0.0	0.042485550817453636	0.0	0.0	0.0	0.5542426849111043
(S)-Malate (cor: 0.98)	-0.0	0.0	-0.0	0.5824025782618729	-0.0	-0.0	0.0	-0.0	0.0	0.0	0.0	0.0	-0.3476679828386589	0.0	0.0	0.0	0.10628030596731555	0.0	0.0	0.0	0.0	0.0	-0.0	0.08900970819933529	-0.0	0.0	2.09887457828738	0.0	0.0	0.08381435628246985	-0.0	0.0	-0.0	0.36947929901218596	0.0	-0.0	-0.0	-0.0	0.0	-0.0	0.0	-0.0	-0.41622935616838075
