	N_downshift_15min	N_downshift_25min	N_downshift_44min	N_downshift_5min	N_downshift_79min	N_downshift_9min	N_upshift_15min	N_upshift_25min	N_upshift_44min	N_upshift_5min	N_upshift_79min	N_upshift_9min	Rapamycin_15min	Rapamycin_25min	Rapamycin_44min	Rapamycin_5min	Rapamycin_79min	Rapamycin_9min
YAL017W	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0
YBL016W	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YBL088C	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	3.0	4.0
YBR059C	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR136W	5.0	5.0	4.0	4.0	5.0	5.0	4.0	5.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	3.0	4.0
YBR160W	106.0	103.0	101.0	85.0	102.0	106.0	44.0	49.0	51.0	47.0	48.0	50.0	110.0	114.0	113.0	110.0	111.0	103.0
YBR274W	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YBR276C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YDL006W	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
YDL028C	6.0	5.0	6.0	6.0	5.0	6.0	6.0	6.0	6.0	4.0	6.0	5.0	7.0	6.0	6.0	7.0	7.0	5.0
YDL047W	7.0	6.0	7.0	6.0	7.0	7.0	3.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	1.0	2.0	3.0	3.0
YDL101C	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL108W	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YDL134C	3.0	2.0	2.0	1.0	2.0	3.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL188C	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YDL230W	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0
YDR477W	5.0	5.0	5.0	4.0	4.0	5.0	3.0	3.0	3.0	2.0	2.0	3.0	8.0	7.0	8.0	8.0	9.0	9.0
YFL029C	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
YFL033C	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YFR028C	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YGL019W	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0
YGL059W	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YGL134W	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
YGR262C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YHR030C	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
YHR082C	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
YIL035C	7.0	6.0	6.0	7.0	6.0	7.0	4.0	5.0	6.0	5.0	6.0	6.0	8.0	7.0	8.0	8.0	8.0	7.0
YIL042C	2.0	2.0	3.0	3.0	2.0	2.0	1.0	0.0	1.0	1.0	0.0	1.0	3.0	3.0	3.0	3.0	2.0	3.0
YIL095W	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	1.0
YIR026C	2.0	2.0	2.0	2.0	2.0	2.0	3.0	2.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	1.0	2.0
YJL128C	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0
YJL164C	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0
YJL187C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
YJR059W	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0
YJR066W	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
YKL126W	3.0	3.0	3.0	2.0	3.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0
YKL139W	4.0	5.0	5.0	4.0	5.0	5.0	3.0	4.0	4.0	4.0	4.0	4.0	6.0	6.0	5.0	5.0	6.0	4.0
YKL166C	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YKL198C	3.0	2.0	3.0	2.0	3.0	2.0	1.0	0.0	1.0	1.0	1.0	0.0	4.0	3.0	3.0	3.0	4.0	3.0
YLL010C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YLL019C	5.0	5.0	5.0	4.0	5.0	5.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0
YLR019W	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0
YLR113W	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0
YLR226W	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YLR240W	3.0	3.0	3.0	2.0	3.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	3.0	3.0
YLR248W	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0
YLR362W	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YML057W	2.0	1.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	2.0	2.0
YMR001C	5.0	4.0	4.0	5.0	5.0	5.0	1.0	1.0	1.0	1.0	1.0	0.0	4.0	3.0	4.0	4.0	3.0	3.0
YNL032W	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0	2.0
YNL099C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
YNL154C	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
YNL161W	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
YNL289W	3.0	2.0	2.0	3.0	3.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	2.0	2.0	2.0	2.0	2.0
YNL298W	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0
YNL307C	3.0	3.0	3.0	2.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	1.0
YOL045W	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	2.0	2.0	2.0	2.0	1.0
YOL100W	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOR039W	3.0	2.0	3.0	3.0	3.0	3.0	2.0	3.0	3.0	2.0	3.0	3.0	4.0	4.0	4.0	4.0	4.0	4.0
YOR061W	4.0	3.0	3.0	4.0	4.0	4.0	2.0	3.0	3.0	2.0	3.0	3.0	5.0	5.0	5.0	5.0	5.0	5.0
YOR090C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YOR119C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YOR231W	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YPL031C	6.0	5.0	5.0	6.0	6.0	6.0	2.0	2.0	2.0	1.0	2.0	2.0	5.0	5.0	5.0	5.0	5.0	5.0
YPL042C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
YPL140C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
YPL141C	4.0	5.0	5.0	5.0	5.0	4.0	1.0	2.0	2.0	2.0	2.0	2.0	2.0	3.0	3.0	3.0	3.0	2.0
YPL153C	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
YPL256C	1.0	1.0	1.0	1.0	1.0	1.0	2.0	2.0	2.0	1.0	2.0	2.0	3.0	2.0	3.0	2.0	3.0	1.0
YPR025C	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
