source	target
YBR160W	C00074
YBR136W	C00433
YKL139W	C00197
YDR466W	C00354
YJL164C	C00049
YJL164C	C00022
YDL025C	C00037
YNL289W	C12144
YPL153C	C00117
YJL164C	C01353
YOL100W	C00354
YJL164C	C00051
YJL164C	C00089
YJL164C	C00438
YNL307C	C00689
YBR136W	C00033
YBR160W	C00354
YBL105C	C05382
YBR136W	C05382
YPL031C	C12144
YIL035C	C00689
YJL164C	C00074
YBR160W	C00689
YIL035C	C00051
YDR490C	C00354
YBL088C	C05382
YJL164C	C00064
YKL198C	C12144
YJL164C	C00031
YLL019C	C00059
YDL127W	C12144
YOR061W	C00051
YNL307C	C01530
YDL025C	C00188
YJL164C	C00096
YPR119W	C00043
YBL088C	C00033
YBR160W	C00089
YGR262C	C00127
YBR160W	C00043
YPL141C	C00117
YKL139W	C00093
YBL088C	C00433
YDR477W	C05382
YBR160W	C00022
YGR262C	C00051
YBR136W	C00170
YBL105C	C00064
YBL088C	C00170
