	PSK1	FUS3	TEL1	MEC1	CDC28	PPS1	MPS1	SIT4	PPH21	PPH22	SNF1	RIM15	CKB1	PKP2	PCL10	SLT2	KSP1	CKA1	PKP1	PRK1	YVH1	TPK1	YPK1	CTK1	PTK1	KNS1	HOG1	VPS34	STE11	CMP2	CDC5	SIW14	PCL1	CLA4	MCK1	PSK2	CKB2	CKA2	MKK1	PHO85	SSN3	FRK1	CLN2	CLB2
Sucrose (cor: 0.66)	-0.0	-0.038940691742096877	8.826483719144529e-05	0.03566121016582382	0.0	-0.18993764211823375	-0.0	0.1597380611396183	0.0678786748216198	0.13628482416633408	0.002112725811990143	0.1145341650940356	0.07751634320573055	0.0	0.0	0.0	0.03174748588807918	0.044872146767726905	0.20367145467654807	-0.35156521989157896	-0.04109012201026192	-0.26571947312148697	0.17046487878383684	0.0	0.07924739904468392	-0.03674051154965112	-0.0	0.10425463287070874	-0.11769312057944285	0.04059986270949853	0.0	0.10983408589998923	-0.0	-0.0	-0.0	-0.05671270889732423	0.0014290170765542992	-0.0	0.05710897002905226	0.392311852814066	-0.11163339613177287	-0.0	0.2571427740761744	0.0
L-2-Aminoadipate (cor: 0.50)	-0.06028239481984254	-0.0	0.0	0.0	0.0	0.0	0.08955452453697511	-9.37775348227357e-05	0.024941932268807816	-0.04899950981094702	0.0	0.0	-0.0	0.0	-0.09079577859533168	0.13117824289387264	-0.01917619363207247	-0.0	0.01736615207570195	0.0	0.018902652502544498	0.0	0.09064522850971157	0.3019381065478388	0.031497000361047675	0.024125773173952723	0.042627643773235524	-0.13666439031297026	-0.0	-0.05442852920923297	-0.235472646747342	0.0	0.1253042152902422	0.012811525264906472	-0.0	-0.12309971790788071	-0.0	-0.0	0.0	-0.08063564651390416	0.0	0.0	-0.025748005512035706	0.0
(S)-Malate (cor: 0.49)	0.0	-0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	-0.07998388071314039	-0.020092560140886617	-0.12188090280586225	-0.0	0.0	0.19025780186223673	0.0	0.0	0.10352825867020451	-0.07423900074858604	0.0	0.006107891677827635	0.043173233688741805	0.07753210263801266	-0.09904956426810917	0.024419948292634858	0.0	0.12734004691067996	-0.15899413716139707	0.0	0.018138052277432475	-0.0	0.05384791894025365	-0.0	-0.0	-0.0	0.28913150272601557	-0.0	-0.06713157036208298	-0.031136035930826762	-0.1474568614244203	-0.0	-0.0	-0.16355468458146666	-0.0
Lipoate (cor: 0.40)	-0.10030055768082953	-0.005097372521453421	0.0	0.0	0.0	0.16488598963868248	0.0	0.0031163537361111565	0.03592941285304149	-0.18398511831530348	0.0	-0.13094128563530094	-0.0	-0.0	0.06314906722147229	0.08831925994631427	-0.0	-0.03199613804089075	0.0	0.5175371976391123	0.14042245855204458	0.12797124070410132	0.0	0.38202593117290157	0.08669683906332747	0.12893025139448425	0.142503617262751	-0.340712339386824	-0.1347367993080971	-0.06680138738916605	-0.19098949211569738	0.004268589964038874	0.0341122411244475	-0.0	-0.039595311271660584	0.0	-0.0	-0.1547142951878571	-0.0	-0.13829979861223413	0.058703651198797654	-0.0	-0.09895841623459756	0.0
(Z)-But-1-ene-1,2,4-tricarboxylate (cor: 0.25)	-0.03524883860502687	-0.0	0.0	0.0	0.0	0.09559619834260241	0.0	0.0	0.0	-0.16274745827931122	0.0	-0.07958846098096799	-0.0	-0.0	0.07249426995604422	0.09156446745617108	-0.0	-0.0	-0.0	0.37020972436720856	0.10401430403476485	0.11772757600786307	0.019998681657502057	0.36388463643398844	0.06836921873543218	0.107152874520349	0.1609805448686064	-0.30013731077515826	-0.0878834597160575	-0.05087626721844961	-0.10366935422368773	0.025644334167842234	0.023095715083020996	0.0	-0.019686530977159934	0.0	-0.0	-0.12804169584065747	-0.009119922776276265	-0.117142846005403	0.0212223221162699	-0.0	-0.17352156702534788	-0.0
N-Acetyl-L-glutamate (cor: 0.11)	-0.017651906510392633	-0.04967064483579563	-0.0	-0.0	-0.30577413721536306	0.08742665918124556	-0.0	0.15163044713485974	-0.2571546467166577	0.0	0.0	-0.05580734014035985	0.0	0.003590102981454691	0.14587831315422006	0.14322537470745839	-0.0753858086587695	-0.12616280355607187	0.10403195884672263	0.0	0.12144672471712525	-0.0	-0.19099255674268323	0.0	-0.07441395604750746	0.21585739826571687	-0.0	-0.21422842497779504	0.12633425821380576	-0.04293385662649185	-0.22538962218943062	0.0	0.0	0.014701190076952487	-0.23617397893935782	-0.029054889376965213	0.0	-0.003500451313089787	-0.25270775296605585	-0.0	0.042904410699924504	-0.07436661188509174	-0.0	-0.3237832109670396
gamma-L-Glutamyl-L-cysteine (cor: 0.11)	-0.030243176781555327	0.0	-0.0	-0.0	-0.0	-0.0003689334009707197	-0.30371684830835916	0.25225207895288265	0.033786236729989046	0.0	-0.0	0.0	0.0	-0.030217392900913725	-0.10596536361048162	0.0	0.007160037372782085	-0.11295808069680466	0.11663728807641673	-0.0	0.3142501603365728	-0.0	0.0	0.0	0.0	-0.0	-0.09636804291603443	0.0	0.01758365135418876	0.042384013983554666	0.11010912488136387	-0.11174331870332256	-0.15193267583340203	-0.0	0.04638483632486849	-0.11801777372994028	0.0	0.0	0.059090736614017474	0.014635875101666551	-0.0	-0.021757854523710863	0.13790573419980304	0.0
Glutathione disulfide (cor: 0.07)	0.0	0.038963367214537276	0.0	0.0	-0.0	0.06581553836234123	-0.3512407390995138	0.04137178587495251	0.028076527585518218	0.10459941926893736	0.05091338618066691	-0.0	0.0	-0.0033232362449749746	-0.0	0.0	0.005281260377106341	-0.0	0.09835069104217897	-0.0	0.17284263691804502	-0.0	0.09965425241447608	-0.3225507164083778	-0.0	0.0	-0.0976731912776299	-0.0	0.2339585195112886	0.07081226915005356	-0.0	0.002771708084331592	-0.18542514701115523	-0.04252273588660512	-0.10603199109736122	-0.03732208186771066	0.0	0.06165846186632796	-0.013418677588056318	0.0019304409452922634	0.15596188707034397	-0.0	0.21924647587113708	0.0
NADH (cor: 0.03)	-0.0	-0.0	-0.0	-0.0	0.0	0.0	0.0	-0.06518912939011111	-0.09846158316383494	-0.06034486606109834	-0.0	-0.0	-0.0	0.0	0.13492926941042901	0.0	-0.0030648300138028522	0.0	-0.015127114753186685	0.0	0.0	0.07564658548285282	0.05457316631146299	-0.0639749811518559	0.014142375540461102	0.01051843705240953	0.07677246000443193	-0.045787148033248626	-0.0	0.014040967297467283	-0.034083456783882554	0.05148755806518977	-0.0	-0.0	-0.0	0.17056351776659984	-0.0	-0.03510123690516117	-0.045373047897411006	-0.02788953709017285	0.0	0.0	-0.0	0.0
UDP-N-acetyl-D-glucosamine (cor: 0.02)	0.0	0.027789453135534256	0.0	0.0	-0.0	0.051774290402461336	-0.043427480697573274	-0.03452411983990512	0.1379617594592254	0.007732895957323011	0.035202599907696246	0.0	0.0	0.0	-0.08115336290918147	-0.0	0.0	-0.06297160608081463	0.019016652746523588	0.0	0.17615121090604305	-0.0	-0.0	0.0	-0.0	-0.011978989592248723	-0.004787700719153117	-0.05627984420163245	-0.0	-0.026680152637910508	0.0	-0.02151827558261968	0.18541402482378205	0.10724793333981301	0.0	-0.3474503257569316	0.0	-0.0	0.0	0.0	0.0	-0.06211405049992216	-0.0	0.0
