	N_downshift_15min	N_downshift_25min	N_downshift_44min	N_downshift_5min	N_downshift_79min	N_downshift_9min	N_upshift_15min	N_upshift_25min	N_upshift_44min	N_upshift_5min	N_upshift_79min	N_upshift_9min	Rapamycin_15min	Rapamycin_25min	Rapamycin_44min	Rapamycin_5min	Rapamycin_79min	Rapamycin_9min
YBL088C	0.0241894897275	-0.0310286554869	0.0724400328361	-0.0283996224074	-0.0719813974679	-0.113136899138	-0.105304727297	-0.254547477055	-0.209341843443	-0.0310870266471	-0.30537582393	-0.119304827735	0.320110899052	0.260084442428	0.18077058305	0.26313973074	-0.132201388373	0.280974511147
YBR136W	0.0241894897275	-0.0310286554869	0.0724400328361	-0.0283996224074	-0.0719813974679	-0.113136899138	-0.105304727297	-0.254547477055	-0.209341843443	-0.0310870266471	-0.30537582393	-0.119304827735	0.320110899052	0.260084442428	0.18077058305	0.26313973074	-0.132201388373	0.280974511147
YBR160W	0.00102062727317	-0.306415788476	-0.119267381941	0.209778001665	-0.193014065507	-0.270229814034	-1.34348800986	0.88939897962	-0.0729075260062	0.121294834745	0.856769203977	0.555230980513	0.46725884788	-0.109302714121	-0.566864915924	-0.254440046566	-0.631798198889	0.766976985657
YBR274W	0.0245289071039	1.09157296548	-0.139828343897	0.683591202548	-0.395357861404	-0.429371251926	0.0470517086486	-0.0723426035007	-0.0827364538923	-0.0861712272138	-0.0186049689708	-0.0990722238013	-0.10201242611	-0.0965699226526	-0.103546443791	-0.0916188085396	-0.063731165375	-0.0657810827049
YDL006W	-0.0291598491128	-0.00107211323679	-0.131460521785	-0.143514517855	-0.31052380708	0.148568753075	0.462240536407	0.0829355838466	0.0499152593542	0.039003294552	0.253655198116	-0.00198200709699	-0.00968859909616	0.00596757778195	-0.0161962001369	-0.053729224092	-0.245213928946	-0.0997454346944
YDL028C	0.0108862503588	0.323683276901	0.18904070693	0.236475576353	0.0639970736736	-0.0786826968187	0.200697115385	0.185536867993	-0.11849012462	0.659012610416	-0.169381611527	0.302858628311	-0.207770290562	-0.479551894602	-0.31625693723	-0.556376502457	-0.110683391257	-0.134994657249
YDL101C	-0.0350746356101	0.0900878298206	0.242424634334	-0.0994837643994	0.232208340719	0.0373017225675	-0.0608653224008	-0.22300113456	-0.15495383371	-0.350536630965	-0.0165208715424	-0.166768857369	0.0641327588319	0.0715099272889	0.0620534387292	0.0782210305799	0.11602198801	0.113243379676
YDL108W	0.0678747936961	0.154341043505	0.166571836343	0.0928940403488	0.285228478065	-0.161033182193	-0.289340076828	-0.402231239965	-0.297534720843	-0.251089679349	-0.335627880838	-0.260992221735	0.194301948406	0.19829289295	0.193177065428	0.201923505592	0.222373292755	0.220870104664
YFL029C	-0.00889074443042	0.42220805507	0.114213181544	0.539241788192	0.142243238862	-0.0713888177615	0.23803696159	0.139792776627	0.32132625903	0.139622719175	0.36141174085	0.169498490451	-0.162237106389	-0.51041433429	-0.71137482526	-0.491299144242	-0.415657334855	-0.216332904165
YFL033C	-0.0680267623114	0.78875180788	-0.0329085249904	-0.0572621194218	0.481815896269	-0.367950659664	-1.24797672655	-0.672053563447	-0.484325431334	-1.7946051252	-0.348860534013	-1.23487624769	0.915850885829	1.0729548724	1.01919702165	0.761245385126	1.14242184099	0.126607984467
YFR028C	0.336395245056	0.416332097657	0.129534767882	-0.400161003014	-0.0927015875326	-0.0992568282861	-0.00723905129841	-0.0245776205873	-0.0260870266214	-0.0265858280647	-0.0167737840147	-0.0284593245421	-0.0288863038557	-0.0280959377017	-0.0291090755386	-0.0273769316322	-0.0233270583626	-0.0236247495425
YGL019W	0.0341587502774	0.14191306455	0.0408454302133	-0.0125098123926	0.0506007862727	-0.0241504791971	0.0555639215818	-0.200978906249	-0.138178507259	-0.162367568244	-0.0865260053897	-0.146700375364	-0.0110252816013	0.125871120906	0.117408625841	0.0980681547675	0.109716972584	0.00829010870345
YGL134W	-0.0127830467895	0.728410009302	1.04702934495	0.00941528434663	0.971405116864	-0.169829399916	-0.464646473805	-0.470027015327	-0.470495417403	-0.470650206522	-0.467605312244	-0.471231593915	-0.127897524588	0.0767145906898	0.310866358649	-0.595857502954	0.53687600513	0.0403067835355
YIL035C	0.0341587502774	0.14191306455	0.0408454302133	-0.0125098123926	0.0506007862727	-0.0241504791971	0.0555639215818	-0.200978906249	-0.138178507259	-0.162367568244	-0.0865260053897	-0.146700375364	-0.0110252816013	0.125871120906	0.117408625841	0.0980681547675	0.109716972584	0.00829010870345
YIL095W	0.0464604571088	-0.268382011863	-0.211481466228	0.0574519669286	-0.142935976864	0.0846278081274	0.0920667612606	0.112230249123	0.181408944008	-0.0679753416697	0.303506355308	-0.000977316944153	0.194450555767	-0.288179065513	-0.200878989061	-0.168654852599	0.120404399938	0.156857523172
YJL128C	-0.0291598491128	-0.00107211323679	-0.131460521785	-0.143514517855	-0.31052380708	0.148568753075	0.462240536407	0.0829355838466	0.0499152593542	0.039003294552	0.253655198116	-0.00198200709699	-0.00968859909616	0.00596757778195	-0.0161962001369	-0.053729224092	-0.245213928946	-0.0997454346944
YJL141C	0.117616884133	-0.0473686443383	0.00580744386369	-0.527728523271	0.410421959907	0.117405690791	-0.188605219993	-0.237837343813	-0.135805839803	-0.0798079497134	-0.251943393034	-0.11041338449	0.274769940396	0.315506007527	0.426564460663	-0.482631303067	0.490232076476	-0.0961828622339
YJL164C	-1.11212027085	-1.52796553671	-1.18044681265	0.137223937944	-0.885050841876	0.766960880437	0.54230321563	1.10193144416	0.637879298209	1.49022474328	0.445148485174	1.53952408584	-1.43629136041	-0.589610996432	0.0314099803262	0.389833498182	0.758428976506	-1.10938272676
YJL187C	-0.0832554603484	-0.189896199933	0.132506428209	0.171304082784	-0.104961216266	-0.109847017958	-0.219069924347	-0.191431323279	-0.18902524983	-0.188230133815	-0.203871053584	-0.185243680846	0.0731076310927	0.142312428912	0.83695481395	-0.548427009285	0.707469176737	0.149603707807
YJR066W	-0.980164006294	-0.726180366286	0.407049815578	0.404926638837	0.103869229653	0.23179733469	0.390365582509	-0.470339787584	-0.667813008908	0.847575478051	-0.603247820723	0.825148150385	0.301162977295	0.311115350921	0.11807506577	0.667707855885	-0.494748056464	-0.666300433316
YLR113W	0.0672229368732	0.123513447362	0.131475832385	0.0835107505488	0.208722653545	-0.0817987547828	-0.348814680628	-0.313156791794	0.0541462403712	-0.476437365015	0.245436044394	-0.398257471969	0.10772747088	-0.0183772152739	0.487292611845	-0.505979062133	0.466948731747	0.166824621643
YLR226W	-0.0111331883961	-0.0401856095037	-0.0442951221147	-0.0195395861658	-0.0841634259921	0.0657792592367	0.180305667521	-0.0297104067993	-0.0671041238909	-0.0138840537328	0.191588557673	-0.1259244884	0.316657159452	-0.0547133052192	-0.0485549848715	-0.0888833304036	-0.266579347909	0.140340329515
YMR001C	-0.20704379147	-0.59554274964	-0.680237922108	-0.0510193408594	-0.342751697162	0.202249033146	0.272964044373	0.367508056179	0.113352359624	-0.744200415721	-0.0745862725385	0.219762666539	0.574526694618	0.41072681021	-0.0203694511123	0.745925882516	0.0348139437249	-0.226077850318
YNL154C	0.222185384359	-0.0292412641395	-0.701314536058	0.460136862049	-0.656255255828	-0.145235821965	0.433516190113	0.213827676523	0.194702732446	0.188382663827	0.312706264968	0.164644508188	-0.256906096225	0.155460160955	-0.587941662689	0.822666310099	-0.524241323765	-0.267092792859
YNL161W	-0.61009642013	-0.325317845615	-0.109160978596	0.499873177884	-0.637735988832	0.137770578421	0.589935145242	0.518608960166	-0.209645470674	0.759482064343	0.15576224299	0.910104931862	0.285223585224	-0.848265707489	-0.362588008515	0.269091074685	-0.356181017817	-0.666860323146
YNL183C	-0.170516137941	-0.228751722459	-0.236989241394	-0.187366764124	-0.316905265309	-0.016345119698	-0.329284999773	-0.993400813386	-0.932291645424	0.952181509533	-0.296858677268	0.0580247082135	0.765657773147	-0.685300404724	-0.210664272506	1.49800515893	0.142774217927	1.18803169626
