k	m	cor	a_pvalue	e_pvalue	n_meas	adj_a_pvalue	adj_e_pvalue
YAL009W	189.0733615	0.14332599159712384	0.1777637492785194	0.104	90	0.8062606919907886	0.39749999999999996
YAL009W	611.1476184	0.10775004075341882	0.3120813257983461	0.158	90	0.8062606919907886	0.39749999999999996
YAL009W	448.0707378	-0.08219772947645429	0.4411810250579331	0.212	90	0.8062606919907886	0.39749999999999996
YAL009W	307.2657147	-0.05705017268468581	0.5932756244906883	0.282	90	0.8062606919907886	0.39749999999999996
YAL009W	393.0579378	-0.09424953280330467	0.37691213681162095	0.178	90	0.8062606919907886	0.39749999999999996
YAL017W	189.0733615	-0.12083861689132205	0.22403363172380886	0.12	103	0.8062606919907886	0.39749999999999996
YAL017W	611.1476184	0.1243629485067977	0.2107128022607271	0.108	103	0.8062606919907886	0.39749999999999996
YAL017W	448.0707378	-0.05635752652840424	0.571777439970475	0.289	103	0.8062606919907886	0.39749999999999996
YAL017W	307.2657147	-0.1171029207922155	0.23878919225895923	0.124	103	0.8062606919907886	0.39749999999999996
YAL017W	393.0579378	-0.09656520952250829	0.3318773775791112	0.174	103	0.8062606919907886	0.39749999999999996
YBL016W	189.0733615	0.004550405504819889	0.9647166561495855	0.491	97	0.9647166561495855	0.502
YBL016W	611.1476184	0.045820655023697615	0.6558392034967543	0.303	97	0.8062606919907886	0.39749999999999996
YBL016W	448.0707378	0.07687514140507858	0.4542034474275567	0.237	97	0.8062606919907886	0.39749999999999996
YBL016W	307.2657147	0.06673304312163753	0.5160485308350783	0.244	97	0.8062606919907886	0.39749999999999996
YBL016W	393.0579378	-0.04397998808004739	0.6688371628037016	0.336	97	0.8062606919907886	0.4
YBL056W	189.0733615	-0.605883431029617	0.1493057526359439	0.082	7	0.8062606919907886	0.39749999999999996
YBL056W	611.1476184	0.6335872100045972	0.12657271485775864	0.063	7	0.8062606919907886	0.39749999999999996
YBL056W	448.0707378	-0.028553844009570825	0.9515452476212993	0.502	7	0.9647166561495855	0.502
YBL056W	307.2657147	0.19372477258478574	0.6772589812722625	0.318	7	0.8062606919907886	0.39749999999999996
YBL056W	393.0579378	-0.06979018327137684	0.8818088314133976	0.453	7	0.9584878602319539	0.4923913043478261
YBL088C	189.0733615	0.0669460462860663	0.4871208867927477	0.235	110	0.8062606919907886	0.39749999999999996
YBL088C	611.1476184	0.10654613822246554	0.2679236280620267	0.138	110	0.8062606919907886	0.39749999999999996
YBL088C	448.0707378	0.01884638090838766	0.8450627039246462	0.443	110	0.9584878602319539	0.4923913043478261
YBL088C	307.2657147	-0.06795440551272747	0.4805699623670229	0.244	110	0.8062606919907886	0.39749999999999996
YBL088C	393.0579378	-0.05600172424856427	0.5611745716247238	0.278	110	0.8062606919907886	0.39749999999999996
