Metabolites,ion,Transcription-factors,feature,coef,coef (abs),cor,pval,fdr
L-Glutamine,145.0600,ADR1,YDR216W,-0.216477550664,0.216477550664,-0.785404289139,0.000112431068115,0.000654798540704
L-Glutamine,145.0600,RDS1,YCR106W,-0.215208808028,0.215208808028,-0.875530055663,1.94645625005e-06,3.01013974271e-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,PDR3,YBL005W,-0.203852797642,0.203852797642,-0.943258854181,4.51805829099e-09,1.23342991344e-06
L-Glutamine,145.0600,LEU3,YLR451W,0.199984448231,0.199984448231,0.440202957125,0.0675196341181,0.111429010802
Inosine,267.0700,YAP5,YIR018W,0.199189985618,0.199189985618,0.6120314322,0.00694317718433,0.0172087180058
Xanthosine,283.0700,YAP5,YIR018W,0.19793825455,0.19793825455,0.797639514867,7.32796651354e-05,0.000472102621403
L-Citrulline,174.0900,RTG3,YBL103C,-0.194215029569,0.194215029569,-0.402779152033,0.097472049313,0.152382931782
gamma-Amino-gamma-cyanobutanoate,127.0500,ADR1,YDR216W,-0.19254834923,0.19254834923,-0.770335894065,0.000183775697783,0.000939659425965
gamma-Amino-gamma-cyanobutanoate,127.0500,XBP1,YIL101C,-0.189988776401,0.189988776401,-0.875440261415,1.9571421404e-06,3.01013974271e-05
gamma-Amino-gamma-cyanobutanoate,127.0500,MSN4,YKL062W,-0.188163904447,0.188163904447,-0.948512329082,2.11179705495e-09,9.22432953602e-07
Xanthosine,283.0700,HAP2,YGL237C,0.180474505465,0.180474505465,0.920067836032,6.50583234215e-08,4.73624594509e-06
L-Proline,114.0600,SNT2,YGL131C,0.177574823185,0.177574823185,0.563681233688,0.0148396947122,0.0310737231558
L-Glutamine,145.0600,SNT2,YGL131C,-0.176716783071,0.176716783071,-0.498841073662,0.0350883866632,0.0639141254983
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,REB1,YBR049C,0.17177281008,0.17177281008,0.884619587642,1.09319818564e-06,2.36390577965e-05
L-Citrulline,174.0900,PDR3,YBL005W,-0.169154718707,0.169154718707,-0.878994195018,1.57074518697e-06,2.6388519141e-05
L-Asparagine,131.0500,PDR3,YBL005W,-0.168144473344,0.168144473344,-0.809256808778,4.74929131223e-05,0.000341199086378
gamma-Amino-gamma-cyanobutanoate,127.0500,SNT2,YGL131C,-0.16216611785,0.16216611785,-0.483315729154,0.0421604427591,0.0743167126601
L-Citrulline,174.0900,LEU3,YLR451W,0.162143271424,0.162143271424,0.474564059168,0.0465990091071,0.0805797592162
L-Proline,114.0600,PDR3,YBL005W,0.160715410071,0.160715410071,0.933571314575,1.5459101219e-08,2.59712900479e-06
L-Saccharopine,275.1200,RPN4,YDL020C,-0.158461029645,0.158461029645,-0.881242973382,1.36183785801e-06,2.59534016185e-05
gamma-Amino-gamma-cyanobutanoate,127.0500,MOT3,YMR070W,-0.152300199199,0.152300199199,-0.667482176354,0.00247333338707,0.00754435770581
dUDP,387.0000,SUT1,YGL162W,-0.152174255211,0.152174255211,-0.91177307347,1.39550955517e-07,5.86114013171e-06
L-Glutamine,145.0600,MOT3,YMR070W,-0.150922220821,0.150922220821,-0.664833639774,0.00261043820882,0.00791832923343
Xanthosine,283.0700,YAP1,YML007W,0.147577282446,0.147577282446,0.79895277407,6.98707111999e-05,0.000461020040062
L-Proline,114.0600,REB1,YBR049C,-0.142822089287,0.142822089287,-0.888576488548,8.37650635089e-07,1.94620105004e-05
L-Proline,114.0600,ROX1,YPR065W,0.142779091027,0.142779091027,0.840310319542,1.27183228936e-05,0.000118199222126
dUDP,387.0000,REB1,YBR049C,0.140095897508,0.140095897508,0.857223295937,5.49321246932e-06,6.38147661329e-05
dUDP,387.0000,PUT3,YKL015W,-0.139044716452,0.139044716452,-0.614963811173,0.0066051870662,0.016696445084
dUDP,387.0000,XBP1,YIL101C,-0.138330060013,0.138330060013,-0.897121118413,4.54916485158e-07,1.32471680478e-05
Fumarate,115.0000,SNT2,YGL131C,0.138130973724,0.138130973724,0.665904140878,0.00255428850214,0.00776959065274
dUDP,387.0000,ADR1,YDR216W,-0.138129378006,0.138129378006,-0.761262648409,0.000242863170312,0.00116064149663
L-Saccharopine,275.1200,PDR1,YGL013C,0.135990529386,0.135990529386,0.703118078837,0.00113388485987,0.00389161928782
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,PDR1,YGL013C,0.134779702643,0.134779702643,0.549466958542,0.0181755285659,0.0365636764992
Inosine,267.0700,MAC1,YMR021C,0.131157455882,0.131157455882,0.206799818107,0.410311301056,0.486370531586
L-Glutamine,145.0600,STE12,YHR084W,-0.130181762987,0.130181762987,-0.923508591528,4.62630492071e-08,4.04153997873e-06
Fumarate,115.0000,LEU3,YLR451W,-0.128219517706,0.128219517706,-0.678400756762,0.0019691121291,0.00621465446526
L-Glutamine,145.0600,REB1,YBR049C,0.125087947917,0.125087947917,0.835226483077,1.60679145364e-05,0.000142651729055
dUDP,387.0000,MSN4,YKL062W,-0.125007661461,0.125007661461,-0.951788945062,1.26101082598e-09,6.88511910986e-07
dUDP,387.0000,RDS1,YCR106W,-0.124688254932,0.124688254932,-0.879597169443,1.51219083965e-06,2.60049196361e-05
dUDP,387.0000,OPI1,YHL020C,-0.123676682611,0.123676682611,-0.920941615466,5.97494744978e-08,4.66045901083e-06
"But-1-ene-1,2,4-tricarboxylate",187.0200,PDR3,YBL005W,-0.122072035375,0.122072035375,-0.918739961382,7.39079501045e-08,5.18416613685e-06
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,HAP4,YKL109W,-0.118808657007,0.118808657007,-0.803049979878,6.00871225217e-05,0.000406285682933
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,UME6,YDR207C,-0.118239349794,0.118239349794,-0.909590921071,1.68484430175e-07,6.23677958478e-06
L-Proline,114.0600,PUT3,YKL015W,0.118159233674,0.118159233674,0.694758402578,0.00137465483337,0.00461174524745
Hypoxanthine,135.0300,YAP5,YIR018W,0.11669777169,0.11669777169,0.733088631251,0.000537687929813,0.00211969393269
gamma-Amino-gamma-cyanobutanoate,127.0500,GAT1,YFL021W,-0.116568209274,0.116568209274,-0.560800231707,0.0154730673201,0.032122793752
Ornithine,131.0800,ROX1,YPR065W,-0.115483850454,0.115483850454,-0.899423809018,3.8241023408e-07,1.22821169298e-05
gamma-Amino-gamma-cyanobutanoate,127.0500,ROX1,YPR065W,-0.112702781366,0.112702781366,-0.823466799829,2.68161594247e-05,0.000215930347213
Xanthosine,283.0700,CBF1,YJR060W,-0.11191483837,0.11191483837,0.321859226618,0.192749666672,0.266940565639
L-Citrulline,174.0900,PUT3,YKL015W,-0.111433603348,0.111433603348,-0.56993809624,0.0135350009153,0.0289808254893
Fumarate,115.0000,PDR3,YBL005W,0.108649005546,0.108649005546,0.826060726406,2.40292620538e-05,0.000199543377664
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,LEU3,YLR451W,0.107307505574,0.107307505574,0.379947045356,0.119887027742,0.181324978247
Inosine,267.0700,DAL80,YKR034W,0.106122180365,0.106122180365,0.506643457274,0.0318985285756,0.0589394132056
dUDP,387.0000,MOT3,YMR070W,-0.103606344915,0.103606344915,-0.671840783525,0.00226063888785,0.007013118368
Xanthine,151.0300,ECM22,YLR228C,0.101669230403,0.101669230403,0.140697676752,0.577624548256,0.639397878049
L-Citrulline,174.0900,MOT3,YMR070W,-0.0953140858926,0.0953140858926,-0.628070095081,0.00525330737605,0.0139614495668
L-Saccharopine,275.1200,PHD1,YKL043W,0.0951060955782,0.0951060955782,0.728129029998,0.000612317597286,0.00233793991691
Hypoxanthine,135.0300,REB1,YBR049C,0.0950839368197,0.0950839368197,0.714378753442,0.000865891097905,0.00309510009464
gamma-Amino-gamma-cyanobutanoate,127.0500,SUT1,YGL162W,-0.095034075915,0.095034075915,-0.883795835855,1.1541107601e-06,2.44716300976e-05
Fumarate,115.0000,ARR1,YPR199C,-0.0948466773461,0.0948466773461,-0.54760759765,0.0186523902528,0.037338973705
L-Glutamine,145.0600,XBP1,YIL101C,-0.094588585343,0.094588585343,-0.865834277974,3.43582570293e-06,4.31255364092e-05
Pyruvate,87.0100,ROX1,YPR065W,0.0943627699448,0.0943627699448,0.857987779801,5.27557622913e-06,6.25311666228e-05
L-Asparagine,131.0500,ARR1,YPR199C,0.0941307759512,0.0941307759512,0.518582458037,0.0274567221559,0.0515167364162
L-Citrulline,174.0900,YAP1,YML007W,0.0938011705569,0.0938011705569,0.744586183704,0.000393475507284,0.0016751471889
L-Saccharopine,275.1200,ROX1,YPR065W,-0.0927721064109,0.0927721064109,-0.852049480028,7.17907831768e-06,7.80055076906e-05
Xanthosine 5-phosphate,363.0300,PDR1,YGL013C,0.0924576805193,0.0924576805193,0.350718362395,0.153594936043,0.22393280395
Ornithine,131.0800,RTG3,YBL103C,-0.0907616096861,0.0907616096861,-0.475797113322,0.0459530759864,0.0797152644594
L-Citrulline,174.0900,ROX1,YPR065W,-0.0905568242744,0.0905568242744,-0.869579044606,2.77348565349e-06,3.73076530991e-05
NAD,662.1000,HAP4,YKL109W,-0.0904213823006,0.0904213823006,-0.803065932824,6.0051436643e-05,0.000406285682933
Fumarate,115.0000,PUT3,YKL015W,0.0903900644617,0.0903900644617,0.817389920222,3.44449679558e-05,0.000262602048408
Xanthosine,283.0700,PDR1,YGL013C,0.0887979713379,0.0887979713379,0.588904793598,0.0101284047703,0.0232357521202
NAD,662.1000,PDR1,YGL013C,0.0879669870648,0.0879669870648,0.623338874895,0.00571255612148,0.0149058812059
L-Proline,114.0600,BAS1,YKR099W,-0.0835070281155,0.0835070281155,-0.849366425744,8.21582067205e-06,8.75285480379e-05
dUDP,387.0000,CIN5,YOR028C,-0.0833637543752,0.0833637543752,-0.944351809683,3.88049321432e-09,1.23342991344e-06
L-Proline,114.0600,MSN4,YKL062W,0.0833049969447,0.0833049969447,0.879753591742,1.49731163184e-06,2.59534016185e-05
NAD,662.1000,GAT1,YFL021W,-0.0831877824867,0.0831877824867,-0.740737378337,0.000437600175609,0.00182041673053
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,ADR1,YDR216W,-0.083042536125,0.083042536125,-0.621306941832,0.00591954396707,0.0152997444072
Xanthine,151.0300,GAL4,YPL248C,0.082624780595,0.082624780595,0.706530469761,0.00104625284915,0.00365018565902
Xanthosine,283.0700,BAS1,YKR099W,0.0821241686868,0.0821241686868,0.849150731917,8.30446874896e-06,8.76181630325e-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,ASH1,YKL185W,-0.0812063556527,0.0812063556527,-0.916625845826,9.0150979767e-08,5.18416613685e-06
Xanthine,151.0300,SMP1,YBR182C,0.0804367595948,0.0804367595948,0.63454714091,0.00467372894803,0.0127433508396
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,BAS1,YKR099W,0.0785554731754,0.0785554731754,0.880457192952,1.43193229916e-06,2.59534016185e-05
gamma-Amino-gamma-cyanobutanoate,127.0500,CIN5,YOR028C,-0.0767468159676,0.0767468159676,-0.923760975883,4.50924289698e-08,4.04153997873e-06
Inosine,267.0700,SMP1,YBR182C,0.0765370696975,0.0765370696975,0.516752746436,0.0281042625318,0.0524612900593
gamma-Amino-gamma-cyanobutanoate,127.0500,REB1,YBR049C,0.0763440586154,0.0763440586154,0.846026385132,9.68357488427e-06,9.74604956094e-05
L-Proline,114.0600,MOT3,YMR070W,0.0748100672294,0.0748100672294,0.620381347527,0.00601582810426,0.0154753457947
Xanthosine,283.0700,DAL80,YKR034W,0.0739488838146,0.0739488838146,0.0600794637825,0.81280455496,0.849767902362
Hypoxanthine,135.0300,YAP1,YML007W,0.0739122612759,0.0739122612759,0.770953759612,0.00018023901193,0.000924042258344
Xanthosine,283.0700,RTG3,YBL103C,-0.0738943799119,0.0738943799119,-0.567093498743,0.0141163410821,0.029903093039
dUDP,387.0000,SNT2,YGL131C,-0.072698981972,0.072698981972,-0.437059235153,0.0697329992246,0.114595086762
Xanthosine 5-phosphate,363.0300,DAL80,YKR034W,0.0714022874854,0.0714022874854,0.783843373758,0.000118510143971,0.000684725276277
Inosine,267.0700,ADR1,YDR216W,0.0713463813447,0.0713463813447,0.388199144992,0.111402605832,0.171099360856
gamma-Amino-gamma-cyanobutanoate,127.0500,YAP1,YML007W,0.0713021652293,0.0713021652293,0.597572173782,0.00882038913454,0.0209851835959
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,HAP2,YGL237C,0.0703811782033,0.0703811782033,0.92616856047,3.51537586143e-08,3.87793972389e-06
O-Acetylcarnitine,202.1100,ECM22,YLR228C,0.0702070152424,0.0702070152424,0.684386058811,0.0017309171596,0.00562548076871
Xanthosine,283.0700,GAL4,YPL248C,0.0692473585519,0.0692473585519,0.525396401707,0.0251466923585,0.0480913976454
L-Citrulline,174.0900,ADR1,YDR216W,-0.0685842925607,0.0685842925607,-0.562236459798,0.0151546951487,0.0315217659093
Xanthosine,283.0700,HAP4,YKL109W,-0.0681080533713,0.0681080533713,-0.580567421836,0.0115291388192,0.0254596958353
Xanthosine,283.0700,UME6,YDR207C,-0.0678312574068,0.0678312574068,-0.768600195415,0.000194026093827,0.000985472067251
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,CBF1,YJR060W,-0.0677816751359,0.0677816751359,0.603504217648,0.00800626149799,0.0193211879686
N-Acetyl-L-glutamyl 5-phosphate,268.0200,PDR1,YGL013C,0.0675514549955,0.0675514549955,0.562399579966,0.0151188671074,0.0315072574071
L-Glutamine,145.0600,SUT1,YGL162W,-0.067082987268,0.067082987268,-0.87497172567,2.01372298127e-06,3.04852866443e-05
Fumarate,115.0000,MOT3,YMR070W,0.0654786886769,0.0654786886769,0.520801889314,0.0266868950241,0.0503317605636
NAD,662.1000,RTG3,YBL103C,-0.0649506301763,0.0649506301763,-0.525802331791,0.0250140230813,0.0479216021137
Ornithine,131.0800,LEU3,YLR451W,0.0643093984437,0.0643093984437,0.429581376405,0.0752131578178,0.122221381454
Nicotinate,122.0200,MCM1,YMR043W,0.0638984454448,0.0638984454448,0.453213733342,0.0589102075578,0.0991216435334
gamma-Amino-gamma-cyanobutanoate,127.0500,OPI1,YHL020C,-0.0638807107546,0.0638807107546,-0.890729443725,7.21638496131e-07,1.75117608394e-05
dUDP,387.0000,ROX1,YPR065W,-0.0637300300573,0.0637300300573,-0.840713122188,1.24806463433e-05,0.000116985972591
Hypoxanthine,135.0300,CAD1,YDR423C,0.063689385658,0.063689385658,0.428151631581,0.0762960450233,0.123704946051
O-Phospho-L-serine,184.0000,RPN4,YDL020C,0.0636283425355,0.0636283425355,0.767865830269,0.000198506048,0.00100124066705
Ornithine,131.0800,PUT3,YKL015W,-0.0627149797838,0.0627149797838,-0.540422320953,0.0205885978186,0.0405825790938
Xanthine,151.0300,YAP5,YIR018W,0.0625208092185,0.0625208092185,0.670842090154,0.00230798951826,0.00712963098709
Hypoxanthine,135.0300,BAS1,YKR099W,0.0622030081624,0.0622030081624,0.730676139945,0.000572976277694,0.00221875920298
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,OPI1,YHL020C,-0.0621416157084,0.0621416157084,-0.914154711224,1.12977528892e-07,5.24984942768e-06
Ornithine,131.0800,PDR3,YBL005W,-0.0619201606702,0.0619201606702,-0.85474713874,6.25188303811e-06,7.00210900269e-05
Xanthosine 5-phosphate,363.0300,SNT2,YGL131C,0.0607100333827,0.0607100333827,0.326065566024,0.186667609786,0.259174863174
L-Asparagine,131.0500,ROX1,YPR065W,-0.0599621531839,0.0599621531839,-0.637009912842,0.00446752757248,0.0122885141288
Fumarate,115.0000,MCM1,YMR043W,0.0598820632294,0.0598820632294,0.164586356744,0.513998534252,0.58285192046
L-Proline,114.0600,LEU3,YLR451W,-0.0591950892046,0.0591950892046,-0.50791381517,0.0314011226142,0.058118687957
L-Glutamine,145.0600,CIN5,YOR028C,-0.0580760013445,0.0580760013445,-0.914722976294,1.07327812433e-07,5.18416613685e-06
Inosine,267.0700,YAP7,YOL028C,0.0579436586238,0.0579436586238,0.392303872145,0.107345489321,0.165683779984
dUDP,387.0000,GAT1,YFL021W,-0.0569726900857,0.0569726900857,-0.595775758205,0.00907965184901,0.0213684909895
L-Proline,114.0600,UME6,YDR207C,0.056678524273,0.056678524273,0.824917974241,2.52249144606e-05,0.000207109823992
Inosine,267.0700,SKN7,YHR206W,0.0559186061408,0.0559186061408,0.0409577331386,0.871809340804,0.89855195862
Fumarate,115.0000,REB1,YBR049C,-0.055751813514,0.055751813514,-0.793374571859,8.53421580374e-05,0.000540252965663
4-Aminobutanoate,102.0600,LEU3,YLR451W,0.0555011526645,0.0555011526645,0.646149362546,0.00376609334927,0.0106681554797
"But-1-ene-1,2,4-tricarboxylate",187.0200,PUT3,YKL015W,-0.0551885388806,0.0551885388806,-0.74487488685,0.000390322235657,0.00166822654144
L-Citrulline,174.0900,GAT1,YFL021W,-0.0550374108255,0.0550374108255,-0.621834740516,0.00586520250899,0.0151952577457
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,MOT3,YMR070W,-0.0549539388674,0.0549539388674,-0.658318082523,0.00297452103908,0.00879073606137
gamma-Amino-gamma-cyanobutanoate,127.0500,ASH1,YKL185W,-0.0548795897426,0.0548795897426,-0.896862935509,4.63741281512e-07,1.33264599845e-05
gamma-Amino-gamma-cyanobutanoate,127.0500,STE12,YHR084W,-0.0544425652388,0.0544425652388,-0.925910781201,3.6117861651e-08,3.87793972389e-06
Xanthine,151.0300,PDR1,YGL013C,0.054362335947,0.054362335947,0.530234409675,0.0236007477233,0.0456950647409
N-Acetyl-L-glutamyl 5-phosphate,268.0200,YAP1,YML007W,0.0529597813011,0.0529597813011,0.705834341693,0.00106365621404,0.00369908466795
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,XBP1,YIL101C,-0.0528435970371,0.0528435970371,-0.866558003543,3.29817049982e-06,4.26225110746e-05
Xanthosine,283.0700,CRZ1,YNL027W,0.0525333191789,0.0525333191789,0.0309750069499,0.902891255539,0.922369234448
Xanthosine,283.0700,PHD1,YKL043W,0.0524088066792,0.0524088066792,0.497810279241,0.035527511893,0.0645524841716
Hypoxanthine,135.0300,DAL80,YKR034W,0.0520813114726,0.0520813114726,0.440516525336,0.0673017577411,0.111185354695
L-Glutamine,145.0600,OPI1,YHL020C,-0.0518124999265,0.0518124999265,-0.876229584487,1.86491514595e-06,2.98073910302e-05
N-Acetyl-L-glutamyl 5-phosphate,268.0200,ROX1,YPR065W,-0.0514981100188,0.0514981100188,-0.871631240963,2.45951236795e-06,3.55733444477e-05
L-Saccharopine,275.1200,HAP2,YGL237C,0.0513435366505,0.0513435366505,0.869300958975,2.81857269292e-06,3.73076530991e-05
dUDP,387.0000,RAP1,YNL216W,0.0512033782907,0.0512033782907,0.913704360745,1.17636054803e-07,5.35244049353e-06
Deoxycytidine,226.0800,YAP1,YML007W,0.0511815546512,0.0511815546512,0.718862986012,0.000775041154194,0.00282114980126
N-Acetyl-L-glutamyl 5-phosphate,268.0200,HAP4,YKL109W,-0.0497686859846,0.0497686859846,-0.771597201497,0.000176617215203,0.000911895976367
L-Glutamine,145.0600,GAT1,YFL021W,-0.0496502853637,0.0496502853637,-0.552775908535,0.0173507291445,0.0350870300478
L-Asparagine,131.0500,ADR1,YDR216W,-0.0492352450268,0.0492352450268,-0.607802893129,0.00745506597011,0.0182327705249
Pyruvate,87.0100,YAP1,YML007W,-0.0483413980874,0.0483413980874,-0.749077611299,0.000346767965012,0.00152076553331
L-Proline,114.0600,ARR1,YPR199C,-0.0478935370701,0.0478935370701,-0.364450325575,0.137034438694,0.203871399256
Xanthosine,283.0700,DAL82,YNL314W,0.0474865863122,0.0474865863122,-0.182248604302,0.469187517681,0.540456507708
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,DAL82,YNL314W,0.0473551695734,0.0473551695734,-0.504332632876,0.0328189144711,0.0604355052317
L-Glutamine,145.0600,RAP1,YNL216W,0.047167015821,0.047167015821,0.876678682371,1.81413062462e-06,2.95676215236e-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,PUT3,YKL015W,-0.0469711866168,0.0469711866168,-0.547224745525,0.018751791772,0.0374692710247
dUDP,387.0000,PDR1,YGL013C,0.0469551807956,0.0469551807956,0.442475574362,0.0659523470565,0.109536065377
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,HAP3,YBL021C,-0.0469485523573,0.0469485523573,-0.857231447816,5.4908517383e-06,6.38147661329e-05
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,RDS1,YCR106W,-0.046912077289,0.046912077289,-0.780542126142,0.00013228899898,0.000738923718085
dUDP,387.0000,BAS1,YKR099W,0.0464219981127,0.0464219981127,0.822244523614,2.82221201341e-05,0.000224322061799
Ornithine,131.0800,YAP1,YML007W,0.0462792766953,0.0462792766953,0.755812755697,0.000285509729459,0.00131551318383
"But-1-ene-1,2,4-tricarboxylate",187.0200,ADR1,YDR216W,-0.046110262747,0.046110262747,-0.74260048456,0.000415748806627,0.00174751590506
NAD,662.1000,PDR3,YBL005W,-0.0460629556521,0.0460629556521,-0.876058535682,1.88457684445e-06,2.98254770165e-05
Hypoxanthine,135.0300,GAL4,YPL248C,0.0460261146084,0.0460261146084,0.721747286406,0.000720923218279,0.00264893532633
N-Acetyl-L-glutamyl 5-phosphate,268.0200,ARR1,YPR199C,0.0455736568027,0.0455736568027,0.24990564537,0.317247839329,0.399348288815
Xanthine,151.0300,YAP1,YML007W,0.0449831478627,0.0449831478627,0.660259990517,0.00286190034091,0.00852713553146
Ornithine,131.0800,PDR1,YGL013C,0.0442667677422,0.0442667677422,0.528123599687,0.0242658256331,0.0466930072093
dUDP,387.0000,MBP1,YDL056W,-0.0441970473082,0.0441970473082,-0.928046309766,2.87793382948e-08,3.69729851976e-06
Hypoxanthine,135.0300,LEU3,YLR451W,0.0441195044065,0.0441195044065,0.636015038178,0.00454991326649,0.0124680182861
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,MSN4,YKL062W,-0.0440542113055,0.0440542113055,-0.894468877483,5.52870372447e-07,1.42736311115e-05
Inosine,267.0700,RLM1,YPL089C,0.0432624219177,0.0432624219177,-0.178748417398,0.477909481029,0.548324407854
Deoxycytidine,226.0800,SMP1,YBR182C,0.0430904746526,0.0430904746526,0.591002222655,0.00979846261846,0.0226453358293
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,YAP1,YML007W,0.0426945388006,0.0426945388006,0.703073996413,0.00113505562561,0.00389161928782
Ornithine,131.0800,HAP2,YGL237C,0.0421043418269,0.0421043418269,0.900256797396,3.58763320186e-07,1.1753237787e-05
Xanthine,151.0300,ARR1,YPR199C,0.0408443541372,0.0408443541372,0.482340950384,0.0426381971264,0.0750377296728
Xanthine,151.0300,PHD1,YKL043W,0.0405343761825,0.0405343761825,0.137831203256,0.585477355239,0.645147600324
dUDP,387.0000,ASH1,YKL185W,-0.0404090196125,0.0404090196125,-0.917827421486,8.05776608996e-08,5.18416613685e-06
L-Saccharopine,275.1200,YAP5,YIR018W,0.0403852309758,0.0403852309758,0.699350881465,0.00123763162688,0.00419067825289
L-Citrulline,174.0900,SNT2,YGL131C,-0.0395544126545,0.0395544126545,-0.359411942681,0.14295925198,0.210819045459
Deoxycytidine,226.0800,RPN4,YDL020C,-0.038772976236,0.038772976236,-0.638521476817,0.00434468706101,0.0120416199762
L-Asparagine,131.0500,GAT1,YFL021W,-0.0382815675888,0.0382815675888,-0.366496497578,0.134677798459,0.201050110618
Deoxycytidine,226.0800,MOT3,YMR070W,0.0379967085387,0.0379967085387,-0.151350950826,0.548840268629,0.614701100865
L-Asparagine,131.0500,SNT2,YGL131C,-0.0377405300553,0.0377405300553,-0.597570027455,0.00882069530269,0.0209851835959
Deoxycytidine,226.0800,MCM1,YMR043W,0.037431808242,0.037431808242,0.138213477587,0.584427519647,0.644641264096
Xanthine,151.0300,REB1,YBR049C,0.0374207139351,0.0374207139351,0.629352475152,0.00513414722151,0.013741394034
L-Asparagine,131.0500,PUT3,YKL015W,-0.0372151818505,0.0372151818505,-0.768382939512,0.00019534246789,0.000989856032184
gamma-Amino-gamma-cyanobutanoate,127.0500,UME6,YDR207C,-0.0372082257505,0.0372082257505,-0.853399893996,6.70119280111e-06,7.42913963331e-05
Hypoxanthine,135.0300,SMP1,YBR182C,0.0365907561892,0.0365907561892,0.67810529713,0.00198153781848,0.00624484645822
gamma-Amino-gamma-cyanobutanoate,127.0500,ARR1,YPR199C,0.0360752500311,0.0360752500311,0.238240885514,0.341091078034,0.422542776192
L-Glutamine,145.0600,YAP1,YML007W,0.0358486934876,0.0358486934876,0.576001946563,0.0123593288304,0.0270197939596
L-Asparagine,131.0500,MOT3,YMR070W,-0.0354704270582,0.0354704270582,-0.468585765061,0.0498288774028,0.0855552423331
dUDP,387.0000,HAP4,YKL109W,-0.0350711658494,0.0350711658494,-0.825712885585,2.43879693924e-05,0.000200993679823
L-Glutamine,145.0600,BAS1,YKR099W,0.0346926603403,0.0346926603403,0.789777773801,9.67862436956e-05,0.000585543369061
