Metabolites,ion,Transcription-factors,feature,coef,coef (abs),cor,pval,fdr
Xanthosine,283.0700,ROX1,YPR065W,-0.435995297236,0.435995297236,-0.922039186262,5.36159146626e-08,4.33693176382e-06
Inosine,267.0700,YAP1,YML007W,0.394891864732,0.394891864732,0.588141326065,0.0102506926908,0.0234916189263
gamma-Amino-gamma-cyanobutanoate,127.0500,PDR3,YBL005W,-0.372160771369,0.372160771369,-0.975075418506,6.92646193778e-12,1.10563173471e-08
L-Glutamine,145.0600,PDR3,YBL005W,-0.359136273247,0.359136273247,-0.9699886845,3.01173980855e-11,2.19254658062e-08
gamma-Amino-gamma-cyanobutanoate,127.0500,PUT3,YKL015W,-0.328090003924,0.328090003924,-0.66261066991,0.00273028446426,0.00820212004118
Inosine,267.0700,RTG3,YBL103C,-0.324926847088,0.324926847088,-0.724320705317,0.000675339057294,0.00251267547041
L-Asparagine,131.0500,LEU3,YLR451W,0.319124194754,0.319124194754,0.740326695474,0.000442544270665,0.00183052402866
L-Saccharopine,275.1200,RTG3,YBL103C,-0.314540543405,0.314540543405,-0.771456227536,0.000177405421024,0.000913805281878
gamma-Amino-gamma-cyanobutanoate,127.0500,LEU3,YLR451W,0.29157704102,0.29157704102,0.43126943754,0.0739492393221,0.120436345026
dUDP,387.0000,PDR3,YBL005W,-0.279230086854,0.279230086854,-0.973851527664,1.01248327354e-11,1.10563173471e-08
Inosine,267.0700,SNT2,YGL131C,0.266049157837,0.266049157837,0.301294426095,0.224366766109,0.303416109711
dUDP,387.0000,LEU3,YLR451W,0.26481283483,0.26481283483,0.397711236564,0.102163452301,0.15914763183
Inosine,267.0700,PDR1,YGL013C,0.256167629782,0.256167629782,0.586309568797,0.010548924629,0.0239489099685
L-Glutamine,145.0600,PUT3,YKL015W,-0.245645866063,0.245645866063,-0.673133804363,0.00220052596108,0.00687546308869
L-Glutamine,145.0600,MSN4,YKL062W,-0.232251707528,0.232251707528,-0.944161394932,3.98558205523e-09,1.23342991344e-06
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.0600,ROX1,YPR065W,-0.228891798125,0.228891798125,-0.928086548591,2.86545311639e-08,3.69729851976e-06
gamma-Amino-gamma-cyanobutanoate,127.0500,RDS1,YCR106W,-0.217381842371,0.217381842371,-0.874417043792,2.08252200813e-06,3.11522470257e-05
