	YAL017W	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL047W	YDL079C	YDL101C	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YHR135C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W
r_0001	0.21810504081895193	0.09295590888211697	0.06044132904074234	0.24041265067393222	0.3498039571584204	-0.06206835180082606	0.0916128731497391	1.4979101043334044	0.0747757564017146	0.0328478606298898	0.08493856829601751	0.04583403758271501	0.17059156550093724	-0.205444535871604	0.3448800916865005	-0.15748610212240063	0.7285072305540767	0.0681565070987427	0.06997176596761272	0.11824759319970406	0.17399613184196547	0.09907648748579993	0.2238086850843304	0.15308876959369577	-0.10062892112213716	1.4116145499911044	-0.011753700885491589	0.1295419365289987	0.03676263348549742	0.0004947765726092994	0.09748713549311416	-0.13560511394163224	0.09060450332925933	0.048088754601080475	0.31527253989209264	-0.01704138431260193	-0.017753678706407303	0.33229488225899495	0.6268813857671782	-0.5118035234228898	0.02805992766289777	-0.2100373892056865	-0.1244407341241821	-0.37001747502473736	-0.04217456213899067	0.2856099970502696	0.19317308072659073	-0.18496944722105768	0.15703950463225988	1.055319437472887	-0.10880339060020523	-1.7398391923645495	0.2901579827101312	0.5604249500927718	-0.04208731819922662	0.02491620949013884	-0.09606623575323726	-0.5016709051928153	0.16655516250096303	-0.04816557459640956	0.18855155596568304	0.09529846399439738	0.836656310000383	0.12803787069476283	0.013578038037785001	0.14461717976565244	0.4272781772005003	0.5665194589276538	-0.06580368495557419	-0.057839920132635864	0.091170020673654	0.27318372813866704	0.0630611457157757	0.2429780910117985	0.16238637013820956	0.03384420647927446	0.04551213785637495	0.10776628086628015	-0.2712199859990144	0.15123823591260296	0.027568312195711885	-0.2880134858569363	-0.025961577377439992	0.5947911374899651	0.05650792231819188	0.34540303224598906	-0.08437579851013972	0.048093575385215866	-0.014555893699072743	0.0018054284447472418	0.046740139490619004	0.06443606090989104	-0.18485764859685455	0.24669067953127155	0.08978972496682576	-0.19348181788118016	-0.4495172859103158	0.10321776245552547	0.06225868915890067	0.18090841643962072	0.2792218163071134	0.25311875473270057	0.21504811239356736	0.1800751162613621	-0.08930807290607264	0.062358624274408636	-0.0804215255486052	0.21089141399069714	0.28882854851748435	0.527807691775779	0.18353586140083886	0.7131782926879907	-0.1667712565673236	-0.26151032750523917	-0.3361053247491356
r_0018	0.006240565684116929	0.06620977377292307	-0.08927819766085349	1.0982683448761732	-0.04408352261236083	-0.06515937333950109	-0.14034893489138553	-0.8905687998033494	-0.008000368292209181	-0.05647052798733874	-0.09690448186755918	0.7896834276321979	0.11683647484177509	0.1520262671132664	0.05248883826925476	0.028599917517431375	-0.07337470028001518	-0.24663821793243046	-0.08181235298585245	-0.18434454972858927	-0.417538136550527	-0.007629059360174136	-0.03990306569925797	0.06736412218265601	0.08905946416883202	-1.0291284333765989	0.023597754860212528	0.27571419089180643	-0.006893601559203578	-0.4923801297655149	-0.18004478396857287	-0.025609593106987814	-0.14242973987606777	0.09911908929671512	0.0016582160190855115	-0.07910913633787447	0.07974761683906605	-0.04670515105874946	-0.04096201622432228	-0.11412339211280431	0.023189490475887135	-0.10505969596158517	-0.3246866610497997	-0.0023355024659708658	-0.0626349327812896	0.13510727133646716	-0.13611506077835486	-0.3932528543649817	-0.7613792534205123	-0.11622415802138435	-0.10034254715267123	0.408725080059981	-0.4948779917872232	-0.2176425131729278	0.2607108816065154	-0.02760010553377892	-0.13533566607231656	0.0730842180759373	0.07549765721663174	-0.11931996985902883	0.0066181656495474805	-0.9716598560032998	-1.4139684721008356	-0.1156944178075839	-0.03081733613165111	0.11861144513342939	-0.12977379312873158	-0.11159188945794664	-0.23794740563803632	-0.14493684421525138	-0.24974225837426328	-0.09422703848256626	-0.08345926145062957	0.26880014039523287	0.08636141863338771	-0.3596012206907028	-0.042619952344391976	-0.1980976007544618	0.050788367851914214	-0.03864967809512387	0.1138209802503634	0.08063102702598855	-0.017787192565986334	0.06309197379296448	0.0810770304568308	0.21861400389085237	0.09795046844180268	-0.00948616936623095	-0.14489204564844552	-0.056056443004526495	0.7246744542386651	0.05964125821397238	0.2653203528714213	-0.06164341025853471	-0.023791614691357287	0.08695629162533285	-0.12812590496181173	0.011911731657002095	-0.08382207572369002	-0.10041411748402955	-0.2034268762198219	0.028971003187588506	-0.12074739113927618	-0.2958612399963405	0.16942875650244196	0.007163542387847374	0.003522841824336385	-0.07097181531727242	0.08796932870069635	-0.1446952050340797	0.004457379101828731	-0.1917531848171508	0.15391216240221442	0.08211450668281232	0.2880651726643658
r_0024	-0.008614499500649636	-0.00940354271342377	-0.00773430830193448	-0.03613153145489357	0.022333430829868512	0.017731569456448704	0.044563318938770934	0.08962062927989212	-0.05661797232198749	-0.017145948407329588	0.024339069277223055	0.011919548387985951	0.1153212180208195	-0.09707411173879117	0.0034335827224215624	-0.0035894805961592317	-0.09003332968206103	-0.040311363237181985	0.038930070057804	-0.020359018398830524	-0.004985365749416361	0.0022607064319644056	-0.002770918845820182	0.03362754068909306	-0.04486469736217934	-0.06707303518677346	0.09228140927041537	0.09749217292553711	0.016476593669678106	0.07407015938669027	0.062367171326272425	0.006388086879811331	0.033405123327443574	-0.060249027231695534	0.02182806072554591	0.04060885957666999	-0.02644772977632195	0.0936349556935492	-0.044162105760615765	0.04330148620669248	-0.01556987066454633	0.004869443577479651	-0.02319068671338876	0.02052587594672482	-0.021127449002282105	-0.10948490697638391	0.05503380132738627	0.0457354423257337	-0.042698044284138634	0.021367634523648975	-0.0004754015286801915	0.08983122618923806	0.01579113026271258	-0.05057533194807331	-0.0704441114917389	-0.08863890713373994	-0.03748627662037075	0.16584552007834727	0.20193168883145715	-0.024145304194499766	-0.040277542709496274	0.16353685298590565	-0.03454674191680358	-0.09792179893153549	0.0016338306686971742	0.027023802382695417	0.016679409507218457	0.0006409046287374481	0.06383551802253416	0.02048411284002282	0.018204432910980665	0.04965318269138636	0.04069113370497811	-0.02385057185506658	-0.010933069092640033	-0.001751906046944054	0.007237862139166229	-0.04300274332027937	-0.013160786826041052	0.06193250606567811	0.02319803465957921	0.15561356822709718	-0.0107994917198911	-0.06288104638899836	0.03509770067643846	0.24850721040445398	-0.03530850581193842	-0.009093772187798861	0.042944825339281276	-0.10019287379668396	0.030921335874934296	-0.03214542040605536	-0.03142687808861606	-0.019383288192835985	-0.00832321109479919	-0.027786888194162786	0.01642666472388119	-0.029692185054089725	0.3426276181900359	0.03156122635793593	0.06874691555835458	-0.023774020146746754	0.031509029236345604	0.036789621491767836	0.002367855386988203	-0.03278083806750041	-0.34838552584507615	0.060924641792902204	-0.021759380152067867	0.07219775341179802	-0.3530396543262807	0.13130254092904425	-0.008275673234000282	0.002592265754047835	0.016591636517777637
r_0062	0.16701522553159678	-0.007315249764777527	0.048166809461614495	0.01119420056223783	0.6335896761089034	-0.17515000549638063	-0.6017877024871908	-1.8535412173457462	0.1567525945976716	-0.4297178977279228	0.07336396327473295	-0.00038619449458694125	0.000504809303518461	1.0111285632046918	-0.20532714442372346	-0.5123549425506282	0.47287412585898053	-0.2030484527013345	-0.3284639699452954	-0.62827814829523	-0.26153755344865354	-0.06338063998358297	0.13875349366889012	-0.1789461068188176	-0.29330859154887307	-0.5999620790470855	0.0325616426444593	0.29891540373700415	-0.23744916818413275	0.4382065114731608	-0.07546580934721854	-0.47015216132677623	0.31266556207045376	0.32559767633470615	-0.15709968516957756	-0.12478611688223544	0.20632152563813114	-0.15498616513324082	-0.12873310442648836	-0.3734002303240589	-0.3893575221649954	-0.6200715223744472	-0.6647709554681034	-0.11997613427398815	-0.25856311234925017	0.10400745239852359	0.3617518215285827	-0.03034749084596615	0.18272960260387042	0.5377306680673803	-0.6636232955355938	-1.1882988672640111	-0.17325186269114748	0.9335644539562695	0.6167923308773895	-0.14393745464206897	0.7477739489275664	-0.13867916017290674	-0.05840690719421098	0.31416399460015015	0.13553234996722266	0.07384469207136674	-0.24578856994256704	-0.002511595064478235	-0.18723395459119513	-0.240511457794491	0.9689243388032446	0.49772203324142883	-0.5788104466612211	-0.40730167079313045	-0.30826310297473986	-0.18006272633131573	-0.0025882501293384773	0.24531192215726846	0.3608443575595837	-0.3794545265263332	0.03133972883220453	-0.2289422926145471	0.10056033978347406	0.16279562782852214	-0.0687713381949305	0.059401704455691325	-0.5844248525382605	0.31836286778625744	-0.01645260163395735	0.17808061989169996	0.8130168451234144	-0.32118634528090445	-0.05950350214175776	-0.14331399716114063	-0.14096929948188278	-0.09244748683902487	0.21829485536399165	0.48245642660890425	0.6714663218876104	0.3711994843025277	0.006407966149111064	0.5453306482164831	0.1798935279048714	1.170162513569576	-0.16078094462289683	0.07894101438546378	-0.024687543992214858	-0.14550564311362096	-0.3662355271419763	-0.047983037383070505	0.000999004847418063	0.23001641697722877	0.39267075244176564	-0.04929187807375496	0.2914047106763663	-0.013960875353995587	-0.2568662757704797	-0.2884043760777879	0.24608259290556364
r_0069	-0.10990035224805254	-0.28084276184188106	-0.06683227844897213	-0.20879704179739383	0.43861746996363127	-0.10171566876751888	-0.2579821413806376	-0.8778892011037435	0.13154490198970034	-0.3646341881387381	0.055905337738078924	-0.16054973176684303	-0.06646558246016052	0.8289916486328909	0.08442788286727591	-0.43464443760034693	0.40023749238840345	-0.22219906675630702	-0.21975541693842554	-0.2016339463450438	-0.3295584122951307	-0.13019737545116505	-0.19457224739970688	-0.0864466361877538	-0.16123398468224373	-0.36937483160027135	0.19524710249136534	0.03067716883492854	-0.24998553144873775	0.39167947201200326	-0.01668603865897188	-0.5491111077658896	0.18421710346835024	0.05826063558298299	-0.3734970119833817	-0.04772908104330605	0.057163753851406256	-0.17180654744718818	-0.26381328307713287	-0.29574543868253234	-0.1976592487230957	-0.35701270635939375	-0.7356503758195359	-0.1911757099147253	-0.18112127221008192	-0.4266455008547379	0.20094878662029494	-0.08478687239585524	0.18638987503768314	0.6293712996477785	-0.5113318470981911	-0.3530765664190184	-0.8842636888595578	0.017052674938015842	0.47412338039633234	-0.09167264425033443	0.5972693478531246	-0.23816751298019034	0.018535742369788704	0.17318604316136213	-0.4138401806745484	-0.036915422711464176	-0.3350631221217567	-0.30037764993356053	-0.026372146675436827	-0.06478416769703493	0.6005860021712279	0.44878417655446445	-0.10240579090059725	-0.34377086807737584	-0.26523575856870807	-0.06918867701628309	-0.011360201619284246	-0.14646520131344115	-0.36491062653029954	-0.16851494239777645	0.16134606826846976	-0.16058985975178627	0.18985134291491468	-0.3244566547156312	0.04943906617921273	-0.033323736820172006	-0.39302001519008445	0.06961882085645575	0.07997984684463719	0.21096614295612998	0.7563559428088145	-0.333724558903828	-0.05523203848048308	-0.07470814833236192	-0.1670370894444681	-0.007854555214078653	0.1372160769174747	0.04269256002156188	0.6998256529105784	0.3441066246938744	0.08023293207122809	0.08030567911278239	-0.05189694868928683	1.0543803743530284	-0.24379552050064468	-0.18128450709662766	-0.01280220727256184	-0.2734403413061521	-0.2554101556367411	-0.7250940518023536	-0.1722076425363668	-0.04516892074315718	0.03839702118423796	-0.27493606752126604	0.041214659811733986	-0.17888779896006138	-0.297791321045099	-0.24633000612060535	0.15472355468383145
r_0111	0.015573355733868128	0.04033300660874418	-0.027587437959361024	0.02799752348314362	-0.06573455594569418	0.09329963362567256	-0.11870064185655985	-0.6841861928381774	0.10496386951873578	0.15267684166440224	0.03597519375433088	-0.00596255843744974	0.01967754250346711	0.1923963487053063	-0.03164068909392903	0.04836157174628707	0.07206202011799431	-0.1209877492757148	-0.06917094651819096	0.11132587017190726	0.17038514802658541	0.17093358541594475	0.04783365967387613	-0.03177636438450797	0.018338629342961665	-0.330733554769639	0.10954642252190408	0.1252242734788716	-0.0002742632507459038	0.06907486525935864	0.1482596657826699	0.18595447455470301	-0.026777532910894533	-0.136945912693334	0.03876160955142377	-0.025708480118969337	0.010264828779364833	0.06013901759796659	-0.10098173413477	0.16548970987724465	0.054904765102752696	0.06324437170010573	0.014711648402935039	0.07315204529522304	-0.2531854223335286	-0.05111654060383071	0.03346452578880882	-0.04732699167841633	0.0014310182212756992	-0.07599949533481762	-0.03795774665515922	0.02418849299530644	-0.05796792959816979	0.08146868185194694	-0.03177181640343395	-0.07531170205119185	0.07511006079335421	0.23972065489185745	0.14975571841066146	0.03647509631012468	0.05764899500278119	0.12989866837480635	-0.1270216551854177	-0.11583671979763395	-0.06775190279831773	0.07903359587969838	0.29561096557773486	0.057529311537077785	0.001984495356987741	0.11110452941658863	-0.16838563598620396	0.04561732121892586	-0.054144850007843644	0.08236615780816874	0.024951995747815883	-0.1194109400936888	-0.023634588165287625	0.08811013456892057	0.08173372407081955	0.12430796717850748	-0.00922281328197447	0.15252084294638663	0.1363621561902321	-0.041634842624945656	-0.05263858397102945	0.33797678249781754	-0.022856234543271448	0.010211985360137173	0.0657359145505588	-0.14831711016870544	-0.17116570347277302	-0.09042719153727104	-0.20686971528778153	-0.0013410351341569292	0.023108207199189844	-0.038234329767701684	0.040750214441172765	0.35457367494058356	0.08808631134098611	0.03506858251597003	-0.0689269055730562	-0.06987458984723713	0.02619653025375799	0.061895707267340117	-0.024874683796064848	0.0113592652734195	0.01564180650095334	-0.011045692431700489	-0.003896231000795934	0.04341376063756104	0.05573451442521175	0.38964083010822087	0.031313511158434115	-0.0124320052574857	-0.18415304226100593
r_0174	-0.14283916145442585	0.41703096383461724	-0.3100406930125863	0.04176510531517424	0.40716852943604154	0.32560409846706656	-1.647996058811573	-2.718506648069884	0.5906796070503325	0.4610919134272106	0.03812619875524679	0.25343949195489635	-0.03639871593107894	1.4287896570512146	-0.10438353073998964	-0.43219382157940484	0.5777206583930076	-0.21036702418252803	-0.5448153803858966	-0.34704720639262987	-0.42214712092108525	0.3852748081580823	-0.08093800216571904	-0.1467571015799768	-0.06218253387764575	-2.7279821786138876	0.09365611248035256	-0.23237122468481058	-0.1824806434044162	0.7920983636758278	0.2580610289615449	0.2707084419545311	0.4542942456575413	0.4446010955505395	-0.5637521986178634	-0.052571003165290585	0.24419849157274767	-0.2212664112140123	-0.739524379273303	0.2771263141658449	0.2533535763460224	0.002003946264356585	-0.4548576021165544	0.05410642357870483	-0.5306502170316094	-0.3699498198973386	0.4920347770959801	-0.5234198736240951	-0.5303492156261611	-0.19722680112630925	-0.33417210506184925	0.3546079043959288	-2.6992523895625276	0.30004055585006123	1.3365872642750027	0.19575630764622848	1.300357561565426	0.26489223244417914	-0.4394975565120003	0.19530913335078617	-0.014698607787002965	-1.2536519286939896	-3.3536765443722905	-0.08138554869587088	-0.33210502758358407	-0.18469097478400462	1.1119204647800112	0.3254751190850239	-1.258434257017591	-0.1646622979949497	-0.9291049463720289	-0.0823395570208439	-0.2367844036311221	0.3002749819869569	0.2882874899755212	-0.1609746378275904	0.08095349977478501	-0.34402716630617874	0.2334634864109893	-0.018738423516693064	0.5402390799671598	-0.007716730355833959	0.21644616885218204	-0.3047245964834994	0.054097190277908394	-0.0739876309326826	1.3677103896181715	-0.5653211030840013	0.294757219677443	0.05458290286532526	-0.4878266913100648	-0.04816897447660368	0.8774602205821472	0.9169541392615298	1.2992228478710732	0.7631101070197327	0.47990139381706126	0.9831570668901741	-0.15379464668693754	1.1765330982661688	-1.0112641147698018	-0.27111800257654617	-0.09904639746346491	-0.3988441819816575	-0.052511343705421216	0.4022330394048178	-0.2349420664002281	-0.11542361086177416	0.9119525868296676	-0.6660073944987984	-0.22263363861801455	-0.620233981133624	0.19785642216381374	-0.19498187900972813	1.0089275801788724
r_0221	-0.14605737269079022	0.7545022313439765	-0.11878244073751973	0.9277755543553878	-0.08728077859431072	-0.0037923925185420347	-0.7156535253538686	0.9838567712055107	0.7615635912670398	0.4879270696249186	0.02856465006422668	0.7324837211706474	0.036697827729884794	0.7165034240357327	-0.023905699372131054	-0.20178643535736987	0.3863581555973829	0.1722279825582127	-0.07376288024252292	-0.1491520741828793	0.13645297178864538	0.3862932338469369	-0.008109148257718142	0.3726369559577674	-0.005506694324714169	0.24333466601900158	-0.019438668083414642	0.2743178077601692	0.0405936478521709	0.4161330151899175	0.1610287077185547	0.34301953663509516	0.14780427175527194	0.22474609979118776	-0.0927681853564265	-0.10892569684774278	0.24502288228858224	-0.6866916049907931	-0.1615174192185945	0.40437254596957345	0.32422811576311605	0.16415147540721775	-0.07876237701266624	0.1303049813363947	-0.131154521209697	0.4311357633935657	0.11808718691698873	-0.29321202665237656	-0.15579562499512656	0.22428951296388946	-0.2662604021966977	-0.08814569754321487	-0.33721125307301286	0.8318045841489866	1.0079935084032041	0.37479897270171975	1.0157478258301809	0.5359664424291446	-0.07384601144694762	0.09340559476082609	0.20182292119610645	-0.8862883071176982	-2.1142010072054687	0.22216890846448065	0.007427463686005428	0.01951562279636658	0.777859602969068	0.3349611284392626	-0.6554038881236822	0.0030687071818608427	-0.5976783285464775	-0.07549696498096209	0.30620464791153335	0.6761370959537265	0.4981777674147978	-0.08497386672121882	0.09082873805041898	-0.05412078745936688	0.09676636211902899	0.4539668161646621	0.24769860177113254	0.20232043171434824	0.15614056056498082	-0.09197235506712614	0.13928990604137023	-0.03293997458445664	0.41773133096658194	-0.1989919684095731	-0.27307019209456557	0.27569562872431863	0.0959037397486941	0.1127557510338613	0.5777323636598802	0.4914304361314781	0.8984820397616633	0.27382742781657615	0.20132840214681583	0.7143411353662642	-0.1555422998702288	0.4938580838069313	-0.38514295864654396	-0.1257592262108486	-0.15172116085785695	-0.01757224472258734	0.09522862515258047	0.7871328310616797	-0.27049967786621537	-0.19549853056173475	0.4960536836567881	-0.2170598153258371	-0.030895891810279425	-0.6877808490495815	0.3357612599026797	0.22401248479950708	0.7123225919517143
r_0226	-0.20448527590692506	-0.24381926766070885	-0.010209409963014412	0.22910571756913878	-0.07915661482548489	0.14739438827946305	-0.17093809911520058	-0.6711307270507084	0.16516079986008345	0.21204766133971711	0.020080237826970482	0.07286348759696867	-0.06213228755619498	0.4002793647989247	-0.12954062125957883	0.08598184293037514	-0.2795714834895769	0.036947922909801	-0.14019329886806714	0.017953497429031084	0.27570176514210915	-0.07841008137569686	-0.13539543551044986	0.08227126680917556	0.09587640401359	-0.31997118478234143	-0.10004688270623269	-0.251513609372708	-0.10435861408856721	0.02736454800582015	-0.10870433705161507	0.09304531905403368	-0.019375063317374385	-0.21158409171714143	-0.1797171328894336	-0.11797351193604556	0.10235811342296713	-0.14770092452761915	-0.3882556162186448	0.05503611711599332	-0.14380115603075416	0.07604532417136885	-0.008996483219003383	0.08953895212307382	-0.2565917970963032	-0.23622552735092686	0.08359893071775383	0.06957661778214463	0.3824566515598519	0.1642011962571125	-0.11548599320589624	0.39394866405576817	-0.00631649546409701	-0.31515849574943305	-0.14794219028753805	-0.14458183219452492	0.09063630750033252	0.055837827750434735	0.13377279833425754	-0.054775122168609254	-0.31299137650112274	-0.21083119085475108	-0.22741186442328348	-0.19459466128531394	-0.09307765351152925	0.1306243617898802	-0.09843797057746805	-0.0639846854606831	0.31429674179580025	0.13844243098953188	-0.21189361249918504	-0.1667909759052444	-0.12852130009260881	0.024755594630194153	-0.1806868189643604	-0.3939804673009699	-0.0409477453950909	-0.2593757484703874	0.04720545645936971	-0.07762903648057211	0.06578270780147283	0.01921567431068601	0.1374258179478531	-0.37615427201967855	-0.04733877718782425	0.2926057507746713	0.09131717353445251	-0.04822951851261681	-0.06920053533853215	-0.05758829361145639	-0.02727975846967478	-0.0534354723984581	-0.08235555230423289	-0.32526618738886937	0.07386086085748585	-0.11923347964222741	-0.008286354076835836	-0.05610147210815357	-0.0057053502844630335	0.03183989528778322	-0.11919289835502325	-0.035535962085883756	-0.08612106407128142	-0.05411688750600962	-0.0022676436643549636	-0.4984130722396215	0.15125798719143002	0.03837831042495369	-0.0835393649965973	0.03519884545651861	0.19265276973754794	-0.22408804161266266	-0.12135927818873611	0.08170853327740892	-0.11497612626489644
r_0229	0.10768229259799317	0.19199949428159957	0.19682694172734286	-0.060061095112848725	0.017625144348378516	-0.2569100798541182	-0.008084524910133235	-0.05867396923281984	-0.15329177098610733	-0.2179789855473816	-0.0394407395860054	0.11689849647081924	0.13247953041992072	-0.04093381834817067	0.24862138965295552	-0.04663322008001623	0.37487113625121726	-0.05917960509288703	0.3382860652232506	0.12221173621318196	-0.3641799744022009	0.15743036625120016	0.09272987532049481	0.04187202030069641	-0.07230714708796203	0.08391521432552958	0.3898818945085556	0.25083700253167457	0.16749799118402048	0.20014156167961292	0.2479289456969128	-0.09213076244365304	-0.0648515198829758	0.10322749183785115	0.1605843233061225	0.16671214095232273	-0.06233658213364011	0.49368057267242776	0.33935631398858684	-0.08749504754988403	0.0484823904783487	-0.009463211467238223	0.03471837156009631	-0.0749067467239795	0.2835206392731763	0.1712093723616622	-0.2287270459071794	-0.35921861701572827	-1.2674936720105379	0.11039532890022102	0.14125129256698066	0.8947939351684763	-0.10507482860948669	0.0754065419787719	0.164816407507049	0.19637119758809826	-0.14432793388102588	-0.027213197445739128	-0.1531191136464269	0.0518296041422552	0.20944533072284574	-0.41007518994858977	0.66404672656811	0.37614400139023585	0.06401102993355434	-0.18979720747946457	0.44928606667195886	-0.009074330034500873	-0.43663538534201213	-0.019864897161614832	0.21580964379109038	0.3826699022195819	-0.02233675632962301	0.13388587798772958	0.08621547257147356	0.5191504456866329	0.18017786003190456	0.2777780409090078	0.115552436899015	0.07529703935475034	0.19005069062227173	0.011167201957759025	-0.14826218213281675	0.33527759608341073	0.04085938336575724	-0.06382342923647343	-0.23872383623622528	-0.003834886215764766	0.4593165242770732	0.09715628071992864	-0.047876111456228554	0.08229643753098542	-0.132334486596934	0.5179079160319705	-0.22239169785317506	0.1145872462477961	-0.03967737927880275	-0.061281816432037624	0.06777463586715264	0.011094822328655524	0.09237548549175272	-0.008478807800320676	0.2743155775933294	0.3956013124944327	0.051666448335263175	0.38818629840121005	-0.038613157187857225	-0.06420646874187481	0.022740694331560066	0.2792055715138965	-0.24083328617779506	0.24102929715897664	0.0776247445878118	-0.093160974455138	-0.06477864215218179
