kinase	N_downshift_15min	N_downshift_25min	N_downshift_44min	N_downshift_5min	N_downshift_79min	N_downshift_9min	N_upshift_15min	N_upshift_25min	N_upshift_44min	N_upshift_5min	N_upshift_79min	N_upshift_9min	Rapamycin_15min	Rapamycin_25min	Rapamycin_44min	Rapamycin_5min	Rapamycin_79min	Rapamycin_9min
YAL017W	0.6825635034649009	0.33124145824904233	-0.6931462513069913	-0.7772835288524167	-0.4315635855831147	0.7311880962602195							-0.7042130597483907		-0.3833144791044878		0.6124322205828113	-0.7654827164873134
YBL016W	0.31767438133219283	-0.5172692999200571	0.3115801779972894	-0.5991167844516373	0.9132843360551175	-0.3393242116614759	0.3757179041643317	-0.3050439977501818	0.3182162335321187	-0.39523411529611263	0.5687971154434834	-0.3887016377035712	-0.4190750243243807	1.0277971616209356	0.7214750352629824	0.7525177393229456	0.5630426693305504	-0.30900696790013055
YBL088C	-0.4530873568187575	-0.5612994670992637	0.2691370079535061	-0.5120136688706066	-0.5312097379003891	-1.2247537402597635	-0.41646118074564786	-0.9759250126925737	-0.8847224086040987	0.25375512827980173	-0.889747082646597	-0.502241281712732	0.5451551399914898	0.6607473659673003	0.3533022687006655	0.543633966870957	-0.7173778871219374	0.9118639112994488
YBR059C	1.0741724253752576	1.212539525481585		0.7242280998350686	0.9400581119380453	0.7574585717016158												
YBR136W	-0.45792185366437443	-0.562249437179612	0.2709162429563881	-0.5061238891471771	-0.5341711846425635	-1.27083521030723	-0.42342831593470925	-1.0039263455147247	-0.9197343726601552	0.24818221226312084	-0.8840568230609449	-0.49281902273975914	0.546375926408549	0.6577747706392096	0.3659259745125316	0.5483670525430092	-0.7251496799833352	0.9115095298176038
YBR160W	2.744727494896694	2.2596373105057563	1.8827287043442358	2.619788758288394	0.8338660296948909	4.0	-4.0	-3.0	-2.4436974992327127	-4.0	-1.5272435506827877	-4.0	2.769551078621726	0.41930306028756326	0.7950664776458551	0.40351286626345584	0.05290953578037808	0.5754450233932868
YBR274W	0.5187007266671443	1.2612194415156308		0.9233595563296582	-0.5281218006927094	0.40782324260413316												
YBR276C							-1.5528419686577808	-1.1354889189416082		-1.4001169279263121		-1.5670307091255944	-0.328086987558413	-0.3543812617573049	0.6946486305533762	-4.0	0.43509732747079516	-0.3347005005001029
YDL006W	1.0877779434675845	0.5291486754738823		0.7070797003999938	-1.2700257143004443	2.0087739243075053							-0.31515463835558755			-0.3576344191550267	-0.6716203965612623	-0.4445427827953505
YDL028C	-0.3928667956084333	0.36653154442041347	0.24980027217081788	0.3243132913005989	-0.31605286924848786	-0.5169835798558678	0.39599006758776967	0.25469094005917203	-0.5089185865768128	0.9918258159935736	-0.7912899800935989	0.5148466500963477	-1.1456939581989194	-1.9706162223147903	-1.2773660774661877	-1.2924298239020637	-0.6439741428068773	-1.027334407733889
YDL047W	0.6777807052660807	1.1605219526258017	1.2572748686953017	1.027334407733889	0.8362424760180441	0.7780644001719947	-2.4814860601221125	-1.856985199745905	-0.9434762759208997	-1.173277479831008	-0.9918258159935736	0.46092390120722343	0.21688286250953287	-1.4788619162959638	0.3488189375553121	-0.5991167844516373	0.36622865391744447	-0.6103024517936143
YDL101C	0.4024144982477954	0.36957212497497616	0.4156687756324692	0.31866829403083424		0.7700623140920662	-0.47288588836019496	-0.4633153273790699	-0.4458744184869873	-0.5895602137896535	-0.4268962168360089	-0.3937261468300118						
YDL108W	-0.9884295564027218	-1.458420756053419	-2.0809219076239263	-0.3898723869240046	-1.9625735020593764	-0.6927179529666541	-1.1797985405143596	-1.1214782044987934	-0.889410289700751	-1.0545314148681804	-0.9473060580750321	-0.995248844408999	-1.2328441339178196	-1.4828041020500258	-1.8153085691824011	-1.4225082001627747	-1.6840296545430822	-1.0609802235513335
YDL134C	0.3970722871408107	-0.3314277308154421	-1.3746875490383261	-1.785156151952302	-0.9136401693252518	0.703115524461453	0.34151161869098295	-1.138465589140962	-1.431798275933005		-1.2426039712069759	0.4194171231856328						
YDL188C		-0.7544873321858502	-0.641113795594131	-0.41668784801692227	-0.4664821379830325													
YDL230W							1.0390538042661686	0.8434508486682187	0.6635402661514705	0.90274269030658		0.8999742698921374	0.4327383076461256		-0.9726503922252435	0.8483237691529523	-0.6699922991272408	
YDR477W	-0.7762445463427589	-0.838033383635925	-0.9473060580750321	-0.6811022853725132	-0.8523236757589012	-1.2932822176632413	0.4062710012920891	0.8504729862456522	0.5877074906769535	0.8054856581175327	0.6447400944726216	0.7344746647809262	0.637894680706227	0.43486084803021047	1.8728952016351923	0.7004927012995124	0.860750782428393	0.4885177113739986
YFL029C	0.3130957304318226	0.6706021206389573	0.4546928835341759	0.5453075507605232	0.3141687253739364	0.44696698379756006	0.49634548075704077	0.30794663496591923	0.35793137265849595	0.4381833356810425	0.3110465373625821	0.3653212478213177	-0.478469658721289	-0.9629721202442251	-1.0840727883028842	-1.1101382787418115	-0.8233300673318504	-0.39126008093121206
