	NaCl_1200	NaCl_2700	NaCl_300	NaCl_60	NaCl_600	alpha_1200	alpha_2700	alpha_300	alpha_60	alpha_600
YBL046W	0.088702603969	0.158296400984	0.0465766110251	0.133299716792	0.0564389616142					0.168250943229
YBL056W	0.425117777329	0.308275193602	0.534405215636	0.783154378726	0.417568848341	0.371653266108	0.229600051693	0.354852788912	0.186523372117	0.305047352223
YBL088C	-0.183047493547	-0.141088898564	-0.0808931575819	-6.67923922081e-05	-0.102891982983	-0.341674967985	-0.150513033029	-0.302947139157	-0.237800534012	-0.314490866056
YBR136W	-0.0943448895776	0.0172075024204	-0.0343165465568	0.1332329244	-0.0464530213684	-0.341674967985	-0.150513033029	-0.302947139157	-0.237800534012	-0.146239922827
YBR160W	-0.321676769438	-0.267319342688	-0.55892802667	-0.109968495583	-0.593643919835	-0.190240589109	-0.0492944682164	-0.317061451768	-0.178741562582	0.77381437661
YDL006W	0.112879193851	-0.0647468912223	0.123671710146	-0.0847647428075	0.360456405171	-0.457300239624	-0.392868353355	-0.465374017205	-0.224784470339	-0.362452549701
YDL028C	-0.302356262439	-0.155001941345	-0.142146214286	-0.119860650001	-0.218308953106	-0.129406827447	0.187189518169	-0.228660268718	0.0133813789711	-0.155952769811
YDL101C	0.415466703205		0.469052223267	0.239298588348	1.10780429551					
YDL159W	-0.143783077427	-1.13346817781		-0.1632315962		1.57650214166	1.6853061535	0.855370229281		0.810449813221
YDR028C	-0.958051312706	-1.8324667248	-0.572713801596	-0.518528411915	-0.864554485301	-1.10506345981		-1.14852874403	0.236311219523	-0.558827147023
YDR075W	0.088702603969	0.158296400984	0.0465766110251	0.133299716792	0.0564389616142					0.168250943229
YDR477W	-1.15139994477	-0.666135824858	-0.0371283896438	0.470941681277	-0.172187372707	-0.383388289863		-0.281933104249	0.457909134713	0.614590671289
YER089C	0.425117777329	0.308275193602	0.534405215636	0.783154378726	0.417568848341	0.371653266108	0.229600051693	0.354852788912	0.186523372117	0.305047352223
YER133W	-0.958051312706	-1.8324667248	-0.572713801596	-0.518528411915	-0.864554485301	-1.10506345981		-1.14852874403	0.236311219523	-0.558827147023
YFL029C	-0.0826740543921	-0.0760960739068	-0.18652023943	-0.182126036983	-0.0767911203841	-0.803634620615	-0.256591880859	0.359615534214	-1.29805219414	0.0788046312211
YFL033C	0.332183203964	-0.0906954023503	1.18646083068	1.40918105263	1.05957892845	-0.336804921943	0.0277931296107	0.595954158483	-0.805888498119	0.190497702401
YGL019W	0.0598968086683	0.0602823642973	0.0676812057074	-0.0693808322509	0.0677146615392	0.184740320728	0.0801579709778	0.0238444595922	0.162810899941	0.11886641592
YGL059W	-0.210430157383	-0.361933180957	-0.0312507084714	-0.0732622787006	-0.124641030225	-0.342742548105	-0.146185487945	-0.159047819696	-0.310228730366	-0.0849821352909
YGL134W	0.433564743795	1.37338006688	-0.328459257574	-0.184660752979	0.0843592227518	-0.397433162574	-0.393227640417	-0.104302620147	-0.875604266785	-0.0830070483662
YHL007C	-0.323854024089	-0.0615735161859	-0.42363387879	-0.267656819979	-0.389215004484	-0.107485184207	-0.148202234137	-3.25941268207		0.0729293849161
YHR135C	1.46999267513	2.0425768548	0.277872375422	0.223465297613	0.682657357197	-0.28748864682	0.219724598437	1.01938969593	1.32201242996	1.09426174688
YIL035C	-0.0879006485702	-0.127542086411	-0.114376456859	-0.0523624602278	-0.105460661593	-0.340416839513	-0.158051283111	-0.501498848914	-0.0655477127714	-0.288258877106
YIL042C	-0.210430157383	-0.361933180957	-0.0312507084714	-0.0732622787006	-0.124641030225	-0.342742548105	-0.146185487945	-0.159047819696	-0.310228730366	-0.0849821352909
YIL095W	-0.129918738546	-0.153368967392	-0.115407052108	0.428435212839	-0.226284408498	-0.261076171696	-0.149385373679	-0.598209091879	-0.357268745811	-0.316799492159
YJL128C	0.53799697118	0.243528302379	0.658076925782	0.698389635919	0.778025253512	-0.0856469735163	-0.163268301662	-0.110521228293	-0.0382610982222	-0.0574051974782
YJL141C	-0.124738592574	0.0524264865831	-0.0288346831486	-0.108421014253	-0.19185501392	-0.081160936467	-0.154867132209	-0.283977560055	0.236741696911	-0.0208004107538
