coef,coef_binary,feature,ion,random,type,zscore,zscore_abs
-0.531697494,Negative,YFL033C,127.05,No,Kinase/Phosphatase,-0.132356006,0.132356006
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.099378305,0.099378305
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.023178949,0.023178949
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.396665629,0.396665629
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.059151129,0.059151129
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.717761343,0.717761343
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.404299493,0.404299493
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.184288994,0.184288994
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.127440073,0.127440073
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.074985819,0.074985819
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.403492052,0.403492052
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.114551493,0.114551493
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.020388331,0.020388331
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.853519547,0.853519547
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.115302734,0.115302734
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.242669888,0.242669888
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.033688881,0.033688881
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.124886036,0.124886036
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.084921022,0.084921022
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.056451954,0.056451954
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.120846609,0.120846609
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.04109398,0.04109398
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.114168322,0.114168322
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.021643129,0.021643129
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.054774151,0.054774151
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.303304549,0.303304549
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.006840135,0.006840135
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.004113335,0.004113335
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.077544869,0.077544869
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.071875677,0.071875677
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.021745488,0.021745488
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.122967881,0.122967881
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.04638051,0.04638051
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.018955171,0.018955171
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.2788646,0.2788646
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.015206622,0.015206622
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.327593166,0.327593166
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.59507474,0.59507474
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.095384571,0.095384571
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.035150916,0.035150916
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.016844247,0.016844247
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.378350735,0.378350735
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.577387226,0.577387226
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.081091284,0.081091284
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.003755655,0.003755655
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.059841456,0.059841456
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.103177821,0.103177821
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.137476647,0.137476647
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.820557228,0.820557228
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.065830653,0.065830653
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.187783257,0.187783257
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.109070056,0.109070056
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.197725088,0.197725088
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.119502448,0.119502448
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.043065947,0.043065947
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.123600375,0.123600375
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.049681943,0.049681943
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.11144779,0.11144779
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.011270439,0.011270439
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.051571364,0.051571364
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.31835582,0.31835582
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.082789365,0.082789365
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.13521351,0.13521351
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.064053354,0.064053354
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.154187811,0.154187811
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.301460288,0.301460288
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.07089793,0.07089793
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.151437976,0.151437976
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.025339009,0.025339009
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.042755976,0.042755976
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.048175613,0.048175613
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.055469395,0.055469395
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.073487676,0.073487676
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.004580271,0.004580271
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.109396032,0.109396032
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.215987836,0.215987836
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.081688078,0.081688078
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,0.659882079,0.659882079
-0.531697494,Negative,YFL033C,127.05,Yes,Kinase/Phosphatase,-0.060822274,0.060822274
