	YAL017W	YAR019C	YBL009W	YBL016W	YBL056W	YBL088C	YBR028C	YBR059C	YBR097W	YBR125C	YBR160W	YBR274W	YBR276C	YCR008W	YCR079W	YCR091W	YDL006W	YDL025C	YDL028C	YDL047W	YDL079C	YDL101C	YDL108W	YDL134C	YDL188C	YDL214C	YDL230W	YDR075W	YDR122W	YDR247W	YDR283C	YDR466W	YDR477W	YDR523C	YER129W	YFR014C	YGL021W	YGL059W	YGL179C	YGL180W	YGR040W	YGR123C	YGR188C	YGR203W	YGR262C	YHR030C	YHR076W	YHR082C	YHR135C	YIL035C	YIL042C	YIL095W	YIL113W	YIR026C	YJL095W	YJL106W	YJL128C	YJL164C	YJL165C	YJL187C	YJR059W	YJR066W	YKL048C	YKL101W	YKL116C	YKL126W	YKL139W	YKL161C	YKL166C	YKL168C	YKL171W	YKL198C	YLL010C	YLL019C	YLR019W	YLR096W	YLR113W	YLR240W	YLR248W	YLR362W	YLR433C	YML016C	YML057W	YMR104C	YMR139W	YMR216C	YMR291W	YNL020C	YNL032W	YNL099C	YNL154C	YNL161W	YNL298W	YNL307C	YNR031C	YNR032W	YOL016C	YOL045W	YOL100W	YOL113W	YOL128C	YOR061W	YOR090C	YOR119C	YOR208W	YOR231W	YOR233W	YOR267C	YOR351C	YPL026C	YPL031C	YPL042C	YPL140C	YPL141C	YPL150W	YPL179W	YPL203W	YPL204W	YPL236C	YPR054W	YPR073C	YPR106W	YPR111W	YPR161C
YAL009W			0.029262891065442616	0.04574387409718095	-0.1234045013295764	-0.2187690334879154	0.543535539295301	0.5543954871219793	-0.17319055004851272	-0.1343126917833661			-0.3205279424553764	0.008877554059127706		-0.11194622796371455		0.25780278953136737	0.6148832002495311	0.2948796919933692	-0.21616780429775584	-0.22088032875712407		-0.1711282868011821	-0.2100978893079409	-0.2662911845511258	0.5899130864767955	0.38561253182972177	-0.22377908824760054		0.04176778098117073	0.00012471646353847798	0.3029326253951834		-0.01731774375785429	0.16458025650177396		0.47715138872599644	-0.11451773275029019	-0.11198157024270156		0.14805676925969355	-0.19801013971087453	0.045889434414774104	-0.10105006324229376	0.019975635884103927			-0.42041969810014773		-0.14381094069129519	-0.15469957326255462	-0.04673917663321641	0.07398524431081878		-0.1747849017199049	-0.10744894328303871	0.1876887543783728	-0.22534297518103563	0.12155150382883365	0.681309523066777				0.13464092260143778	-0.19936534511284693		-0.17113310573695484	-0.08171798372134806	0.02127781527151041	0.07581392437296447	-0.15895450676705214	-0.16118273861537083	-0.07639294772158557	-0.016964355715885494	-0.2633841110898866	-0.20757130587634018	-0.0243138558798053	0.07325707988857728	0.012222991193996642		0.044592468880830016		0.23564930687730073	-0.04266584950194189	-0.09124521643491237	0.45188909892803664	-0.08736240994288726	0.008430321200977735	0.2712960810988507	0.05207934668151225		-0.20461435111779303	-0.07300728799128521	-0.1733150888775452		-0.04080686246163127		-0.192658353875308	-0.015570541866655433		-0.20616320948762412		0.061274846379728305	0.22078838911348214	0.24036737315690856	0.12822196264236094	-0.0114058656241902	0.06006142581469169		-0.009547896504409849	0.18830004396918115	-0.0595410315649597	0.012034305922937558	0.4542378574464194	-0.2436147948291328	0.16611949762183192		0.1896934908813387	0.15201536667324442		-0.06590393662445568		
YAL017W	-1.5482355010893978		-0.057477381800701235	0.8955327332943921	0.09062634976081617	-0.24830699350521915	0.029535067105778485	-0.1286084679029602	-0.24480228031485485	0.18530596014595538		-0.3309086707381392	-0.48524519686792883	-1.1608904192246825	-0.5784908482263416	-1.192166773338174	0.0913909011653733	-0.3887504901409289	-0.3208247822287787	-0.35716787136461964	-0.0987098226024922			-0.29102363335699716	-0.4278355425754199	-0.3152147864915426	0.392991274841443	-0.4336366189448166	0.3114201259507331	-0.2931247906193605	0.2970408559124328	-0.4267057132128296	-0.29998379503435013	0.21706029651017889	-0.38170593863309693	-0.33496257833363957	-0.23793943199553258	-0.7772106841016453	-0.5734846514835231	-0.453545422883871		0.7399520129996859	-0.24524006723536915			-0.7946141813938166	0.9195231766307831		-1.1568333777183006	-0.0412654274452218	-0.4690205858813913	-0.7156107011593794	-0.05525233146375296	-0.48201222571203944	0.21184782854274592	-0.6006734266153845	0.6402015769491682	-0.318199122009608		0.3665841945406994		-0.24859627193262754	0.5520727107445464	0.021110165088854604	-0.18966977694571327	-0.3769001884413904	0.5760311761531317	-1.0510931629106948	-0.3909751455803818		-0.5112910094536954	0.024852086802990298	0.2827203888623435	-0.3376823450323488		-1.048202113567949	0.10692279764787052	-0.43248340709593974	0.9815364330083604	0.16419148801298808	-0.2783339524260055	0.47259736208436537	-0.642257957269252	0.1386983326532746	-0.5187660071454705	-0.8827635104368035	-0.20865205288927047	-0.45505066612130574	-0.7541744025958328	-0.05138974954023266	-0.01789135323990853	0.07331624110234819	-0.27374736382710985			-0.0026127882628905878	-0.19110700422619337	-0.6823251552485572	-0.2594668454588662	-0.024809097163504674	-0.9348861285883325	-0.12516327462663868	0.2218829639312638	-0.08489576693902359	0.20996637740691562	-0.3529636525519308	0.6657888997007307	0.8078448429090316	-0.15462915177561984	-0.11900588737953609	0.14179545846288893	-0.2740384351726975	0.5525371045120043	0.031590573949031475	-0.21719357653740753	-0.9857148222993293	-0.4887146698929914	-0.07768999140423496	-0.18557090276240068	-0.25099927215886697	0.10706901561005722	-1.2969273095704013		0.4058485022726402
YBL016W	0.4314105622098137	-0.0300319939277785		-4.379170316117512	-0.21378678426927927	-0.09529371736021493	0.058955425598843834		0.3634384969027468	0.04370861048580328	-0.16799575787694063	0.46305530222240127	-0.24076836559317355	0.9259101571256569	0.6862287159987916	0.31999315725910665	0.6394754936509767	0.9212980755880184	-0.19834638406557495	0.2896284701994304	-0.2338997419352935	0.27229827514486143		-0.1037940547851887	0.07178720748251076	-0.04472286041172671			-0.05579064612457604	0.006406864997746557	-0.038090465739831374	0.3610328018124791	1.1814421225830423	-0.4266700956505278	1.043292047312006	0.45813771404142534	-0.37811998410975384	1.110558890214614	-0.15950213414673065	0.05909023829630365	0.6677822959330977		-0.40738666632722825	0.19623224977405382	0.04050162248556244		0.8801866513921072	-0.8245184924097506	1.058152688317214	-0.11387394428921405	0.6900001347099068		0.5543796105917768	0.4359096188310931		0.472175871922636	-0.443215747439324		-0.1894408522555394	0.6304272443621247	0.01305003350520751	-0.5786075730491872	0.36722742854928847		0.2745321022421315	0.9804977920940604		-0.07962536423260437	0.3746262084857588	-0.003012646302740563	0.6532701595869116	0.49910703236188847	-0.2690010863668216	0.5720847629420832	-0.45276966428933046	-0.5919396266080544		0.09599194931168947	0.6159094655031868	1.9035792237572133	0.394179338711488	0.7637378381541265	0.36050227127891515	0.6758644308935198	-0.0923054605058719	-0.2870955846486826	0.6309823643655119	0.44886709135837255		0.5659153889082275		0.6728018309385533	0.3329853456227329	0.10690470733305087	0.2399960035486969	0.9646620209520762	-0.005491430584082636	0.36974092349512144	0.6579639518277773	-1.2733449627560416	0.4008726307267413	0.21082913689876648	0.6239223515836354	-0.26486693521297755	-0.2842885586516617	1.0620143240121125		-0.20623927719983606	-0.1616095788664374	0.09993838795878841	-3.766004812924361	-0.2814153196639206	0.4182210331942604	0.33586073065893646	0.041890597050264815		-0.00383631340272291	0.7505156555440529		-0.9455680686243411	0.06021881455715431		-0.18190593110511832	-0.6486872979954629
YBL056W																										-0.666034504076553										0.30663701244414293							0.09015816672413311																										0.45745105398217967																	-0.1623041886184784	0.3427929618269831						0.25228823075261503																															
YBL088C	-0.018992589071102337	0.014416691317534107	0.11274330833150799	0.3701352990505352	-0.24862087140706343	-0.06264859965139866	0.002843284178809234		0.2322997461156314	0.10130883666460988	0.056586663689184864	0.08268982015588203	0.10486900640713241	0.2975484923830872	0.17744586113249042	-0.017760674854752106	-0.2135497276431843	0.26197847546787806	-0.15011166247947139	-0.05949020694520562	-0.24424564798506174	1.3268564667829066		0.048127927811734784	0.5470806444734965	0.37039368171253123	0.42822654393808934	0.7801255597485426	0.22511734443543605	-0.09368586810974418	0.3071744379535088	0.11698932929425525	0.2221101045457664	0.16800705119788525	-0.02175460661034015	0.060652502436601294	0.11297784182307376	0.4544204413410455	-0.08388027870704373	0.020074801184667247	0.11460687777297933	0.19655632350615992	0.015313869950892735	-0.22156856847539763	0.21447758962486943		0.17018013256133574	-0.13072625145332523	0.15584665372008846	0.5072534455053161	0.03634035895222327	-0.31329552300730973	0.025949917797281848	-0.08984639653780951	0.24788798818300542	0.28621334283948974	0.04095537362391443	0.34271092907793865	0.3723496275848911	-0.07826609032450305	0.14994203047889967	0.24354886906788176	-0.18417178693246403	0.15775713559809965	0.07864422290583326	-0.2683777146952936	0.5836685019578108	-0.1150911875888185	0.3021460507807737	0.31812416097821683	0.1598952328175013	0.4420480367328763	0.10575012618449885	-0.3279315352637986	-0.045807332842745435	-0.266347640198566	0.07829817260034987	0.04684198004543735	0.14383646801622155	-0.26536406298521575	0.08985164145926156	0.12614985381870727	0.3667899498404105	0.3227018888953846	0.3467805147919078	0.17482503836082255	0.044902397443688964	0.05291386327239664	0.05096351763689419	0.07819298498390782		0.2669618052396895	-0.7524578947389459	0.3231392466541269	-0.026906079982910946	0.02637045063997099	0.040176555222730885	0.5150491180039644	0.32624565833189406	-0.010671957690929814	0.07694063144243055	0.10087089189779581	0.43591452869037833		0.3725511469070309	0.16635676625482643	0.1585834957995305	0.14955495986886416	-0.13102132972199812	-0.21641858558831806	0.2794337039431991	0.5223911234954737	-0.0003875935687279855	0.07175071338440503	0.20463628227443825			0.03303123557569409	-0.18009490615008542	0.031441629864326	0.10348000229792091	0.1813722900325817	-0.0024516622145266853	0.1423737442032612
YBR028C							-5.572628121767772														0.0885464845814554	0.8065225916633806																																																											0.4393035126519978													0.38201071343405607												1.5209893896414926					0.03045330589467258						0.11454778773329163							
YBR059C			1.2081472559650053			0.00661400059306965			-0.038571730422059705	-0.6039681555522994			-2.8673789495368256		0.29371185955673196	0.25951221279552456	-1.6675968500648632				-0.3398594084393803	-0.27545070761463275						-0.29098029096676686										0.12460137509777151		-0.0389725372256219	0.8469160158330159		0.7127701885344362		-0.01518094353837834	1.3225102146633314			1.5385962369309796			0.7404445970253101				0.2340169367292065	-1.337787978470842	1.0310050714285781					-0.10174684636531807												0.45119962615958337			-0.011405768719105027	0.44600046295666473					-0.21023643199308942										-0.11134370315529532		-0.13100020213367453		-0.964002294329669					-0.987351783426256		-0.18559675177362003										-0.12964099373881421	1.9561493307742608	0.2309366512097092		0.14433608577334706	-0.07356052323443057		0.7216835868176226		
YBR097W				0.4608194838881839					-1.489152827978813			0.15528947861627912					-0.6737687706197814		0.09358241442378137		-0.40517075460353674	0.13789690437517085		-0.6063914655311238		-0.3144352708544245	-0.871341540462507			-0.22815595264043864	-0.1407811381589965			-0.6888439280941616	0.1904523436024369	-0.1490410923485191	-0.27921481678471965				-1.0753265938622436	-0.6517692356073966	-0.6523767243437486				0.01746513195296571			0.07093067868580519			0.06731503483403665			-0.53111589633667							0.013680556926917308		-0.055987367684158525	-1.4497120292359515	-0.3240266628687704											-1.6806544471367582	-0.19492210361122692	-3.4708960744505664				-0.6253869622120042			-0.5934462594125913			-1.1905740760865036				0.3145585347879819		-0.5961525078854161		0.38191943299514197									-0.7060623295938796		-0.022873590436437826		0.29927243813691684	-0.704935276336494			-0.0662100408949362			0.47285363730309193			-0.2995553708868362			
YBR125C			0.42808520067059797	-0.3154645944244178	-0.01645798674906142	0.05058787888798019		-0.6128768205713483	-0.10267041484819861		0.01982225770166102	0.3528823225657348		0.9100431856918461		0.29279702786944267				-0.25698839642382615	-0.4339442847318027	0.19284086097913253	0.1530780494667107	0.5047823626995058					0.07788093866435132		-0.0680047050967185	1.0848232386794339		0.270899565672711	0.40470029253823914	0.07023507882994519			0.24346804036435382	0.3386907139579921		0.37527148610927075	0.9322699514972153				0.09211512871272559	0.37001894590428486		0.6000159952234235	0.2906736679515603	-0.10387518427976887	0.027785156221814364				0.2120441670105147		0.9397604130244347						0.2836373217993303	-0.07352494768701222	-0.18432060287081314	0.3570445048701734			0.6905494707793244		0.4214551543316327	0.29862492626563464		-0.8690768409096196	-0.27697411229914737	-0.025157915540121367		0.18747201220076914		0.12596090084001632			0.8351177764633745		-0.062442489520313775	-0.06680569361766832	0.15276443524362504	0.6889022503849969	-0.21423407005807424		-0.5499948179212253		0.3604770282381563		-0.15570609585115142		-0.38821069949909126	-0.07551106124848078	-0.0337423695533912	0.9432570392716069			-0.07815002654349482		-0.05221626287280102		-0.03945210477712953		0.2330341668173994	-0.05555247391794278	0.3424126650734732	-0.17125619719090543				-0.10955937656819018	0.695057653027708		0.31656897126171807			
YBR136W	-0.018992589071102312	0.014416691317534314	0.112743308331508	0.3701352990505349	-0.2486208714070656	-0.06264859965139921	0.002843284178808256		0.23229974611563076	0.10130883666460976	0.05658666368918544	0.08268982015588189	0.10486900640713259	0.29754849238308667	0.17744586113249033	-0.017760674854751874	-0.21354972764318544	0.26197847546787817	-0.15011166247947225	-0.05949020694520568	-0.24424564798506226	1.3268564667829197		0.04812792781173488	0.5470806444734965	0.37039368171253256	0.42822654393808934	0.7801255597485421	0.2251173444354358	-0.09368586810974427	0.30717443795350974	0.11698932929425515	0.22211010454576607	0.16800705119788592	-0.021754606610339712	0.06065250243660096	0.11297784182307374	0.4544204413410444	-0.08388027870704326	0.020074801184667607	0.11460687777298069	0.19655632350615987	0.015313869950892907	-0.2215685684753981	0.2144775896248696		0.17018013256133607	-0.13072625145332537	0.1558466537200885	0.5072534455053161	0.03634035895222328	-0.31329552300730984	0.02594991779728169	-0.0898463965378095	0.24788798818300553	0.286213342839491	0.040955373623914694	0.3427109290779388	0.37234962758489154	-0.07826609032450227	0.14994203047889967	0.24354886906788187	-0.18417178693246403	0.15775713559809978	0.07864422290583309	-0.2683777146952935	0.5836685019578106	-0.11509118758881906	0.30214605078077394	0.31812416097822	0.1598952328175013	0.44204803673287624	0.10575012618449896	-0.3279315352637994	-0.045807332842745095	-0.2663476401985658	0.07829817260035	0.04684198004543728	0.14383646801622285	-0.26536406298521575	0.0898516414592615	0.12614985381870739	0.36678994984041097	0.3227018888953853	0.3467805147919083	0.1748250383608231	0.044902397443688936	0.052913863272397166	0.05096351763689422	0.07819298498390775		0.2669618052396905	-0.7524578947389462	0.32313924665412713	-0.0269060799829111	0.02637045063997098	0.04017655522273103	0.5150491180039642	0.32624565833189434	-0.010671957690929709	0.07694063144243019	0.10087089189779569	0.4359145286903788		0.3725511469070354	0.16635676625482665	0.1585834957995307	0.1495549598688648	-0.13102132972199998	-0.2164185855883181	0.27943370394319933	0.5223911234954732	-0.0003875935687281398	0.07175071338440532	0.204636282274439			0.033031235575694165	-0.18009490615008486	0.03144162986432635	0.10348000229792247	0.18137229003258185	-0.0024516622145273398	0.14237374420326104
