	N_downshift_0.1min	N_downshift_0.5min	N_downshift_1min	N_downshift_2min	N_downshift_3min	N_downshift_4min	N_downshift_5min	N_downshift_7min	N_downshift_10min	N_downshift_15min	N_downshift_20min	N_downshift_30min	N_downshift_45min	N_downshift_60min	N_upshift_0.1min	N_upshift_0.5min	N_upshift_1min	N_upshift_2min	N_upshift_3min	N_upshift_4min	N_upshift_5min	N_upshift_7min	N_upshift_10min	N_upshift_15min	N_upshift_20min	N_upshift_30min	N_upshift_45min	N_upshift_60min	Rapamycin_0.1min	Rapamycin_0.5min	Rapamycin_1min	Rapamycin_2min	Rapamycin_3min	Rapamycin_4min	Rapamycin_5min	Rapamycin_7min	Rapamycin_10min	Rapamycin_15min	Rapamycin_20min	Rapamycin_30min	Rapamycin_45min	Rapamycin_60min
59.01	-0.10639196058391583	-0.4987064033079156	-0.2606125407343125	-0.28007817408435276	-0.2066186355416723	-0.2825063756366863	-0.2855928177185399	-0.3599236862016415	-0.5635385751188405	-0.3259393048298005	-0.3630938426753249	-0.7215445886061558	-0.8977386365281937	-0.644092351794827	-0.4882180471612185	-0.17965879981383265	-0.08611449097379231	-0.18675034151364733	-0.05947835333111908	-0.12089447253413511	-0.19115470984343083	-0.0003407545457239847	-0.37427667077327037	-0.16789534831427944	-0.31329078738130445	-0.7354745993263617	-0.8487813465202363	-0.7176655525836583	-0.022014355173171036	-0.1229107962065252	-0.04132115591315902	0.17160602720610527	-0.5786550203097198	-0.1433520351647053	-0.1915786905449711	-0.06526170280578698	-0.12023734142155426	-0.1301238294107889	-0.11777707126999552	-0.5149130131689129	-0.5163116456074595	-0.4374168502301994
59.01	-0.10639196058391583	-0.4987064033079156	-0.2606125407343125	-0.28007817408435276	-0.2066186355416723	-0.2825063756366863	-0.2855928177185399	-0.3599236862016415	-0.5635385751188405	-0.3259393048298005	-0.3630938426753249	-0.7215445886061558	-0.8977386365281937	-0.644092351794827	-0.4882180471612185	-0.17965879981383265	-0.08611449097379231	-0.18675034151364733	-0.05947835333111908	-0.12089447253413511	-0.19115470984343083	-0.0003407545457239847	-0.37427667077327037	-0.16789534831427944	-0.31329078738130445	-0.7354745993263617	-0.8487813465202363	-0.7176655525836583	-0.022014355173171036	-0.1229107962065252	-0.04132115591315902	0.17160602720610527	-0.5786550203097198	-0.1433520351647053	-0.1915786905449711	-0.06526170280578698	-0.12023734142155426	-0.1301238294107889	-0.11777707126999552	-0.5149130131689129	-0.5163116456074595	-0.4374168502301994
59.02	0.09370090680343922	-0.4079618169734762	-0.2165430971727122	-0.28791742921420765	-0.11829286634587861	-0.29259996300818414	-0.329189262872191	-0.3314433102834427	-0.5329138081865668	-0.28891663714317867	-0.46273224906069815	-0.6208709837252799	-0.9618544762575215	-0.7123757164646108	0.48072831595194027	-0.06477196725486829	-0.06174790893626573	-0.033599967014893255	-0.08986231442285868	-0.2155510870858553	-0.20543098536174015	-0.02219562917412196	-0.24769317785567263	-0.09178017129481879	-0.34778660964855723	-0.6692168967516506	-0.649453724316797	-0.7106143837947638	0.016547213682586815	-0.418058164584173	-0.30591734547761423	0.12235086687715523	0.542413104665582	-0.022203784211020504	-0.36266604357873045	-0.20335250855228493	-0.1765305230154764	-0.2868563056624127	-0.37404158759213396	-0.8090696131261719	-0.8018912729129758	-0.6174159040041086
71.01	0.1973181853052102	0.1417431804246135	-0.03976654988383116	-0.0451039477887472	-0.04375914849976902	-0.15354310309783487	-0.43780247746463447	-0.07813008154621964	-0.3552494335921237	-0.11347918392789548	-0.4546133405006346	-0.14358521199641755	-0.5212421350133777	-0.25026127617218014	-0.357478824817844	-0.2305115646023988	-0.21791383166478231	-0.29482834600446495	0.2422276560325461	-0.1502203307423978	-0.1912009211762192	-0.2108155201499708	-0.607902807157834	-0.6572233878281185	-0.5429741254292297	-0.5658168766110607	-1.0467394953150448	-1.1315840039205851	-0.12021911616428996	0.34298941599694033	-0.11359820255943714	-0.2068045465783751	-0.31523674520081346	-0.019463148633167716	0.00603616391503363	0.18599741031229103	-0.01966089236522827	-0.24500913000116534	-0.06809767381481907	-0.31931268475815766	-0.5753138933101487	-0.5993689433409014
73.03	-0.017972348113151952	-0.1615685051805923	-0.07480885361523856	-0.015966211356463655	-0.06548722587711608	-0.027543165383066878	-0.1645093732538288	-0.24700478396757983	-0.10744814489987162	-0.38391065921722706	-0.33782180375735255	-0.09547422437042102	-0.22067095397161682	0.24472341847379356	-0.7468769626650307	-0.31325436601765916	-0.14589398811269333	-0.25857011455709056	0.011135362724870883	-0.0006669999567190609	0.08068656756863904	-0.1274299761066366	-0.3228814263458861	-0.2586066973603173	-0.3327644343246552	-0.4169356257946389	-0.535941076051592	-0.5554976425846762	0.022128462001157916	0.111650540160274	0.22474377153029146	-0.1658065430551876	-0.14352044279566978	-0.016856808195882048	0.06279588155658097	-0.05327466026293756	-0.032608307296057876	-0.271840122782273	-0.18765916852880607	-0.4518367303370856	-0.34252150292982897	-0.6185627113102027
74.02	-0.21369011211860378	-0.2309476938967186	-0.3128484904816523	0.0147673006490964	-0.4550894454185	0.032176560997896744	-0.07208850201843416	-0.26229346616633653	0.15281992911369371	-0.29524414781082525	-0.29614228064241427	-0.5744388108688013	-0.2538693444354284	-0.3955964586977346	-0.22116212026019086	0.011178570942726966	0.24402598697118827	-0.08828635943954809	0.37828490813809057	0.2579950173363588	0.3360872562724652	0.33221223071966755	0.10384314651255624	0.19671393172680765	0.4874196041246606	0.6304206805472636	0.6878714403149326	0.6239734160944493	0.015075406346454458	0.24074430057589125	0.06965527140130624	0.003605475750094527	-0.24234949135585043	-0.038476712451496344	-0.12482925749379671	0.07193611780474095	0.2523440448665388	-0.265874489931843	0.15770270471588824	0.10429008757585244	0.2723835542214695	-0.014909378126852632
87.01	0.20740349819756845	0.23348983425575512	0.0682780891866658	0.10984617164185596	-0.10223007437713069	-0.05947657964758143	-0.2662240672599355	-0.085624709346226	-0.137503649438555	-0.19544043130456834	-0.4011271956323306	0.06303705615218717	-0.08636164432661157	0.5070519555442784	-0.4486944740605301	-0.09907473082072044	-0.09753487953898489	-0.17430366996911983	0.06780135994520621	-0.07294113920482478	0.0007243404016017073	-0.13370148927925793	-0.6265980729426663	-0.6417428324358766	-0.6520222951066555	-0.6530767965455164	-1.1322977106448602	-1.1221390796976554	-0.0806788236203981	0.5159640381779345	-0.30852753347972683	-0.09997610921565744	-0.6342839175707362	-0.10494389905750919	0.004047146670398801	0.16544539890482968	0.12124050358616728	-0.3262081787990977	-0.022375703048302813	-0.24469532035810587	-0.5081995172792153	-0.41728598375946424
88.04	-0.009223103465895917	-0.22740059425017004	-0.19028880493196765	-0.17757428232382486	-0.1407358943704462	-0.21254716510526925	-0.26261129732862837	-0.11024527821491387	-0.1593182419796684	0.01505553931550424	-0.02171490074793	-0.38042268063995316	-0.01664436735360349	-0.19858782502502265	-0.7041257760740899	-0.3079002368981818	-0.18431006948928785	-0.20673974573083334	-0.14868495112759283	-0.1407022026032771	-0.3048716743329299	-0.18976109909812758	-0.2830483028534789	-0.18153486616295542	-0.43394119012627397	-0.637810023378216	-0.62663906015031	-0.7758963629038477	-0.11082273531528475	-0.4207700481760219	0.13421641129516507	-0.05903453633498275	-0.22147846331892493	0.06032233825261864	0.05545546655292408	-0.0013022128513958085	0.14376419854660258	0.00755248347936346	-0.0818580334701562	-0.18701877299714423	0.1097072409880414	0.10161554143480758
88.04	-0.009223103465895917	-0.22740059425017004	-0.19028880493196765	-0.17757428232382486	-0.1407358943704462	-0.21254716510526925	-0.26261129732862837	-0.11024527821491387	-0.1593182419796684	0.01505553931550424	-0.02171490074793	-0.38042268063995316	-0.01664436735360349	-0.19858782502502265	-0.7041257760740899	-0.3079002368981818	-0.18431006948928785	-0.20673974573083334	-0.14868495112759283	-0.1407022026032771	-0.3048716743329299	-0.18976109909812758	-0.2830483028534789	-0.18153486616295542	-0.43394119012627397	-0.637810023378216	-0.62663906015031	-0.7758963629038477	-0.11082273531528475	-0.4207700481760219	0.13421641129516507	-0.05903453633498275	-0.22147846331892493	0.06032233825261864	0.05545546655292408	-0.0013022128513958085	0.14376419854660258	0.00755248347936346	-0.0818580334701562	-0.18701877299714423	0.1097072409880414	0.10161554143480758
89.02	0.03801734407440571	-0.1387235356230815	-0.14362999961358416	-0.2560857902793492	-0.1702226545158576	-0.3147532610356765	-0.164767020168999	-0.23924390796273937	-0.6626291344582507	-0.3707641023097778	-0.735249287000094	-0.08135870559699307	-0.7137383467609391	-0.7816555443457569	-0.5687873977354043	-0.3145465122497352	-0.25273111851188185	-0.3124170428853543	-0.05204573211019872	-0.34750271187079257	-0.2114228177634303	-0.28239856704231064	-0.5712947824368666	-0.6030059861465069	-0.623444437184204	-0.6966744122690276	-0.9866359372966155	-1.2794457298507365	0.013609905360618913	0.05892946423609627	0.11920247977497428	-0.15881724852836157	0.02735105515706491	0.2146025389056344	0.09701974737355804	0.05116080364785656	-0.0595575288274268	-0.2141766801970372	-0.12484971188573618	-0.5364766117687608	-0.3595250838844442	-0.7011240168332535
