db	thres	fraction	pvalue	M	n	N	x
phosphogrid	0.0	0.01764705882352941	0.0	510	9	510	9
phosphogrid	0.2	0.01764705882352941	0.0	510	9	510	9
phosphogrid	0.4	0.018475750577367205	0.22632945134193982	510	9	433	8
phosphogrid	0.6000000000000001	0.019801980198019802	0.21863164720067635	510	9	303	6
phosphogrid	0.8	0.021929824561403508	0.15916607252720377	510	9	228	5
phosphogrid	1.0	0.03048780487804878	0.034340505002858984	510	9	164	5
phosphogrid	1.2000000000000002	0.04	0.008449960506339678	510	9	125	5
phosphogrid	1.4000000000000001	0.034482758620689655	0.05020047195833278	510	9	87	3
phosphogrid	1.6	0.03333333333333333	0.07760966568105203	510	9	60	2
phosphogrid	1.8	0.04878048780487805	0.028857570737163225	510	9	41	2
phosphogrid	2.0	0.05405405405405406	0.021824363908387354	510	9	37	2
phosphogrid	2.2	0.06896551724137931	0.01104459013912399	510	9	29	2
phosphogrid	2.4000000000000004	0.058823529411764705	0.032835336096027276	510	9	17	1
phosphogrid	2.6	0.06666666666666667	0.02582485639249803	510	9	15	1
phosphogrid	2.8000000000000003	0.0	0.13362126294154847	510	9	8	0
string	0.0	0.03770739064856712	0.0	663	25	663	25
string	0.2	0.03770739064856712	0.0	663	25	663	25
string	0.4	0.03900709219858156	0.251374177779653	663	25	564	22
string	0.6000000000000001	0.034912718204488775	0.6067363195836891	663	25	401	14
string	0.8	0.036303630363036306	0.4856526538901588	663	25	303	11
string	1.0	0.0410958904109589	0.2899280823919529	663	25	219	9
string	1.2000000000000002	0.048484848484848485	0.14193304951875924	663	25	165	8
string	1.4000000000000001	0.040983606557377046	0.3041178079781687	663	25	122	5
string	1.6	0.023809523809523808	0.6345146148715245	663	25	84	2
string	1.8	0.01818181818181818	0.6309164171734188	663	25	55	1
string	2.0	0.020833333333333332	0.5535159978645058	663	25	48	1
string	2.2	0.02702702702702703	0.4127211055780135	663	25	37	1
string	2.4000000000000004	0.047619047619047616	0.18529267554243503	663	25	21	1
string	2.6	0.05555555555555555	0.1444852977200896	663	25	18	1
string	2.8000000000000003	0.0	0.2939553332100352	663	25	9	0
