Metabolites,ion,name,feature,coef,coef (abs),cor,pval,fdr
Inosine,267.07,YAP1,YML007W,0.388820207,0.388820207,0.588141326,0.010250693,0.023744332
L-Glutamine,145.06,PDR3,YBL005W,-0.38171833,0.38171833,-0.969988685,3.01E-11,1.92E-08
L-Glutamine,145.06,LEU3,YLR451W,0.376520258,0.376520258,0.440202957,0.067519634,0.110746793
L-Glutamine,145.06,RDS1,YCR106W,-0.32559988,0.32559988,-0.875530056,1.95E-06,2.77E-05
L-Saccharopine,275.12,RTG3,YBL103C,-0.313809571,0.313809571,-0.771456228,0.000177405,0.000904058
gamma-Amino-gamma-cyanobutanoate,127.05,PDR3,YBL005W,-0.310592997,0.310592997,-0.975075419,6.93E-12,9.67E-09
Inosine,267.07,RTG3,YBL103C,-0.305977161,0.305977161,-0.724320705,0.000675339,0.002496273
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,ROX1,YPR065W,-0.300588181,0.300588181,-0.928086549,2.87E-08,3.24E-06
Inosine,267.07,SNT2,YGL131C,0.290793718,0.290793718,0.301294426,0.224366766,0.299416823
gamma-Amino-gamma-cyanobutanoate,127.05,LEU3,YLR451W,0.287330154,0.287330154,0.431269438,0.073949239,0.119861744
dUDP,387,PDR3,YBL005W,-0.284611779,0.284611779,-0.973851528,1.01E-11,9.67E-09
Inosine,267.07,PDR1,YGL013C,0.273177544,0.273177544,0.586309569,0.010548925,0.024171457
dUDP,387,LEU3,YLR451W,0.231057814,0.231057814,0.397711237,0.102163452,0.157067061
L-Glutamine,145.06,SNT2,YGL131C,-0.225370228,0.225370228,-0.498841074,0.035088387,0.064351158
2-(Formamido)-N1-(5-phospho-D-ribosyl)acetamidine,312.06,PDR3,YBL005W,-0.216345777,0.216345777,-0.943258854,4.52E-09,1.08E-06
gamma-Amino-gamma-cyanobutanoate,127.05,PUT3,YKL015W,-0.20818507,0.20818507,-0.66261067,0.002730284,0.008268738
L-Proline,114.06,SNT2,YGL131C,0.198650283,0.198650283,0.563681234,0.014839695,0.031439752
L-Glutamine,145.06,XBP1,YIL101C,-0.198101668,0.198101668,-0.865834278,3.44E-06,4.08E-05
gamma-Amino-gamma-cyanobutanoate,127.05,XBP1,YIL101C,-0.195386396,0.195386396,-0.875440261,1.96E-06,2.77E-05
L-Glutamine,145.06,PUT3,YKL015W,-0.188336693,0.188336693,-0.673133804,0.002200526,0.006939282
gamma-Amino-gamma-cyanobutanoate,127.05,RDS1,YCR106W,-0.183050637,0.183050637,-0.874417044,2.08E-06,2.86E-05
Inosine,267.07,YAP5,YIR018W,0.165595417,0.165595417,0.612031432,0.006943177,0.017428908
dUDP,387,RDS1,YCR106W,-0.163706573,0.163706573,-0.879597169,1.51E-06,2.35E-05
L-Glutamine,145.06,MOT3,YMR070W,-0.162147804,0.162147804,-0.66483364,0.002610438,0.007981676
"But-1-ene-1,2,4-tricarboxylate",187.02,PDR3,YBL005W,-0.159069339,0.159069339,-0.918739961,7.39E-08,4.74E-06
