deletion	gene_name	relative_growth
YBR059C	AKL1	89.9168146
YGL021W	ALK1	89.50508379
YBL009W	ALK2	120.3593333
YNL020C	ARK1	93.05291113
YGL180W	ATG1	86.59547799
YJL095W	BCK1	111.0787934
YGR188C	BUB1	123.9741084
YGR262C	BUD32	120.5141419
YBR274W	CHK1	122.2240603
YIL035C	CKA1	112.4959022
YOR061W	CKA2	84.80901698
YNL298W	CLA4	110.8596295
YFR014C	CMK1	96.59574821
YOL016C	CMK2	106.8325278
YML057W	CMP2	106.0384503
YLR433C	CNA1	112.3339492
YKL139W	CTK1	44.53457984
YPR111W	DBF20	124.8297217
YDL101C	DUN1	91.3195731
YKL048C	ELM1	83.89908951
YBL016W	FUS3	97.59631048
YDR283C	GCN2	96.8544758
YJL165C	HAL5	110.6474833
YLR113W	HOG1	100.9164336
YOR267C	HRK1	85.72432311
YKL101W	HSL1	99.58038476
YJL106W	IME2	66.37967015
YPR106W	ISR1	137.3363929
YCL024W	KCC4	103.3564949
YDR122W	KIN1	108.8411961
YLR096W	KIN2	100.4288146
YOR233W	KIN4	76.57137888
YCR091W	KIN82	84.71821786
YKL168C	KKQ8	95.64743044
YLL019C	KNS1	94.77009748
YHR082C	KSP1	118.7626295
YGR040W	KSS1	101.4800199
YPR073C	LTP1	121.6464741
YNL307C	MCK1	84.90804806
YOR351C	MEK1	99.73919819
YOR231W	MKK1	87.78168959
YPL140C	MKK2	120.4660289
YDL079C	MRK1	82.23893562
YKL171W	NNK1	86.20830551
YNL099C	OCA1	94.96251967
YJL128C	PBS2	81.49101179
YPL031C	PHO85	50.75591417
YDR490C	PKH1	95.34306608
YOL100W	PKH2	94.41359145
YDR466W	PKH3	83.44738624
YIL042C	PKP1	119.3668273
YNR032W	PPG1	97.36961765
YDL134C	PPH21	100.5123649
YDL188C	PPH22	97.40493148
YDR075W	PPH3	110.3000867
YPL179W	PPQ1	113.5932562
YBR276C	PPS1	102.6940969
YGR123C	PPT1	129.7430073
YML016C	PPZ1	101.3377511
YIL095W	PRK1	116.2383584
YKL116C	PRR1	107.3211179
YDL214C	PRR2	104.4485693
YAL017W	PSK1	123.3857536
YOL045W	PSK2	108.9651108
YLL010C	PSR1	120.8921619
YLR019W	PSR2	102.0018935
YDL006W	PTC1	79.66524055
YBL056W	PTC3	113.5150974
YBR125C	PTC4	103.4736853
YOR090C	PTC5	97.30083955
YCR079W	PTC6	100.0332805
YHR076W	PTC7	99.73408777
YKL198C	PTK1	114.9654433
YJR059W	PTK2	90.89785773
YDL230W	PTP1	101.7429656
YOR208W	PTP2	96.35836025
YLR248W	RCK2	111.7287408
YMR139W	RIM11	89.53800676
YFL033C	Rim15	89.23385903
YER129W	SAK1	80.91470127
YCR008W	SAT4	85.62961388
YIL113W	SDP1	102.6584694
YDL047W	SIT4	74.05851096
YNL032W	SIW14	76.77646217
YOL113W	SKM1	110.9765492
YPL026C	SKS1	100.8609239
YMR216C	SKY1	82.39509262
YHR030C	SLT2	117.7171032
YPR054W	SMK1	101.3559183
YDR477W	SNF1	90.80512687
YDR523C	SPS1	87.46148576
YNR031C	SSK2	100.4291389
YLR362W	STE11	109.1383087
YJL187C	SWE1	103.9192874
YBL088C	TEL1	101.6256641
YJR066W	TOR1	112.4260644
YGL179C	TOS3	90.39568805
YJL164C	TPK1	126.4107533
YPL203W	TPK2	108.908793
YKL166C	TPK3	84.14337364
YDR247W	VHS1	98.1570541
YBR097W	VPS15	53.8214887
YLR240W	VPS34	52.63925859
YBR028C	YBR028C	94.20128788
YHR135C	YCK1	97.21557934
YNL154C	YCK2	88.85941711
YDL025C	YDL025C	89.03046326
YOL128C	YGK3	127.2198348
YGL059W	YGL059W	102.0251139
YGR203W	YGR203W	111.7905262
YKL161C	YKL161C	124.1167474
YMR291W	YMR291W	124.9869006
YKL126W	YPK1	56.88770833
YMR104C	YPK2	109.4790416
YPL141C	YPL141C	98.74778979
YPL150W	YPL150W	103.5224787
YPL236C	YPL236C	114.0576815
YIR026C	YVH1	64.47787125
