strain	growth	sd
YDL134C	1.009671	0.007269
YDL134C-A	0.99337	0.011614
YDL135C	1.115844	0.013089
YDL136W	0.828113	0.01147
YDL137W	0.978963	0.009008
YDL138W	1.027087	0.005639
YDL139C_damp	1.047644	0.009809
YDL140C_damp	0.997238	0.028029
YDL140C_tsq804	0.433279	0.013391
YDL141W_damp	1.016158	0.006424
YDL142C	0.893276	0.00796
YDL143W_tsq729	0.557224	0.014718
YDL144C	1.014135	0.00739
YDL145C_tsq704	0.908433	0.009434
YDL146W	0.991777	0.009465
YDL147W_damp	0.906189	0.012376
YDL148C_damp	0.982204	0.003649
YDL149W	1.00685	0.007538
YDL150W_damp	0.960308	0.012312
YDL151C_damp	0.415484	0.014309
YDL153C_damp	0.969639	0.004271
YDL154W	0.946503	0.022735
YDL155W	1.036223	0.007968
YDL156W	0.960094	0.012118
YDL157C	0.94984	0.007819
YDL159W-A	1.139082	0.010035
YDL160C-A	1.056559	0.011499
YDL161W	1.008518	0.007972
YDL162C	0.982446	0.011693
YDL163W_damp	0.818875	0.010378
YDL164C_damp	0.987314	0.01477
YDL165W_damp	0.993007	0.012352
YDL165W_tsq314	0.856816	0.009419
YDL167C	0.967198	0.012017
YDL168W	1.009367	0.012367
YDL169C	1.012953	0.009073
YDL170W	1.004821	0.007084
YDL171C	1.015005	0.011542
YDL172C	0.977994	0.013639
YDL173W	0.973058	0.009254
YDL174C	1.043317	0.008808
YDL175C	0.985435	0.00795
YDL176W	1.034358	0.007674
YDL177C	1.015211	0.0079
YDL178W	1.060842	0.009159
YDL179W	0.971211	0.009007
YDL180W	0.837637	0.01455
YDL181W	0.972033	0.00714
YDL182W	0.937535	0.008456
YDL183C	0.988559	0.01263
YDL184C	0.989966	0.011804
YDL185W	0.986554	0.006859
YDL186W	0.958995	0.013377
YDL187C	1.006432	0.012753
YDL188C	1.00227	0.008713
YDL189W	1.020869	0.00735
YDL190C	0.911854	0.008959
YDL191W	0.897839	0.016959
YDL192W	0.796428	0.029109
YDL193W_damp	0.998209	0.009673
YDL194W	0.950172	0.010058
YDL195W_damp	0.959875	0.006908
YDL195W_tsq852	0.993861	0.008669
YDL196W_damp	0.693127	0.009655
YDL197C	1.016525	0.010512
YDL198C_damp	0.723418	0.013551
YDL199C	1.040098	0.008017
YDL200C	1.030087	0.012415
YDL201W	0.942085	0.008149
YDL202W	0.347109	0.04229
YDL203C	1.001723	0.020114
YDL204W	1.005246	0.011446
YDL205C_damp	0.950371	0.011406
YDL206W	0.984837	0.011818
YDL207W_damp	0.970787	0.008357
YDL209C_damp	1.017404	0.00975
YDL210W	1.063706	0.007422
YDL211C	1.007067	0.005317
YDL212W_damp	0.777203	0.012712
YDL213C	0.947414	0.009686
YDL214C	0.984299	0.007113
YDL215C	0.997655	0.007565
YDL216C	1.019712	0.010022
YDL217C_damp	0.970861	0.011646
YDL217C_tsq714	0.944658	0.010748
YDL218W	1.030562	0.007313
YDL219W	1.001027	0.006919
YDL220C_damp	0.992404	0.009094
YDL220C_tsq881	0.645831	0.014662
YDL222C	1.011919	0.010006
YDL223C	1.026567	0.008489
YDL224C	0.981175	0.012241
YDL225W_damp	0.99557	0.012504
YDL226C	0.935048	0.011057
YDL227C	1.000155	0.000557
YDL227C	1.031582	0.000857
YDL227C_damp	1.000102	0.00202
YDL229W	1.010039	0.007178
YDL230W	1.032769	0.009613
YDL231C	1.029646	0.009372
YDL233W	1.021857	0.007708
YDL234C	1.004127	0.00805
YDL236W	1.046083	0.01029
YDL237W	1.041617	0.00813
YDL238C	1.059967	0.007172
YDL239C	1.022675	0.008036
YDL240W	1.009042	0.007549
YDL241W	1.055664	0.012368
YDL242W	1.021137	0.01092
YDL243C	0.974083	0.009211
YDL244W	1.013701	0.006325
YDL245C	0.991881	0.008846
YDL246C	1.027601	0.007072
YDL248W	1.065842	0.019393
YDR001C	1.000785	0.009602
YDR002W_damp	0.436411	0.014321
YDR002W_tsq582	0.988036	0.005232
YDR003W	1.015368	0.006938
YDR004W	0.903204	0.009139
YDR005C	0.803666	0.049295
YDR006C	0.982283	0.009048
YDR007W	0.996351	0.005738
YDR009W	1.016965	0.006845
YDR010C	1.028901	0.010834
YDR011W	1.000333	0.011199
YDR012W	1.026698	0.007277
YDR013W_tsq583	0.743122	0.015269
YDR014W	0.983547	0.015807
YDR015C	1.03263	0.015251
YDR017C	0.628974	0.039077
YDR017C_damp	0.933238	0.007198
YDR018C	1.024522	0.006294
YDR019C	1.017344	0.007181
YDR020C	1.066752	0.0083
YDR021W_damp	0.978876	0.009546
YDR022C	1.034913	0.010896
YDR024W	0.749448	0.021882
YDR025W	0.620178	0.014141
YDR026C	1.005135	0.006057
YDR027C	0.450951	0.010571
YDR029W	1.002539	0.007836
YDR030C	1.00978	0.005889
YDR031W	1.038567	0.006593
YDR032C	1.074266	0.00824
YDR033W	1.060494	0.00648
YDR034C-A	1.06765	0.006525
YDR034W-B	1.066545	0.009688
YDR035W	1.009278	0.007217
YDR036C	1.040986	0.007117
YDR037W_damp	0.929524	0.008935
YDR038C	1.071314	0.0086
YDR040C	1.014554	0.011051
YDR041W_damp	0.756898	0.023632
YDR042C	1.028889	0.007997
YDR043C	1.05225	0.009313
YDR045C_damp	0.454237	0.018955
YDR046C	1.050502	0.012121
YDR047W_damp	0.991747	0.006819
YDR049W	0.871213	0.012025
YDR051C	0.965019	0.013711
YDR052C_damp	0.573316	0.021297
YDR052C_tsq161	0.715774	0.006421
YDR052C_tsq163	1.016053	0.008229
YDR052C_tsq164	0.925111	0.008675
YDR054C_damp	0.965616	0.006169
YDR055W	1.026761	0.009911
YDR056C	1.004128	0.006979
YDR057W	1.045704	0.00585
YDR058C	0.983227	0.006825
YDR059C	1.041429	0.007064
YDR060W_damp	1.007121	0.006673
YDR060W_tsq249	0.780645	0.008128
YDR061W	1.013141	0.005802
YDR062W_damp	1.039635	0.011078
YDR063W	1.006141	0.010352
YDR064W_damp	0.456905	0.014334
YDR065W	0.432898	0.016775
YDR065W_damp	0.978874	0.013539
YDR066C	0.983198	0.009171
YDR067C	1.028838	0.009078
YDR068W	1.045792	0.007153
YDR069C	0.163934	0.048431
YDR069C_damp	0.875261	0.011903
YDR070C	1.067508	0.009383
YDR071C	1.028865	0.012096
YDR072C	1.02565	0.008157
YDR073W	1.012217	0.008526
YDR074W	0.678692	0.023924
YDR075W	1.031267	0.012687
YDR076W	0.901484	0.014167
YDR077W	1.04686	0.016307
YDR078C	0.970689	0.008584
YDR078C_damp	1.00181	0.009502
YDR079W	0.667276	0.088455
YDR079W_damp	0.830442	0.012376
YDR080W	0.594975	0.01999
YDR081C_damp	1.007606	0.00626
YDR082W_damp	1.037088	0.013051
YDR082W_tsq599	0.766977	0.010464
YDR083W	0.722166	0.020687
YDR084C	1.046282	0.00603
YDR085C	1.046261	0.005877
YDR087C_damp	0.779513	0.014255
YDR087C_tsq181	0.5291	0.010252
YDR088C_damp	0.983665	0.009222
YDR088C_tsq656	0.888102	0.012922
YDR088C_tsq657	0.730098	0.006571
YDR089W	1.019935	0.00602
YDR090C	1.050424	0.007964
YDR091C_damp	0.85685	0.020851
YDR092W	0.991498	0.016021
YDR093W	1.02289	0.007257
YDR094W	0.955378	0.018785
YDR095C	1.016917	0.009927
YDR096W	1.103034	0.011942
YDR097C	1.00993	0.005501
YDR098C	1.008665	0.005947
YDR099W	0.927458	0.011015
YDR100W	1.039818	0.007208
YDR101C	0.868942	0.012512
YDR102C	1.028025	0.009813
YDR104C	1.032638	0.008508
YDR105C	1.026068	0.007562
YDR106W	1.082475	0.013884
YDR107C	1.002836	0.005464
YDR108W	0.881427	0.00866
YDR109C	1.013933	0.00566
YDR110W	1.01061	0.005137
YDR111C	1.02426	0.006261
YDR112W	1.0099	0.009216
YDR113C_damp	0.976565	0.009259
YDR113C_tsq862	0.970654	0.008206
YDR114C_damp	0.967472	0.010018
YDR115W	0.344918	0.031656
YDR115W_damp	0.501707	0.025395
YDR116C	0.846796	0.033829
YDR117C	1.054459	0.007109
YDR118W_damp	1.009675	0.009439
YDR119W	1.015229	0.00637
YDR120C	1.031357	0.007069
YDR121W	1.039611	0.012589
YDR122W	1.063908	0.007067
YDR123C	0.724387	0.017262
YDR124W	1.018537	0.009626
YDR125C	1.003491	0.004914
YDR126W	0.885148	0.036528
YDR127W	0.830228	0.013198
YDR128W	0.779008	0.024656
YDR129C	0.546869	0.028249
YDR129C_damp	1.020639	0.014661
YDR130C	1.019613	0.007769
YDR131C	1.038685	0.007026
YDR132C	1.03705	0.006346
YDR133C	1.046955	0.011539
YDR134C	1.027749	0.00779
YDR135C	1.018495	0.008611
YDR136C_damp	1.001399	0.005382
YDR137W	0.618864	0.022394
YDR137W_damp	1.00444	0.012068
YDR139C	1.048282	0.008098
YDR140W	0.376128	0.027731
YDR141C_damp	1.012993	0.007604
YDR141C_tsq854	0.765851	0.019542
YDR142C	1.00832	0.008152
YDR143C	1.066059	0.010986
YDR144C	0.987646	0.012532
YDR145W_damp	0.785892	0.016167
YDR145W_tsq514	0.697666	0.006035
YDR145W_tsq515	0.571557	0.011622
YDR145W_tsq518	0.563773	0.008595
YDR146C	0.87775	0.012237
YDR147W	0.988361	0.008185
YDR148C	0.968853	0.008902
YDR149C	0.825843	0.055664
YDR150W	0.819322	0.024924
YDR151C	1.003502	0.00921
YDR152W	1.010642	0.006754
YDR153C	0.993229	0.007588
YDR154C	1.001611	0.009919
YDR155C	1.007631	0.004588
YDR156W	0.854888	0.008803
YDR157W	0.987671	0.011395
YDR158W	0.903259	0.011272
YDR159W	0.694057	0.038971
YDR160W_damp	1.014819	0.007532
YDR162C	0.787593	0.013908
YDR163W	0.982066	0.009666
YDR165W	0.965486	0.008343
YDR166C_damp	0.986006	0.008551
YDR167W_damp	0.655522	0.011525
YDR168W_damp	0.99103	0.011262
YDR168W_tsq315	0.882476	0.005861
YDR168W_tsq317	0.919616	0.008036
YDR169C	0.9531	0.006842
YDR169C-A	1.026853	0.009564
YDR170C_damp	1.020506	0.003563
YDR171W	1.007524	0.004826
YDR174W	0.606972	0.020679
YDR174W_damp	0.987935	0.007893
YDR175C	0.511464	0.050908
YDR175C_damp	0.841707	0.016129
YDR176W	0.435196	0.038045
YDR176W_damp	0.997615	0.009316
YDR178W	1.007203	0.007223
YDR179C	1.012936	0.0051
YDR179W-A	0.952485	0.008863
YDR180W_damp	0.946565	0.005878
YDR181C	0.976722	0.008701
YDR182W_damp	0.959251	0.011999
YDR182W_tsq413	0.978801	0.009916
YDR182W_tsq414	0.607846	0.01127
YDR182W-A	1.042091	0.008608
YDR183W	0.980837	0.009736
YDR184C	0.904246	0.010963
YDR185C	1.022748	0.006026
YDR186C	0.966347	0.014355
YDR187C_damp	1.067287	0.015714
YDR188W_damp	0.798425	0.020505
YDR189W_tsq251	1.002368	0.013451
YDR191W	1.008243	0.005855
YDR192C	1.054698	0.0074
YDR193W	1.035417	0.012631
YDR194C	0.631398	0.02038
YDR194C_damp	0.938083	0.016086
YDR195W_damp	1.014825	0.008364
YDR196C_damp	1.013523	0.006698
YDR197W	0.676839	0.0557
YDR197W_damp	0.953258	0.007345
YDR198C	1.038846	0.007626
YDR199W	1.007223	0.013162
YDR200C	0.866357	0.021342
YDR200C_damp	0.847671	0.008654
YDR202C	0.956359	0.010197
YDR203W	0.924841	0.014245
YDR204W	0.769823	0.023944
YDR204W_damp	1.042957	0.011902
YDR205W	1.036918	0.008947
YDR206W	0.993515	0.006686
YDR207C	0.533408	0.021734
YDR207C_damp	0.973526	0.010799
YDR208W_tsq129	0.995916	0.02157
YDR209C	1.056806	0.009739
YDR210W	1.058059	0.005893
YDR212W_tsq448	0.798245	0.010208
YDR212W_tsq782	0.932874	0.007159
YDR213W	1.024912	0.007147
YDR214W	1.049464	0.007775
YDR215C	1.024191	0.011405
YDR216W	1.045811	0.005353
YDR217C	0.983512	0.006056
YDR218C	1.003767	0.008247
YDR219C	0.98924	0.005801
YDR220C	0.995231	0.010645
YDR221W	1.015432	0.006818
YDR222W	1.03817	0.007893
YDR223W	1.016313	0.00449
YDR224C_damp	0.562843	0.013947
YDR225W	0.901402	0.00778
YDR226W	0.380363	0.03389
YDR226W_damp	0.925514	0.014906
YDR228C_damp	0.994196	0.008436
YDR228C_tsq685	0.709643	0.006865
YDR228C_tsq686	0.687366	0.007889
YDR229W	1.038858	0.00894
YDR230W_damp	0.801713	0.029256
YDR231C	0.70836	0.099637
YDR231C_damp	0.984036	0.005371
YDR232W_damp	1.05447	0.011292
YDR233C	1.046021	0.007841
YDR235W_damp	1.011265	0.009317
YDR236C_damp	1.013502	0.006945
YDR237W	0.368162	0.047605
YDR237W_damp	0.950377	0.011265
YDR238C_tsq721	0.973964	0.020164
YDR238C_tsq722	0.991419	0.00784
YDR239C	1.055721	0.00832
YDR240C_damp	1.014932	0.008491
YDR242W	1.017751	0.006359
YDR243C_tsq574	0.903531	0.007773
YDR244W	0.822991	0.011451
YDR245W	0.807856	0.033243
YDR246W_damp	0.975547	0.014486
YDR246W-A	1.071011	0.012048
YDR247W	1.032071	0.007382
YDR248C	0.978487	0.017281
YDR249C	1.028387	0.012156
YDR250C	0.991226	0.014048
YDR251W	1.008591	0.005905
YDR252W	1.047758	0.009134
YDR253C	0.987483	0.007158
YDR254W	1.017521	0.010082
YDR255C	1.01639	0.005189
YDR256C	1.020058	0.007192
YDR257C	1.007303	0.006562
YDR258C	1.026347	0.007082
YDR259C	0.987466	0.005137
YDR260C	1.048919	0.01288
YDR261C	1.012162	0.003964
YDR262W	1.00501	0.008055
YDR263C	1.052041	0.007958
YDR264C	0.348489	0.015758
YDR264C_damp	0.939201	0.009855
YDR265W	0.883507	0.017298
YDR266C	1.038977	0.007821
YDR268W	0.499004	0.05475
YDR269C	0.980732	0.015219
YDR270W	1.06095	0.007088
YDR271C	1.001166	0.014067
YDR272W	1.027528	0.005623
YDR273W	1.022284	0.008734
YDR274C	0.992227	0.043575
YDR275W	1.02144	0.005417
YDR276C	0.819341	0.020603
YDR277C	1.02574	0.008255
YDR278C	0.998915	0.012817
YDR279W	1.022347	0.006817
YDR280W_damp	1.050142	0.013992
YDR281C	1.003596	0.007948
YDR282C	1.032036	0.008832
YDR283C	0.982281	0.014038
YDR283C_damp	0.99012	0.015366
YDR284C	1.057876	0.007894
YDR285W	1.034408	0.007917
YDR286C	1.04908	0.013468
YDR287W	0.992863	0.00995
YDR288W_damp	1.003322	0.013838
YDR289C	0.975832	0.007996
YDR290W	0.913859	0.027595
YDR291W	1.043098	0.00653
YDR292C_damp	0.879933	0.011114
YDR293C	0.847492	0.097613
YDR294C	1.000537	0.008187
YDR295C	0.750033	0.015987
YDR296W	0.365669	0.03446
YDR296W_damp	0.968691	0.013636
YDR297W	1.044885	0.007863
YDR298C	0.597452	0.036535
YDR299W_damp	0.967693	0.00837
YDR300C	0.254948	0.0151
YDR300C_damp	0.994532	0.003971
YDR301W_damp	0.983145	0.005799
YDR302W_damp	1.005201	0.007466
YDR303C_damp	0.924277	0.007417
YDR303C_tsq503	0.904798	0.007095
YDR304C	1.047761	0.013938
YDR305C	0.991317	0.00988
YDR306C	1.037627	0.010771
YDR307W	1.029448	0.009335
YDR308C_damp	0.555422	0.012471
YDR309C	1.036675	0.010254
YDR310C	0.97591	0.010226
YDR312W	1.015636	0.009273
YDR313C	1.062765	0.007201
YDR314C	1.01507	0.005134
YDR315C	0.827499	0.011703
YDR316W	0.911206	0.015232
YDR317W	1.011134	0.009629
YDR318W	1.003299	0.015771
YDR319C	1.045309	0.01142
YDR320C	0.500011	0.024711
YDR320C-A	0.398213	0.017547
YDR321W	0.999705	0.007848
YDR322C-A	0.913703	0.021005
YDR322W	0.611852	0.039148
YDR322W_damp	0.941749	0.0108
YDR323C	0.316916	0.028043
YDR323C_damp	1.01103	0.01145
YDR324C_damp	0.954303	0.014236
YDR325W_damp	1.019798	0.005658
YDR325W_tsq578	0.958546	0.00744
YDR326C	1.019635	0.009905
YDR327W_damp	0.453368	0.018274
YDR328C_damp	1.025186	0.009915
YDR329C	0.880318	0.010435
YDR330W	1.032066	0.00732
YDR331W_damp	0.960222	0.006714
YDR331W_tsq371	0.662911	0.01159
YDR332W	0.981273	0.006903
YDR333C	1.018325	0.00767
YDR334W	0.940297	0.022955
YDR335W	0.937093	0.008486
YDR336W	1.003072	0.011561
YDR337W	0.472149	0.038233
YDR337W_damp	0.654534	0.038535
YDR338C	0.99683	0.007689
YDR339C_damp	0.80729	0.008366
YDR340W	0.978897	0.009673
YDR341C_damp	0.852949	0.012427
YDR342C	0.954044	0.007334
YDR343C	0.96997	0.026812
YDR344C	1.006072	0.009925
YDR345C	1.00085	0.004963
YDR346C	1.073001	0.012354
YDR347W	0.407548	0.036132
YDR347W_damp	0.78747	0.040081
YDR348C	0.982956	0.010109
YDR349C	0.981134	0.007346
YDR350C	0.630269	0.039656
YDR350C_damp	0.732039	0.030192
YDR351W	1.033662	0.015968
YDR352W	1.067375	0.007062
YDR353W_damp	0.937177	0.010538
YDR354W	0.851075	0.026127
YDR356W_damp	0.956098	0.011559
YDR356W_tsq301	0.695397	0.028189
YDR357C	1.030185	0.009541
YDR358W	1.026815	0.007638
YDR359C	0.485312	0.063909
YDR360W	0.900436	0.015162
YDR361C_damp	0.940473	0.007372
YDR361C_tsq580	0.916158	0.008811
YDR362C_damp	1.005885	0.008365
YDR362C_tsq784	0.849787	0.019402
YDR363W	0.916048	0.010498
YDR363W-A	1.001021	0.007918
YDR364C	0.313645	0.014581
YDR364C_damp	0.998038	0.007296
YDR365C_damp	0.897718	0.005731
YDR366C	1.075598	0.007233
YDR367W_damp	1.000919	0.008631
YDR368W	1.035108	0.0088
YDR369C	0.734909	0.015874
YDR370C	1.055556	0.009807
YDR371W	1.032331	0.006986
YDR372C	1.056024	0.009821
YDR373W_damp	0.942549	0.00839
YDR373W_tsq399	0.681418	0.010491
YDR374C	1.001241	0.00995
YDR375C	0.648252	0.044304
YDR376W_damp	0.972401	0.008977
YDR377W	0.603646	0.03907
YDR378C	0.734607	0.028218
YDR379W	1.092205	0.013218
YDR380W	1.050819	0.008045
YDR381C-A	0.857644	0.011928
YDR381W_damp	0.977305	0.010835
YDR382W	0.515174	0.021674
YDR382W_damp	0.575868	0.018788
YDR383C	1.035715	0.007268
YDR384C	0.976005	0.009115
YDR385W	0.92726	0.007155
YDR386W	0.969852	0.014584
YDR387C	1.002437	0.007564
YDR388W	0.482749	0.047548
YDR388W_damp	0.997983	0.013292
YDR389W	0.917257	0.008783
YDR390C_damp	0.995274	0.011174
YDR391C	1.000275	0.011347
YDR392W	0.730118	0.025885
YDR393W	0.780261	0.011383
YDR394W_tsq785	1.00824	0.00902
YDR395W	1.039101	0.008187
YDR396W_damp	0.44471	0.021889
YDR397C_damp	0.96284	0.009731
YDR398W_damp	0.992859	0.005153
YDR399W	0.9806	0.006397
YDR400W	1.020213	0.005335
YDR401W	1.002806	0.022734
YDR402C	1.007565	0.013062
YDR403W	1.037131	0.011254
YDR404C_damp	0.504786	0.020589
YDR405W	0.189075	0.035706
YDR405W_damp	0.967619	0.010695
YDR406W	1.029041	0.005788
YDR407C_damp	1.001341	0.004733
YDR408C	1.061241	0.006453
YDR409W	1.034809	0.006459
YDR411C	1.015043	0.006522
YDR414C	1.03833	0.007849
YDR415C	1.04789	0.00718
YDR416W_damp	1.004616	0.007719
YDR418W	0.6096	0.022821
YDR418W_damp	0.602243	0.006116
YDR419W	1.057461	0.008296
YDR420W	1.020021	0.004755
YDR421W	1.045084	0.00816
YDR422C	1.010992	0.0063
YDR423C	1.030225	0.011428
YDR424C	0.992416	0.012882
YDR425W	0.929741	0.00908
YDR426C	0.948775	0.010781
YDR427W_damp	1.022408	0.010324
YDR428C	1.020303	0.006463
YDR429C_damp	0.937389	0.013506
YDR430C	1.047254	0.008823
YDR431W	0.972092	0.009951
YDR432W_damp	1.007333	0.00883
YDR433W_damp	0.592551	0.014704
YDR434W_damp	0.914186	0.005902
YDR435C	0.975974	0.011063
YDR436W	1.024737	0.010635
YDR437W_damp	1.020045	0.009788
YDR438W	1.042545	0.006981
YDR439W	0.723143	0.016894
YDR440W	0.954618	0.01231
YDR441C	0.952437	0.007103
YDR442W_damp	0.532807	0.01056
YDR443C	0.442194	0.011536
YDR444W	1.011691	0.007375
YDR445C	1.01626	0.012621
YDR446W	1.0416	0.007152
YDR447C	0.906847	0.006663
YDR448W	0.410172	0.026373
YDR448W_damp	0.800743	0.008951
YDR449C_damp	0.807992	0.014702
YDR450W	0.568707	0.025313
YDR450W_damp	0.752517	0.008503
YDR451C	1.004543	0.008932
YDR452W	1.026082	0.006631
YDR453C	1.024885	0.008576
YDR454C_damp	0.863513	0.014763
YDR455C	0.836202	0.033304
YDR456W	0.873865	0.019036
YDR456W_damp	1.016086	0.007437
YDR457W	0.815869	0.021286
YDR458C	1.017672	0.005489
YDR459C	1.051128	0.007185
YDR460W_damp	0.994488	0.007042
YDR462W	0.442928	0.022451
YDR462W_damp	0.818021	0.021833
YDR463W	0.905952	0.009989
YDR464W_damp	0.984091	0.012116
YDR465C	1.030204	0.009191
YDR466W	1.101039	0.006037
YDR467C	1.051088	0.009554
YDR468C_damp	1.051145	0.012334
YDR469W	0.875355	0.011164
YDR470C_damp	0.97211	0.005463
YDR471W	0.904494	0.007785
YDR472W_damp	0.917548	0.01168
YDR473C_damp	0.939335	0.007684
YDR474C	1.036325	0.007598
YDR475C	1.029589	0.006962
YDR476C	1.008667	0.006077
YDR477W	0.486854	0.023237
YDR478W_damp	0.988363	0.005485
YDR478W_tsq712	0.646182	0.007901
YDR479C	1.090614	0.010455
YDR480W	1.044856	0.010106
YDR481C	1.049391	0.007765
YDR482C	1.015101	0.006655
YDR483W	1.041688	0.007689
YDR484W	0.489391	0.022627
YDR484W_damp	1.009332	0.013176
YDR485C	0.955524	0.007923
YDR486C	1.021715	0.00733
YDR487C_damp	0.964918	0.010419
YDR488C	0.980889	0.023788
YDR489W_damp	1.0009	0.013616
YDR490C	1.007282	0.006014
YDR491C	1.055072	0.011239
YDR492W	1.036893	0.007983
YDR493W	0.98496	0.008708
YDR494W	1.040388	0.011594
YDR495C	0.479198	0.023149
YDR496C	0.833475	0.015183
YDR497C	1.023168	0.008699
YDR498C_damp	0.954386	0.006539
YDR499W_damp	1.058067	0.014439
YDR500C	0.610175	0.027614
YDR501W	1.065864	0.010347
YDR502C	0.993885	0.009334
YDR503C	1.030917	0.00534
YDR504C	1.03861	0.004257
YDR505C	0.983524	0.022995
YDR506C	0.982831	0.007385
YDR507C	1.014262	0.007224
YDR508C	0.984749	0.009292
YDR509W	0.948096	0.009954
YDR510W_damp	0.470522	0.012427
YDR511W	1.030838	0.006848
YDR512C	0.751791	0.02301
YDR513W	1.003071	0.008291
YDR514C	1.041921	0.008639
YDR515W	1.017074	0.007973
YDR516C	1.008528	0.00596
YDR517W	1.035455	0.008019
YDR518W	1.020545	0.014141
YDR519W	1.029106	0.007589
YDR520C	0.917989	0.014659
YDR522C	0.983215	0.008383
YDR523C	1.012085	0.007728
YDR523C_damp	1.031146	0.013273
YDR524C	0.999368	0.007445
YDR524C-B	0.971218	0.008728
YDR524W-C	0.944426	0.008583
YDR525W	0.97327	0.014894
YDR525W-A	0.98095	0.011292
YDR526C_damp	0.417824	0.010965
YDR527W_damp	0.996008	0.006986
YDR528W	1.053723	0.009687
YDR529C	0.65738	0.066315
YDR529C_damp	0.964395	0.008763
YDR530C	1.057622	0.006879
YDR531W_damp	0.987871	0.0063
YDR532C	0.409006	0.032877
YDR533C	1.034957	0.006936
YDR534C	1.018291	0.007171
YDR535C	0.975355	0.011814
YDR536W	1.020042	0.009469
YDR537C	0.990457	0.006431
YDR538W	1.06646	0.00694
YDR539W	0.996765	0.008285
YDR540C	1.010304	0.009567
YDR541C	1.048163	0.006463
YDR542W	1.152924	0.010866
YDR545W	1.004065	0.005377
YER042W	1.003709	0.010865
YER044C	0.313257	0.012626
YER045C	1.035082	0.012773
YER046W	1.035297	0.012895
YER047C	0.941418	0.006577
YER048C	0.98992	0.016195
YER049W	0.999654	0.007964
YER050C	0.617488	0.041726
YER051W	1.046379	0.01034
YER052C	0.969153	0.008571
YER053C	1.046939	0.006962
YER053C-A	1.034019	0.008896
YER054C	1.058009	0.011598
YER056C	1.004115	0.008043
YER056C-A	0.715826	0.018852
YER057C	1.008876	0.007965
YER058W	0.75828	0.036212
YER058W_damp	0.847576	0.01086
YER059W	0.949704	0.011378
YER060W	1.013088	0.016668
YER060W-A	1.027175	0.005714
YER061C	0.742029	0.008901
YER062C	1.01481	0.009807
YER063W	1.049876	0.011724
YER064C	1.104053	0.011252
YER065C	1.030637	0.007377
YER066W	1.013598	0.014409
YER067W	1.007292	0.013765
YER068C-A_damp	0.964346	0.011927
YER068W	0.500667	0.051849
YER068W_damp	1.05641	0.013991
YER071C	1.010477	0.013697
YER072W	0.958935	0.011481
YER073W	1.042151	0.011267
YER074W	0.635652	0.023803
YER076C	1.041569	0.007898
YER077C	0.342964	0.022016
YER078C	0.95424	0.008652
YER078W-A	1.068468	0.009607
YER079W	1.038016	0.007725
YER080W	1.034158	0.008961
YER081W	0.998483	0.00655
YER082C_damp	0.848194	0.008593
YER083C	0.727233	0.019691
YER084W	0.988525	0.012385
YER085C	1.016023	0.008264
YER086W	0.304314	0.030869
YER086W_damp	0.923899	0.007542
YER087C-A	1.007172	0.010853
YER087C-B	1.002104	0.011837
YER087W	0.243123	0.043182
YER087W_damp	1.00276	0.007366
YER088C	1.071607	0.007455
YER089C	1.056126	0.008259
YER090W	0.975381	0.007838
YER091C	0.966023	0.005807
YER091C-A	1.016261	0.011266
YER092W	0.834145	0.023733
YER093C_damp	0.957084	0.015275
YER093C_tsq658	0.678225	0.013578
YER093C_tsq659	0.816888	0.009719
YER093C_tsq811	0.629822	0.013338
YER093C-A	1.005889	0.01263
YER095W	0.834953	0.016522
YER096W	1.018264	0.00564
YER097W	1.008574	0.008397
YER098W	0.975429	0.015852
YER099C	1.021614	0.005971
YER100W	1.020534	0.010184
YER101C	1.023876	0.0052
YER102W	0.70427	0.016717
YER103W	1.032689	0.009611
YER106W	1.015034	0.005429
YER107C	0.475529	0.013402
YER108C	1.001786	0.009613
YER109C	1.001083	0.010305
YER110C_damp	1.013423	0.009025
YER111C	0.968489	0.010216
YER113C	1.024273	0.006315
YER114C	1.026459	0.008746
YER115C	1.019807	0.006713
YER116C	0.752586	0.037981
YER117W	0.32604	0.01849
YER118C	0.983665	0.006752
YER119C	1.045206	0.008438
YER119C-A	0.840146	0.050958
YER120W	0.947117	0.007279
YER121W	0.99794	0.016008
YER122C	0.928092	0.008915
YER122C_damp	0.986141	0.008077
YER123W	0.983959	0.00876
YER124C	1.018065	0.00777
YER125W_damp	0.981269	0.018905
YER125W_tsq182	0.468839	0.01976
YER125W_tsq464	0.400685	0.01611
YER125W_tsq465	0.892605	0.007793
YER126C_damp	0.861861	0.006505
YER127W_damp	0.935213	0.007833
YER128W	1.038409	0.01003
YER129W	1.034532	0.009043
YER130C	1.029296	0.009733
YER131W	0.884715	0.015809
YER132C	0.981416	0.005653
YER133W_damp	0.859148	0.027478
YER134C	1.001756	0.00815
YER135C	0.996572	0.010449
YER136W_damp	1.024672	0.007772
YER137C	1.039927	0.010896
YER139C	0.925022	0.009291
YER140W	0.974668	0.007577
YER141W	0.672554	0.057655
YER141W_damp	1.002202	0.006507
YER142C	1.037342	0.007226
YER143W	1.009395	0.007485
YER144C	0.975327	0.011964
YER145C	0.952158	0.00855
YER147C_damp	0.968767	0.010614
YER148W_damp	0.722276	0.011239
YER149C	1.001337	0.006438
YER150W	1.016523	0.008392
YER151C	0.657836	0.026869
YER152C	1.040945	0.007772
YER153C	0.719745	0.027783
